organism	domain	temperature
Abiotrophia defectiva	Bacteria	37.0
Abyssicoccus albus	Bacteria	28.0
Abyssivirga alkaniphila	Bacteria	29.0
Acanthopleuribacter pedis	Bacteria	25.0
Acaricomes phytoseiuli	Bacteria	25.0
Acetanaerobacterium elongatum	Bacteria	31.0
Acetatifactor muris	Bacteria	37.0
Acetitomaculum ruminis	Bacteria	37.0
Acetivibrio ethanolgignens	Bacteria	37.0
Acetoanaerobium pronyense	Bacteria	35.0
Acetoanaerobium sticklandii	Bacteria	35.0
Acetobacter aceti	Bacteria	26.0
Acetobacter aceti	Bacteria	30.0
Acetobacter cerevisiae	Bacteria	26.0
Acetobacter cerevisiae	Bacteria	28.0
Acetobacter cibinongensis	Bacteria	30.0
Acetobacter estunensis	Bacteria	28.0
Acetobacter fabarum	Bacteria	28.0
Acetobacter ghanensis	Bacteria	30.0
Acetobacter indonesiensis	Bacteria	25.0
Acetobacter indonesiensis	Bacteria	30.0
Acetobacter lambici	Bacteria	28.0
Acetobacter lovaniensis	Bacteria	28.0
Acetobacter malorum	Bacteria	28.0
Acetobacter musti	Bacteria	28.0
Acetobacter nitrogenifigens	Bacteria	28.0
Acetobacter oeni	Bacteria	25.0
Acetobacter oeni	Bacteria	28.0
Acetobacter orientalis	Bacteria	30.0
Acetobacter orleanensis	Bacteria	28.0
Acetobacter pasteurianus	Bacteria	26.0
Acetobacter pasteurianus	Bacteria	28.0
Acetobacter pasteurianus	Bacteria	30.0
Acetobacter pomorum	Bacteria	30.0
Acetobacter senegalensis	Bacteria	35.0
Acetobacter sp.	Bacteria	25.0
Acetobacter sp.	Bacteria	28.0
Acetobacter syzygii	Bacteria	30.0
Acetobacter tropicalis	Bacteria	30.0
Acetobacterium bakii	Bacteria	20.0
Acetobacterium carbinolicum	Bacteria	30.0
Acetobacterium dehalogenans	Bacteria	25.0
Acetobacterium fimetarium	Bacteria	30.0
Acetobacterium malicum	Bacteria	30.0
Acetobacterium paludosum	Bacteria	20.0
Acetobacterium sp.	Bacteria	30.0
Acetobacterium tundrae	Bacteria	20.0
Acetobacterium wieringae	Bacteria	30.0
Acetobacterium woodii	Bacteria	30.0
Acetobacteroides hydrogenigenes	Bacteria	37.0
Acetohalobium arabaticum	Bacteria	37.0
Acetomicrobium flavidum	Bacteria	55.0
Acetomicrobium hydrogeniformans	Bacteria	55.0
Acetomicrobium mobile	Bacteria	55.0
Acetomicrobium thermoterrenum	Bacteria	50.0
Acetonema longum	Bacteria	30.0
Acetonema sp.	Bacteria	30.0
Acholeplasma laidlawii	Bacteria	37.0
Acholeplasma vituli	Bacteria	37.0
Achromobacter aegrifaciens	Bacteria	30.0
Achromobacter aegrifaciens	Bacteria	34.0
Achromobacter aegrifaciens	Bacteria	37.0
Achromobacter agilis	Bacteria	37.0
Achromobacter aloeverae	Bacteria	31.0
Achromobacter animicus	Bacteria	30.0
Achromobacter anxifer	Bacteria	30.0
Achromobacter anxifer	Bacteria	37.0
Achromobacter deleyi	Bacteria	37.0
Achromobacter denitrificans	Bacteria	30.0
Achromobacter denitrificans	Bacteria	34.0
Achromobacter denitrificans	Bacteria	37.0
Achromobacter dolens	Bacteria	37.0
Achromobacter insolitus	Bacteria	28.0
Achromobacter insolitus	Bacteria	30.0
Achromobacter insolitus	Bacteria	34.0
Achromobacter insolitus	Bacteria	36.0
Achromobacter insolitus	Bacteria	37.0
Achromobacter insuavis	Bacteria	30.0
Achromobacter insuavis	Bacteria	34.0
Achromobacter insuavis	Bacteria	37.0
Achromobacter insulatus	None	30.0
Achromobacter kerstersii	Bacteria	37.0
Achromobacter marplatensis	Bacteria	30.0
Achromobacter mucicolens	Bacteria	30.0
Achromobacter mucicolens	Bacteria	37.0
Achromobacter pestifer	Bacteria	37.0
Achromobacter piechaudii	Bacteria	30.0
Achromobacter piechaudii	Bacteria	34.0
Achromobacter piechaudii	Bacteria	37.0
Achromobacter pulmonis	Bacteria	30.0
Achromobacter pulmonis	Bacteria	37.0
Achromobacter ruhlandii	Bacteria	30.0
Achromobacter ruhlandii	Bacteria	37.0
Achromobacter sp.	Bacteria	28.0
Achromobacter sp.	Bacteria	30.0
Achromobacter sp.	Bacteria	37.0
Achromobacter spanius	Bacteria	28.0
Achromobacter spanius	Bacteria	30.0
Achromobacter spanius	Bacteria	34.0
Achromobacter spanius	Bacteria	37.0
Achromobacter xylosoxidans	Bacteria	30.0
Achromobacter xylosoxidans	Bacteria	37.0
Acidaminobacter hydrogenoformans	None	30.0
Acidaminococcus fermentans	Bacteria	37.0
Acidaminococcus intestini	Bacteria	37.0
Acidianus ambivalens	Archaea	80.0
Acidianus brierleyi	Archaea	70.0
Acidianus brierleyi	Archaea	75.0
Acidianus infernus	Archaea	88.0
Acidianus sp.	Archaea	65.0
Acidianus sp.	Archaea	70.0
Acidianus sulfidivorans	Archaea	70.0
Acidibacter ferrireducens	Bacteria	28.0
Acidicaldus organivorans	Bacteria	50.0
Acidicapsa acidiphila	Bacteria	30.0
Acidicapsa acidisoli	Bacteria	23.0
Acidicapsa borealis	Bacteria	20.0
Acidicapsa ferrireducens	Bacteria	30.0
Acidicapsa ligni	Bacteria	25.0
Acidiferrobacter sp.	Bacteria	28.0
Acidiferrobacter thiooxydans	Bacteria	30.0
Acidihalobacter aeolianus	Bacteria	35.0
Acidihalobacter ferrooxydans	Bacteria	35.0
Acidihalobacter prosperus	Bacteria	35.0
Acidilobus aceticus	Archaea	80.0
Acidilobus saccharovorans	Archaea	80.0
Acidimicrobium ferrooxidans	Bacteria	45.0
Acidiphilium acidophilum	Bacteria	30.0
Acidiphilium cryptum	Bacteria	28.0
