Species,Strain,OGT,Accession
Arthrobacter alpinus,R3.8,18,CP012676-7b
Cryobacterium arcticum,PAMC 27867,16,CP016282-4
Cryobacterium flavum,CGMCC 1.11215,9,FNIB00000000
Cryobacterium levicorallinum,GMCC 1.11211,8,FOPW00000000
Cryobacterium luteum,CGMCC 1.11210,10,FOCN00000000
Cryobacterium psychrotolerans,CGMCC 1.5382,15,FNFU00000000
Cryobacterium roopkundense,RuG17,8,JPXF00000000
Demequina lutea,NBRC 106155,18,BBRC01000000
Glaciibacter superstes,DSM 21135,15,ATWH00000000
Leifsonia rubra,CMS 76R,15,ATIA00000000
Tomitella biformata,AHU 1821,17,BAVQ00000000
Bacillus cecembensis,DSM 21993,18,LMBZ00000000
Bacillus psychrosaccharolyticus,ATCC 23296,18,AJTN00000000
Brochothrix campestris,FSL F6-1037_c9,18,AODH00000000
Lactobacillus algidus,DSM 15638,18,AZDI00000000
Paenibacillus antarcticus,CECT 5836,19,LVJI00000000
Paenibacillus glacialis,DSM 22343,18,LVJH00000000
Paenibacillus macquariensis (2),DSM 2,18,LVJF00000000
Planococcus antarcticus,DSM 14505,18,CP016534
Planococcus faecalis,CECT 8759,18,MBMU00000000
Planococcus halocryophilus,Or1,18,CP016537
Planomicrobium glaciei,CGMCC 1.6846,18,FNDC00000000
Carnobacterium alterfunditum,DSM 5972,16,JQLG00000000
Carnobacterium funditum,DSM 5970,16,JQLL00000000
Carnobacterium iners,DSM 28070,16,FOAH00000000
Carnobacterium pleistocenium,FTR1,16,JQLQ00000000
Acetobacterium bakii,DSM 8239,18,LGYO00000000
Aequorivita sublithincola,DSM 14238,18,CP003280
Bizionia algoritergicola,APA-3,16,LZRO00000000
Bizionia argentinensis,JUB59,18,AFXZ00000000
Bizionia psychrotolerans,PB-M7,18,JNGS00000000
Cellulophaga algicola,DSM 14237,18,CP002453
Chryseobacterium antarcticum,LMG 24720,16,JPEP00000000
Chryseobacterium frigidisoli,DSM 26000,13,FOQT00000000
Crocinitomix catalasitica,ATCC 23190,18,JHXV00000000
Flavobacterium antarcticum,DSM 19726,16,ATTM00000000
Flavobacterium branchiophilum,FL-15,18,FQ859182-3
Flavobacterium degerlachei,DSM 15718,18,FNMV00000000
Flavobacterium frigidarium,DSM 17623,14,AUDO00000000
Flavobacterium frigoris,DSM 15719,15,FOFZ00000000
Flavobacterium fryxellicola,DSM 16209,16,LVJE00000000
Flavobacterium gelidilacus,DSM 15343,16,AUGN00000000
Flavobacterium gillisiae,DSM 22376,17,FNRD00000000
Flavobacterium hibernum,DSM 12611,19,JPRK00000000
Flavobacterium micromati,DSM 17659,18,FQWF00000000
Flavobacterium noncentrifugens,CGMCC 1.10076,17,FNEZ00000000
