,true,pred,kfold
allobaculum_stercoricanis,37.0,35.928435745004855,3.0
shewanella_algae,28.0,23.100934317525407,1.0
bifidobacterium_saguini,37.0,35.11610909415548,4.0
ochrobactrum_rhizosphaerae,28.0,30.334351005772064,1.0
sphingomonas_haloaromaticamans,30.0,29.33722532957132,0.0
kurthia_massiliensis,28.0,30.79021895035614,0.0
bacillus_ligniniphilus,30.0,33.46205713623658,1.0
planococcus_maritimus,29.0,28.395275743822882,2.0
collinsella_aerofaciens,37.0,32.87148116750129,3.0
planococcus_halocryophilus,18.0,27.01493897573892,2.0
streptococcus_ictaluri,30.0,31.972427242452262,2.0
enterococcus_asini,37.0,28.565287697172298,1.0
palaeococcus_pacificus,80.0,74.41796846326122,1.0
clostridium_baratii,37.0,38.05005498902993,1.0
paraglaciecola_chathamensis,18.0,25.546709462842696,4.0
shewanella_oneidensis,30.0,25.943393247395885,4.0
lactococcus_lactis,31.0,32.30332642174806,1.0
shewanella_baltica,25.0,22.859272894547438,1.0
methylotenera_versatilis,25.0,22.679079813585233,4.0
eubacterium_sulci,37.0,39.722006917013374,1.0
glaciecola_pallidula,13.0,20.94929820382275,4.0
paenibacillus_lactis,30.0,32.43049930993552,0.0
nocardia_caishijiensis,29.0,29.150311081372493,2.0
balneola_vulgaris,27.0,24.659111433867643,3.0
streptomyces_viridosporus,28.0,28.860985204585976,3.0
caenibacillus_caldisaponilyticus,55.0,47.99758293889875,1.0
desulfovibrio_vulgaris,34.0,33.28980919687597,2.0
actinoalloteichus_spitiensis,30.0,31.581310896563522,3.0
nitratifractor_salsuginis,59.0,55.30382969428739,0.0
cladophialophora_carrionii,25.0,24.59845996658617,4.0
aspergillus_brasiliensis,26.0,27.460034790512385,3.0
herbaspirillum_rhizosphaerae,27.0,27.090167824692017,4.0
tepidiphilus_thermophilus,50.0,52.04988846646454,1.0
rhodobacter_johrii,28.0,30.112840458049114,0.0
hoeflea_phototrophica,30.0,26.57323304632628,2.0
alicycliphilus_denitrificans,29.0,32.664660471102735,3.0
dothistroma_septosporum,20.0,18.67652265837834,2.0
denitrovibrio_acetiphilus,30.0,28.821486086916714,1.0
azovibrio_restrictus,28.0,30.863193861905923,3.0
frateuria_aurantia,27.0,27.151203759192324,3.0
vibrio_owensii,27.0,28.058459652432475,1.0
herbaspirillum_huttiense,28.0,28.674508052275105,2.0
methylophaga_frappieri,29.0,25.665368217614617,4.0
providencia_burhodogranariea,31.0,29.020456767598333,4.0
halanaerobium_congolense,42.0,36.57772934373193,0.0
acinetobacter_indicus,31.0,32.00562839616681,0.0
streptobacillus_moniliformis,37.0,33.515704006862535,4.0
novosphingobium_aromaticivorans,30.0,30.600105471929215,2.0
pseudoalteromonas_issachenkonii,23.0,24.23146689673519,3.0
parascardovia_denticolens,37.0,40.193742593822286,3.0
tetrasphaera_jenkinsii,25.0,25.309565941835125,2.0
corynebacterium_minutissimum,35.0,32.94086594783121,3.0
haematospirillum_jordaniae,37.0,33.74834002986582,4.0
peptoniphilus_lacrimalis,37.0,40.51644133554566,3.0
dialister_invisus,36.0,38.838005174262065,0.0
actinomadura_rubrobrunea,55.0,40.36492881227657,1.0
nocardiopsis_halophila,28.0,30.520609735282875,3.0
histoplasma_capsulatum,29.0,24.595419048298893,1.0
weissella_confusa,31.0,30.848288027834226,0.0
desulfotomaculum_thermosubterraneum,60.0,58.558787695395594,3.0
mycobacterium_haemophilum,31.0,35.511628147017284,2.0
pediococcus_cellicola,34.0,31.794079929933055,4.0
amycolatopsis_thermoflava,45.0,31.665801006733137,0.0
microbacterium_arborescens,30.0,28.56192410170066,4.0
kluyvera_intermedia,31.0,30.541354784328473,3.0
bacillus_circulans,32.0,31.320927546354906,2.0
streptomyces_griseoflavus,27.0,27.683771923777385,3.0
pseudoalteromonas_piscicida,28.0,25.290786011596882,0.0
nocardia_farcinica,32.0,34.09777695100446,3.0
sulfurimonas_denitrificans,24.0,29.697488455576483,4.0
streptomyces_galbus,27.0,28.095171804493802,4.0
paenibacillus_odorifer,30.0,26.285811408338184,4.0
blastomyces_dermatitidis,31.0,22.87425263645332,0.0
vagococcus_penaei,30.0,32.99268529488572,3.0
legionella_hackeliae,37.0,33.533300433593226,2.0
nocardia_carnea,29.0,28.113460802396638,2.0
capronia_coronata,20.0,25.07157003769073,3.0
desulfurococcus_kamchatkensis,82.0,88.08283592605909,4.0
lactobacillus_jensenii,37.0,30.791912242014927,2.0
flavobacterium_filum,27.0,28.208141349527356,0.0
rhizobium_tibeticum,28.0,27.564858461898446,3.0
pichia_kudriavzevii,24.0,26.449375698732247,0.0
methylophaga_thiooxydans,28.0,27.54916867542733,0.0
staphylococcus_vitulinus,37.0,34.457566086696836,1.0
penicillium_steckii,24.0,21.211211206346533,4.0
nautilia_profundicola,43.0,54.7341220326667,4.0
methanocella_paludicola,37.0,44.533211856743456,1.0
mycoplasma_gallinarum,37.0,34.271139565717874,2.0
nosocomiicoccus_ampullae,32.0,35.846295759095696,3.0
acinetobacter_soli,29.0,30.44506513808757,2.0
malassezia_globosa,30.0,26.85485205853136,1.0
lactobacillus_malefermentans,29.0,30.440228111735724,3.0
thiocystis_violascens,25.0,26.514861624224096,1.0
slackia_piriformis,37.0,41.31268146301501,1.0
komagataeibacter_europaeus,30.0,28.07254231248693,0.0
bacillus_muralis,30.0,25.980640360401342,4.0
lachnoanaerobaculum_saburreum,37.0,35.897791871936754,4.0
mycoplasma_glycophilum,37.0,39.437158486973615,4.0
selenomonas_bovis,37.0,38.83884989153331,0.0
persephonella_marina,70.0,71.05029390013479,1.0
leptotrichia_shahii,37.0,40.318552773609404,1.0
methanothermobacter_marburgensis,60.0,57.07173784247721,0.0
prevotella_saccharolytica,37.0,35.32706624111717,0.0
collimonas_arenae,28.0,27.995397973731137,3.0
thermus_islandicus,65.0,71.74399712340465,1.0
colletotrichum_nymphaeae,20.0,24.69857302414788,4.0
chryseolinea_serpens,25.0,27.722722194261785,3.0
corynebacterium_efficiens,37.0,32.100384273274145,1.0
haloferax_prahovense,37.0,37.95338080111631,0.0
bacillus_pseudofirmus,31.0,32.62885639650452,4.0
neisseria_elongata,33.0,34.3697567816411,1.0
flavobacterium_piscis,30.0,23.381222609502395,1.0
methanoplanus_limicola,34.0,34.78894549283783,3.0
ornithinibacillus_californiensis,30.0,36.88686288575885,3.0
clostridium_septicum,37.0,36.61923204608724,4.0
cycloclasticus_pugetii,20.0,25.883614541631673,0.0
listeria_seeligeri,36.0,30.020856335514434,0.0
rhynchosporium_secalis,15.0,20.70725348086771,4.0
vibrio_atlanticus,25.0,23.762389522684227,4.0
enhygromyxa_salina,30.0,33.94945870030485,0.0
chryseobacterium_piperi,29.0,27.285981032849868,1.0
alicyclobacillus_ferrooxydans,30.0,36.17130592455646,4.0
longispora_albida,28.0,25.887413061549783,2.0
desulfitobacterium_hafniense,34.0,36.59413080915586,0.0
halanaerobium_saccharolyticum,37.0,35.19300182498453,3.0
streptomyces_decoyicus,29.0,26.655002576421168,0.0
vibrio_quintilis,28.0,30.653524843340797,0.0
aeromicrobium_erythreum,33.0,28.968161041165473,4.0
acinetobacter_johnsonii,29.0,29.377453738950503,1.0
oceanobacillus_caeni,32.0,37.06308289702294,3.0
jannaschia_rubra,25.0,25.342670120059445,2.0
comamonas_composti,28.0,27.952762088049575,4.0
sphingobium_ummariense,28.0,31.017896020959594,3.0
bacillus_cellulosilyticus,32.0,32.96544120470048,1.0
bacillus_novalis,30.0,33.29250115891093,1.0
photobacterium_sanctipauli,28.0,26.38368844938062,3.0
dokdonia_donghaensis,30.0,24.021525503067604,0.0
kordiimonas_gwangyangensis,36.0,25.512006878710014,2.0
corynebacterium_ulceribovis,37.0,34.94646078035712,2.0
campylobacter_showae,37.0,37.81941512279429,2.0
fretibacterium_fastidiosum,37.0,41.14670481386807,3.0
hydrocarboniphaga_effusa,29.0,27.560927822137614,0.0
carnimonas_nigrificans,30.0,31.92069451003991,3.0
celeribacter_indicus,25.0,29.88173405202901,4.0
lactobacillus_salivarius,37.0,41.864084818066225,4.0
actinomyces_radicidentis,37.0,29.73387473641437,4.0
capnocytophaga_sputigena,37.0,35.809054883594406,2.0
mycobacterium_colombiense,37.0,33.90206519511318,0.0
streptomyces_ipomoeae,27.0,29.2228386498486,3.0
actinomyces_suimastitidis,37.0,35.24254410656438,3.0
lactobacillus_shenzhenensis,37.0,32.50675032476566,4.0
xanthomonas_pisi,27.0,28.24888743500014,2.0
methylobacter_tundripaludum,22.0,23.2052682536389,4.0
rhizobium_sullae,28.0,29.541379691616335,4.0
bacillus_marmarensis,30.0,31.584034954366743,2.0
paenibacillus_borealis,30.0,24.62775160716492,4.0
mycobacterium_wolinskyi,32.0,33.97971040592904,4.0
aliivibrio_logei,18.0,22.921673884117865,1.0
nevskia_soli,28.0,27.559613420282396,2.0
bacillus_boroniphilus,30.0,32.601556624923745,1.0
clostridium_cellulolyticum,35.0,33.703041959951136,2.0
castellaniella_caeni,28.0,32.15492814901295,0.0
mycobacterium_kyorinense,37.0,35.19584038176518,4.0
paraburkholderia_mimosarum,30.0,30.544029609474943,3.0
timonella_senegalensis,30.0,26.18840148849179,4.0
haemophilus_haemolyticus,37.0,37.11575439889516,1.0
bdellovibrio_bacteriovorus,28.0,26.5397730632331,3.0
psychrobacter_phenylpyruvicus,31.0,29.644498601329083,2.0
herbaspirillum_frisingense,35.0,28.287872863348237,3.0
lactobacillus_nasuensis,30.0,30.762782381579395,0.0
achromobacter_insolitus,33.0,28.819970764390963,2.0
spiroplasma_diminutum,28.0,26.043670094544428,2.0
bordetella_bronchiseptica,36.0,32.367678806455395,2.0
janibacter_limosus,29.0,25.280069966381273,3.0
yersinia_frederiksenii,30.0,27.638880809637634,4.0
enhydrobacter_aerosaccus,37.0,30.37696852572721,1.0
ceraceosorus_bombacis,24.0,17.46792934633543,3.0
flavobacterium_columnare,23.0,27.73496902479207,2.0
thermogemmatispora_carboxidivorans,55.0,48.3827861328847,4.0
bartonella_florencae,37.0,35.41619398347985,0.0
helicobacter_acinonychis,37.0,31.018270695053154,2.0
jeotgalibacillus_soli,30.0,28.963386568313734,0.0
lactobacillus_ruminis,35.0,39.89488799888228,3.0
xenorhabdus_hominickii,30.0,26.76135338811017,4.0
roseburia_inulinivorans,37.0,36.79365416797769,3.0
thioalkalimicrobium_cyclicum,28.0,21.613270292026503,4.0
bacillus_subtilis,30.0,30.18835500045999,0.0
pseudomonas_fluorescens,28.0,27.507623268260772,1.0
centipeda_periodontii,37.0,34.18397162637429,1.0
pseudomonas_bauzanensis,28.0,29.570355464176444,3.0
kaistia_adipata,31.0,31.0979897295184,1.0
riemerella_anatipestifer,37.0,32.75746831686675,1.0
