,true,pred,kfold
allobaculum_stercoricanis,37.0,34.82293280063994,3.0
shewanella_algae,28.0,23.216952129205133,1.0
bifidobacterium_saguini,37.0,35.33728557909177,4.0
ochrobactrum_rhizosphaerae,28.0,30.724433070973976,1.0
sphingomonas_haloaromaticamans,30.0,29.114077949403473,0.0
kurthia_massiliensis,28.0,30.990399456768074,0.0
bacillus_ligniniphilus,30.0,34.36757758283914,1.0
planococcus_maritimus,29.0,28.60315041139544,2.0
collinsella_aerofaciens,37.0,33.49093154764275,3.0
planococcus_halocryophilus,18.0,27.472695030567706,2.0
streptococcus_ictaluri,30.0,32.35366024195029,2.0
enterococcus_asini,37.0,29.6153296966163,1.0
palaeococcus_pacificus,80.0,74.29344728584027,1.0
clostridium_baratii,37.0,37.792023634161794,1.0
paraglaciecola_chathamensis,18.0,25.71917069192263,4.0
shewanella_oneidensis,30.0,26.257744548996513,4.0
lactococcus_lactis,31.0,31.392394755125267,1.0
shewanella_baltica,25.0,23.540542122548263,1.0
methylotenera_versatilis,25.0,22.483331429568246,4.0
eubacterium_sulci,37.0,39.29941708905682,1.0
glaciecola_pallidula,13.0,21.600485567124196,4.0
paenibacillus_lactis,30.0,32.530303502024516,0.0
nocardia_caishijiensis,29.0,28.890855538098478,2.0
balneola_vulgaris,27.0,24.2991984882597,3.0
streptomyces_viridosporus,28.0,28.79119219508924,3.0
caenibacillus_caldisaponilyticus,55.0,47.682740529379316,1.0
desulfovibrio_vulgaris,34.0,32.95180846561456,2.0
actinoalloteichus_spitiensis,30.0,31.72609265031626,3.0
nitratifractor_salsuginis,59.0,54.158542430214425,0.0
cladophialophora_carrionii,25.0,24.344343614037037,4.0
aspergillus_brasiliensis,26.0,27.444970871405577,3.0
herbaspirillum_rhizosphaerae,27.0,27.469815598887664,4.0
tepidiphilus_thermophilus,50.0,50.58387034163449,1.0
rhodobacter_johrii,28.0,30.29987603254353,0.0
hoeflea_phototrophica,30.0,25.947575802569816,2.0
alicycliphilus_denitrificans,29.0,32.46528783256429,3.0
dothistroma_septosporum,20.0,19.24521833989403,2.0
denitrovibrio_acetiphilus,30.0,29.221146403417155,1.0
azovibrio_restrictus,28.0,30.795597046990256,3.0
frateuria_aurantia,27.0,27.22079139426272,3.0
vibrio_owensii,27.0,28.344172187886407,1.0
herbaspirillum_huttiense,28.0,28.5817813427577,2.0
methylophaga_frappieri,29.0,25.83290124880624,4.0
providencia_burhodogranariea,31.0,28.280235428102557,4.0
halanaerobium_congolense,42.0,36.91566316595837,0.0
acinetobacter_indicus,31.0,30.99925746773242,0.0
streptobacillus_moniliformis,37.0,34.73553747056132,4.0
novosphingobium_aromaticivorans,30.0,30.594938759892884,2.0
pseudoalteromonas_issachenkonii,23.0,24.484693919981876,3.0
parascardovia_denticolens,37.0,39.627974861547614,3.0
tetrasphaera_jenkinsii,25.0,25.26504491295736,2.0
corynebacterium_minutissimum,35.0,32.84287552530801,3.0
haematospirillum_jordaniae,37.0,32.02990796283118,4.0
peptoniphilus_lacrimalis,37.0,40.017520540207464,3.0
dialister_invisus,36.0,39.20002192242569,0.0
actinomadura_rubrobrunea,55.0,39.640754106874375,1.0
nocardiopsis_halophila,28.0,30.55377977609008,3.0
histoplasma_capsulatum,29.0,24.70879982728553,1.0
weissella_confusa,31.0,30.912770970384404,0.0
desulfotomaculum_thermosubterraneum,60.0,58.03965006258194,3.0
mycobacterium_haemophilum,31.0,35.16063533377999,2.0
pediococcus_cellicola,34.0,32.50033178670603,4.0
amycolatopsis_thermoflava,45.0,31.589583244022485,0.0
microbacterium_arborescens,30.0,29.08423090380618,4.0
kluyvera_intermedia,31.0,30.083985534286725,3.0
bacillus_circulans,32.0,31.56605623869902,2.0
streptomyces_griseoflavus,27.0,27.92632534771761,3.0
pseudoalteromonas_piscicida,28.0,25.516091652480227,0.0
nocardia_farcinica,32.0,33.68196141038233,3.0
sulfurimonas_denitrificans,24.0,29.91349342193885,4.0
streptomyces_galbus,27.0,28.119063373022104,4.0
paenibacillus_odorifer,30.0,26.626819090565927,4.0
blastomyces_dermatitidis,31.0,23.21740020752811,0.0
vagococcus_penaei,30.0,32.60564291836987,3.0
legionella_hackeliae,37.0,33.26143589346849,2.0
nocardia_carnea,29.0,28.243764317464752,2.0
capronia_coronata,20.0,24.775577189450534,3.0
desulfurococcus_kamchatkensis,82.0,88.11289712230788,4.0
lactobacillus_jensenii,37.0,32.17462153895611,2.0
flavobacterium_filum,27.0,28.108101746385415,0.0
rhizobium_tibeticum,28.0,27.882979725254017,3.0
pichia_kudriavzevii,24.0,26.169597244014568,0.0
