,true,pred,kfold
allobaculum_stercoricanis,37.0,38.12564074872241,3.0
shewanella_algae,28.0,23.763701745249506,1.0
bifidobacterium_saguini,37.0,36.272075566332404,4.0
ochrobactrum_rhizosphaerae,28.0,29.333741494395014,1.0
sphingomonas_haloaromaticamans,30.0,30.168596964280916,0.0
kurthia_massiliensis,28.0,29.33541558305533,0.0
bacillus_ligniniphilus,30.0,33.117833443857904,1.0
planococcus_maritimus,29.0,27.46459704502952,2.0
collinsella_aerofaciens,37.0,32.78491961835132,3.0
planococcus_halocryophilus,18.0,26.09409838780296,2.0
streptococcus_ictaluri,30.0,31.505128203476787,2.0
enterococcus_asini,37.0,28.277076073862787,1.0
palaeococcus_pacificus,80.0,75.41243488428759,1.0
clostridium_baratii,37.0,38.231175729014154,1.0
paraglaciecola_chathamensis,18.0,25.758443745653693,4.0
shewanella_oneidensis,30.0,25.383114728014533,4.0
lactococcus_lactis,31.0,29.72541553614306,1.0
shewanella_baltica,25.0,23.253443070627924,1.0
methylotenera_versatilis,25.0,22.336554440538947,4.0
eubacterium_sulci,37.0,39.101361581064936,1.0
glaciecola_pallidula,13.0,21.447723301928107,4.0
paenibacillus_lactis,30.0,33.28280280153067,0.0
nocardia_caishijiensis,29.0,29.546983061875224,2.0
balneola_vulgaris,27.0,24.55374133465991,3.0
streptomyces_viridosporus,28.0,29.010408281071044,3.0
caenibacillus_caldisaponilyticus,55.0,48.01916963694262,1.0
desulfovibrio_vulgaris,34.0,34.58046847447288,2.0
actinoalloteichus_spitiensis,30.0,31.772344468815184,3.0
nitratifractor_salsuginis,59.0,55.22910473863394,0.0
cladophialophora_carrionii,25.0,25.12143698601014,4.0
aspergillus_brasiliensis,26.0,26.75736510632739,3.0
herbaspirillum_rhizosphaerae,27.0,26.797059926073615,4.0
tepidiphilus_thermophilus,50.0,52.82639438746142,1.0
rhodobacter_johrii,28.0,29.213953714769197,0.0
hoeflea_phototrophica,30.0,26.915189086045146,2.0
alicycliphilus_denitrificans,29.0,33.10892283795581,3.0
dothistroma_septosporum,20.0,18.3245347128762,2.0
denitrovibrio_acetiphilus,30.0,29.065961190439936,1.0
azovibrio_restrictus,28.0,30.724346994144774,3.0
frateuria_aurantia,27.0,27.765968202335692,3.0
vibrio_owensii,27.0,27.998284646250482,1.0
herbaspirillum_huttiense,28.0,28.922173796738505,2.0
methylophaga_frappieri,29.0,26.026356133501594,4.0
providencia_burhodogranariea,31.0,29.81083670524842,4.0
halanaerobium_congolense,42.0,35.16326687852652,0.0
acinetobacter_indicus,31.0,32.980256300371,0.0
streptobacillus_moniliformis,37.0,33.03291884330994,4.0
novosphingobium_aromaticivorans,30.0,30.511651335801005,2.0
pseudoalteromonas_issachenkonii,23.0,23.736991761906005,3.0
parascardovia_denticolens,37.0,40.058691858036376,3.0
tetrasphaera_jenkinsii,25.0,26.42257815464866,2.0
