,true,pred,kfold
allobaculum_stercoricanis,37.0,35.17335,3.0
shewanella_algae,28.0,28.562386,1.0
bifidobacterium_saguini,37.0,35.447,4.0
ochrobactrum_rhizosphaerae,28.0,29.599499999999995,1.0
sphingomonas_haloaromaticamans,30.0,29.370331999999998,0.0
kurthia_massiliensis,28.0,32.02725,0.0
bacillus_ligniniphilus,30.0,33.395958,1.0
planococcus_maritimus,29.0,29.419334000000003,2.0
collinsella_aerofaciens,37.0,36.0725,3.0
planococcus_halocryophilus,18.0,25.085793000000006,2.0
streptococcus_ictaluri,30.0,35.7345,2.0
enterococcus_asini,37.0,34.709667,1.0
palaeococcus_pacificus,80.0,77.640233,1.0
clostridium_baratii,37.0,37.011,1.0
paraglaciecola_chathamensis,18.0,25.259799999999974,4.0
shewanella_oneidensis,30.0,27.221331999999997,4.0
lactococcus_lactis,31.0,31.158249999999995,1.0
shewanella_baltica,25.0,26.136760999999996,1.0
methylotenera_versatilis,25.0,26.559832999999998,4.0
eubacterium_sulci,37.0,36.93,1.0
glaciecola_pallidula,13.0,17.703083,4.0
paenibacillus_lactis,30.0,31.295625,0.0
nocardia_caishijiensis,29.0,29.44075,2.0
balneola_vulgaris,27.0,27.299649999999996,3.0
streptomyces_viridosporus,28.0,27.807,3.0
caenibacillus_caldisaponilyticus,55.0,46.97952999999998,1.0
desulfovibrio_vulgaris,34.0,33.837333,2.0
actinoalloteichus_spitiensis,30.0,30.638333,3.0
nitratifractor_salsuginis,59.0,40.73824799999999,0.0
cladophialophora_carrionii,25.0,24.41575,4.0
aspergillus_brasiliensis,26.0,25.741,3.0
herbaspirillum_rhizosphaerae,27.0,29.03275,4.0
tepidiphilus_thermophilus,50.0,45.622615999999994,1.0
rhodobacter_johrii,28.0,29.375599,0.0
hoeflea_phototrophica,30.0,28.158099999999994,2.0
alicycliphilus_denitrificans,29.0,30.65825,3.0
dothistroma_septosporum,20.0,23.856,2.0
denitrovibrio_acetiphilus,30.0,34.8583,1.0
azovibrio_restrictus,28.0,32.8146,3.0
frateuria_aurantia,27.0,29.9775,3.0
vibrio_owensii,27.0,28.669049999999988,1.0
herbaspirillum_huttiense,28.0,29.43325,2.0
methylophaga_frappieri,29.0,28.521167000000002,4.0
providencia_burhodogranariea,31.0,30.605749000000003,4.0
halanaerobium_congolense,42.0,37.406,0.0
acinetobacter_indicus,31.0,29.749599999999997,0.0
streptobacillus_moniliformis,37.0,36.281,4.0
novosphingobium_aromaticivorans,30.0,28.606450000000002,2.0
pseudoalteromonas_issachenkonii,23.0,25.417832999999998,3.0
parascardovia_denticolens,37.0,32.750625,3.0
tetrasphaera_jenkinsii,25.0,29.16475,2.0
corynebacterium_minutissimum,35.0,35.968,3.0
haematospirillum_jordaniae,37.0,30.089299999999998,4.0
peptoniphilus_lacrimalis,37.0,36.245,3.0
dialister_invisus,36.0,36.307625,0.0
actinomadura_rubrobrunea,55.0,34.923165999999995,1.0
nocardiopsis_halophila,28.0,29.091998999999998,3.0
histoplasma_capsulatum,29.0,30.2925,1.0
weissella_confusa,31.0,29.737306000000032,0.0
desulfotomaculum_thermosubterraneum,60.0,58.004828999999994,3.0
mycobacterium_haemophilum,31.0,35.874,2.0
pediococcus_cellicola,34.0,32.5058,4.0
amycolatopsis_thermoflava,45.0,28.545415999999996,0.0
microbacterium_arborescens,30.0,29.772166000000002,4.0
kluyvera_intermedia,31.0,32.707,3.0
bacillus_circulans,32.0,30.802,2.0
streptomyces_griseoflavus,27.0,27.696,3.0
pseudoalteromonas_piscicida,28.0,27.56061399999999,0.0
nocardia_farcinica,32.0,30.6765,3.0
sulfurimonas_denitrificans,24.0,28.1625,4.0
streptomyces_galbus,27.0,27.684,4.0
paenibacillus_odorifer,30.0,29.9965,4.0
blastomyces_dermatitidis,31.0,26.442,0.0
vagococcus_penaei,30.0,33.035599999999995,3.0
legionella_hackeliae,37.0,34.337874,2.0
nocardia_carnea,29.0,30.81,2.0
capronia_coronata,20.0,24.927599999999998,3.0
desulfurococcus_kamchatkensis,82.0,85.113,4.0
lactobacillus_jensenii,37.0,34.47385,2.0
flavobacterium_filum,27.0,24.87675,0.0
rhizobium_tibeticum,28.0,28.90659999999998,3.0
pichia_kudriavzevii,24.0,24.813562,0.0
methylophaga_thiooxydans,28.0,29.70035,0.0
staphylococcus_vitulinus,37.0,35.186,1.0
penicillium_steckii,24.0,24.31,4.0
nautilia_profundicola,43.0,46.97724999999998,4.0
methanocella_paludicola,37.0,42.77265,1.0
mycoplasma_gallinarum,37.0,35.5685,2.0
nosocomiicoccus_ampullae,32.0,33.465667,3.0
acinetobacter_soli,29.0,30.26525,2.0
malassezia_globosa,30.0,25.995099999999997,1.0
lactobacillus_malefermentans,29.0,30.608167,3.0
thiocystis_violascens,25.0,29.4681,1.0
slackia_piriformis,37.0,36.828625,1.0
komagataeibacter_europaeus,30.0,30.119,0.0
bacillus_muralis,30.0,30.12475,4.0
lachnoanaerobaculum_saburreum,37.0,37.459,4.0
mycoplasma_glycophilum,37.0,36.06375,4.0
selenomonas_bovis,37.0,37.6605,0.0
persephonella_marina,70.0,59.43448299999997,1.0
leptotrichia_shahii,37.0,39.9882,1.0
methanothermobacter_marburgensis,60.0,48.050625,0.0
prevotella_saccharolytica,37.0,36.5355,0.0
collimonas_arenae,28.0,27.714767,3.0
thermus_islandicus,65.0,69.4349500000001,1.0
colletotrichum_nymphaeae,20.0,24.5715,4.0
chryseolinea_serpens,25.0,28.3723,3.0
corynebacterium_efficiens,37.0,34.118,1.0
haloferax_prahovense,37.0,36.756,0.0
bacillus_pseudofirmus,31.0,30.565,4.0
neisseria_elongata,33.0,35.447125,1.0
flavobacterium_piscis,30.0,24.917,1.0
methanoplanus_limicola,34.0,40.15225,3.0
ornithinibacillus_californiensis,30.0,32.76925,3.0
clostridium_septicum,37.0,36.691,4.0
cycloclasticus_pugetii,20.0,24.667894999999998,0.0
listeria_seeligeri,36.0,33.6405,0.0
rhynchosporium_secalis,15.0,23.3465,4.0
vibrio_atlanticus,25.0,25.866416,4.0
enhygromyxa_salina,30.0,30.859682999999997,0.0
chryseobacterium_piperi,29.0,28.438,1.0
alicyclobacillus_ferrooxydans,30.0,35.53525,4.0
longispora_albida,28.0,30.72,2.0
desulfitobacterium_hafniense,34.0,32.918,0.0
halanaerobium_saccharolyticum,37.0,37.10705,3.0
streptomyces_decoyicus,29.0,27.484333,0.0
vibrio_quintilis,28.0,28.004731999999997,0.0
aeromicrobium_erythreum,33.0,28.443665999999997,4.0
acinetobacter_johnsonii,29.0,30.3967,1.0
oceanobacillus_caeni,32.0,34.3925,3.0
jannaschia_rubra,25.0,28.890499,2.0
comamonas_composti,28.0,30.04,4.0
sphingobium_ummariense,28.0,29.16325,3.0
bacillus_cellulosilyticus,32.0,31.737167000000003,1.0
bacillus_novalis,30.0,30.25775,1.0
photobacterium_sanctipauli,28.0,27.714958,3.0
dokdonia_donghaensis,30.0,27.113799999999998,0.0
kordiimonas_gwangyangensis,36.0,30.920749999999995,2.0
corynebacterium_ulceribovis,37.0,34.396,2.0
campylobacter_showae,37.0,37.57875,2.0
fretibacterium_fastidiosum,37.0,36.65385,3.0
hydrocarboniphaga_effusa,29.0,28.342283,0.0
carnimonas_nigrificans,30.0,28.730850000000004,3.0
celeribacter_indicus,25.0,29.456,4.0
lactobacillus_salivarius,37.0,35.291399999999996,4.0
actinomyces_radicidentis,37.0,31.471747999999995,4.0
capnocytophaga_sputigena,37.0,35.12425,2.0
mycobacterium_colombiense,37.0,36.623,0.0
streptomyces_ipomoeae,27.0,27.517,3.0
actinomyces_suimastitidis,37.0,33.398,3.0
lactobacillus_shenzhenensis,37.0,31.972,4.0
xanthomonas_pisi,27.0,27.805833,2.0
methylobacter_tundripaludum,22.0,28.271667,4.0
rhizobium_sullae,28.0,28.609299999999962,4.0
bacillus_marmarensis,30.0,30.504667,2.0
paenibacillus_borealis,30.0,30.804667000000002,4.0
mycobacterium_wolinskyi,32.0,35.371,4.0
aliivibrio_logei,18.0,23.638741,1.0
nevskia_soli,28.0,29.35335,2.0
bacillus_boroniphilus,30.0,30.29825,1.0
clostridium_cellulolyticum,35.0,35.78575,2.0
castellaniella_caeni,28.0,30.7305,0.0
mycobacterium_kyorinense,37.0,35.812,4.0
paraburkholderia_mimosarum,30.0,29.5545,3.0
timonella_senegalensis,30.0,30.9845,4.0
haemophilus_haemolyticus,37.0,36.11275,1.0
bdellovibrio_bacteriovorus,28.0,28.665983,3.0
psychrobacter_phenylpyruvicus,31.0,26.517517,2.0
herbaspirillum_frisingense,35.0,29.2911,3.0
lactobacillus_nasuensis,30.0,31.851,0.0
achromobacter_insolitus,33.0,30.9115,2.0
spiroplasma_diminutum,28.0,32.10675,2.0
bordetella_bronchiseptica,36.0,33.760332999999996,2.0
janibacter_limosus,29.0,28.978832999999998,3.0
yersinia_frederiksenii,30.0,29.6445,4.0
enhydrobacter_aerosaccus,37.0,31.459812000000003,1.0
ceraceosorus_bombacis,24.0,23.139162,3.0
flavobacterium_columnare,23.0,28.3245,2.0
thermogemmatispora_carboxidivorans,55.0,52.76303299999999,4.0
bartonella_florencae,37.0,35.789687,0.0
helicobacter_acinonychis,37.0,36.79965,2.0
jeotgalibacillus_soli,30.0,29.56525,0.0
lactobacillus_ruminis,35.0,38.079633,3.0
xenorhabdus_hominickii,30.0,28.552917,4.0
roseburia_inulinivorans,37.0,36.99475,3.0
thioalkalimicrobium_cyclicum,28.0,27.93225,4.0
bacillus_subtilis,30.0,30.621959000000004,0.0
pseudomonas_fluorescens,28.0,28.1371,1.0
centipeda_periodontii,37.0,36.581,1.0
pseudomonas_bauzanensis,28.0,29.303999999999995,3.0
kaistia_adipata,31.0,28.958183,1.0
riemerella_anatipestifer,37.0,32.281349999999996,1.0
bacillus_simplex,29.0,28.985,0.0
chryseobacterium_jeonii,16.0,25.0275,3.0
streptomyces_cyanoalbus,27.0,27.44975,1.0
vulcanisaeta_souniana,85.0,78.25704999999999,2.0
streptococcus_phocae,35.0,35.6535,0.0
gemmobacter_megaterium,28.0,27.680165999999996,1.0
hyphomonas_jannaschiana,30.0,28.202599999999997,3.0
lactobacillus_sharpeae,30.0,31.650168,3.0
nocardia_brasiliensis,33.0,28.835,0.0
lactobacillus_algidus,18.0,29.667834000000003,2.0
penicillium_oxalicum,24.0,24.635,3.0
jannaschia_aquimarina,30.0,28.489748999999996,1.0
alloscardovia_omnicolens,37.0,34.4516,2.0
daedalea_quercina,24.0,24.9885,1.0
coprococcus_catus,37.0,36.578,0.0
chloroflexus_aurantiacus,49.0,40.6001,2.0
lactobacillus_hordei,30.0,31.674799999999998,3.0
acinetobacter_bouvetii,30.0,29.827495,3.0
enterobacter_hormaechei,32.0,32.01825,1.0
sclerotinia_borealis,8.0,23.5115,3.0
pirellula_staleyi,26.0,27.68509999999999,3.0
azospira_oryzae,33.0,32.0435,4.0
helicobacter_heilmannii,37.0,38.759541,0.0
trichophyton_equinum,27.0,26.361,4.0
paenibacillus_pectinilyticus,30.0,29.411684,1.0
anoxybacillus_thermarum,55.0,54.04033,3.0
nocardia_vermiculata,29.0,30.1896,1.0
mycobacterium_chlorophenolicum,31.0,32.28575,0.0
lactobacillus_kalixensis,37.0,35.6241,2.0
mycobacterium_rhodesiae,36.0,35.18925,1.0
corynebacterium_appendicis,37.0,33.771833,0.0
porphyromonas_asaccharolytica,37.0,35.7331,2.0
paenibacillus_antarcticus,19.0,22.823,1.0
vibrio_ruber,27.0,28.4481,2.0
deinococcus_grandis,26.0,31.251832999999998,3.0
streptomyces_noursei,27.0,27.499833,2.0
campylobacter_hyointestinalis,37.0,35.854,2.0
lactobacillus_amylovorus,37.0,36.90460000000001,3.0
coccidioides_posadasii,24.0,26.6585,1.0
staphylococcus_auricularis,37.0,34.9785,0.0
demequina_sediminicola,28.0,29.9325,1.0
bacillus_fastidiosus,30.0,33.644,0.0
