,true,pred,kfold
allobaculum_stercoricanis,37.0,38.671782874107805,3.0
shewanella_algae,28.0,27.4714864637551,1.0
bifidobacterium_saguini,37.0,36.23368538401847,4.0
ochrobactrum_rhizosphaerae,28.0,30.666945857591514,1.0
sphingomonas_haloaromaticamans,30.0,29.56097657279605,0.0
kurthia_massiliensis,28.0,30.329407453401064,0.0
bacillus_ligniniphilus,30.0,35.31282543284178,1.0
planococcus_maritimus,29.0,27.102858105923975,2.0
collinsella_aerofaciens,37.0,36.9875951204281,3.0
planococcus_halocryophilus,18.0,25.29604179909675,2.0
streptococcus_ictaluri,30.0,36.031902864401175,2.0
enterococcus_asini,37.0,35.21698581337986,1.0
palaeococcus_pacificus,80.0,75.95353667199068,1.0
clostridium_baratii,37.0,36.06045720930117,1.0
paraglaciecola_chathamensis,18.0,25.20585388551698,4.0
shewanella_oneidensis,30.0,26.775254507467533,4.0
lactococcus_lactis,31.0,33.318878853804954,1.0
shewanella_baltica,25.0,25.190874614433792,1.0
methylotenera_versatilis,25.0,23.3981681058919,4.0
eubacterium_sulci,37.0,36.53932582385329,1.0
glaciecola_pallidula,13.0,15.579592961743757,4.0
paenibacillus_lactis,30.0,31.596143123788327,0.0
nocardia_caishijiensis,29.0,28.248058241469764,2.0
balneola_vulgaris,27.0,27.08939859763989,3.0
streptomyces_viridosporus,28.0,27.998206006143107,3.0
caenibacillus_caldisaponilyticus,55.0,51.986094582548745,1.0
desulfovibrio_vulgaris,34.0,34.432322348396895,2.0
actinoalloteichus_spitiensis,30.0,29.99578121698763,3.0
nitratifractor_salsuginis,59.0,51.13563555561406,0.0
cladophialophora_carrionii,25.0,24.580051897526708,4.0
aspergillus_brasiliensis,26.0,25.21820145153889,3.0
herbaspirillum_rhizosphaerae,27.0,28.483381869060352,4.0
tepidiphilus_thermophilus,50.0,57.4597612002633,1.0
rhodobacter_johrii,28.0,28.368236755461357,0.0
hoeflea_phototrophica,30.0,25.391671191071897,2.0
alicycliphilus_denitrificans,29.0,30.95713985832917,3.0
dothistroma_septosporum,20.0,22.311073756381738,2.0
denitrovibrio_acetiphilus,30.0,26.892066351841013,1.0
azovibrio_restrictus,28.0,31.418661801297283,3.0
frateuria_aurantia,27.0,29.40113500924103,3.0
vibrio_owensii,27.0,29.348807168148756,1.0
herbaspirillum_huttiense,28.0,29.199864299057264,2.0
methylophaga_frappieri,29.0,28.472317406179158,4.0
providencia_burhodogranariea,31.0,30.86135374563745,4.0
halanaerobium_congolense,42.0,38.145528215278176,0.0
acinetobacter_indicus,31.0,30.617753275404183,0.0
streptobacillus_moniliformis,37.0,33.88433060280449,4.0
novosphingobium_aromaticivorans,30.0,28.93928059738966,2.0
pseudoalteromonas_issachenkonii,23.0,25.26267355623103,3.0
parascardovia_denticolens,37.0,36.03175468935417,3.0
tetrasphaera_jenkinsii,25.0,27.28943372614129,2.0
corynebacterium_minutissimum,35.0,35.119360675138694,3.0
haematospirillum_jordaniae,37.0,33.24589237464649,4.0
peptoniphilus_lacrimalis,37.0,38.46207902308838,3.0
dialister_invisus,36.0,36.937728752132536,0.0
actinomadura_rubrobrunea,55.0,38.329708475012794,1.0
nocardiopsis_halophila,28.0,27.46922817724112,3.0
histoplasma_capsulatum,29.0,27.799182170781123,1.0
weissella_confusa,31.0,33.53282669774539,0.0
desulfotomaculum_thermosubterraneum,60.0,63.62158637372296,3.0
mycobacterium_haemophilum,31.0,36.4730293653643,2.0
pediococcus_cellicola,34.0,33.256383080716304,4.0
amycolatopsis_thermoflava,45.0,28.480290954017107,0.0
microbacterium_arborescens,30.0,29.808507638722467,4.0
kluyvera_intermedia,31.0,31.98465721092716,3.0
bacillus_circulans,32.0,30.2694516641069,2.0
streptomyces_griseoflavus,27.0,28.01131756722528,3.0
pseudoalteromonas_piscicida,28.0,28.523505671809936,0.0
nocardia_farcinica,32.0,30.819405719103436,3.0
sulfurimonas_denitrificans,24.0,22.80976021886279,4.0
streptomyces_galbus,27.0,27.37050559410222,4.0
paenibacillus_odorifer,30.0,28.215367906419445,4.0
blastomyces_dermatitidis,31.0,26.499378240080624,0.0
vagococcus_penaei,30.0,32.36526069634107,3.0
legionella_hackeliae,37.0,36.65307266263078,2.0
nocardia_carnea,29.0,29.93565480563968,2.0
capronia_coronata,20.0,25.067303844387794,3.0
desulfurococcus_kamchatkensis,82.0,84.2300782392926,4.0
lactobacillus_jensenii,37.0,35.028453016705505,2.0
flavobacterium_filum,27.0,27.08332701511742,0.0
rhizobium_tibeticum,28.0,29.071511898950433,3.0
pichia_kudriavzevii,24.0,24.82121187728709,0.0
methylophaga_thiooxydans,28.0,25.556444935441093,0.0
staphylococcus_vitulinus,37.0,36.39101510121162,1.0
penicillium_steckii,24.0,24.229123500537728,4.0
nautilia_profundicola,43.0,53.98718844103027,4.0
methanocella_paludicola,37.0,44.22544711529641,1.0
mycoplasma_gallinarum,37.0,36.04753027561085,2.0
nosocomiicoccus_ampullae,32.0,36.56655535074489,3.0
acinetobacter_soli,29.0,31.015246970323858,2.0
malassezia_globosa,30.0,29.919413397035996,1.0
lactobacillus_malefermentans,29.0,30.25588491123917,3.0
thiocystis_violascens,25.0,23.96067146830132,1.0
slackia_piriformis,37.0,39.695388136093,1.0
komagataeibacter_europaeus,30.0,28.735733496338106,0.0
bacillus_muralis,30.0,27.38333537178806,4.0
lachnoanaerobaculum_saburreum,37.0,36.0840300660575,4.0
mycoplasma_glycophilum,37.0,37.25633519767813,4.0
selenomonas_bovis,37.0,39.62883988818698,0.0
persephonella_marina,70.0,67.19649433715428,1.0
leptotrichia_shahii,37.0,37.80763018284815,1.0
methanothermobacter_marburgensis,60.0,61.35314137426322,0.0
prevotella_saccharolytica,37.0,35.93811544569006,0.0
collimonas_arenae,28.0,27.218770394555868,3.0
thermus_islandicus,65.0,69.00278000626537,1.0
colletotrichum_nymphaeae,20.0,23.758336549456978,4.0
chryseolinea_serpens,25.0,24.67471300763437,3.0
corynebacterium_efficiens,37.0,29.906330359941563,1.0
haloferax_prahovense,37.0,36.082619209409344,0.0
bacillus_pseudofirmus,31.0,29.68802536313641,4.0
neisseria_elongata,33.0,37.62482623317679,1.0
flavobacterium_piscis,30.0,24.01397357996317,1.0
methanoplanus_limicola,34.0,39.05253688179813,3.0
ornithinibacillus_californiensis,30.0,31.904436302768843,3.0
clostridium_septicum,37.0,36.0405110578554,4.0
cycloclasticus_pugetii,20.0,20.911956113540786,0.0
listeria_seeligeri,36.0,33.99504195766973,0.0
rhynchosporium_secalis,15.0,21.48428309041884,4.0
vibrio_atlanticus,25.0,24.536689329600517,4.0
enhygromyxa_salina,30.0,30.380630432806555,0.0
chryseobacterium_piperi,29.0,30.331599824560588,1.0
alicyclobacillus_ferrooxydans,30.0,39.67102795247018,4.0
longispora_albida,28.0,28.13758056583158,2.0
desulfitobacterium_hafniense,34.0,32.1466777825334,0.0
halanaerobium_saccharolyticum,37.0,35.11686315084472,3.0
streptomyces_decoyicus,29.0,26.416740826846535,0.0
vibrio_quintilis,28.0,29.156699510260193,0.0
aeromicrobium_erythreum,33.0,28.34065612929911,4.0
acinetobacter_johnsonii,29.0,28.12044178622846,1.0
oceanobacillus_caeni,32.0,34.59683828085111,3.0
jannaschia_rubra,25.0,29.336993278731903,2.0
comamonas_composti,28.0,28.47290851606506,4.0
sphingobium_ummariense,28.0,30.36525849073436,3.0
bacillus_cellulosilyticus,32.0,31.700476000616327,1.0
bacillus_novalis,30.0,31.37157084675694,1.0
photobacterium_sanctipauli,28.0,28.796593618721893,3.0
dokdonia_donghaensis,30.0,23.844362022098288,0.0
kordiimonas_gwangyangensis,36.0,30.501931341869735,2.0
corynebacterium_ulceribovis,37.0,35.49730031048526,2.0
campylobacter_showae,37.0,37.048263211467855,2.0
fretibacterium_fastidiosum,37.0,37.413421805703834,3.0
hydrocarboniphaga_effusa,29.0,25.537876749446088,0.0
carnimonas_nigrificans,30.0,29.720902869539557,3.0
celeribacter_indicus,25.0,30.009425658363156,4.0
lactobacillus_salivarius,37.0,39.0808888489161,4.0
actinomyces_radicidentis,37.0,33.70131258587676,4.0
capnocytophaga_sputigena,37.0,37.279263652717276,2.0
mycobacterium_colombiense,37.0,35.241088976062656,0.0
streptomyces_ipomoeae,27.0,28.029849872197946,3.0
actinomyces_suimastitidis,37.0,36.171501848279945,3.0
lactobacillus_shenzhenensis,37.0,36.19322458154069,4.0
xanthomonas_pisi,27.0,28.53254342431754,2.0
methylobacter_tundripaludum,22.0,23.75070664579421,4.0
rhizobium_sullae,28.0,28.969401406542406,4.0
bacillus_marmarensis,30.0,29.640505669384492,2.0
paenibacillus_borealis,30.0,29.241374497230183,4.0
mycobacterium_wolinskyi,32.0,35.49752425215405,4.0
aliivibrio_logei,18.0,23.294691088006907,1.0
nevskia_soli,28.0,25.683711559863703,2.0
bacillus_boroniphilus,30.0,31.150232492822532,1.0
clostridium_cellulolyticum,35.0,36.40783350887499,2.0
castellaniella_caeni,28.0,32.007054621106285,0.0
mycobacterium_kyorinense,37.0,36.80084963295463,4.0
paraburkholderia_mimosarum,30.0,29.501199418919576,3.0
timonella_senegalensis,30.0,27.259194346247035,4.0
haemophilus_haemolyticus,37.0,36.938818615049016,1.0
bdellovibrio_bacteriovorus,28.0,26.17594342485808,3.0
psychrobacter_phenylpyruvicus,31.0,29.534084776012413,2.0
herbaspirillum_frisingense,35.0,29.43731029133992,3.0
lactobacillus_nasuensis,30.0,34.31096734241574,0.0
achromobacter_insolitus,33.0,30.8528320738477,2.0
spiroplasma_diminutum,28.0,31.716462206909302,2.0
bordetella_bronchiseptica,36.0,34.67288594143401,2.0
janibacter_limosus,29.0,28.174484689813326,3.0
yersinia_frederiksenii,30.0,28.685967771617808,4.0
enhydrobacter_aerosaccus,37.0,31.587559781160984,1.0
ceraceosorus_bombacis,24.0,21.791011695188427,3.0
flavobacterium_columnare,23.0,29.11148522588409,2.0
thermogemmatispora_carboxidivorans,55.0,58.82608720848923,4.0
bartonella_florencae,37.0,36.305236244282014,0.0
helicobacter_acinonychis,37.0,34.5330147221653,2.0
jeotgalibacillus_soli,30.0,28.54734607577083,0.0
lactobacillus_ruminis,35.0,42.673850856674875,3.0
xenorhabdus_hominickii,30.0,25.82287828691241,4.0
roseburia_inulinivorans,37.0,36.91996278018196,3.0
thioalkalimicrobium_cyclicum,28.0,22.75167851878347,4.0
bacillus_subtilis,30.0,31.4707967290247,0.0
pseudomonas_fluorescens,28.0,27.242141937153043,1.0
centipeda_periodontii,37.0,35.85562184787081,1.0
pseudomonas_bauzanensis,28.0,29.476748906197678,3.0
kaistia_adipata,31.0,29.235441253350004,1.0
riemerella_anatipestifer,37.0,34.35544648932034,1.0
bacillus_simplex,29.0,27.942188708921364,0.0
chryseobacterium_jeonii,16.0,24.94411171029614,3.0
streptomyces_cyanoalbus,27.0,26.915054491144637,1.0
vulcanisaeta_souniana,85.0,76.90679415374413,2.0
streptococcus_phocae,35.0,34.674218948315435,0.0
gemmobacter_megaterium,28.0,28.568455478022084,1.0
hyphomonas_jannaschiana,30.0,27.695692541647702,3.0
lactobacillus_sharpeae,30.0,33.33415634888873,3.0
nocardia_brasiliensis,33.0,28.883599141807736,0.0
lactobacillus_algidus,18.0,26.545742996135253,2.0
penicillium_oxalicum,24.0,24.916588216242708,3.0
jannaschia_aquimarina,30.0,27.474672421100493,1.0
alloscardovia_omnicolens,37.0,35.35290380137775,2.0
daedalea_quercina,24.0,24.54023021083566,1.0
coprococcus_catus,37.0,36.72752842804771,0.0
chloroflexus_aurantiacus,49.0,51.99466335995235,2.0
lactobacillus_hordei,30.0,30.289095382453425,3.0
acinetobacter_bouvetii,30.0,30.201030549474698,3.0
enterobacter_hormaechei,32.0,32.84345570527262,1.0
sclerotinia_borealis,8.0,23.04165308350095,3.0
pirellula_staleyi,26.0,23.53001756530979,3.0
azospira_oryzae,33.0,30.801135091697446,4.0
helicobacter_heilmannii,37.0,40.221201706556606,0.0
trichophyton_equinum,27.0,26.83528043186871,4.0
paenibacillus_pectinilyticus,30.0,29.26723183776219,1.0
anoxybacillus_thermarum,55.0,52.233348890027344,3.0
nocardia_vermiculata,29.0,29.127724145791724,1.0
mycobacterium_chlorophenolicum,31.0,32.676028027754185,0.0
lactobacillus_kalixensis,37.0,38.00918310689114,2.0
mycobacterium_rhodesiae,36.0,35.35471536771418,1.0
corynebacterium_appendicis,37.0,37.4813048887071,0.0
porphyromonas_asaccharolytica,37.0,36.396438664160925,2.0
paenibacillus_antarcticus,19.0,25.128993740458462,1.0
vibrio_ruber,27.0,28.324140805173602,2.0
deinococcus_grandis,26.0,30.41966737015977,3.0
streptomyces_noursei,27.0,27.21882513876352,2.0
campylobacter_hyointestinalis,37.0,36.53052395438072,2.0
lactobacillus_amylovorus,37.0,38.708405911867324,3.0
coccidioides_posadasii,24.0,26.943467042756414,1.0
staphylococcus_auricularis,37.0,37.02271340096118,0.0
demequina_sediminicola,28.0,29.553322760456744,1.0
