,true,pred,kfold
allobaculum_stercoricanis,37.0,36.28254699707031,3.0
shewanella_algae,28.0,26.937637329101562,1.0
bifidobacterium_saguini,37.0,32.95604705810547,4.0
ochrobactrum_rhizosphaerae,28.0,29.735519409179688,1.0
sphingomonas_haloaromaticamans,30.0,29.627721786499023,0.0
kurthia_massiliensis,28.0,35.01960754394531,0.0
bacillus_ligniniphilus,30.0,34.9578857421875,1.0
planococcus_maritimus,29.0,29.337039947509766,2.0
collinsella_aerofaciens,37.0,35.531715393066406,3.0
planococcus_halocryophilus,18.0,26.960609436035156,2.0
streptococcus_ictaluri,30.0,36.30315399169922,2.0
enterococcus_asini,37.0,36.213130950927734,1.0
palaeococcus_pacificus,80.0,81.75189208984375,1.0
clostridium_baratii,37.0,35.78255844116211,1.0
paraglaciecola_chathamensis,18.0,24.952444076538086,4.0
shewanella_oneidensis,30.0,26.516199111938477,4.0
lactococcus_lactis,31.0,28.972314834594727,1.0
shewanella_baltica,25.0,24.17436408996582,1.0
methylotenera_versatilis,25.0,25.21253776550293,4.0
eubacterium_sulci,37.0,35.554466247558594,1.0
glaciecola_pallidula,13.0,20.60498046875,4.0
paenibacillus_lactis,30.0,31.21900749206543,0.0
nocardia_caishijiensis,29.0,28.716333389282227,2.0
balneola_vulgaris,27.0,26.988388061523438,3.0
streptomyces_viridosporus,28.0,28.937517166137695,3.0
caenibacillus_caldisaponilyticus,55.0,45.082271575927734,1.0
desulfovibrio_vulgaris,34.0,33.72029113769531,2.0
actinoalloteichus_spitiensis,30.0,29.289203643798828,3.0
nitratifractor_salsuginis,59.0,39.24205017089844,0.0
cladophialophora_carrionii,25.0,25.106626510620117,4.0
aspergillus_brasiliensis,26.0,24.9672908782959,3.0
herbaspirillum_rhizosphaerae,27.0,28.373950958251953,4.0
tepidiphilus_thermophilus,50.0,51.389888763427734,1.0
rhodobacter_johrii,28.0,31.55315589904785,0.0
hoeflea_phototrophica,30.0,27.189165115356445,2.0
alicycliphilus_denitrificans,29.0,30.39521598815918,3.0
dothistroma_septosporum,20.0,24.865571975708008,2.0
