,true,pred,kfold
allobaculum_stercoricanis,37.0,36.610525520412494,3.0
shewanella_algae,28.0,23.397832522915472,1.0
bifidobacterium_saguini,37.0,35.50305809002154,4.0
ochrobactrum_rhizosphaerae,28.0,30.781428007059155,1.0
sphingomonas_haloaromaticamans,30.0,29.414581245631652,0.0
kurthia_massiliensis,28.0,31.322497861153476,0.0
bacillus_ligniniphilus,30.0,33.153523943728686,1.0
planococcus_maritimus,29.0,28.085018458745388,2.0
collinsella_aerofaciens,37.0,34.47811375923226,3.0
planococcus_halocryophilus,18.0,27.273526174754778,2.0
streptococcus_ictaluri,30.0,31.992110665150527,2.0
enterococcus_asini,37.0,30.060126158532423,1.0
palaeococcus_pacificus,80.0,76.37309784808556,1.0
clostridium_baratii,37.0,38.790578943598796,1.0
paraglaciecola_chathamensis,18.0,25.14507376070455,4.0
shewanella_oneidensis,30.0,26.369543775122825,4.0
lactococcus_lactis,31.0,31.597854067771046,1.0
shewanella_baltica,25.0,22.622673837721095,1.0
methylotenera_versatilis,25.0,21.54241809306535,4.0
eubacterium_sulci,37.0,38.79343313875971,1.0
glaciecola_pallidula,13.0,19.539086042569572,4.0
paenibacillus_lactis,30.0,32.761618354867245,0.0
nocardia_caishijiensis,29.0,29.34461934702714,2.0
balneola_vulgaris,27.0,24.414989734063393,3.0
streptomyces_viridosporus,28.0,28.92631906348631,3.0
caenibacillus_caldisaponilyticus,55.0,49.0916483451602,1.0
desulfovibrio_vulgaris,34.0,33.0078883198905,2.0
actinoalloteichus_spitiensis,30.0,33.35278354303749,3.0
nitratifractor_salsuginis,59.0,55.04149491732531,0.0
cladophialophora_carrionii,25.0,24.484612508252372,4.0
aspergillus_brasiliensis,26.0,27.432579551814175,3.0
herbaspirillum_rhizosphaerae,27.0,26.064594219478227,4.0
tepidiphilus_thermophilus,50.0,51.46479219035055,1.0
rhodobacter_johrii,28.0,29.18481023176131,0.0
hoeflea_phototrophica,30.0,26.64611407707263,2.0
alicycliphilus_denitrificans,29.0,31.594430321139335,3.0
dothistroma_septosporum,20.0,17.50886146926222,2.0
denitrovibrio_acetiphilus,30.0,29.898689683171924,1.0
azovibrio_restrictus,28.0,29.173029930721693,3.0
frateuria_aurantia,27.0,26.2396296152205,3.0
vibrio_owensii,27.0,28.438710684844125,1.0
herbaspirillum_huttiense,28.0,28.38676206976146,2.0
methylophaga_frappieri,29.0,25.21564389813548,4.0
providencia_burhodogranariea,31.0,28.78781177679594,4.0
halanaerobium_congolense,42.0,36.26005824973466,0.0
acinetobacter_indicus,31.0,31.61278928499958,0.0
streptobacillus_moniliformis,37.0,34.33277940391828,4.0
