,true,pred,kfold
allobaculum_stercoricanis,37.0,36.24425365973515,3.0
shewanella_algae,28.0,23.414898985099544,1.0
bifidobacterium_saguini,37.0,35.663028301932975,4.0
ochrobactrum_rhizosphaerae,28.0,30.93670397960697,1.0
sphingomonas_haloaromaticamans,30.0,28.781208857224634,0.0
kurthia_massiliensis,28.0,31.409246392528836,0.0
bacillus_ligniniphilus,30.0,33.62302208062392,1.0
planococcus_maritimus,29.0,28.92641288078838,2.0
collinsella_aerofaciens,37.0,34.355267878922874,3.0
planococcus_halocryophilus,18.0,27.79355422966884,2.0
streptococcus_ictaluri,30.0,32.51586174817427,2.0
enterococcus_asini,37.0,30.615520532824803,1.0
palaeococcus_pacificus,80.0,76.83663607846545,1.0
clostridium_baratii,37.0,38.503382854656195,1.0
paraglaciecola_chathamensis,18.0,25.263020731948288,4.0
shewanella_oneidensis,30.0,26.803732090035652,4.0
lactococcus_lactis,31.0,31.18469191978255,1.0
shewanella_baltica,25.0,23.05254099072376,1.0
methylotenera_versatilis,25.0,21.382445650852233,4.0
eubacterium_sulci,37.0,39.19865973822006,1.0
glaciecola_pallidula,13.0,20.393651346527747,4.0
paenibacillus_lactis,30.0,32.77446049403642,0.0
nocardia_caishijiensis,29.0,29.023486966380666,2.0
balneola_vulgaris,27.0,24.32102577261113,3.0
streptomyces_viridosporus,28.0,28.720828405325147,3.0
caenibacillus_caldisaponilyticus,55.0,47.84698151567226,1.0
desulfovibrio_vulgaris,34.0,32.145088730323494,2.0
actinoalloteichus_spitiensis,30.0,34.08586041135852,3.0
nitratifractor_salsuginis,59.0,54.34265252042519,0.0
cladophialophora_carrionii,25.0,24.503391270989106,4.0
aspergillus_brasiliensis,26.0,27.43040800753557,3.0
herbaspirillum_rhizosphaerae,27.0,26.167089088927927,4.0
tepidiphilus_thermophilus,50.0,50.33637327694069,1.0
rhodobacter_johrii,28.0,29.885537781813717,0.0
hoeflea_phototrophica,30.0,25.94154505988546,2.0
alicycliphilus_denitrificans,29.0,31.581457050664103,3.0
dothistroma_septosporum,20.0,18.31663576099868,2.0
denitrovibrio_acetiphilus,30.0,30.197071484737865,1.0
azovibrio_restrictus,28.0,29.156349415265492,3.0
frateuria_aurantia,27.0,26.58244137701234,3.0
vibrio_owensii,27.0,28.60426011902723,1.0
herbaspirillum_huttiense,28.0,27.901891577878878,2.0
methylophaga_frappieri,29.0,25.129846315943443,4.0
providencia_burhodogranariea,31.0,28.43861809925754,4.0
halanaerobium_congolense,42.0,36.37267999489348,0.0
acinetobacter_indicus,31.0,31.205375639225487,0.0
streptobacillus_moniliformis,37.0,34.76557512572902,4.0
novosphingobium_aromaticivorans,30.0,31.661452277583425,2.0
pseudoalteromonas_issachenkonii,23.0,23.43735113326389,3.0
parascardovia_denticolens,37.0,38.9695079002125,3.0
tetrasphaera_jenkinsii,25.0,26.964658564452506,2.0
corynebacterium_minutissimum,35.0,33.93714837493533,3.0
haematospirillum_jordaniae,37.0,32.232021441216446,4.0
peptoniphilus_lacrimalis,37.0,40.5644920316035,3.0
dialister_invisus,36.0,38.38107357913252,0.0
actinomadura_rubrobrunea,55.0,41.06636818822635,1.0
nocardiopsis_halophila,28.0,32.17491206313933,3.0
histoplasma_capsulatum,29.0,26.359912115122867,1.0
weissella_confusa,31.0,31.89067188060671,0.0
desulfotomaculum_thermosubterraneum,60.0,57.217008348395,3.0
mycobacterium_haemophilum,31.0,34.6928962036432,2.0
pediococcus_cellicola,34.0,32.786568476870805,4.0
amycolatopsis_thermoflava,45.0,33.046065173995196,0.0
microbacterium_arborescens,30.0,31.12916129879695,4.0
kluyvera_intermedia,31.0,30.932429944930657,3.0
bacillus_circulans,32.0,30.817078332957948,2.0
streptomyces_griseoflavus,27.0,27.673369317424235,3.0
pseudoalteromonas_piscicida,28.0,26.163280913177886,0.0
nocardia_farcinica,32.0,33.63439263508642,3.0
sulfurimonas_denitrificans,24.0,31.000019297857154,4.0
streptomyces_galbus,27.0,27.102570670118006,4.0
paenibacillus_odorifer,30.0,27.2779146717034,4.0
blastomyces_dermatitidis,31.0,24.1680453772057,0.0
vagococcus_penaei,30.0,32.339416757951916,3.0
legionella_hackeliae,37.0,33.33116173185424,2.0
nocardia_carnea,29.0,27.56685235788663,2.0
capronia_coronata,20.0,24.884462418633312,3.0
desulfurococcus_kamchatkensis,82.0,86.16575834397175,4.0
lactobacillus_jensenii,37.0,33.39043004801478,2.0
flavobacterium_filum,27.0,27.76877338123725,0.0
rhizobium_tibeticum,28.0,28.175548191845742,3.0
pichia_kudriavzevii,24.0,26.25294137487032,0.0
methylophaga_thiooxydans,28.0,25.95806829212245,0.0
staphylococcus_vitulinus,37.0,32.783507810921186,1.0
penicillium_steckii,24.0,21.401666145053397,4.0
nautilia_profundicola,43.0,55.28284525880716,4.0
methanocella_paludicola,37.0,41.09765446544591,1.0
mycoplasma_gallinarum,37.0,32.76443297910721,2.0
nosocomiicoccus_ampullae,32.0,34.50277425952706,3.0
acinetobacter_soli,29.0,30.11654234188619,2.0
malassezia_globosa,30.0,25.80700818166143,1.0
lactobacillus_malefermentans,29.0,30.346241366960257,3.0
thiocystis_violascens,25.0,23.793505152759806,1.0
slackia_piriformis,37.0,41.7853445586299,1.0
komagataeibacter_europaeus,30.0,27.4698993004717,0.0
bacillus_muralis,30.0,26.45929538231778,4.0
lachnoanaerobaculum_saburreum,37.0,36.55900948831116,4.0
mycoplasma_glycophilum,37.0,39.477037701683045,4.0
selenomonas_bovis,37.0,39.57241131962403,0.0
persephonella_marina,70.0,69.43043016339126,1.0
leptotrichia_shahii,37.0,40.908119579796875,1.0
methanothermobacter_marburgensis,60.0,56.39907211322415,0.0
prevotella_saccharolytica,37.0,34.655581173670996,0.0
collimonas_arenae,28.0,27.52154240396039,3.0
thermus_islandicus,65.0,72.37977035219544,1.0
colletotrichum_nymphaeae,20.0,23.647545140586587,4.0
chryseolinea_serpens,25.0,28.242763702423538,3.0
corynebacterium_efficiens,37.0,30.904433809001137,1.0
haloferax_prahovense,37.0,37.02263938901648,0.0
bacillus_pseudofirmus,31.0,31.842928550176858,4.0
neisseria_elongata,33.0,35.33748138350497,1.0
flavobacterium_piscis,30.0,22.796275473988523,1.0
methanoplanus_limicola,34.0,39.310212339327045,3.0
ornithinibacillus_californiensis,30.0,38.10528629527915,3.0
clostridium_septicum,37.0,37.90225204538515,4.0
cycloclasticus_pugetii,20.0,24.155223834246357,0.0
listeria_seeligeri,36.0,29.212513439209186,0.0
rhynchosporium_secalis,15.0,20.44061452180243,4.0
vibrio_atlanticus,25.0,23.236117470015188,4.0
enhygromyxa_salina,30.0,29.194839096428797,0.0
chryseobacterium_piperi,29.0,28.290066083169172,1.0
alicyclobacillus_ferrooxydans,30.0,36.96718580642372,4.0
longispora_albida,28.0,26.988434614067188,2.0
desulfitobacterium_hafniense,34.0,37.46486626264086,0.0
halanaerobium_saccharolyticum,37.0,34.24426925996512,3.0
streptomyces_decoyicus,29.0,26.45126478322814,0.0
vibrio_quintilis,28.0,30.48137079887803,0.0
aeromicrobium_erythreum,33.0,28.0455156352358,4.0
acinetobacter_johnsonii,29.0,28.364779880519464,1.0
oceanobacillus_caeni,32.0,36.30820039432608,3.0
jannaschia_rubra,25.0,27.407922655159467,2.0
comamonas_composti,28.0,27.256931890207397,4.0
sphingobium_ummariense,28.0,30.60982596029674,3.0
bacillus_cellulosilyticus,32.0,33.52187199528677,1.0
bacillus_novalis,30.0,32.38287508412736,1.0
photobacterium_sanctipauli,28.0,26.283925805968153,3.0
dokdonia_donghaensis,30.0,24.68788666326199,0.0
kordiimonas_gwangyangensis,36.0,27.50595050366973,2.0
