,true,pred,kfold
allobaculum_stercoricanis,37.0,36.12260782670967,3.0
shewanella_algae,28.0,23.986171202332606,1.0
bifidobacterium_saguini,37.0,35.07180909648194,4.0
ochrobactrum_rhizosphaerae,28.0,30.473352938565423,1.0
sphingomonas_haloaromaticamans,30.0,29.440663983863125,0.0
kurthia_massiliensis,28.0,30.501715725943207,0.0
bacillus_ligniniphilus,30.0,32.509127349155094,1.0
planococcus_maritimus,29.0,27.26016742216973,2.0
collinsella_aerofaciens,37.0,34.15682270338041,3.0
planococcus_halocryophilus,18.0,26.50833418616228,2.0
streptococcus_ictaluri,30.0,31.29152337419324,2.0
enterococcus_asini,37.0,29.719711327445438,1.0
palaeococcus_pacificus,80.0,75.67478443910133,1.0
clostridium_baratii,37.0,39.22496852327286,1.0
paraglaciecola_chathamensis,18.0,24.88257272793796,4.0
shewanella_oneidensis,30.0,25.821864149807396,4.0
lactococcus_lactis,31.0,31.308684290227163,1.0
shewanella_baltica,25.0,22.791574845839182,1.0
methylotenera_versatilis,25.0,21.712167061771368,4.0
eubacterium_sulci,37.0,37.41510580020073,1.0
glaciecola_pallidula,13.0,19.30624580515846,4.0
paenibacillus_lactis,30.0,33.13824678512364,0.0
nocardia_caishijiensis,29.0,30.06879297434314,2.0
balneola_vulgaris,27.0,23.777672772419514,3.0
streptomyces_viridosporus,28.0,28.926683706210035,3.0
caenibacillus_caldisaponilyticus,55.0,49.16263270810154,1.0
desulfovibrio_vulgaris,34.0,34.23787323061638,2.0
actinoalloteichus_spitiensis,30.0,32.30836450277598,3.0
nitratifractor_salsuginis,59.0,54.891802115988824,0.0
cladophialophora_carrionii,25.0,24.58792065065815,4.0
aspergillus_brasiliensis,26.0,27.33300940975594,3.0
herbaspirillum_rhizosphaerae,27.0,26.749995074631105,4.0
tepidiphilus_thermophilus,50.0,53.57528288428258,1.0
rhodobacter_johrii,28.0,28.994751206405766,0.0
hoeflea_phototrophica,30.0,27.594267194919613,2.0
alicycliphilus_denitrificans,29.0,31.405427780621423,3.0
dothistroma_septosporum,20.0,16.73216038275712,2.0
denitrovibrio_acetiphilus,30.0,30.375138029946093,1.0
azovibrio_restrictus,28.0,29.059597340212534,3.0
frateuria_aurantia,27.0,26.93630709506737,3.0
vibrio_owensii,27.0,28.33613753397016,1.0
herbaspirillum_huttiense,28.0,29.421579557115713,2.0
methylophaga_frappieri,29.0,25.263676611974198,4.0
providencia_burhodogranariea,31.0,29.596871552233118,4.0
halanaerobium_congolense,42.0,36.40475526048185,0.0
acinetobacter_indicus,31.0,31.825062776359996,0.0
streptobacillus_moniliformis,37.0,32.935366700840696,4.0
novosphingobium_aromaticivorans,30.0,31.4721847182714,2.0
pseudoalteromonas_issachenkonii,23.0,22.55741004030066,3.0
parascardovia_denticolens,37.0,37.40927698465143,3.0
tetrasphaera_jenkinsii,25.0,29.186344438802582,2.0
corynebacterium_minutissimum,35.0,34.56967550060955,3.0
haematospirillum_jordaniae,37.0,34.77857802045412,4.0
peptoniphilus_lacrimalis,37.0,41.28266074546244,3.0
dialister_invisus,36.0,39.37373959097362,0.0
actinomadura_rubrobrunea,55.0,41.83885688494438,1.0
nocardiopsis_halophila,28.0,30.899516638030086,3.0
histoplasma_capsulatum,29.0,25.450766379015256,1.0
weissella_confusa,31.0,30.334890011438794,0.0
desulfotomaculum_thermosubterraneum,60.0,57.997036819562204,3.0
mycobacterium_haemophilum,31.0,35.2311364259741,2.0
pediococcus_cellicola,34.0,30.84525363638574,4.0
amycolatopsis_thermoflava,45.0,33.422892333595776,0.0
microbacterium_arborescens,30.0,30.46834346048726,4.0
kluyvera_intermedia,31.0,31.567703927602302,3.0
bacillus_circulans,32.0,29.59557806194224,2.0
streptomyces_griseoflavus,27.0,27.594860009291786,3.0
pseudoalteromonas_piscicida,28.0,26.1802060630822,0.0
nocardia_farcinica,32.0,33.96428406684693,3.0
sulfurimonas_denitrificans,24.0,30.538954722452836,4.0
streptomyces_galbus,27.0,25.77995038003247,4.0
paenibacillus_odorifer,30.0,27.018500282143577,4.0
blastomyces_dermatitidis,31.0,24.151929260225423,0.0
vagococcus_penaei,30.0,33.92641250452406,3.0
legionella_hackeliae,37.0,33.51114174687398,2.0
nocardia_carnea,29.0,28.11013935908086,2.0
capronia_coronata,20.0,24.795542502541682,3.0
desulfurococcus_kamchatkensis,82.0,87.22685651268704,4.0
lactobacillus_jensenii,37.0,30.52735480213592,2.0
flavobacterium_filum,27.0,27.816078144373783,0.0
rhizobium_tibeticum,28.0,28.435591893924048,3.0
pichia_kudriavzevii,24.0,27.843454249550867,0.0
methylophaga_thiooxydans,28.0,25.9325890865802,0.0
staphylococcus_vitulinus,37.0,32.84211618688808,1.0
penicillium_steckii,24.0,21.35073347904767,4.0
nautilia_profundicola,43.0,54.538978528250546,4.0
methanocella_paludicola,37.0,39.82100610245445,1.0
mycoplasma_gallinarum,37.0,33.148909368575815,2.0
nosocomiicoccus_ampullae,32.0,33.77137061144497,3.0
acinetobacter_soli,29.0,29.704983107648268,2.0
malassezia_globosa,30.0,27.770180055756487,1.0
lactobacillus_malefermentans,29.0,29.47185079690308,3.0
thiocystis_violascens,25.0,24.693977688520626,1.0
slackia_piriformis,37.0,41.72115750367638,1.0
komagataeibacter_europaeus,30.0,27.524792498166434,0.0
bacillus_muralis,30.0,25.30262567897799,4.0
lachnoanaerobaculum_saburreum,37.0,36.16805260895577,4.0
mycoplasma_glycophilum,37.0,42.64798389651835,4.0
selenomonas_bovis,37.0,38.86031334422499,0.0
persephonella_marina,70.0,70.51878922967083,1.0
leptotrichia_shahii,37.0,38.24075781547837,1.0
