,true,pred,kfold
allobaculum_stercoricanis,37.0,35.2775,3.0
shewanella_algae,28.0,28.5723,1.0
bifidobacterium_saguini,37.0,35.746,4.0
ochrobactrum_rhizosphaerae,28.0,29.4442,1.0
sphingomonas_haloaromaticamans,30.0,29.249083,0.0
kurthia_massiliensis,28.0,32.050167,0.0
bacillus_ligniniphilus,30.0,33.861949,1.0
planococcus_maritimus,29.0,29.533251000000003,2.0
collinsella_aerofaciens,37.0,36.021833,3.0
planococcus_halocryophilus,18.0,24.890667999999998,2.0
streptococcus_ictaluri,30.0,35.577,2.0
enterococcus_asini,37.0,34.722,1.0
palaeococcus_pacificus,80.0,77.9549,1.0
clostridium_baratii,37.0,36.7905,1.0
paraglaciecola_chathamensis,18.0,25.361386999999976,4.0
shewanella_oneidensis,30.0,27.307833,4.0
lactococcus_lactis,31.0,30.8143,1.0
shewanella_baltica,25.0,26.153483,1.0
methylotenera_versatilis,25.0,26.5975,4.0
eubacterium_sulci,37.0,36.78475,1.0
glaciecola_pallidula,13.0,17.757583,4.0
paenibacillus_lactis,30.0,31.3525,0.0
nocardia_caishijiensis,29.0,29.3285,2.0
balneola_vulgaris,27.0,27.732950000000002,3.0
streptomyces_viridosporus,28.0,27.9885,3.0
caenibacillus_caldisaponilyticus,55.0,46.851288999999994,1.0
desulfovibrio_vulgaris,34.0,33.879332999999995,2.0
actinoalloteichus_spitiensis,30.0,30.727,3.0
nitratifractor_salsuginis,59.0,40.404931999999995,0.0
cladophialophora_carrionii,25.0,24.231,4.0
aspergillus_brasiliensis,26.0,25.633,3.0
herbaspirillum_rhizosphaerae,27.0,29.0106,4.0
tepidiphilus_thermophilus,50.0,45.352983,1.0
rhodobacter_johrii,28.0,29.471331999999997,0.0
hoeflea_phototrophica,30.0,27.801949999999987,2.0
alicycliphilus_denitrificans,29.0,30.669,3.0
dothistroma_septosporum,20.0,23.6486,2.0
denitrovibrio_acetiphilus,30.0,34.706375,1.0
azovibrio_restrictus,28.0,33.04585,3.0
frateuria_aurantia,27.0,29.729599999999998,3.0
vibrio_owensii,27.0,28.863165999999982,1.0
herbaspirillum_huttiense,28.0,29.5299,2.0
methylophaga_frappieri,29.0,28.443832999999998,4.0
providencia_burhodogranariea,31.0,30.389715999999996,4.0
halanaerobium_congolense,42.0,37.52725,0.0
acinetobacter_indicus,31.0,29.72825,0.0
streptobacillus_moniliformis,37.0,36.63775,4.0
novosphingobium_aromaticivorans,30.0,28.579133,2.0
pseudoalteromonas_issachenkonii,23.0,25.619935000000005,3.0
parascardovia_denticolens,37.0,32.88038699999999,3.0
tetrasphaera_jenkinsii,25.0,28.931082999999997,2.0
corynebacterium_minutissimum,35.0,35.9925,3.0
haematospirillum_jordaniae,37.0,30.176,4.0
peptoniphilus_lacrimalis,37.0,36.26025,3.0
dialister_invisus,36.0,36.110425000000006,0.0
actinomadura_rubrobrunea,55.0,34.85825,1.0
nocardiopsis_halophila,28.0,29.322999,3.0
histoplasma_capsulatum,29.0,30.124,1.0
weissella_confusa,31.0,30.088686000000024,0.0
desulfotomaculum_thermosubterraneum,60.0,58.35732899999999,3.0
mycobacterium_haemophilum,31.0,35.4935,2.0
pediococcus_cellicola,34.0,32.34,4.0
amycolatopsis_thermoflava,45.0,28.4905,0.0
microbacterium_arborescens,30.0,29.993833,4.0
kluyvera_intermedia,31.0,32.366167000000004,3.0
bacillus_circulans,32.0,30.8745,2.0
streptomyces_griseoflavus,27.0,27.748,3.0
pseudoalteromonas_piscicida,28.0,27.762776999999996,0.0
nocardia_farcinica,32.0,30.674349999999997,3.0
sulfurimonas_denitrificans,24.0,27.85725,4.0
streptomyces_galbus,27.0,27.6705,4.0
paenibacillus_odorifer,30.0,29.9168,4.0
blastomyces_dermatitidis,31.0,26.3705,0.0
vagococcus_penaei,30.0,33.05996700000001,3.0
legionella_hackeliae,37.0,34.369062,2.0
nocardia_carnea,29.0,30.6015,2.0
capronia_coronata,20.0,24.861,3.0
desulfurococcus_kamchatkensis,82.0,84.6675,4.0
lactobacillus_jensenii,37.0,34.309,2.0
flavobacterium_filum,27.0,25.98375,0.0
rhizobium_tibeticum,28.0,28.991999999999983,3.0
pichia_kudriavzevii,24.0,24.898,0.0
methylophaga_thiooxydans,28.0,29.429333,0.0
staphylococcus_vitulinus,37.0,35.24975,1.0
penicillium_steckii,24.0,24.3655,4.0
nautilia_profundicola,43.0,46.77528299999999,4.0
methanocella_paludicola,37.0,43.39325,1.0
mycoplasma_gallinarum,37.0,35.5,2.0
nosocomiicoccus_ampullae,32.0,33.751,3.0
acinetobacter_soli,29.0,30.473124,2.0
malassezia_globosa,30.0,25.699162,1.0
lactobacillus_malefermentans,29.0,30.496268000000004,3.0
thiocystis_violascens,25.0,29.582116000000003,1.0
slackia_piriformis,37.0,37.2547,1.0
komagataeibacter_europaeus,30.0,29.80125,0.0
bacillus_muralis,30.0,30.0595,4.0
lachnoanaerobaculum_saburreum,37.0,37.3515,4.0
mycoplasma_glycophilum,37.0,36.11725,4.0
selenomonas_bovis,37.0,37.622,0.0
persephonella_marina,70.0,59.22948299999995,1.0
leptotrichia_shahii,37.0,39.9201,1.0
methanothermobacter_marburgensis,60.0,50.8535,0.0
prevotella_saccharolytica,37.0,36.393,0.0
collimonas_arenae,28.0,27.704932999999997,3.0
thermus_islandicus,65.0,69.3333000000001,1.0
colletotrichum_nymphaeae,20.0,24.584,4.0
chryseolinea_serpens,25.0,28.160083,3.0
corynebacterium_efficiens,37.0,33.7576,1.0
haloferax_prahovense,37.0,36.788333,0.0
bacillus_pseudofirmus,31.0,30.50275,4.0
neisseria_elongata,33.0,35.387625,1.0
flavobacterium_piscis,30.0,24.92025,1.0
methanoplanus_limicola,34.0,40.507833,3.0
ornithinibacillus_californiensis,30.0,32.496167,3.0
clostridium_septicum,37.0,36.639,4.0
cycloclasticus_pugetii,20.0,24.87423499999999,0.0
listeria_seeligeri,36.0,33.750375,0.0
rhynchosporium_secalis,15.0,23.282,4.0
vibrio_atlanticus,25.0,25.78375,4.0
enhygromyxa_salina,30.0,30.580533000000003,0.0
