,true,pred,kfold
allobaculum_stercoricanis,37.0,39.68773502691867,3.0
shewanella_algae,28.0,27.665259715801948,1.0
bifidobacterium_saguini,37.0,36.79310681189456,4.0
ochrobactrum_rhizosphaerae,28.0,30.76857615917997,1.0
sphingomonas_haloaromaticamans,30.0,29.277866339099837,0.0
kurthia_massiliensis,28.0,30.656773108908652,0.0
bacillus_ligniniphilus,30.0,35.392791473972416,1.0
planococcus_maritimus,29.0,27.532271471311873,2.0
collinsella_aerofaciens,37.0,36.96788896647034,3.0
planococcus_halocryophilus,18.0,25.50690943005986,2.0
streptococcus_ictaluri,30.0,36.34231105489395,2.0
enterococcus_asini,37.0,35.477413944738295,1.0
palaeococcus_pacificus,80.0,76.73363925600322,1.0
clostridium_baratii,37.0,36.86945882765829,1.0
paraglaciecola_chathamensis,18.0,25.342309419747753,4.0
shewanella_oneidensis,30.0,26.870077873708965,4.0
lactococcus_lactis,31.0,33.74402194310498,1.0
shewanella_baltica,25.0,25.08648402052132,1.0
methylotenera_versatilis,25.0,23.397701312271266,4.0
eubacterium_sulci,37.0,36.982934880405196,1.0
glaciecola_pallidula,13.0,15.603263757958665,4.0
paenibacillus_lactis,30.0,31.535300339020647,0.0
nocardia_caishijiensis,29.0,28.68274708617948,2.0
balneola_vulgaris,27.0,27.87788198813019,3.0
streptomyces_viridosporus,28.0,28.211466053728188,3.0
caenibacillus_caldisaponilyticus,55.0,52.5948670357441,1.0
desulfovibrio_vulgaris,34.0,34.37769835980429,2.0
actinoalloteichus_spitiensis,30.0,30.020445456906714,3.0
nitratifractor_salsuginis,59.0,51.83257071889578,0.0
cladophialophora_carrionii,25.0,24.486655260998013,4.0
aspergillus_brasiliensis,26.0,25.037025530232718,3.0
herbaspirillum_rhizosphaerae,27.0,28.438634889501166,4.0
tepidiphilus_thermophilus,50.0,58.074077051735486,1.0
rhodobacter_johrii,28.0,28.44445704898537,0.0
hoeflea_phototrophica,30.0,25.314891288279515,2.0
alicycliphilus_denitrificans,29.0,31.168227901289015,3.0
dothistroma_septosporum,20.0,22.0653339042526,2.0
denitrovibrio_acetiphilus,30.0,27.68147943188313,1.0
azovibrio_restrictus,28.0,31.207339678032017,3.0
frateuria_aurantia,27.0,29.13381821372359,3.0
vibrio_owensii,27.0,29.370940441117558,1.0
herbaspirillum_huttiense,28.0,29.409840800001966,2.0
methylophaga_frappieri,29.0,28.22933888908659,4.0
providencia_burhodogranariea,31.0,31.09220215153267,4.0
halanaerobium_congolense,42.0,38.717930606847446,0.0
acinetobacter_indicus,31.0,30.594820406755638,0.0
streptobacillus_moniliformis,37.0,34.11384933382158,4.0
novosphingobium_aromaticivorans,30.0,28.695750225311333,2.0
pseudoalteromonas_issachenkonii,23.0,25.1173073537951,3.0
parascardovia_denticolens,37.0,36.03873570435195,3.0
tetrasphaera_jenkinsii,25.0,26.77874416422806,2.0
corynebacterium_minutissimum,35.0,35.59665306980922,3.0
haematospirillum_jordaniae,37.0,33.07532176663484,4.0
peptoniphilus_lacrimalis,37.0,38.54435644529232,3.0
dialister_invisus,36.0,37.185404048815435,0.0
actinomadura_rubrobrunea,55.0,38.468071928099825,1.0
nocardiopsis_halophila,28.0,27.38640575723165,3.0
histoplasma_capsulatum,29.0,27.470314368934208,1.0
weissella_confusa,31.0,34.9555930209601,0.0
desulfotomaculum_thermosubterraneum,60.0,63.19843503026308,3.0
mycobacterium_haemophilum,31.0,36.454766865788365,2.0
pediococcus_cellicola,34.0,33.39958379350706,4.0
amycolatopsis_thermoflava,45.0,29.06166858931251,0.0
