,true,pred,kfold
allobaculum_stercoricanis,2.8802569443251165,2.8277342454625414,3.0
shewanella_algae,2.7029619311384745,2.7297336948613253,1.0
bifidobacterium_saguini,2.8802569443251165,2.782137058761941,4.0
ochrobactrum_rhizosphaerae,2.7029619311384745,2.7804341087854003,1.0
sphingomonas_haloaromaticamans,2.747451214691964,2.6956173253828424,0.0
kurthia_massiliensis,2.7029619311384745,2.7670546046529405,0.0
bacillus_ligniniphilus,2.747451214691964,2.766418276594976,1.0
planococcus_maritimus,2.725640163368739,2.7089889892775494,2.0
collinsella_aerofaciens,2.8802569443251165,2.707407685831636,3.0
planococcus_halocryophilus,2.408368122133695,2.6698148103012014,2.0
streptococcus_ictaluri,2.747451214691964,2.8810050957505413,2.0
enterococcus_asini,2.8802569443251165,2.8153880993634193,1.0
palaeococcus_pacificus,3.338508504348076,3.3710075075744226,1.0
clostridium_baratii,2.8802569443251165,2.8929990832209693,1.0
paraglaciecola_chathamensis,2.408368122133695,2.4850207881657282,4.0
shewanella_oneidensis,2.747451214691964,2.697646814724151,4.0
lactococcus_lactis,2.7684555408865696,2.4514846791397042,1.0
shewanella_baltica,2.6290093918341335,2.6792558116897873,1.0
methylotenera_versatilis,2.6290093918341335,2.587586431377042,4.0
eubacterium_sulci,2.8802569443251165,2.9742235386354086,1.0
glaciecola_pallidula,2.180282213165325,2.4850207881657282,4.0
paenibacillus_lactis,2.747451214691964,2.787868228332278,0.0
nocardia_caishijiensis,2.725640163368739,2.716066000495931,2.0
balneola_vulgaris,2.679349161601274,2.5317032347193775,3.0
streptomyces_viridosporus,2.7029619311384745,2.6827305736681186,3.0
caenibacillus_caldisaponilyticus,3.121585007090657,2.733746350812152,1.0
desulfovibrio_vulgaris,2.827147216127841,2.8838234678908985,2.0
actinoalloteichus_spitiensis,2.747451214691964,2.7549491463009366,3.0
nitratifractor_salsuginis,3.1630392644772165,2.8572866470061924,0.0
cladophialophora_carrionii,2.6290093918341335,2.5795957470473425,4.0
aspergillus_brasiliensis,2.654726519011582,2.6105353151465893,3.0
herbaspirillum_rhizosphaerae,2.679349161601274,2.719220116563421,4.0
tepidiphilus_thermophilus,3.0646957603439224,2.9290562539672997,1.0
rhodobacter_johrii,2.7029619311384745,2.746373451306326,0.0
hoeflea_phototrophica,2.747451214691964,2.7004443206747433,2.0
alicycliphilus_denitrificans,2.725640163368739,2.709623375480792,3.0
dothistroma_septosporum,2.48016555688389,2.584768024226655,2.0
denitrovibrio_acetiphilus,2.747451214691964,2.755831328646611,1.0
azovibrio_restrictus,2.7029619311384745,2.7703068489197253,3.0
