,true,pred,kfold
allobaculum_stercoricanis,2.8802569443251165,2.902840472033399,3.0
shewanella_algae,2.7029619311384745,2.5782897091250656,1.0
bifidobacterium_saguini,2.8802569443251165,2.8483569475271553,4.0
ochrobactrum_rhizosphaerae,2.7029619311384745,2.762704969782916,1.0
sphingomonas_haloaromaticamans,2.747451214691964,2.7302288839652706,0.0
kurthia_massiliensis,2.7029619311384745,2.7447764184124406,0.0
bacillus_ligniniphilus,2.747451214691964,2.7889607376784453,1.0
planococcus_maritimus,2.725640163368739,2.6936248897855553,2.0
collinsella_aerofaciens,2.8802569443251165,2.826554102017675,3.0
planococcus_halocryophilus,2.408368122133695,2.663633097454839,2.0
streptococcus_ictaluri,2.747451214691964,2.791600878223502,2.0
enterococcus_asini,2.8802569443251165,2.756362909848037,1.0
palaeococcus_pacificus,3.338508504348076,3.2724976454505414,1.0
clostridium_baratii,2.8802569443251165,2.9041381009173164,1.0
paraglaciecola_chathamensis,2.408368122133695,2.612428987018304,4.0
shewanella_oneidensis,2.747451214691964,2.6213160575579857,4.0
lactococcus_lactis,2.7684555408865696,2.75467084632546,1.0
shewanella_baltica,2.6290093918341335,2.5498156070282443,1.0
methylotenera_versatilis,2.6290093918341335,2.5509887778294633,4.0
eubacterium_sulci,2.8802569443251165,2.9369644681243203,1.0
glaciecola_pallidula,2.180282213165325,2.4830670676972653,4.0
paenibacillus_lactis,2.747451214691964,2.786403204738224,0.0
nocardia_caishijiensis,2.725640163368739,2.7327286746343273,2.0
balneola_vulgaris,2.679349161601274,2.6184370312104286,3.0
streptomyces_viridosporus,2.7029619311384745,2.7170931978641493,3.0
caenibacillus_caldisaponilyticus,3.121585007090657,3.0474380322546986,1.0
desulfovibrio_vulgaris,2.827147216127841,2.7767116035230814,2.0
actinoalloteichus_spitiensis,2.747451214691964,2.817335968490109,3.0
nitratifractor_salsuginis,3.1630392644772165,3.1251749925093995,0.0
cladophialophora_carrionii,2.6290093918341335,2.6234360896620323,4.0
aspergillus_brasiliensis,2.654726519011582,2.6664389821420853,3.0
herbaspirillum_rhizosphaerae,2.679349161601274,2.669574099333229,4.0
