,true,pred,kfold
allobaculum_stercoricanis,2.8802569443251165,2.897521072336901,3.0
shewanella_algae,2.7029619311384745,2.5827988217153495,1.0
bifidobacterium_saguini,2.8802569443251165,2.859454475640604,4.0
ochrobactrum_rhizosphaerae,2.7029619311384745,2.767299701036029,1.0
sphingomonas_haloaromaticamans,2.747451214691964,2.718708437755585,0.0
kurthia_massiliensis,2.7029619311384745,2.742228064702343,0.0
bacillus_ligniniphilus,2.747451214691964,2.7905690368368403,1.0
planococcus_maritimus,2.725640163368739,2.6900620916659954,2.0
collinsella_aerofaciens,2.8802569443251165,2.8186594128743967,3.0
planococcus_halocryophilus,2.408368122133695,2.6633980021544805,2.0
streptococcus_ictaluri,2.747451214691964,2.8058739153513885,2.0
enterococcus_asini,2.8802569443251165,2.765750562076069,1.0
palaeococcus_pacificus,3.338508504348076,3.271167236991605,1.0
clostridium_baratii,2.8802569443251165,2.9194308358682513,1.0
paraglaciecola_chathamensis,2.408368122133695,2.60691168328918,4.0
shewanella_oneidensis,2.747451214691964,2.6154581240098604,4.0
lactococcus_lactis,2.7684555408865696,2.7468255453683925,1.0
shewanella_baltica,2.6290093918341335,2.5565349033207947,1.0
methylotenera_versatilis,2.6290093918341335,2.5496295482283746,4.0
eubacterium_sulci,2.8802569443251165,2.9400277856532706,1.0
glaciecola_pallidula,2.180282213165325,2.4858757473077446,4.0
paenibacillus_lactis,2.747451214691964,2.7941513764117776,0.0
nocardia_caishijiensis,2.725640163368739,2.7323667897774215,2.0
balneola_vulgaris,2.679349161601274,2.605493468545908,3.0
streptomyces_viridosporus,2.7029619311384745,2.7163984573306807,3.0
caenibacillus_caldisaponilyticus,3.121585007090657,3.053628511648266,1.0
desulfovibrio_vulgaris,2.827147216127841,2.768142997967344,2.0
actinoalloteichus_spitiensis,2.747451214691964,2.8254948760013474,3.0
nitratifractor_salsuginis,3.1630392644772165,3.1137360510040772,0.0
cladophialophora_carrionii,2.6290093918341335,2.6211033276309665,4.0
