,true,pred,kfold
allobaculum_stercoricanis,2.8802569443251165,2.9090997333398083,3.0
shewanella_algae,2.7029619311384745,2.5815259974001408,1.0
bifidobacterium_saguini,2.8802569443251165,2.834679198737038,4.0
ochrobactrum_rhizosphaerae,2.7029619311384745,2.754767450676179,1.0
sphingomonas_haloaromaticamans,2.747451214691964,2.731271799262913,0.0
kurthia_massiliensis,2.7029619311384745,2.7101117770961425,0.0
bacillus_ligniniphilus,2.747451214691964,2.7655005250018925,1.0
planococcus_maritimus,2.725640163368739,2.670491071718356,2.0
collinsella_aerofaciens,2.8802569443251165,2.816651839862502,3.0
planococcus_halocryophilus,2.408368122133695,2.646881241012479,2.0
streptococcus_ictaluri,2.747451214691964,2.7893112590198705,2.0
enterococcus_asini,2.8802569443251165,2.7431297422185574,1.0
palaeococcus_pacificus,3.338508504348076,3.255339254560767,1.0
clostridium_baratii,2.8802569443251165,2.9133999095203187,1.0
paraglaciecola_chathamensis,2.408368122133695,2.5846419384378994,4.0
shewanella_oneidensis,2.747451214691964,2.610898767041001,4.0
lactococcus_lactis,2.7684555408865696,2.7525146994243324,1.0
shewanella_baltica,2.6290093918341335,2.5506567475644095,1.0
methylotenera_versatilis,2.6290093918341335,2.560012683509754,4.0
eubacterium_sulci,2.8802569443251165,2.915582546784432,1.0
glaciecola_pallidula,2.180282213165325,2.454421370428989,4.0
paenibacillus_lactis,2.747451214691964,2.79264197991153,0.0
nocardia_caishijiensis,2.725640163368739,2.748028425329303,2.0
balneola_vulgaris,2.679349161601274,2.607756550127756,3.0
streptomyces_viridosporus,2.7029619311384745,2.7145147196537964,3.0
caenibacillus_caldisaponilyticus,3.121585007090657,3.0468110822090595,1.0
desulfovibrio_vulgaris,2.827147216127841,2.7970218010260037,2.0
actinoalloteichus_spitiensis,2.747451214691964,2.7941424178001837,3.0
nitratifractor_salsuginis,3.1630392644772165,3.1290015901033863,0.0
cladophialophora_carrionii,2.6290093918341335,2.62244772302937,4.0
aspergillus_brasiliensis,2.654726519011582,2.6663335428564747,3.0
herbaspirillum_rhizosphaerae,2.679349161601274,2.676031630590172,4.0
tepidiphilus_thermophilus,3.0646957603439224,3.1542526290868333,1.0
rhodobacter_johrii,2.7029619311384745,2.724049340895811,0.0
hoeflea_phototrophica,2.747451214691964,2.6879547117022886,2.0
alicycliphilus_denitrificans,2.725640163368739,2.743261606237753,3.0
dothistroma_septosporum,2.48016555688389,2.447458152163585,2.0
denitrovibrio_acetiphilus,2.747451214691964,2.701086549552327,1.0
azovibrio_restrictus,2.7029619311384745,2.7297272873726945,3.0
frateuria_aurantia,2.679349161601274,2.6494954622087117,3.0
vibrio_owensii,2.679349161601274,2.6823240430509996,1.0
herbaspirillum_huttiense,2.7029619311384745,2.7254467292793163,2.0
methylophaga_frappieri,2.725640163368739,2.6429547825114095,4.0
providencia_burhodogranariea,2.7684555408865696,2.719106939710317,4.0
halanaerobium_congolense,2.958780359816577,2.874367612917773,0.0
acinetobacter_indicus,2.7684555408865696,2.786375360584421,0.0
streptobacillus_moniliformis,2.8802569443251165,2.811214871022912,4.0
novosphingobium_aromaticivorans,2.747451214691964,2.736111736096375,2.0
pseudoalteromonas_issachenkonii,2.573897101956853,2.5317001199443534,3.0
