,true,pred,kfold
allobaculum_stercoricanis,2.8802569443251165,2.8453305879379327,3.0
shewanella_algae,2.7029619311384745,2.7027336835165037,1.0
bifidobacterium_saguini,2.8802569443251165,2.8459390388697385,4.0
ochrobactrum_rhizosphaerae,2.7029619311384745,2.7369457275851903,1.0
sphingomonas_haloaromaticamans,2.747451214691964,2.7250314292054982,0.0
kurthia_massiliensis,2.7029619311384745,2.7748229448954613,0.0
bacillus_ligniniphilus,2.747451214691964,2.7950397491279415,1.0
planococcus_maritimus,2.725640163368739,2.7190584408436558,2.0
collinsella_aerofaciens,2.8802569443251165,2.850345983904583,3.0
planococcus_halocryophilus,2.408368122133695,2.58622453236064,2.0
streptococcus_ictaluri,2.747451214691964,2.84841264623132,2.0
enterococcus_asini,2.8802569443251165,2.8358248271398505,1.0
palaeococcus_pacificus,3.338508504348076,3.3211537379920544,1.0
clostridium_baratii,2.8802569443251165,2.8737012495142884,1.0
paraglaciecola_chathamensis,2.408368122133695,2.607197673949265,4.0
shewanella_oneidensis,2.747451214691964,2.676124114371767,4.0
lactococcus_lactis,2.7684555408865696,2.748569143064765,1.0
shewanella_baltica,2.6290093918341335,2.64870638013709,1.0
methylotenera_versatilis,2.6290093918341335,2.629144138734628,4.0
eubacterium_sulci,2.8802569443251165,2.876469822650883,1.0
glaciecola_pallidula,2.180282213165325,2.3430865087306394,4.0
paenibacillus_lactis,2.747451214691964,2.7715205063821813,0.0
nocardia_caishijiensis,2.725640163368739,2.73107567657131,2.0
balneola_vulgaris,2.679349161601274,2.6758434767467043,3.0
streptomyces_viridosporus,2.7029619311384745,2.6947938297077885,3.0
caenibacillus_caldisaponilyticus,3.121585007090657,2.9781606616167395,1.0
desulfovibrio_vulgaris,2.827147216127841,2.811869089152752,2.0
actinoalloteichus_spitiensis,2.747451214691964,2.7425263544487146,3.0
nitratifractor_salsuginis,3.1630392644772165,2.897832744025626,0.0
cladophialophora_carrionii,2.6290093918341335,2.608874394848254,4.0
aspergillus_brasiliensis,2.654726519011582,2.6448277790930366,3.0
herbaspirillum_rhizosphaerae,2.679349161601274,2.723754514147397,4.0
tepidiphilus_thermophilus,3.0646957603439224,2.969343263519578,1.0
rhodobacter_johrii,2.7029619311384745,2.7247539872210798,0.0
hoeflea_phototrophica,2.747451214691964,2.6890479154991764,2.0
alicycliphilus_denitrificans,2.725640163368739,2.7515596210300934,3.0
dothistroma_septosporum,2.48016555688389,2.5892399737995655,2.0
denitrovibrio_acetiphilus,2.747451214691964,2.8304645420441408,1.0
azovibrio_restrictus,2.7029619311384745,2.7848503196067638,3.0
frateuria_aurantia,2.679349161601274,2.736524287819599,3.0
vibrio_owensii,2.679349161601274,2.7143537827785242,1.0
herbaspirillum_huttiense,2.7029619311384745,2.73576370624453,2.0
methylophaga_frappieri,2.725640163368739,2.714392571807571,4.0
providencia_burhodogranariea,2.7684555408865696,2.738296781239256,4.0
halanaerobium_congolense,2.958780359816577,2.876553443242903,0.0
acinetobacter_indicus,2.7684555408865696,2.7415021465049616,0.0
streptobacillus_moniliformis,2.8802569443251165,2.8648207673716537,4.0
novosphingobium_aromaticivorans,2.747451214691964,2.716750204722791,2.0
pseudoalteromonas_issachenkonii,2.573897101956853,2.6331990121613713,3.0
parascardovia_denticolens,2.8802569443251165,2.7769241371722844,3.0
tetrasphaera_jenkinsii,2.6290093918341335,2.721865912040721,2.0
corynebacterium_minutissimum,2.845419990009465,2.8601988336649273,3.0
haematospirillum_jordaniae,2.8802569443251165,2.723547405519519,4.0
peptoniphilus_lacrimalis,2.8802569443251165,2.868337733311598,3.0
dialister_invisus,2.8631119511928036,2.857714101207867,0.0
actinomadura_rubrobrunea,3.121585007090657,2.811260386502759,1.0
nocardiopsis_halophila,2.7029619311384745,2.7277362730639343,3.0
histoplasma_capsulatum,2.725640163368739,2.7194843270801896,1.0
weissella_confusa,2.7684555408865696,2.6631716652901853,0.0
desulfotomaculum_thermosubterraneum,3.1729074011076803,3.1511522011016275,3.0
mycobacterium_haemophilum,2.7684555408865696,2.8532475228557925,2.0
pediococcus_cellicola,2.827147216127841,2.794391953200675,4.0
amycolatopsis_thermoflava,3.000979799964657,2.7150776495247864,0.0
microbacterium_arborescens,2.747451214691964,2.7335975601056526,4.0
kluyvera_intermedia,2.7684555408865696,2.787222357045717,3.0
bacillus_circulans,2.7887076004219726,2.760593924611355,2.0
streptomyces_griseoflavus,2.679349161601274,2.696157486201797,3.0
pseudoalteromonas_piscicida,2.7029619311384745,2.690366293184434,0.0
nocardia_farcinica,2.7887076004219726,2.759936629094958,3.0
sulfurimonas_denitrificans,2.6021023239152763,2.6299514813343405,4.0
streptomyces_galbus,2.679349161601274,2.6941622894378345,4.0
paenibacillus_odorifer,2.747451214691964,2.7428393959029562,4.0
blastomyces_dermatitidis,2.7684555408865696,2.664548154375047,0.0
vagococcus_penaei,2.747451214691964,2.794386824410516,3.0
legionella_hackeliae,2.8802569443251165,2.821463739345585,2.0
nocardia_carnea,2.725640163368739,2.759452084323346,2.0
capronia_coronata,2.48016555688389,2.6261227762315893,3.0
desulfurococcus_kamchatkensis,3.3524353335798227,3.365021725723399,4.0
lactobacillus_jensenii,2.8802569443251165,2.826702758453032,2.0
flavobacterium_filum,2.679349161601274,2.5674755659624635,0.0
rhizobium_tibeticum,2.7029619311384745,2.7238336004899653,3.0
pichia_kudriavzevii,2.6021023239152763,2.6221599291563544,0.0
methylophaga_thiooxydans,2.7029619311384745,2.7238211956137484,0.0
staphylococcus_vitulinus,2.8802569443251165,2.8452202611303874,1.0
penicillium_steckii,2.6021023239152763,2.6119403354172643,4.0
nautilia_profundicola,2.973215427849889,2.995757636278635,4.0
methanocella_paludicola,2.8802569443251165,2.957813297754157,1.0
mycoplasma_gallinarum,2.8802569443251165,2.853334069181791,2.0
nosocomiicoccus_ampullae,2.7887076004219726,2.7669221662086585,3.0
acinetobacter_soli,2.725640163368739,2.7493140198535677,2.0
malassezia_globosa,2.747451214691964,2.638029518986712,1.0
lactobacillus_malefermentans,2.725640163368739,2.7561583205619447,3.0
thiocystis_violascens,2.6290093918341335,2.728524871810759,1.0
slackia_piriformis,2.8802569443251165,2.866558657150945,1.0
komagataeibacter_europaeus,2.747451214691964,2.736681128343352,0.0
bacillus_muralis,2.747451214691964,2.746008668156132,4.0
lachnoanaerobaculum_saburreum,2.8802569443251165,2.878070642775581,4.0
mycoplasma_glycophilum,2.8802569443251165,2.8559302760664322,4.0
selenomonas_bovis,2.8802569443251165,2.8857714457383157,0.0
persephonella_marina,3.262414313994762,3.13072489977893,1.0
leptotrichia_shahii,2.8802569443251165,2.90290361845593,1.0
methanothermobacter_marburgensis,3.1729074011076803,3.024114361295463,0.0
prevotella_saccharolytica,2.8802569443251165,2.8592121770450682,0.0
collimonas_arenae,2.7029619311384745,2.6936508172028986,3.0
thermus_islandicus,3.2196082497022442,3.250636229679579,1.0
colletotrichum_nymphaeae,2.48016555688389,2.6158052060417005,4.0
chryseolinea_serpens,2.6290093918341335,2.7057250630631473,3.0
corynebacterium_efficiens,2.8802569443251165,2.8185420012112963,1.0
haloferax_prahovense,2.8802569443251165,2.8720884876972668,0.0
bacillus_pseudofirmus,2.7684555408865696,2.7554688347835046,4.0
neisseria_elongata,2.808256615398068,2.8397961739017856,1.0
flavobacterium_piscis,2.747451214691964,2.617111192049681,1.0
methanoplanus_limicola,2.827147216127841,2.9362564644518927,3.0
ornithinibacillus_californiensis,2.747451214691964,2.7915654618960404,3.0
clostridium_septicum,2.8802569443251165,2.8724088236309577,4.0
cycloclasticus_pugetii,2.48016555688389,2.602888162162645,0.0
