,true,pred,kfold
allobaculum_stercoricanis,2.8802569443251165,2.9652260331259344,3.0
shewanella_algae,2.7029619311384745,2.709431411773674,1.0
bifidobacterium_saguini,2.8802569443251165,2.8767996435052416,4.0
ochrobactrum_rhizosphaerae,2.7029619311384745,2.7678205365875668,1.0
sphingomonas_haloaromaticamans,2.747451214691964,2.7418706363361562,0.0
kurthia_massiliensis,2.7029619311384745,2.7474018605217965,0.0
bacillus_ligniniphilus,2.747451214691964,2.82602991442415,1.0
planococcus_maritimus,2.725640163368739,2.7058113117140135,2.0
collinsella_aerofaciens,2.8802569443251165,2.8815046925517147,3.0
planococcus_halocryophilus,2.408368122133695,2.6373934504828007,2.0
streptococcus_ictaluri,2.747451214691964,2.8887239309624038,2.0
enterococcus_asini,2.8802569443251165,2.856630783481304,1.0
palaeococcus_pacificus,3.338508504348076,3.2974822022644643,1.0
clostridium_baratii,2.8802569443251165,2.8681892564958784,1.0
paraglaciecola_chathamensis,2.408368122133695,2.6311874052195567,4.0
shewanella_oneidensis,2.747451214691964,2.658165145072468,4.0
lactococcus_lactis,2.7684555408865696,2.8039614562939184,1.0
shewanella_baltica,2.6290093918341335,2.6242354080566543,1.0
methylotenera_versatilis,2.6290093918341335,2.608138467845992,4.0
eubacterium_sulci,2.8802569443251165,2.887518627828739,1.0
glaciecola_pallidula,2.180282213165325,2.3446211973348072,4.0
paenibacillus_lactis,2.747451214691964,2.7736612967537235,0.0
nocardia_caishijiensis,2.725640163368739,2.7195807715428284,2.0
balneola_vulgaris,2.679349161601274,2.683228631806373,3.0
streptomyces_viridosporus,2.7029619311384745,2.6941307568086073,3.0
caenibacillus_caldisaponilyticus,3.121585007090657,3.0790442733954833,1.0
desulfovibrio_vulgaris,2.827147216127841,2.8421863054719445,2.0
actinoalloteichus_spitiensis,2.747451214691964,2.757370151004678,3.0
nitratifractor_salsuginis,3.1630392644772165,3.063788526449865,0.0
cladophialophora_carrionii,2.6290093918341335,2.6205127940207387,4.0
aspergillus_brasiliensis,2.654726519011582,2.630595598868203,3.0
herbaspirillum_rhizosphaerae,2.679349161601274,2.713595437211315,4.0
tepidiphilus_thermophilus,3.0646957603439224,3.201622795691256,1.0
rhodobacter_johrii,2.7029619311384745,2.6963666720648587,0.0
hoeflea_phototrophica,2.747451214691964,2.630135950516129,2.0
alicycliphilus_denitrificans,2.725640163368739,2.7697872728179695,3.0
dothistroma_septosporum,2.48016555688389,2.5643265003433036,2.0
denitrovibrio_acetiphilus,2.747451214691964,2.695520826771597,1.0
azovibrio_restrictus,2.7029619311384745,2.7791174921963466,3.0
frateuria_aurantia,2.679349161601274,2.7145013347223097,3.0
vibrio_owensii,2.679349161601274,2.7289479576230464,1.0
herbaspirillum_huttiense,2.7029619311384745,2.7529015794753877,2.0
methylophaga_frappieri,2.725640163368739,2.718590087150462,4.0
providencia_burhodogranariea,2.7684555408865696,2.7728929533119437,4.0
halanaerobium_congolense,2.958780359816577,2.914925014856353,0.0
acinetobacter_indicus,2.7684555408865696,2.7615440252434995,0.0
streptobacillus_moniliformis,2.8802569443251165,2.834068410291221,4.0
novosphingobium_aromaticivorans,2.747451214691964,2.7412653683927246,2.0
pseudoalteromonas_issachenkonii,2.573897101956853,2.6162022037789594,3.0
parascardovia_denticolens,2.8802569443251165,2.852394801394023,3.0
tetrasphaera_jenkinsii,2.6290093918341335,2.691881532893872,2.0
corynebacterium_minutissimum,2.845419990009465,2.8555191049000053,3.0
haematospirillum_jordaniae,2.8802569443251165,2.7772270343801826,4.0
peptoniphilus_lacrimalis,2.8802569443251165,2.908720049081041,3.0
dialister_invisus,2.8631119511928036,2.8699009358248837,0.0
