,true,pred,kfold
allobaculum_stercoricanis,37.0,34.41492156618946,3.0
shewanella_algae,28.0,28.114680081334804,1.0
bifidobacterium_saguini,37.0,32.22041727973941,4.0
ochrobactrum_rhizosphaerae,28.0,29.211799067920577,1.0
sphingomonas_haloaromaticamans,30.0,29.2573892548287,0.0
kurthia_massiliensis,28.0,33.11857815506258,0.0
bacillus_ligniniphilus,30.0,32.198201986455,1.0
planococcus_maritimus,29.0,31.046566524557715,2.0
collinsella_aerofaciens,37.0,35.65852377595874,3.0
planococcus_halocryophilus,18.0,30.222881766645102,2.0
streptococcus_ictaluri,30.0,33.159770839265754,2.0
enterococcus_asini,37.0,32.548024889197904,1.0
palaeococcus_pacificus,80.0,41.295224976480284,1.0
clostridium_baratii,37.0,37.23122708657671,1.0
paraglaciecola_chathamensis,18.0,27.08118982958987,4.0
shewanella_oneidensis,30.0,28.198040541280257,4.0
lactococcus_lactis,31.0,29.923460473256704,1.0
shewanella_baltica,25.0,27.1395598940468,1.0
methylotenera_versatilis,25.0,28.238456966953223,4.0
eubacterium_sulci,37.0,37.36797526043293,1.0
glaciecola_pallidula,13.0,26.966677243015205,4.0
paenibacillus_lactis,30.0,31.43578141845118,0.0
nocardia_caishijiensis,29.0,28.991560324334145,2.0
balneola_vulgaris,27.0,27.66985148136827,3.0
streptomyces_viridosporus,28.0,27.61719904253675,3.0
caenibacillus_caldisaponilyticus,55.0,35.792314081861875,1.0
desulfovibrio_vulgaris,34.0,31.372411703969597,2.0
actinoalloteichus_spitiensis,30.0,28.554924148546046,3.0
nitratifractor_salsuginis,59.0,38.14670151430194,0.0
cladophialophora_carrionii,25.0,23.916139626108865,4.0
aspergillus_brasiliensis,26.0,24.349118165240654,3.0
herbaspirillum_rhizosphaerae,27.0,28.77470282387559,4.0
tepidiphilus_thermophilus,50.0,32.34460170545607,1.0
rhodobacter_johrii,28.0,29.47689337835977,0.0
hoeflea_phototrophica,30.0,28.67890711010167,2.0
alicycliphilus_denitrificans,29.0,29.813189072282665,3.0
dothistroma_septosporum,20.0,24.43344081348483,2.0
denitrovibrio_acetiphilus,30.0,35.168566318229885,1.0
azovibrio_restrictus,28.0,29.65572401163913,3.0
frateuria_aurantia,27.0,28.772377797303037,3.0
vibrio_owensii,27.0,28.112990178726953,1.0
herbaspirillum_huttiense,28.0,28.426258993340532,2.0
methylophaga_frappieri,29.0,27.766987783303925,4.0
providencia_burhodogranariea,31.0,28.68231095171539,4.0
halanaerobium_congolense,42.0,36.72310168501284,0.0
acinetobacter_indicus,31.0,30.060307205211764,0.0
streptobacillus_moniliformis,37.0,36.59258232286748,4.0
novosphingobium_aromaticivorans,30.0,29.214326373834382,2.0
pseudoalteromonas_issachenkonii,23.0,27.78804880525506,3.0
parascardovia_denticolens,37.0,30.538682168438225,3.0
tetrasphaera_jenkinsii,25.0,28.528389038358476,2.0
corynebacterium_minutissimum,35.0,31.246845439652773,3.0
haematospirillum_jordaniae,37.0,29.618672215452747,4.0
peptoniphilus_lacrimalis,37.0,36.36981260369903,3.0
dialister_invisus,36.0,36.574523021836484,0.0
actinomadura_rubrobrunea,55.0,29.142000994300872,1.0
nocardiopsis_halophila,28.0,29.30821533199721,3.0
histoplasma_capsulatum,29.0,24.195398750121896,1.0
weissella_confusa,31.0,31.662125032242983,0.0
desulfotomaculum_thermosubterraneum,60.0,38.071463605464764,3.0
mycobacterium_haemophilum,31.0,30.01098067126353,2.0
pediococcus_cellicola,34.0,31.511132234853775,4.0
amycolatopsis_thermoflava,45.0,28.107832978983723,0.0
microbacterium_arborescens,30.0,28.89219394102559,4.0
kluyvera_intermedia,31.0,29.62089918000226,3.0
bacillus_circulans,32.0,31.524577034823746,2.0
streptomyces_griseoflavus,27.0,27.773071090002112,3.0
pseudoalteromonas_piscicida,28.0,27.64048072371073,0.0
nocardia_farcinica,32.0,28.91169791128305,3.0
sulfurimonas_denitrificans,24.0,34.3736500623875,4.0
streptomyces_galbus,27.0,27.807778885567657,4.0
paenibacillus_odorifer,30.0,29.598702328636953,4.0
blastomyces_dermatitidis,31.0,23.86365667408959,0.0
vagococcus_penaei,30.0,31.892340720732772,3.0
legionella_hackeliae,37.0,30.301679674384964,2.0
nocardia_carnea,29.0,29.378623431213253,2.0
capronia_coronata,20.0,23.891587440900857,3.0
desulfurococcus_kamchatkensis,82.0,39.27779744344188,4.0
lactobacillus_jensenii,37.0,31.56577184295508,2.0
flavobacterium_filum,27.0,27.621557807310666,0.0
rhizobium_tibeticum,28.0,28.957613993486717,3.0
pichia_kudriavzevii,24.0,25.703644708781262,0.0
methylophaga_thiooxydans,28.0,28.031529844436193,0.0
staphylococcus_vitulinus,37.0,33.01598920451497,1.0
penicillium_steckii,24.0,23.666088235296357,4.0
nautilia_profundicola,43.0,38.68614407382943,4.0
methanocella_paludicola,37.0,38.32439943366769,1.0
mycoplasma_gallinarum,37.0,34.90580625332759,2.0
nosocomiicoccus_ampullae,32.0,34.365307541567375,3.0
acinetobacter_soli,29.0,29.854378548354656,2.0
malassezia_globosa,30.0,28.78361136820461,1.0
lactobacillus_malefermentans,29.0,30.514374120995022,3.0
thiocystis_violascens,25.0,28.750727208966396,1.0
slackia_piriformis,37.0,36.13349205702559,1.0
komagataeibacter_europaeus,30.0,30.786057673781755,0.0
bacillus_muralis,30.0,30.645745186335,4.0
lachnoanaerobaculum_saburreum,37.0,37.3299186704206,4.0
mycoplasma_glycophilum,37.0,34.63846426493073,4.0
selenomonas_bovis,37.0,36.76476303098055,0.0
persephonella_marina,70.0,40.338456569382416,1.0
leptotrichia_shahii,37.0,37.10822422814283,1.0
methanothermobacter_marburgensis,60.0,37.225219937060125,0.0
prevotella_saccharolytica,37.0,36.013794617846486,0.0
collimonas_arenae,28.0,27.862933963281883,3.0
thermus_islandicus,65.0,36.041672900874964,1.0
colletotrichum_nymphaeae,20.0,24.204052778520015,4.0
chryseolinea_serpens,25.0,29.188850800772787,3.0
corynebacterium_efficiens,37.0,30.990191705864042,1.0
haloferax_prahovense,37.0,36.66512401488816,0.0
bacillus_pseudofirmus,31.0,31.10137863196568,4.0
neisseria_elongata,33.0,33.346790353829704,1.0
flavobacterium_piscis,30.0,27.231399616377086,1.0
methanoplanus_limicola,34.0,36.42345107111539,3.0
ornithinibacillus_californiensis,30.0,31.682861429160123,3.0
clostridium_septicum,37.0,36.805678351600925,4.0
cycloclasticus_pugetii,20.0,27.07109533754783,0.0
listeria_seeligeri,36.0,30.91614639156808,0.0
rhynchosporium_secalis,15.0,23.60758204623118,4.0
vibrio_atlanticus,25.0,26.478070594790314,4.0
enhygromyxa_salina,30.0,30.4564360403072,0.0
chryseobacterium_piperi,29.0,28.19777976138096,1.0
alicyclobacillus_ferrooxydans,30.0,31.09249724190646,4.0
longispora_albida,28.0,28.73649805025797,2.0
desulfitobacterium_hafniense,34.0,34.95833061004807,0.0
halanaerobium_saccharolyticum,37.0,36.10655015459438,3.0
streptomyces_decoyicus,29.0,27.53255847099071,0.0
vibrio_quintilis,28.0,28.463943338156607,0.0
aeromicrobium_erythreum,33.0,28.931809643474768,4.0
acinetobacter_johnsonii,29.0,29.16489495476671,1.0
oceanobacillus_caeni,32.0,31.928542759892512,3.0
jannaschia_rubra,25.0,29.43198351880692,2.0
comamonas_composti,28.0,29.106918311290837,4.0
sphingobium_ummariense,28.0,29.28287621078954,3.0
bacillus_cellulosilyticus,32.0,30.91800989999996,1.0
bacillus_novalis,30.0,30.54202033194054,1.0
photobacterium_sanctipauli,28.0,28.592942031615795,3.0
dokdonia_donghaensis,30.0,29.41975483759706,0.0
kordiimonas_gwangyangensis,36.0,30.35103115588531,2.0
corynebacterium_ulceribovis,37.0,30.761652419650318,2.0
campylobacter_showae,37.0,36.823462357071676,2.0
fretibacterium_fastidiosum,37.0,35.08141298473307,3.0
hydrocarboniphaga_effusa,29.0,28.439342211142176,0.0
carnimonas_nigrificans,30.0,28.846264460820937,3.0
celeribacter_indicus,25.0,29.268886220190183,4.0
lactobacillus_salivarius,37.0,34.18724264767258,4.0
actinomyces_radicidentis,37.0,29.419534493202157,4.0
capnocytophaga_sputigena,37.0,32.62487794075025,2.0
mycobacterium_colombiense,37.0,29.782529131936627,0.0
streptomyces_ipomoeae,27.0,27.889687329041898,3.0
actinomyces_suimastitidis,37.0,31.633215360649224,3.0
lactobacillus_shenzhenensis,37.0,31.525230147563768,4.0
xanthomonas_pisi,27.0,28.641294744424645,2.0
methylobacter_tundripaludum,22.0,28.397498233827186,4.0
rhizobium_sullae,28.0,29.33263882729697,4.0
bacillus_marmarensis,30.0,31.18465905858882,2.0
paenibacillus_borealis,30.0,30.72741664064698,4.0
mycobacterium_wolinskyi,32.0,30.025927570850307,4.0
aliivibrio_logei,18.0,26.81285144287026,1.0
nevskia_soli,28.0,28.74083293457433,2.0
bacillus_boroniphilus,30.0,31.29713075212885,1.0
clostridium_cellulolyticum,35.0,34.95519045239347,2.0
castellaniella_caeni,28.0,29.562649516301335,0.0
mycobacterium_kyorinense,37.0,30.042284290435866,4.0
paraburkholderia_mimosarum,30.0,29.70461026517549,3.0
timonella_senegalensis,30.0,30.30002102885386,4.0
haemophilus_haemolyticus,37.0,31.056455877813292,1.0
bdellovibrio_bacteriovorus,28.0,28.190927750527088,3.0
psychrobacter_phenylpyruvicus,31.0,28.410896940360235,2.0
herbaspirillum_frisingense,35.0,28.865504833656622,3.0
lactobacillus_nasuensis,30.0,32.28460631302391,0.0
achromobacter_insolitus,33.0,29.434542683506944,2.0
spiroplasma_diminutum,28.0,33.55862039028355,2.0
bordetella_bronchiseptica,36.0,30.24258605606613,2.0
janibacter_limosus,29.0,29.50775536483173,3.0
yersinia_frederiksenii,30.0,28.274746849586595,4.0
enhydrobacter_aerosaccus,37.0,29.838399960984617,1.0
ceraceosorus_bombacis,24.0,26.757793241564226,3.0
flavobacterium_columnare,23.0,29.455651940179187,2.0
