,true,pred,kfold
allobaculum_stercoricanis,37.0,35.381,3.0
shewanella_algae,28.0,28.558277999999998,1.0
bifidobacterium_saguini,37.0,35.3505,4.0
ochrobactrum_rhizosphaerae,28.0,29.7126,1.0
sphingomonas_haloaromaticamans,30.0,29.457848,0.0
kurthia_massiliensis,28.0,32.74503299999999,0.0
bacillus_ligniniphilus,30.0,32.928083,1.0
planococcus_maritimus,29.0,30.067042,2.0
collinsella_aerofaciens,37.0,35.879,3.0
planococcus_halocryophilus,18.0,24.374001000000003,2.0
streptococcus_ictaluri,30.0,35.3215,2.0
enterococcus_asini,37.0,34.47125,1.0
palaeococcus_pacificus,80.0,77.682233,1.0
clostridium_baratii,37.0,36.981,1.0
paraglaciecola_chathamensis,18.0,25.112713999999976,4.0
shewanella_oneidensis,30.0,27.963082999999997,4.0
lactococcus_lactis,31.0,31.4687,1.0
shewanella_baltica,25.0,25.605466999999997,1.0
methylotenera_versatilis,25.0,25.85925,4.0
eubacterium_sulci,37.0,36.9225,1.0
glaciecola_pallidula,13.0,17.411582000000003,4.0
paenibacillus_lactis,30.0,31.13225,0.0
nocardia_caishijiensis,29.0,29.48775,2.0
balneola_vulgaris,27.0,28.097099999999998,3.0
streptomyces_viridosporus,28.0,27.789,3.0
caenibacillus_caldisaponilyticus,55.0,46.363739,1.0
desulfovibrio_vulgaris,34.0,33.710933,2.0
actinoalloteichus_spitiensis,30.0,30.399665999999996,3.0
nitratifractor_salsuginis,59.0,41.31274,0.0
cladophialophora_carrionii,25.0,24.2795,4.0
aspergillus_brasiliensis,26.0,25.735,3.0
herbaspirillum_rhizosphaerae,27.0,28.9205,4.0
tepidiphilus_thermophilus,50.0,47.300733,1.0
rhodobacter_johrii,28.0,29.246582999999998,0.0
hoeflea_phototrophica,30.0,27.886899999999997,2.0
alicycliphilus_denitrificans,29.0,30.6205,3.0
dothistroma_septosporum,20.0,23.9645,2.0
denitrovibrio_acetiphilus,30.0,34.78917499999999,1.0
azovibrio_restrictus,28.0,33.010833,3.0
frateuria_aurantia,27.0,30.114349999999998,3.0
vibrio_owensii,27.0,28.988066999999997,1.0
herbaspirillum_huttiense,28.0,29.573349999999994,2.0
methylophaga_frappieri,29.0,28.511833,4.0
providencia_burhodogranariea,31.0,30.02425,4.0
halanaerobium_congolense,42.0,37.228333,0.0
acinetobacter_indicus,31.0,29.802124000000003,0.0
streptobacillus_moniliformis,37.0,36.23825,4.0
novosphingobium_aromaticivorans,30.0,28.573933,2.0
pseudoalteromonas_issachenkonii,23.0,25.15154,3.0
parascardovia_denticolens,37.0,33.140800000000006,3.0
tetrasphaera_jenkinsii,25.0,28.86825,2.0
corynebacterium_minutissimum,35.0,35.753,3.0
haematospirillum_jordaniae,37.0,30.116899999999998,4.0
peptoniphilus_lacrimalis,37.0,36.51125,3.0
dialister_invisus,36.0,36.19475,0.0
actinomadura_rubrobrunea,55.0,34.59485,1.0
nocardiopsis_halophila,28.0,29.232165999999996,3.0
histoplasma_capsulatum,29.0,29.898,1.0
weissella_confusa,31.0,30.561438000000024,0.0
desulfotomaculum_thermosubterraneum,60.0,58.552964,3.0
mycobacterium_haemophilum,31.0,35.327,2.0
pediococcus_cellicola,34.0,32.79825,4.0
amycolatopsis_thermoflava,45.0,28.771,0.0
microbacterium_arborescens,30.0,29.735833,4.0
kluyvera_intermedia,31.0,32.5615,3.0
bacillus_circulans,32.0,30.9295,2.0
streptomyces_griseoflavus,27.0,27.728,3.0
pseudoalteromonas_piscicida,28.0,27.890134999999994,0.0
nocardia_farcinica,32.0,30.7785,3.0
sulfurimonas_denitrificans,24.0,28.297,4.0
streptomyces_galbus,27.0,27.71675,4.0
paenibacillus_odorifer,30.0,30.205667000000002,4.0
blastomyces_dermatitidis,31.0,26.2815,0.0
vagococcus_penaei,30.0,33.01775,3.0
legionella_hackeliae,37.0,34.397310000000004,2.0
nocardia_carnea,29.0,30.57375,2.0
capronia_coronata,20.0,24.984,3.0
desulfurococcus_kamchatkensis,82.0,84.447,4.0
lactobacillus_jensenii,37.0,34.17925,2.0
flavobacterium_filum,27.0,25.0245,0.0
rhizobium_tibeticum,28.0,28.916299999999982,3.0
pichia_kudriavzevii,24.0,24.8605,0.0
methylophaga_thiooxydans,28.0,29.652625,0.0
staphylococcus_vitulinus,37.0,35.2295,1.0
penicillium_steckii,24.0,24.4365,4.0
nautilia_profundicola,43.0,45.81163299999998,4.0
methanocella_paludicola,37.0,43.12035,1.0
mycoplasma_gallinarum,37.0,35.5285,2.0
nosocomiicoccus_ampullae,32.0,34.12175,3.0
acinetobacter_soli,29.0,30.174873,2.0
malassezia_globosa,30.0,26.651133,1.0
lactobacillus_malefermentans,29.0,30.5885,3.0
thiocystis_violascens,25.0,29.699832999999998,1.0
slackia_piriformis,37.0,36.1835,1.0
komagataeibacter_europaeus,30.0,30.1615,0.0
bacillus_muralis,30.0,30.239549999999998,4.0
lachnoanaerobaculum_saburreum,37.0,37.374199999999995,4.0
mycoplasma_glycophilum,37.0,36.0648,4.0
selenomonas_bovis,37.0,38.004,0.0
persephonella_marina,70.0,59.57933299999995,1.0
leptotrichia_shahii,37.0,39.364999999999995,1.0
methanothermobacter_marburgensis,60.0,48.094333,0.0
prevotella_saccharolytica,37.0,36.1665,0.0
collimonas_arenae,28.0,27.6059,3.0
thermus_islandicus,65.0,69.14120000000005,1.0
colletotrichum_nymphaeae,20.0,24.5775,4.0
chryseolinea_serpens,25.0,28.66855,3.0
corynebacterium_efficiens,37.0,33.9325,1.0
haloferax_prahovense,37.0,36.6125,0.0
bacillus_pseudofirmus,31.0,30.79775,4.0
