,true,pred,kfold
allobaculum_stercoricanis,37.0,37.13443322248096,3.0
shewanella_algae,28.0,18.697294122329396,1.0
bifidobacterium_saguini,37.0,33.76546588700864,4.0
ochrobactrum_rhizosphaerae,28.0,29.85489544345377,1.0
sphingomonas_haloaromaticamans,30.0,29.03211193370088,0.0
kurthia_massiliensis,28.0,30.238994398260033,0.0
bacillus_ligniniphilus,30.0,31.011497437323573,1.0
planococcus_maritimus,29.0,24.69526344585661,2.0
collinsella_aerofaciens,37.0,32.13534997694333,3.0
planococcus_halocryophilus,18.0,22.28763796325664,2.0
streptococcus_ictaluri,30.0,28.745314143213395,2.0
enterococcus_asini,37.0,26.76552401211144,1.0
palaeococcus_pacificus,80.0,73.84905549360656,1.0
clostridium_baratii,37.0,36.226368874572586,1.0
paraglaciecola_chathamensis,18.0,21.58869034057868,4.0
shewanella_oneidensis,30.0,21.220562972244878,4.0
lactococcus_lactis,31.0,29.98653946931603,1.0
shewanella_baltica,25.0,19.797877372468086,1.0
methylotenera_versatilis,25.0,21.02053820847701,4.0
eubacterium_sulci,37.0,40.19580591434822,1.0
glaciecola_pallidula,13.0,15.383154892655668,4.0
paenibacillus_lactis,30.0,31.77954864081703,0.0
nocardia_caishijiensis,29.0,28.64075379402381,2.0
balneola_vulgaris,27.0,22.090204607043447,3.0
streptomyces_viridosporus,28.0,28.75437532615444,3.0
caenibacillus_caldisaponilyticus,55.0,50.28436489461062,1.0
desulfovibrio_vulgaris,34.0,32.019312060437436,2.0
actinoalloteichus_spitiensis,30.0,32.3966458817986,3.0
nitratifractor_salsuginis,59.0,59.22977982452983,0.0
cladophialophora_carrionii,25.0,24.491682737065155,4.0
aspergillus_brasiliensis,26.0,26.790111680302914,3.0
herbaspirillum_rhizosphaerae,27.0,25.37778908753521,4.0
tepidiphilus_thermophilus,50.0,52.68894140025101,1.0
rhodobacter_johrii,28.0,29.931371585116224,0.0
hoeflea_phototrophica,30.0,25.07349224906379,2.0
alicycliphilus_denitrificans,29.0,30.88678198400315,3.0
dothistroma_septosporum,20.0,17.708902030580326,2.0
denitrovibrio_acetiphilus,30.0,25.10290653040274,1.0
azovibrio_restrictus,28.0,31.158866685772235,3.0
frateuria_aurantia,27.0,27.716836572642404,3.0
vibrio_owensii,27.0,26.0262311114257,1.0
herbaspirillum_huttiense,28.0,28.224945584839706,2.0
methylophaga_frappieri,29.0,23.06983666277354,4.0
providencia_burhodogranariea,31.0,27.296018290280283,4.0
halanaerobium_congolense,42.0,36.454360038891394,0.0
acinetobacter_indicus,31.0,33.053630441709004,0.0
streptobacillus_moniliformis,37.0,32.73491826118472,4.0
novosphingobium_aromaticivorans,30.0,29.86251759234018,2.0
pseudoalteromonas_issachenkonii,23.0,21.075096154370566,3.0
parascardovia_denticolens,37.0,40.93937643402269,3.0
tetrasphaera_jenkinsii,25.0,23.353799878314852,2.0
corynebacterium_minutissimum,35.0,32.053289226329085,3.0
haematospirillum_jordaniae,37.0,34.05645504801625,4.0
peptoniphilus_lacrimalis,37.0,40.59287380331559,3.0
dialister_invisus,36.0,35.529266698627204,0.0
actinomadura_rubrobrunea,55.0,40.43449193330659,1.0
nocardiopsis_halophila,28.0,31.099521161810205,3.0
histoplasma_capsulatum,29.0,24.076518046058297,1.0
weissella_confusa,31.0,27.23848841625042,0.0
desulfotomaculum_thermosubterraneum,60.0,58.48061152946708,3.0
mycobacterium_haemophilum,31.0,35.22165853672806,2.0
pediococcus_cellicola,34.0,30.164476463422183,4.0
amycolatopsis_thermoflava,45.0,31.600173510793937,0.0
microbacterium_arborescens,30.0,26.274431285796155,4.0
kluyvera_intermedia,31.0,28.416945434678077,3.0
bacillus_circulans,32.0,29.80118673189792,2.0
streptomyces_griseoflavus,27.0,27.55907227250517,3.0
pseudoalteromonas_piscicida,28.0,23.31759072561198,0.0
nocardia_farcinica,32.0,34.96091665569549,3.0
sulfurimonas_denitrificans,24.0,24.86271092712944,4.0
streptomyces_galbus,27.0,28.75371312034045,4.0
paenibacillus_odorifer,30.0,24.519092276559498,4.0
blastomyces_dermatitidis,31.0,20.373571243262916,0.0
vagococcus_penaei,30.0,31.428591405452554,3.0
legionella_hackeliae,37.0,32.41475924704237,2.0
nocardia_carnea,29.0,28.32053075113452,2.0
capronia_coronata,20.0,24.70338658679169,3.0
desulfurococcus_kamchatkensis,82.0,87.38420702441017,4.0
lactobacillus_jensenii,37.0,28.76926612120911,2.0
flavobacterium_filum,27.0,27.028399018745215,0.0
rhizobium_tibeticum,28.0,26.750377532738383,3.0
pichia_kudriavzevii,24.0,25.77967389930913,0.0
methylophaga_thiooxydans,28.0,24.99112215325264,0.0
staphylococcus_vitulinus,37.0,34.00432429466488,1.0
penicillium_steckii,24.0,20.38615560440638,4.0
nautilia_profundicola,43.0,53.86701711988072,4.0
methanocella_paludicola,37.0,41.19049138609837,1.0
mycoplasma_gallinarum,37.0,35.544793140833754,2.0
nosocomiicoccus_ampullae,32.0,36.903045700269125,3.0
acinetobacter_soli,29.0,30.92699498068751,2.0
malassezia_globosa,30.0,29.129006141765807,1.0
lactobacillus_malefermentans,29.0,28.99619093274221,3.0
thiocystis_violascens,25.0,28.60397811807948,1.0
slackia_piriformis,37.0,43.04302669738313,1.0
komagataeibacter_europaeus,30.0,28.867446104688774,0.0
bacillus_muralis,30.0,22.69468040464935,4.0
lachnoanaerobaculum_saburreum,37.0,35.211254768887585,4.0
mycoplasma_glycophilum,37.0,40.748997215843715,4.0
selenomonas_bovis,37.0,39.44632289710824,0.0
persephonella_marina,70.0,73.94670412279481,1.0
leptotrichia_shahii,37.0,40.489056953906754,1.0
methanothermobacter_marburgensis,60.0,54.85910362905852,0.0
prevotella_saccharolytica,37.0,34.5098943872472,0.0
collimonas_arenae,28.0,26.781800478716228,3.0
thermus_islandicus,65.0,70.50384602041417,1.0
colletotrichum_nymphaeae,20.0,24.46969251278733,4.0
chryseolinea_serpens,25.0,26.427361049198204,3.0
corynebacterium_efficiens,37.0,30.575937505272545,1.0
haloferax_prahovense,37.0,38.0776959175415,0.0
bacillus_pseudofirmus,31.0,32.08111969968659,4.0
neisseria_elongata,33.0,34.339650130079974,1.0
flavobacterium_piscis,30.0,20.905422360840006,1.0
methanoplanus_limicola,34.0,33.61361783453602,3.0
ornithinibacillus_californiensis,30.0,36.42522102000807,3.0
clostridium_septicum,37.0,36.668823611167966,4.0
cycloclasticus_pugetii,20.0,21.538197826545133,0.0
listeria_seeligeri,36.0,28.21778673623374,0.0
rhynchosporium_secalis,15.0,19.86534365420922,4.0
vibrio_atlanticus,25.0,20.72598460008368,4.0
enhygromyxa_salina,30.0,31.723707616455158,0.0
chryseobacterium_piperi,29.0,24.962491661566656,1.0
alicyclobacillus_ferrooxydans,30.0,34.546894439473476,4.0
longispora_albida,28.0,26.73937455404857,2.0
desulfitobacterium_hafniense,34.0,35.6351098530959,0.0
halanaerobium_saccharolyticum,37.0,35.320158672364094,3.0
streptomyces_decoyicus,29.0,26.702954925443525,0.0
vibrio_quintilis,28.0,30.0615734059191,0.0
aeromicrobium_erythreum,33.0,30.16135586833852,4.0
acinetobacter_johnsonii,29.0,27.862496890925726,1.0
oceanobacillus_caeni,32.0,36.77433177323764,3.0
jannaschia_rubra,25.0,22.40285593642542,2.0
comamonas_composti,28.0,27.328892809237374,4.0
sphingobium_ummariense,28.0,29.75840897399496,3.0
bacillus_cellulosilyticus,32.0,32.09972480483466,1.0
bacillus_novalis,30.0,31.62419091285513,1.0
photobacterium_sanctipauli,28.0,24.915628211754758,3.0
dokdonia_donghaensis,30.0,19.405178082946367,0.0
kordiimonas_gwangyangensis,36.0,22.095874200931284,2.0
corynebacterium_ulceribovis,37.0,34.8636570904961,2.0
campylobacter_showae,37.0,36.114208320110706,2.0
fretibacterium_fastidiosum,37.0,43.24213399041724,3.0
hydrocarboniphaga_effusa,29.0,26.71267900693273,0.0
carnimonas_nigrificans,30.0,32.72081933824904,3.0
celeribacter_indicus,25.0,29.22584889452971,4.0
lactobacillus_salivarius,37.0,43.06209155431701,4.0
actinomyces_radicidentis,37.0,27.76776053795422,4.0
capnocytophaga_sputigena,37.0,34.13135456405994,2.0
mycobacterium_colombiense,37.0,32.78647459667521,0.0
streptomyces_ipomoeae,27.0,30.325917171691614,3.0
actinomyces_suimastitidis,37.0,36.13248703576349,3.0
lactobacillus_shenzhenensis,37.0,30.709933509860146,4.0
xanthomonas_pisi,27.0,27.34120231170416,2.0
methylobacter_tundripaludum,22.0,21.534997967449435,4.0
rhizobium_sullae,28.0,29.370002890234847,4.0
bacillus_marmarensis,30.0,30.29179001355544,2.0
paenibacillus_borealis,30.0,21.671474878471468,4.0
mycobacterium_wolinskyi,32.0,32.33046985675093,4.0
aliivibrio_logei,18.0,19.4474718411353,1.0
nevskia_soli,28.0,27.358631948759744,2.0
bacillus_boroniphilus,30.0,30.653766506933604,1.0
clostridium_cellulolyticum,35.0,30.366007724430922,2.0
castellaniella_caeni,28.0,33.02440311446675,0.0
mycobacterium_kyorinense,37.0,34.15771564042998,4.0
paraburkholderia_mimosarum,30.0,30.408380448384655,3.0
timonella_senegalensis,30.0,23.96489982523353,4.0
haemophilus_haemolyticus,37.0,38.96784234971907,1.0
bdellovibrio_bacteriovorus,28.0,23.748386509998998,3.0
psychrobacter_phenylpyruvicus,31.0,27.001760573993863,2.0
herbaspirillum_frisingense,35.0,27.60826286558492,3.0
lactobacillus_nasuensis,30.0,29.96902543895962,0.0
achromobacter_insolitus,33.0,27.967734416879406,2.0
spiroplasma_diminutum,28.0,21.292345302787773,2.0
bordetella_bronchiseptica,36.0,31.97953586433434,2.0
janibacter_limosus,29.0,21.618608851069382,3.0
yersinia_frederiksenii,30.0,25.542270250034427,4.0
enhydrobacter_aerosaccus,37.0,27.986742275122197,1.0
ceraceosorus_bombacis,24.0,17.62052361668197,3.0
flavobacterium_columnare,23.0,25.90935764626876,2.0
thermogemmatispora_carboxidivorans,55.0,47.69566126026568,4.0
bartonella_florencae,37.0,34.772270716869535,0.0
helicobacter_acinonychis,37.0,27.72886033024477,2.0
jeotgalibacillus_soli,30.0,28.0818028646426,0.0
lactobacillus_ruminis,35.0,41.23403914043726,3.0
xenorhabdus_hominickii,30.0,24.4958324945678,4.0
roseburia_inulinivorans,37.0,38.329922797035536,3.0
thioalkalimicrobium_cyclicum,28.0,17.915648089794917,4.0
bacillus_subtilis,30.0,27.088487720956834,0.0
pseudomonas_fluorescens,28.0,25.92311613162704,1.0
centipeda_periodontii,37.0,34.08104726295607,1.0
pseudomonas_bauzanensis,28.0,27.915865464259994,3.0
kaistia_adipata,31.0,29.97103802633086,1.0
riemerella_anatipestifer,37.0,30.5291281830846,1.0
bacillus_simplex,29.0,23.58455474581291,0.0
chryseobacterium_jeonii,16.0,21.067928031255438,3.0
streptomyces_cyanoalbus,27.0,27.652091957063313,1.0
vulcanisaeta_souniana,85.0,75.25863436274227,2.0
streptococcus_phocae,35.0,27.51071855354465,0.0
gemmobacter_megaterium,28.0,26.93659790575549,1.0
hyphomonas_jannaschiana,30.0,25.773803012546704,3.0
lactobacillus_sharpeae,30.0,28.698452398560896,3.0
nocardia_brasiliensis,33.0,28.199764948501485,0.0
lactobacillus_algidus,18.0,21.12488937884507,2.0
penicillium_oxalicum,24.0,22.53863044200325,3.0
jannaschia_aquimarina,30.0,24.983986224428193,1.0
alloscardovia_omnicolens,37.0,35.30010964942606,2.0
daedalea_quercina,24.0,24.788777055339825,1.0
coprococcus_catus,37.0,33.92844162852626,0.0
chloroflexus_aurantiacus,49.0,47.7597618084846,2.0
lactobacillus_hordei,30.0,28.06963913510797,3.0
acinetobacter_bouvetii,30.0,28.903019184613793,3.0
enterobacter_hormaechei,32.0,31.715017926491594,1.0
sclerotinia_borealis,8.0,19.555619919850578,3.0
pirellula_staleyi,26.0,21.905207707640585,3.0
azospira_oryzae,33.0,32.33340994778068,4.0
helicobacter_heilmannii,37.0,37.53537070624499,0.0
trichophyton_equinum,27.0,25.18305847073139,4.0
paenibacillus_pectinilyticus,30.0,27.510615525645523,1.0
anoxybacillus_thermarum,55.0,51.522568780271726,3.0
nocardia_vermiculata,29.0,29.365663215938532,1.0
mycobacterium_chlorophenolicum,31.0,32.08217742030859,0.0
lactobacillus_kalixensis,37.0,36.587200462954826,2.0
mycobacterium_rhodesiae,36.0,33.07237597169831,1.0
corynebacterium_appendicis,37.0,35.7777259072717,0.0
porphyromonas_asaccharolytica,37.0,37.34938795514722,2.0
paenibacillus_antarcticus,19.0,23.518761862470654,1.0
vibrio_ruber,27.0,28.616541541214872,2.0
deinococcus_grandis,26.0,26.190458444243305,3.0
streptomyces_noursei,27.0,26.293382087364368,2.0
campylobacter_hyointestinalis,37.0,33.407239898965884,2.0
lactobacillus_amylovorus,37.0,40.026931987087835,3.0
coccidioides_posadasii,24.0,26.775487165720477,1.0
staphylococcus_auricularis,37.0,39.40368436529326,0.0
demequina_sediminicola,28.0,29.595779194216213,1.0
bacillus_fastidiosus,30.0,30.48445906388483,0.0
mycobacterium_abscessus,35.0,33.697958251448284,0.0
maribacter_dokdonensis,28.0,19.91350348701977,4.0
phaeospirillum_fulvum,26.0,25.650933196599148,1.0
alteromonas_mediterranea,23.0,25.605472306722866,2.0
amycolatopsis_decaplanina,29.0,29.55609754589067,0.0
tenacibaculum_ovolyticum,15.0,19.159618201195954,0.0
simkania_negevensis,25.0,35.05423981203671,3.0
millisia_brevis,29.0,28.112713747576713,2.0
pseudovibrio_axinellae,24.0,27.747325594878646,2.0
parabacteroides_distasonis,37.0,35.989443858187485,4.0
gelidibacter_algens,18.0,15.725131288203269,0.0
insolitispirillum_peregrinum,28.0,31.046439339559264,4.0
streptomyces_bungoensis,28.0,28.69258966050915,1.0
brevibacillus_brevis,33.0,30.16574470058938,4.0
levilinea_saccharolytica,37.0,39.93901623110208,0.0
taylorella_equigenitalis,37.0,27.38152792095273,4.0
streptococcus_plurextorum,37.0,33.18734042791371,0.0
lactobacillus_animalis,37.0,41.24840758711431,2.0
spiroplasma_chrysopicola,30.0,32.60547097970851,4.0
hydrococcus_rivularis,20.0,29.86334335111315,4.0
chelatococcus_daeguensis,37.0,38.020737617230864,2.0
methanobacterium_lacus,30.0,34.28271523440332,0.0
arthrobotrys_oligospora,24.0,27.80463866474193,1.0
lactobacillus_saerimneri,37.0,36.6367443359447,3.0
comamonas_testosteroni,29.0,26.60296271973864,3.0
debaryomyces_fabryi,24.0,22.22421554462931,0.0
acidisphaera_rubrifaciens,30.0,27.740023124188127,2.0
gordonia_jacobaea,28.0,30.920256637952004,3.0
salimicrobium_salexigens,37.0,34.25725582331581,2.0
geobacillus_jurassicus,55.0,57.896286026599725,4.0
bacillus_lentus,30.0,25.68968988133356,3.0
formosa_agariphila,21.0,20.483344440617646,4.0
bacillus_shackletonii,30.0,35.81649837829798,3.0
geoalkalibacter_subterraneus,37.0,33.44475847758302,1.0
