,true,pred,kfold
allobaculum_stercoricanis,37.0,39.32209102131751,3.0
shewanella_algae,28.0,18.377385842150478,1.0
bifidobacterium_saguini,37.0,34.331499125158004,4.0
ochrobactrum_rhizosphaerae,28.0,28.63364528352621,1.0
sphingomonas_haloaromaticamans,30.0,30.22153200476511,0.0
kurthia_massiliensis,28.0,29.29063143103464,0.0
bacillus_ligniniphilus,30.0,29.74972366029623,1.0
planococcus_maritimus,29.0,23.12504674687569,2.0
collinsella_aerofaciens,37.0,32.1111878535929,3.0
planococcus_halocryophilus,18.0,20.288109796192096,2.0
streptococcus_ictaluri,30.0,27.363873498584674,2.0
enterococcus_asini,37.0,26.685041653460292,1.0
palaeococcus_pacificus,80.0,74.55232547456625,1.0
clostridium_baratii,37.0,35.61078475648763,1.0
paraglaciecola_chathamensis,18.0,20.360849405919723,4.0
shewanella_oneidensis,30.0,20.172155405675582,4.0
lactococcus_lactis,31.0,25.9953214996517,1.0
shewanella_baltica,25.0,20.518568741625575,1.0
methylotenera_versatilis,25.0,21.012409235631637,4.0
eubacterium_sulci,37.0,40.168539273089195,1.0
glaciecola_pallidula,13.0,15.169862772618941,4.0
paenibacillus_lactis,30.0,32.66576113074167,0.0
nocardia_caishijiensis,29.0,28.201466577197955,2.0
balneola_vulgaris,27.0,22.75225154377845,3.0
streptomyces_viridosporus,28.0,27.947960772294074,3.0
caenibacillus_caldisaponilyticus,55.0,51.17414282495382,1.0
desulfovibrio_vulgaris,34.0,32.298581140186236,2.0
actinoalloteichus_spitiensis,30.0,32.21575252034095,3.0
nitratifractor_salsuginis,59.0,60.518784659794406,0.0
cladophialophora_carrionii,25.0,25.044397379552535,4.0
aspergillus_brasiliensis,26.0,26.46018496968177,3.0
herbaspirillum_rhizosphaerae,27.0,24.581090952550582,4.0
tepidiphilus_thermophilus,50.0,52.818967091387535,1.0
rhodobacter_johrii,28.0,30.18462099402292,0.0
hoeflea_phototrophica,30.0,24.791295068408893,2.0
alicycliphilus_denitrificans,29.0,31.49676600911048,3.0
dothistroma_septosporum,20.0,17.061539666797565,2.0
denitrovibrio_acetiphilus,30.0,25.3496539467037,1.0
azovibrio_restrictus,28.0,31.539866366166144,3.0
frateuria_aurantia,27.0,29.07869426228431,3.0
vibrio_owensii,27.0,25.586607205218105,1.0
herbaspirillum_huttiense,28.0,28.50077153935616,2.0
methylophaga_frappieri,29.0,23.544809366857223,4.0
providencia_burhodogranariea,31.0,28.341897989904098,4.0
halanaerobium_congolense,42.0,34.54976381628855,0.0
acinetobacter_indicus,31.0,33.48811830847605,0.0
streptobacillus_moniliformis,37.0,31.131013895665816,4.0
novosphingobium_aromaticivorans,30.0,30.486187951709674,2.0
pseudoalteromonas_issachenkonii,23.0,20.85381404377845,3.0
parascardovia_denticolens,37.0,42.7807606837931,3.0
tetrasphaera_jenkinsii,25.0,24.179570214893268,2.0
corynebacterium_minutissimum,35.0,32.580468096512824,3.0
haematospirillum_jordaniae,37.0,34.99145701090019,4.0
peptoniphilus_lacrimalis,37.0,41.48798457600501,3.0
dialister_invisus,36.0,33.758183616093234,0.0
actinomadura_rubrobrunea,55.0,40.874519573992515,1.0
nocardiopsis_halophila,28.0,31.71534053303626,3.0
histoplasma_capsulatum,29.0,24.91952632600668,1.0
weissella_confusa,31.0,28.36696543066843,0.0
desulfotomaculum_thermosubterraneum,60.0,60.02357379414466,3.0
mycobacterium_haemophilum,31.0,36.53262807622139,2.0
pediococcus_cellicola,34.0,28.61517527261894,4.0
amycolatopsis_thermoflava,45.0,30.669270652226047,0.0
microbacterium_arborescens,30.0,25.27726938882988,4.0
kluyvera_intermedia,31.0,29.011349596756965,3.0
bacillus_circulans,32.0,29.161862390186236,2.0
streptomyces_griseoflavus,27.0,27.643410601395637,3.0
pseudoalteromonas_piscicida,28.0,22.943425315311984,0.0
nocardia_farcinica,32.0,35.17115107991126,3.0
sulfurimonas_denitrificans,24.0,24.48675730386894,4.0
