,true,pred,kfold
allobaculum_stercoricanis,37.0,33.677712,3.0
shewanella_algae,28.0,28.956512,1.0
bifidobacterium_saguini,37.0,35.5965,4.0
ochrobactrum_rhizosphaerae,28.0,29.876099999999994,1.0
sphingomonas_haloaromaticamans,30.0,29.602548999999996,0.0
kurthia_massiliensis,28.0,32.923701,0.0
bacillus_ligniniphilus,30.0,33.207283,1.0
planococcus_maritimus,29.0,30.595418000000002,2.0
collinsella_aerofaciens,37.0,36.1245,3.0
planococcus_halocryophilus,18.0,24.306917000000002,2.0
streptococcus_ictaluri,30.0,35.352,2.0
enterococcus_asini,37.0,34.348800000000004,1.0
palaeococcus_pacificus,80.0,78.47529999999999,1.0
clostridium_baratii,37.0,36.97925,1.0
paraglaciecola_chathamensis,18.0,25.74862599999996,4.0
shewanella_oneidensis,30.0,28.179832,4.0
lactococcus_lactis,31.0,30.565649999999998,1.0
shewanella_baltica,25.0,25.918533,1.0
methylotenera_versatilis,25.0,26.633,4.0
eubacterium_sulci,37.0,36.67105,1.0
glaciecola_pallidula,13.0,17.3735,4.0
paenibacillus_lactis,30.0,31.25925,0.0
nocardia_caishijiensis,29.0,29.411,2.0
balneola_vulgaris,27.0,27.935133999999998,3.0
streptomyces_viridosporus,28.0,27.567,3.0
caenibacillus_caldisaponilyticus,55.0,45.835122999999996,1.0
desulfovibrio_vulgaris,34.0,32.92,2.0
actinoalloteichus_spitiensis,30.0,29.7895,3.0
nitratifractor_salsuginis,59.0,39.273233,0.0
cladophialophora_carrionii,25.0,24.348,4.0
aspergillus_brasiliensis,26.0,25.8886,3.0
herbaspirillum_rhizosphaerae,27.0,28.5778,4.0
tepidiphilus_thermophilus,50.0,46.953866,1.0
rhodobacter_johrii,28.0,29.357582999999998,0.0
hoeflea_phototrophica,30.0,27.73024999999999,2.0
alicycliphilus_denitrificans,29.0,30.39785,3.0
dothistroma_septosporum,20.0,24.189949999999996,2.0
denitrovibrio_acetiphilus,30.0,35.48335,1.0
azovibrio_restrictus,28.0,32.85745,3.0
frateuria_aurantia,27.0,30.444217000000002,3.0
vibrio_owensii,27.0,28.89779999999999,1.0
herbaspirillum_huttiense,28.0,29.5964,2.0
methylophaga_frappieri,29.0,28.775917,4.0
providencia_burhodogranariea,31.0,30.900083,4.0
halanaerobium_congolense,42.0,38.564333,0.0
acinetobacter_indicus,31.0,30.001707,0.0
streptobacillus_moniliformis,37.0,38.21305,4.0
novosphingobium_aromaticivorans,30.0,28.7486,2.0
pseudoalteromonas_issachenkonii,23.0,25.274395000000002,3.0
parascardovia_denticolens,37.0,32.6105,3.0
tetrasphaera_jenkinsii,25.0,29.276666,2.0
corynebacterium_minutissimum,35.0,35.5115,3.0
haematospirillum_jordaniae,37.0,30.5875,4.0
peptoniphilus_lacrimalis,37.0,35.7955,3.0
dialister_invisus,36.0,36.48395,0.0
