,true,pred,kfold
allobaculum_stercoricanis,37.0,21.999148288277855,3.0
shewanella_algae,28.0,21.999998689120385,1.0
bifidobacterium_saguini,37.0,21.998671297756857,4.0
ochrobactrum_rhizosphaerae,28.0,21.999293744426495,1.0
sphingomonas_haloaromaticamans,30.0,21.999869907429275,0.0
kurthia_massiliensis,28.0,21.998997767997217,0.0
bacillus_ligniniphilus,30.0,21.99884831680681,1.0
planococcus_maritimus,29.0,21.99605448691954,2.0
collinsella_aerofaciens,37.0,21.99974757585525,3.0
planococcus_halocryophilus,18.0,21.99587182570919,2.0
streptococcus_ictaluri,30.0,21.996254691960598,2.0
enterococcus_asini,37.0,21.998714976224964,1.0
palaeococcus_pacificus,80.0,21.9995391959736,1.0
clostridium_baratii,37.0,21.999379363163875,1.0
paraglaciecola_chathamensis,18.0,21.998358436123365,4.0
shewanella_oneidensis,30.0,21.998436413221317,4.0
lactococcus_lactis,31.0,21.99837552413798,1.0
shewanella_baltica,25.0,21.999537069417276,1.0
methylotenera_versatilis,25.0,21.997966059458843,4.0
eubacterium_sulci,37.0,21.999279820501936,1.0
glaciecola_pallidula,13.0,21.997981758245754,4.0
paenibacillus_lactis,30.0,21.999452449908972,0.0
nocardia_caishijiensis,29.0,21.997382006436442,2.0
balneola_vulgaris,27.0,21.998423143552127,3.0
streptomyces_viridosporus,28.0,21.999902521238653,3.0
caenibacillus_caldisaponilyticus,55.0,21.999238796775284,1.0
desulfovibrio_vulgaris,34.0,21.997438231673343,2.0
actinoalloteichus_spitiensis,30.0,21.999892245054927,3.0
nitratifractor_salsuginis,59.0,21.999704569652483,0.0
cladophialophora_carrionii,25.0,22.001597177167984,4.0
aspergillus_brasiliensis,26.0,22.003099482374388,3.0
herbaspirillum_rhizosphaerae,27.0,21.998106130802327,4.0
tepidiphilus_thermophilus,50.0,22.000021048998956,1.0
rhodobacter_johrii,28.0,21.9998656624211,0.0
hoeflea_phototrophica,30.0,21.996516328429884,2.0
alicycliphilus_denitrificans,29.0,21.99955247163524,3.0
dothistroma_septosporum,20.0,22.00014076046439,2.0
denitrovibrio_acetiphilus,30.0,21.999237881072894,1.0
azovibrio_restrictus,28.0,21.99976269731105,3.0
frateuria_aurantia,27.0,21.999865852616413,3.0
vibrio_owensii,27.0,21.999359652925566,1.0
herbaspirillum_huttiense,28.0,21.99689122779682,2.0
methylophaga_frappieri,29.0,21.998361852349817,4.0
providencia_burhodogranariea,31.0,21.998218163441614,4.0
halanaerobium_congolense,42.0,21.999306541880774,0.0
acinetobacter_indicus,31.0,21.999688732440646,0.0
streptobacillus_moniliformis,37.0,21.998392766124123,4.0
novosphingobium_aromaticivorans,30.0,21.99692857116285,2.0
pseudoalteromonas_issachenkonii,23.0,21.998729463205564,3.0
parascardovia_denticolens,37.0,22.000049094771985,3.0
tetrasphaera_jenkinsii,25.0,21.997453917507084,2.0
corynebacterium_minutissimum,35.0,21.999517867020575,3.0
haematospirillum_jordaniae,37.0,21.998789873411713,4.0
