,true,pred,kfold
allobaculum_stercoricanis,37.0,35.05340305837522,3.0
shewanella_algae,28.0,25.586825695688873,1.0
bifidobacterium_saguini,37.0,35.59908465878119,4.0
ochrobactrum_rhizosphaerae,28.0,30.789672524698542,0.0
sphingomonas_haloaromaticamans,30.0,29.778186057088178,0.0
kurthia_massiliensis,28.0,31.742245542063543,0.0
bacillus_ligniniphilus,30.0,34.150805536679776,1.0
planococcus_maritimus,29.0,28.847447408598878,1.0
collinsella_aerofaciens,37.0,34.20875977209232,3.0
streptococcus_ictaluri,30.0,33.322221742339046,2.0
enterococcus_asini,37.0,30.237119676935656,2.0
palaeococcus_pacificus,80.0,74.91322114975264,0.0
clostridium_baratii,37.0,37.6651356463161,0.0
shewanella_oneidensis,30.0,29.103341137258692,1.0
lactococcus_lactis,31.0,34.1025606215659,4.0
shewanella_baltica,25.0,26.159277533346664,4.0
methylotenera_versatilis,25.0,24.872511880359937,3.0
eubacterium_sulci,37.0,39.56504064583138,0.0
paenibacillus_lactis,30.0,32.144733053484124,4.0
nocardia_caishijiensis,29.0,28.447951052104067,0.0
balneola_vulgaris,27.0,27.868574165816707,4.0
streptomyces_viridosporus,28.0,28.067823890713143,0.0
caenibacillus_caldisaponilyticus,55.0,46.71255618703461,2.0
desulfovibrio_vulgaris,34.0,33.03566235268283,3.0
actinoalloteichus_spitiensis,30.0,30.91506287804131,3.0
nitratifractor_salsuginis,59.0,52.69011431153912,3.0
cladophialophora_carrionii,25.0,25.14000258593559,1.0
aspergillus_brasiliensis,26.0,28.67530349660347,3.0
herbaspirillum_rhizosphaerae,27.0,28.042560717323482,0.0
tepidiphilus_thermophilus,50.0,49.91639052047718,4.0
rhodobacter_johrii,28.0,30.87018152613843,3.0
hoeflea_phototrophica,30.0,27.943080181338605,4.0
alicycliphilus_denitrificans,29.0,33.499021807455,1.0
denitrovibrio_acetiphilus,30.0,30.939213049960635,0.0
azovibrio_restrictus,28.0,33.51326446306273,2.0
frateuria_aurantia,27.0,27.48674910126922,3.0
vibrio_owensii,27.0,29.596956294909678,3.0
herbaspirillum_huttiense,28.0,27.936883460403713,0.0
methylophaga_frappieri,29.0,27.195461215298828,3.0
providencia_burhodogranariea,31.0,30.84848998590144,2.0
halanaerobium_congolense,42.0,37.38104549388207,1.0
acinetobacter_indicus,31.0,31.207931799243617,2.0
streptobacillus_moniliformis,37.0,32.696119450237035,4.0
novosphingobium_aromaticivorans,30.0,30.900169743808615,4.0
parascardovia_denticolens,37.0,41.100279220330926,0.0
tetrasphaera_jenkinsii,25.0,26.384913042378216,0.0
corynebacterium_minutissimum,35.0,33.65553515300431,4.0
haematospirillum_jordaniae,37.0,33.92149817346432,2.0
peptoniphilus_lacrimalis,37.0,40.43109567806864,3.0
dialister_invisus,36.0,39.13425544985689,3.0
actinomadura_rubrobrunea,55.0,40.31954655428073,2.0
nocardiopsis_halophila,28.0,29.885771646067923,3.0
histoplasma_capsulatum,29.0,24.856020014217407,4.0
weissella_confusa,31.0,33.22210509867101,3.0
desulfotomaculum_thermosubterraneum,60.0,59.17348401529656,1.0
mycobacterium_haemophilum,31.0,35.35889410628084,1.0
pediococcus_cellicola,34.0,31.940620085962692,2.0
amycolatopsis_thermoflava,45.0,31.795753347044787,0.0
microbacterium_arborescens,30.0,29.07614573128475,0.0
kluyvera_intermedia,31.0,32.20370625616108,3.0
bacillus_circulans,32.0,32.624355617222676,2.0
streptomyces_griseoflavus,27.0,28.028881927244097,4.0
pseudoalteromonas_piscicida,28.0,27.23189794618318,0.0
nocardia_farcinica,32.0,33.0444240432715,4.0
streptomyces_galbus,27.0,27.827448657127206,3.0
paenibacillus_odorifer,30.0,27.897956848678312,1.0
blastomyces_dermatitidis,31.0,24.64122468963705,3.0
vagococcus_penaei,30.0,34.64204494931597,3.0
legionella_hackeliae,37.0,33.93439083975822,2.0
nocardia_carnea,29.0,27.841610701500436,4.0
desulfurococcus_kamchatkensis,82.0,86.69343297398756,4.0
lactobacillus_jensenii,37.0,33.11896871651569,4.0
flavobacterium_filum,27.0,28.890528507520145,0.0
rhizobium_tibeticum,28.0,28.260686297415937,3.0
methylophaga_thiooxydans,28.0,29.829809732572166,2.0
staphylococcus_vitulinus,37.0,33.826922674280944,2.0
nautilia_profundicola,43.0,54.49042706382181,3.0
methanocella_paludicola,37.0,44.69385318894369,4.0
mycoplasma_gallinarum,37.0,35.643772578033435,2.0
nosocomiicoccus_ampullae,32.0,36.2387935156755,0.0
acinetobacter_soli,29.0,29.75160010483893,3.0
malassezia_globosa,30.0,27.248541996891284,0.0
lactobacillus_malefermentans,29.0,31.484052948114996,0.0
thiocystis_violascens,25.0,26.06523042526631,1.0
slackia_piriformis,37.0,40.27295337750709,4.0
komagataeibacter_europaeus,30.0,28.058205651748683,4.0
bacillus_muralis,30.0,28.284307418523483,0.0
lachnoanaerobaculum_saburreum,37.0,36.907977203223666,2.0
mycoplasma_glycophilum,37.0,38.646378383198446,3.0
selenomonas_bovis,37.0,38.431356948368844,1.0
persephonella_marina,70.0,68.79525577832699,0.0
leptotrichia_shahii,37.0,40.10370592311335,2.0
methanothermobacter_marburgensis,60.0,54.87404271731514,1.0
prevotella_saccharolytica,37.0,36.51305493415045,1.0
collimonas_arenae,28.0,28.94555781084341,0.0
thermus_islandicus,65.0,71.59438331671763,4.0
chryseolinea_serpens,25.0,28.34467844509016,4.0
corynebacterium_efficiens,37.0,32.82429295079703,4.0
haloferax_prahovense,37.0,37.97818586268772,0.0
bacillus_pseudofirmus,31.0,32.3819548174235,1.0
neisseria_elongata,33.0,33.81948960109684,0.0
flavobacterium_piscis,30.0,26.51307382456168,1.0
methanoplanus_limicola,34.0,33.924731585282274,0.0
ornithinibacillus_californiensis,30.0,37.44243974589068,2.0
clostridium_septicum,37.0,36.33559824733437,0.0
listeria_seeligeri,36.0,31.1360216616675,4.0
vibrio_atlanticus,25.0,25.98049540646798,3.0
enhygromyxa_salina,30.0,33.226123114871285,1.0
chryseobacterium_piperi,29.0,28.56046361975811,0.0
alicyclobacillus_ferrooxydans,30.0,37.48399846663167,4.0
longispora_albida,28.0,26.788460650649455,0.0
desulfitobacterium_hafniense,34.0,36.81957150695235,1.0
halanaerobium_saccharolyticum,37.0,34.09616386119904,3.0
streptomyces_decoyicus,29.0,26.572094050366516,3.0
vibrio_quintilis,28.0,30.50741420065188,4.0
aeromicrobium_erythreum,33.0,28.776665063158532,1.0
acinetobacter_johnsonii,29.0,30.91677245198559,0.0
oceanobacillus_caeni,32.0,36.593336906637354,4.0
jannaschia_rubra,25.0,26.494226624068343,4.0
comamonas_composti,28.0,28.188567423445125,0.0
sphingobium_ummariense,28.0,31.5971060408816,1.0
bacillus_cellulosilyticus,32.0,33.21164920155715,4.0
bacillus_novalis,30.0,33.64066077695396,2.0
photobacterium_sanctipauli,28.0,27.598651694215178,0.0
dokdonia_donghaensis,30.0,27.077311932220347,3.0
kordiimonas_gwangyangensis,36.0,27.453153742054884,0.0
corynebacterium_ulceribovis,37.0,34.36867825380257,0.0
campylobacter_showae,37.0,38.310260464601186,4.0
fretibacterium_fastidiosum,37.0,39.223192367756894,1.0
hydrocarboniphaga_effusa,29.0,25.930482531140143,3.0
carnimonas_nigrificans,30.0,30.41857499024622,1.0
celeribacter_indicus,25.0,30.469477948904554,4.0
lactobacillus_salivarius,37.0,41.005338052635054,3.0
actinomyces_radicidentis,37.0,29.847974594243578,1.0
capnocytophaga_sputigena,37.0,36.46432799241072,1.0
mycobacterium_colombiense,37.0,34.17378723370014,3.0
streptomyces_ipomoeae,27.0,29.401222949065875,0.0
actinomyces_suimastitidis,37.0,35.825582172210886,2.0
lactobacillus_shenzhenensis,37.0,33.454553847216076,1.0
xanthomonas_pisi,27.0,28.60341335147089,1.0
rhizobium_sullae,28.0,29.298312900658853,3.0
bacillus_marmarensis,30.0,32.08408318396834,0.0
paenibacillus_borealis,30.0,26.274485618922853,2.0
mycobacterium_wolinskyi,32.0,34.71145567420938,4.0
nevskia_soli,28.0,27.663921803956377,4.0
bacillus_boroniphilus,30.0,33.37354170027164,4.0
clostridium_cellulolyticum,35.0,34.99550259018735,2.0
castellaniella_caeni,28.0,31.982842322008334,0.0
mycobacterium_kyorinense,37.0,35.782921141199324,3.0
paraburkholderia_mimosarum,30.0,30.535488039111364,3.0
timonella_senegalensis,30.0,27.620504394888044,4.0
haemophilus_haemolyticus,37.0,37.040346196786594,2.0
bdellovibrio_bacteriovorus,28.0,28.36576854850651,4.0
psychrobacter_phenylpyruvicus,31.0,32.644556488035256,4.0
herbaspirillum_frisingense,35.0,29.070192953561822,2.0
lactobacillus_nasuensis,30.0,30.261338865659205,4.0
achromobacter_insolitus,33.0,29.849725308103196,4.0
spiroplasma_diminutum,28.0,28.72829999077298,0.0
bordetella_bronchiseptica,36.0,32.850460599432424,3.0
janibacter_limosus,29.0,26.34841512537136,0.0
yersinia_frederiksenii,30.0,29.30685080089804,2.0
enhydrobacter_aerosaccus,37.0,33.90240726295248,0.0
thermogemmatispora_carboxidivorans,55.0,48.61297852498723,4.0
bartonella_florencae,37.0,35.10727603867917,3.0
helicobacter_acinonychis,37.0,31.259970053626358,4.0
jeotgalibacillus_soli,30.0,29.251688414360643,0.0
lactobacillus_ruminis,35.0,36.76665343580532,2.0
xenorhabdus_hominickii,30.0,27.999085401931655,2.0
roseburia_inulinivorans,37.0,35.91859595327694,3.0
thioalkalimicrobium_cyclicum,28.0,23.974332117368697,0.0
bacillus_subtilis,30.0,33.20719223426711,2.0
pseudomonas_fluorescens,28.0,27.946577184651648,2.0
centipeda_periodontii,37.0,35.02114017848771,2.0
pseudomonas_bauzanensis,28.0,30.215540962447594,3.0
kaistia_adipata,31.0,31.5799853942435,4.0
riemerella_anatipestifer,37.0,32.75740200953203,1.0
bacillus_simplex,29.0,27.880427584008928,3.0
streptomyces_cyanoalbus,27.0,27.89358465746964,1.0
vulcanisaeta_souniana,85.0,81.10311654575605,4.0
streptococcus_phocae,35.0,31.389243822981463,0.0
gemmobacter_megaterium,28.0,30.47387347806798,2.0
hyphomonas_jannaschiana,30.0,28.37799820880305,0.0
lactobacillus_sharpeae,30.0,33.65009004365148,3.0
nocardia_brasiliensis,33.0,28.40585776346403,4.0
jannaschia_aquimarina,30.0,27.01641132446669,3.0
alloscardovia_omnicolens,37.0,37.51722502372778,4.0
coprococcus_catus,37.0,35.31695366823915,1.0
chloroflexus_aurantiacus,49.0,48.9943287516701,1.0
lactobacillus_hordei,30.0,33.374553893319,1.0
acinetobacter_bouvetii,30.0,29.330266023034795,3.0
enterobacter_hormaechei,32.0,32.947562222097005,0.0
pirellula_staleyi,26.0,28.147631281990932,1.0
azospira_oryzae,33.0,31.4715061118201,0.0
helicobacter_heilmannii,37.0,35.93638379354955,3.0
trichophyton_equinum,27.0,26.780825891394418,1.0
paenibacillus_pectinilyticus,30.0,30.77349395593553,2.0
anoxybacillus_thermarum,55.0,51.36499247772911,0.0
nocardia_vermiculata,29.0,28.351046743661346,1.0
mycobacterium_chlorophenolicum,31.0,32.94988323256577,3.0
lactobacillus_kalixensis,37.0,36.25015296475296,2.0
mycobacterium_rhodesiae,36.0,35.01953511997502,0.0
corynebacterium_appendicis,37.0,33.98151620441415,1.0
porphyromonas_asaccharolytica,37.0,37.79731633519441,3.0
vibrio_ruber,27.0,30.327891928989168,0.0
deinococcus_grandis,26.0,25.921914755674667,2.0
streptomyces_noursei,27.0,28.556242632823988,0.0
