,true,pred,kfold
allobaculum_stercoricanis,37.0,35.527625,3.0
shewanella_algae,28.0,29.830299,1.0
bifidobacterium_saguini,37.0,35.9795,4.0
ochrobactrum_rhizosphaerae,28.0,29.82609999999999,0.0
sphingomonas_haloaromaticamans,30.0,29.845532999999996,0.0
kurthia_massiliensis,28.0,31.297834,0.0
bacillus_ligniniphilus,30.0,32.683665999999995,1.0
planococcus_maritimus,29.0,30.524417,1.0
collinsella_aerofaciens,37.0,36.2526,3.0
streptococcus_ictaluri,30.0,35.601417,2.0
enterococcus_asini,37.0,35.162,2.0
palaeococcus_pacificus,80.0,79.950333,0.0
clostridium_baratii,37.0,37.33475,0.0
shewanella_oneidensis,30.0,27.549032999999994,1.0
lactococcus_lactis,31.0,32.2987,4.0
shewanella_baltica,25.0,27.598180999999997,4.0
methylotenera_versatilis,25.0,29.681966,3.0
eubacterium_sulci,37.0,37.182,0.0
paenibacillus_lactis,30.0,31.40825,4.0
nocardia_caishijiensis,29.0,29.273,0.0
balneola_vulgaris,27.0,29.3188,4.0
streptomyces_viridosporus,28.0,27.633,0.0
caenibacillus_caldisaponilyticus,55.0,48.155579999999986,2.0
desulfovibrio_vulgaris,34.0,34.082225,3.0
actinoalloteichus_spitiensis,30.0,30.356,3.0
nitratifractor_salsuginis,59.0,41.813025,3.0
cladophialophora_carrionii,25.0,25.6955,1.0
aspergillus_brasiliensis,26.0,25.863,3.0
herbaspirillum_rhizosphaerae,27.0,29.441399999999998,0.0
tepidiphilus_thermophilus,50.0,47.769400000000005,4.0
rhodobacter_johrii,28.0,29.549832,3.0
hoeflea_phototrophica,30.0,29.523199999999992,4.0
alicycliphilus_denitrificans,29.0,30.566333,1.0
denitrovibrio_acetiphilus,30.0,35.363375,0.0
azovibrio_restrictus,28.0,33.244415999999994,2.0
frateuria_aurantia,27.0,30.5925,3.0
vibrio_owensii,27.0,29.02198299999999,3.0
herbaspirillum_huttiense,28.0,29.565699999999996,0.0
methylophaga_frappieri,29.0,28.990099999999998,3.0
providencia_burhodogranariea,31.0,31.801625,2.0
halanaerobium_congolense,42.0,37.619333,1.0
acinetobacter_indicus,31.0,30.213033,2.0
streptobacillus_moniliformis,37.0,37.94525,4.0
novosphingobium_aromaticivorans,30.0,29.0016,4.0
parascardovia_denticolens,37.0,33.334125,0.0
tetrasphaera_jenkinsii,25.0,29.418833,0.0
corynebacterium_minutissimum,35.0,35.56,4.0
haematospirillum_jordaniae,37.0,31.5412,2.0
peptoniphilus_lacrimalis,37.0,36.2125,3.0
dialister_invisus,36.0,37.11875,3.0
actinomadura_rubrobrunea,55.0,34.454333,2.0
nocardiopsis_halophila,28.0,29.764833,3.0
histoplasma_capsulatum,29.0,29.7265,4.0
weissella_confusa,31.0,32.25969200000004,3.0
desulfotomaculum_thermosubterraneum,60.0,59.096632,1.0
mycobacterium_haemophilum,31.0,35.93,1.0
pediococcus_cellicola,34.0,32.7765,2.0
amycolatopsis_thermoflava,45.0,28.46,0.0
microbacterium_arborescens,30.0,29.231832999999998,0.0
kluyvera_intermedia,31.0,32.3805,3.0
bacillus_circulans,32.0,31.601599999999998,2.0
streptomyces_griseoflavus,27.0,27.763,4.0
