,true,pred,kfold
allobaculum_stercoricanis,37.0,37.137034365790626,3.0
shewanella_algae,28.0,28.248427703266845,1.0
bifidobacterium_saguini,37.0,35.06062757885566,4.0
ochrobactrum_rhizosphaerae,28.0,30.302410305255897,0.0
sphingomonas_haloaromaticamans,30.0,29.832345916164805,0.0
kurthia_massiliensis,28.0,30.373709802845323,0.0
bacillus_ligniniphilus,30.0,36.10978435972394,1.0
planococcus_maritimus,29.0,28.283763822522946,1.0
collinsella_aerofaciens,37.0,36.489768978471716,3.0
streptococcus_ictaluri,30.0,35.689264465180514,2.0
enterococcus_asini,37.0,34.93343451995334,2.0
palaeococcus_pacificus,80.0,76.5983853830979,0.0
clostridium_baratii,37.0,35.68447792446019,0.0
shewanella_oneidensis,30.0,27.54706543207359,1.0
lactococcus_lactis,31.0,35.34664983731298,4.0
shewanella_baltica,25.0,27.08788546255066,4.0
methylotenera_versatilis,25.0,27.64858456833342,3.0
eubacterium_sulci,37.0,37.55809718953371,0.0
paenibacillus_lactis,30.0,31.915457991962725,4.0
nocardia_caishijiensis,29.0,27.902082365063674,0.0
balneola_vulgaris,27.0,28.592574178387117,4.0
streptomyces_viridosporus,28.0,28.209968831720843,0.0
caenibacillus_caldisaponilyticus,55.0,49.674676318334086,2.0
desulfovibrio_vulgaris,34.0,33.01289439270224,3.0
actinoalloteichus_spitiensis,30.0,29.29007554993364,3.0
nitratifractor_salsuginis,59.0,50.30736240301614,3.0
cladophialophora_carrionii,25.0,25.49466229599951,1.0
aspergillus_brasiliensis,26.0,25.45865820963062,3.0
herbaspirillum_rhizosphaerae,27.0,28.909572013722155,0.0
tepidiphilus_thermophilus,50.0,50.23551109323478,4.0
rhodobacter_johrii,28.0,29.176494677131032,3.0
hoeflea_phototrophica,30.0,27.00272498036984,4.0
alicycliphilus_denitrificans,29.0,30.261259153511716,1.0
denitrovibrio_acetiphilus,30.0,29.603194530635438,0.0
azovibrio_restrictus,28.0,32.178233391627614,2.0
frateuria_aurantia,27.0,31.02132705939264,3.0
vibrio_owensii,27.0,29.54262172354874,3.0
herbaspirillum_huttiense,28.0,29.41855438161059,0.0
methylophaga_frappieri,29.0,28.451550345612425,3.0
providencia_burhodogranariea,31.0,31.87163535749729,2.0
halanaerobium_congolense,42.0,38.15111226412541,1.0
acinetobacter_indicus,31.0,29.817497977101034,2.0
streptobacillus_moniliformis,37.0,34.39994167780499,4.0
novosphingobium_aromaticivorans,30.0,29.377079203811604,4.0
parascardovia_denticolens,37.0,36.55679087467114,0.0
tetrasphaera_jenkinsii,25.0,26.699562534032417,0.0
corynebacterium_minutissimum,35.0,36.44265393292022,4.0
haematospirillum_jordaniae,37.0,33.187015583621665,2.0
peptoniphilus_lacrimalis,37.0,39.04652980796182,3.0
dialister_invisus,36.0,37.977374598379114,3.0
actinomadura_rubrobrunea,55.0,37.39445704558793,2.0
nocardiopsis_halophila,28.0,27.79579053989925,3.0
histoplasma_capsulatum,29.0,27.916069630204383,4.0
weissella_confusa,31.0,33.24518006516268,3.0
desulfotomaculum_thermosubterraneum,60.0,61.67527049413106,1.0
mycobacterium_haemophilum,31.0,36.47965687526993,1.0
pediococcus_cellicola,34.0,31.301411782569787,2.0
amycolatopsis_thermoflava,45.0,28.74313251808813,0.0
microbacterium_arborescens,30.0,29.581736437726388,0.0
kluyvera_intermedia,31.0,32.12610567507818,3.0
bacillus_circulans,32.0,30.403257406456937,2.0
streptomyces_griseoflavus,27.0,28.04292965360532,4.0
pseudoalteromonas_piscicida,28.0,27.368295103576394,0.0
nocardia_farcinica,32.0,30.992083966079818,4.0
streptomyces_galbus,27.0,26.945335934962024,3.0
paenibacillus_odorifer,30.0,28.88852589615657,1.0
blastomyces_dermatitidis,31.0,27.628365957866507,3.0
vagococcus_penaei,30.0,34.98506503189306,3.0
legionella_hackeliae,37.0,34.93215972821953,2.0
nocardia_carnea,29.0,30.7702614538618,4.0
desulfurococcus_kamchatkensis,82.0,89.68908775918396,4.0
lactobacillus_jensenii,37.0,34.80409793254174,4.0
flavobacterium_filum,27.0,29.280294480825567,0.0
rhizobium_tibeticum,28.0,29.167484350077373,3.0
methylophaga_thiooxydans,28.0,27.44236799329664,2.0
staphylococcus_vitulinus,37.0,35.51109563665527,2.0
nautilia_profundicola,43.0,54.23152164220032,3.0
methanocella_paludicola,37.0,45.87875352948302,4.0
mycoplasma_gallinarum,37.0,37.04899977531197,2.0
nosocomiicoccus_ampullae,32.0,36.37994342020197,0.0
acinetobacter_soli,29.0,30.764044565793515,3.0
malassezia_globosa,30.0,29.246624967668204,0.0
lactobacillus_malefermentans,29.0,31.46440750709535,0.0
