,true,pred,kfold
palaeococcus_pacificus,80.0,136.38902653487975,2.0
caenibacillus_caldisaponilyticus,55.0,56.132630099729084,4.0
nitratifractor_salsuginis,59.0,12.281757525750542,3.0
tepidiphilus_thermophilus,50.0,44.59636959098708,4.0
halanaerobium_congolense,42.0,60.58638799276376,0.0
actinomadura_rubrobrunea,55.0,13.233411790540515,0.0
desulfotomaculum_thermosubterraneum,60.0,71.3690552726004,0.0
amycolatopsis_thermoflava,45.0,80.95199469133573,4.0
desulfurococcus_kamchatkensis,82.0,82.81354604833362,2.0
nautilia_profundicola,43.0,105.11163597238772,2.0
persephonella_marina,70.0,113.9338484155094,3.0
methanothermobacter_marburgensis,60.0,13.790300076263563,0.0
thermus_islandicus,65.0,101.78529099420783,1.0
thermogemmatispora_carboxidivorans,55.0,55.059913244378265,1.0
vulcanisaeta_souniana,85.0,127.27778808508018,2.0
chloroflexus_aurantiacus,49.0,86.47639353256042,4.0
anoxybacillus_thermarum,55.0,79.09407853819489,2.0
geobacillus_jurassicus,55.0,37.738916935397285,0.0
acidothermus_cellulolyticus,55.0,80.69544600961899,1.0
tepidibacter_formicigenes,45.0,92.80033801820355,2.0
chaetomium_thermophilum,44.0,-29.24785942889376,3.0
mycobacterium_heckeshornense,42.0,18.79484149753675,3.0
aeropyrum_pernix,90.0,106.12833697043615,4.0
fervidicoccus_fontis,80.0,94.65274524574191,1.0
tepidanaerobacter_syntrophicus,45.0,-17.695917598861797,3.0
thermosediminibacter_oceani,67.0,37.29807331249587,4.0
sulfobacillus_acidophilus,45.0,10.315344157224445,4.0
caldimonas_manganoxidans,48.0,43.436058033067525,1.0
methylococcus_capsulatus,41.0,-13.3438456646808,2.0
methanothermobacter_wolfeii,60.0,46.95365768468049,0.0
thermobifida_cellulosilytica,45.0,78.83384838088037,4.0
thermoactinomyces_daqus,55.0,33.612405633903634,0.0
pyrococcus_horikoshii,95.0,90.24197597872542,2.0
thermomonas_hydrothermalis,51.0,33.60040027444617,3.0
actinopolyspora_mortivallis,41.0,66.12311794875622,2.0
hydrogenibacillus_schlegelii,60.0,27.255521413961674,3.0
thermosipho_atlanticus,65.0,81.63657564555764,3.0
methanocaldococcus_vulcanius,80.0,46.5584427930646,4.0
deferrisoma_camini,50.0,-33.690950311289185,2.0
thermonema_rossianum,50.0,43.463692220904875,1.0
caldivirga_maquilingensis,83.0,193.8276764386516,1.0
thermanaerovibrio_velox,60.0,31.581175928465484,1.0
thermincola_ferriacetica,60.0,11.392013238099977,2.0
desulfurococcus_fermentans,80.0,110.88973773336821,4.0
thermicanus_aegyptius,55.0,57.74477200471705,2.0
pyrodictium_occultum,97.0,92.90921089208257,3.0
anoxybacillus_flavithermus,57.0,42.097883412310935,1.0
sulfobacillus_thermosulfidooxidans,50.0,64.86788456910936,0.0
thermoanaerobacter_brockii,63.0,64.68131448553619,2.0
ignavibacterium_album,45.0,-78.68710442064034,4.0
meiothermus_silvanus,50.0,35.249905191082036,4.0
thermocrispum_agreste,45.0,55.162217920726434,2.0
gracilibacillus_halophilus,44.0,33.56607231438704,3.0
ignicoccus_hospitalis,90.0,92.22925666850435,2.0
desulfurobacterium_thermolithotrophum,70.0,127.20866876274826,3.0
isosphaera_pallida,45.0,33.92370786661769,2.0
caldicellulosiruptor_owensensis,70.0,89.40428437469629,3.0
