,true,pred,kfold
palaeococcus_pacificus,80.0,80.60095,2.0
caenibacillus_caldisaponilyticus,55.0,54.087,4.0
nitratifractor_salsuginis,59.0,54.73667999999999,3.0
tepidiphilus_thermophilus,50.0,51.367599999999996,4.0
halanaerobium_congolense,42.0,52.194565999999995,0.0
actinomadura_rubrobrunea,55.0,48.9745,0.0
desulfotomaculum_thermosubterraneum,60.0,59.985166,0.0
amycolatopsis_thermoflava,45.0,47.61339999999999,4.0
desulfurococcus_kamchatkensis,82.0,85.572,2.0
nautilia_profundicola,43.0,58.913899999999984,2.0
persephonella_marina,70.0,66.39754999999992,3.0
methanothermobacter_marburgensis,60.0,58.952532999999995,0.0
thermus_islandicus,65.0,67.23010000000015,1.0
thermogemmatispora_carboxidivorans,55.0,57.600233,1.0
vulcanisaeta_souniana,85.0,80.63124999999998,2.0
chloroflexus_aurantiacus,49.0,51.4564,4.0
anoxybacillus_thermarum,55.0,54.51666299999999,2.0
geobacillus_jurassicus,55.0,55.697832999999996,0.0
acidothermus_cellulolyticus,55.0,48.0975,1.0
tepidibacter_formicigenes,45.0,54.42329999999999,2.0
chaetomium_thermophilum,44.0,50.06339799999997,3.0
mycobacterium_heckeshornense,42.0,47.79339999999999,3.0
aeropyrum_pernix,90.0,86.3965,4.0
fervidicoccus_fontis,80.0,76.87475,1.0
tepidanaerobacter_syntrophicus,45.0,56.41543299999999,3.0
thermosediminibacter_oceani,67.0,62.1018,4.0
sulfobacillus_acidophilus,45.0,51.75945,4.0
caldimonas_manganoxidans,48.0,52.033199999999994,1.0
methylococcus_capsulatus,41.0,46.5145,2.0
methanothermobacter_wolfeii,60.0,59.275465999999994,0.0
thermobifida_cellulosilytica,45.0,47.6365,4.0
thermoactinomyces_daqus,55.0,52.72052799999999,0.0
pyrococcus_horikoshii,95.0,86.85810000000001,2.0
thermomonas_hydrothermalis,51.0,47.64909999999999,3.0
actinopolyspora_mortivallis,41.0,48.2045,2.0
hydrogenibacillus_schlegelii,60.0,59.412833000000006,3.0
thermosipho_atlanticus,65.0,71.4182,3.0
methanocaldococcus_vulcanius,80.0,77.288,4.0
deferrisoma_camini,50.0,58.750699999999995,2.0
thermonema_rossianum,50.0,57.823123999999964,1.0
caldivirga_maquilingensis,83.0,82.29973299999999,1.0
thermanaerovibrio_velox,60.0,55.18733299999999,1.0
thermincola_ferriacetica,60.0,53.169999,2.0
desulfurococcus_fermentans,80.0,85.605,4.0
thermicanus_aegyptius,55.0,55.675855999999975,2.0
pyrodictium_occultum,97.0,90.361,3.0
anoxybacillus_flavithermus,57.0,55.949332,1.0
sulfobacillus_thermosulfidooxidans,50.0,50.686528999999986,0.0
thermoanaerobacter_brockii,63.0,64.367,2.0
ignavibacterium_album,45.0,53.2932,4.0
meiothermus_silvanus,50.0,54.14985,4.0
thermocrispum_agreste,45.0,48.221,2.0
gracilibacillus_halophilus,44.0,48.55142799999998,3.0
ignicoccus_hospitalis,90.0,89.118,2.0
desulfurobacterium_thermolithotrophum,70.0,70.477883,3.0
isosphaera_pallida,45.0,47.6295,2.0
caldicellulosiruptor_owensensis,70.0,67.53659999999998,3.0
acidilobus_saccharovorans,80.0,79.02313299999999,3.0
thermosulfurimonas_dismutans,70.0,69.504166,0.0
thermus_igniterrae,70.0,65.93910000000027,1.0
chlorobium_tepidum,45.0,46.527799999999985,3.0
marinitoga_hydrogenitolerans,60.0,62.59179999999999,1.0
archaeoglobus_profundus,85.0,82.878,0.0
thermobispora_bispora,52.0,53.36745,3.0
ruegeria_lacuscaerulensis,45.0,46.079699999999974,4.0
pyrolobus_fumarii,103.0,91.644833,0.0
ureibacillus_thermosphaericus,47.0,51.697596999999995,0.0
thermoproteus_uzoniensis,85.0,86.9785,0.0
moorella_thermoacetica,58.0,60.4719,4.0
thermodesulfatator_autotrophicus,65.0,67.803016,1.0
brevibacillus_thermoruber,45.0,53.402497,2.0
thermococcus_paralvinellae,80.0,81.15289999999999,4.0
alicyclobacillus_shizuokensis,50.0,50.23979999999999,4.0
methanothermococcus_thermolithotrophicus,63.0,65.16196599999999,1.0
caldicellulosiruptor_obsidiansis,74.0,68.6946,3.0
desulfotomaculum_alkaliphilum,50.0,51.83796099999997,3.0
moorella_glycerini,60.0,60.074,4.0
caloramator_australicus,60.0,59.89159999999999,3.0
geoglobus_ahangari,85.0,79.688,0.0
thermus_filiformis,70.0,71.49330000000002,2.0
methanocaldococcus_villosus,80.0,81.709,1.0
thermophagus_xiamenensis,55.0,50.25664999999999,1.0
lactobacillus_amylolyticus,43.0,48.22033199999998,1.0
pseudomonas_thermotolerans,47.0,48.3403,4.0
thermococcus_celericrescens,80.0,79.595733,2.0
methanolinea_tarda,50.0,49.96823299999999,1.0
pyrococcus_furiosus,96.0,88.716,4.0
vulcanibacillus_modesticaldus,45.0,50.9545,4.0
hippea_alviniae,65.0,64.87398299999998,1.0
thermococcus_cleftensis,80.0,82.212,1.0
thermococcus_thioreducens,85.0,80.2895,0.0
thermus_tengchongensis,65.0,66.0672500000001,1.0
alicyclobacillus_contaminans,55.0,49.31533299999999,0.0
rubritepida_flocculans,50.0,54.55850000000001,1.0
desulfurococcus_mucosus,87.0,85.3585,3.0
saccharopolyspora_rectivirgula,52.0,45.45099999999999,1.0
methanothermobacter_thermautotrophicus,62.0,57.715533,3.0
sulfurivirga_caldicuralii,55.0,48.50099499999996,3.0
thermus_scotoductus,66.0,65.95275000000007,1.0
thermodesulfobium_narugense,50.0,58.30904999999998,2.0
thermococcus_chitonophagus,85.0,87.65145,2.0
ornatilinea_apprima,42.0,51.53896499999998,0.0
pyrobaculum_calidifontis,90.0,91.7405,0.0
thermoanaerobacter_mathranii,58.0,63.7998,3.0
tuberibacillus_calidus,50.0,51.1608,4.0
thermodesulfovibrio_thiophilus,55.0,58.215132999999994,2.0
bellilinea_caldifistulae,55.0,52.507266,1.0
thermosphaera_aggregans,85.0,84.0645,0.0
desulfurella_acetivorans,55.0,55.3047,2.0
flexistipes_sinusarabici,45.0,53.235,4.0
desulfotomaculum_australicum,65.0,60.18013199999999,2.0
thermus_thermophilus,71.0,71.35360000000003,2.0
pseudothermotoga_lettingae,65.0,59.96461499999998,2.0
metallosphaera_sedula,67.0,72.34739999999998,2.0
methanotorris_formicicus,68.0,78.406,3.0
fervidobacterium_gondwanense,65.0,66.56504999999999,4.0
thermotoga_neapolitana,79.0,72.36086499999996,3.0
clostridium_tepidiprofundi,50.0,53.8887,0.0
thermococcus_kodakarensis,60.0,83.5875,3.0
