,true,pred,kfold
palaeococcus_pacificus,80.0,79.60456168640022,2.0
caenibacillus_caldisaponilyticus,55.0,53.40823193976161,4.0
nitratifractor_salsuginis,59.0,55.10427787598265,3.0
tepidiphilus_thermophilus,50.0,51.91944363403567,4.0
halanaerobium_congolense,42.0,49.772384325485866,0.0
actinomadura_rubrobrunea,55.0,48.05928705864839,0.0
desulfotomaculum_thermosubterraneum,60.0,61.48530806214802,0.0
amycolatopsis_thermoflava,45.0,44.393739575888105,4.0
desulfurococcus_kamchatkensis,82.0,87.97765807728366,2.0
nautilia_profundicola,43.0,53.94644165688637,2.0
persephonella_marina,70.0,69.44119605534236,3.0
methanothermobacter_marburgensis,60.0,60.72390678345343,0.0
thermus_islandicus,65.0,67.56050230555114,1.0
thermogemmatispora_carboxidivorans,55.0,60.321633135455066,1.0
vulcanisaeta_souniana,85.0,80.33149409541795,2.0
chloroflexus_aurantiacus,49.0,54.283872480878344,4.0
anoxybacillus_thermarum,55.0,53.18020542760496,2.0
geobacillus_jurassicus,55.0,57.221881679558635,0.0
acidothermus_cellulolyticus,55.0,50.11371154696061,1.0
tepidibacter_formicigenes,45.0,52.345963169451835,2.0
chaetomium_thermophilum,44.0,52.709949944119,3.0
mycobacterium_heckeshornense,42.0,47.187884698170336,3.0
aeropyrum_pernix,90.0,86.96572706693941,4.0
fervidicoccus_fontis,80.0,75.19378818099537,1.0
tepidanaerobacter_syntrophicus,45.0,54.508660255254114,3.0
thermosediminibacter_oceani,67.0,63.88513905555068,4.0
sulfobacillus_acidophilus,45.0,55.442876018896335,4.0
caldimonas_manganoxidans,48.0,51.95916444833691,1.0
methylococcus_capsulatus,41.0,44.028427115006714,2.0
methanothermobacter_wolfeii,60.0,60.893199208915966,0.0
thermobifida_cellulosilytica,45.0,46.337636344244586,4.0
thermoactinomyces_daqus,55.0,52.426071338873584,0.0
pyrococcus_horikoshii,95.0,88.35313111725495,2.0
thermomonas_hydrothermalis,51.0,45.90502404216742,3.0
actinopolyspora_mortivallis,41.0,48.81612515678073,2.0
hydrogenibacillus_schlegelii,60.0,62.75206872263453,3.0
thermosipho_atlanticus,65.0,68.62471285439688,3.0
methanocaldococcus_vulcanius,80.0,79.07587300654288,4.0
deferrisoma_camini,50.0,63.324242877088714,2.0
thermonema_rossianum,50.0,61.34246004494128,1.0
caldivirga_maquilingensis,83.0,80.62977171679944,1.0
thermanaerovibrio_velox,60.0,50.848906109409,1.0
thermincola_ferriacetica,60.0,53.785137630495655,2.0
desulfurococcus_fermentans,80.0,87.4410378678851,4.0
thermicanus_aegyptius,55.0,55.14066136368742,2.0
pyrodictium_occultum,97.0,84.47120333384808,3.0
anoxybacillus_flavithermus,57.0,56.57025596246616,1.0
sulfobacillus_thermosulfidooxidans,50.0,51.82085771925422,0.0
thermoanaerobacter_brockii,63.0,64.31815962934994,2.0
ignavibacterium_album,45.0,49.544968027727336,4.0
meiothermus_silvanus,50.0,54.124752613834644,4.0
thermocrispum_agreste,45.0,49.04552608891017,2.0
gracilibacillus_halophilus,44.0,46.63399398908337,3.0
ignicoccus_hospitalis,90.0,89.38111336159686,2.0
desulfurobacterium_thermolithotrophum,70.0,78.2381130825396,3.0
isosphaera_pallida,45.0,49.488672175014536,2.0
caldicellulosiruptor_owensensis,70.0,67.87496445878494,3.0
acidilobus_saccharovorans,80.0,72.17664242076735,3.0
thermosulfurimonas_dismutans,70.0,72.99254792423002,0.0
thermus_igniterrae,70.0,66.59198486086572,1.0
chlorobium_tepidum,45.0,44.980568600438545,3.0
marinitoga_hydrogenitolerans,60.0,62.31358172078141,1.0
archaeoglobus_profundus,85.0,85.91754477737133,0.0
thermobispora_bispora,52.0,53.21443360226689,3.0
ruegeria_lacuscaerulensis,45.0,42.33661556130014,4.0
pyrolobus_fumarii,103.0,94.45457191265818,0.0
ureibacillus_thermosphaericus,47.0,49.12806475973218,0.0
thermoproteus_uzoniensis,85.0,86.81775969645184,0.0
moorella_thermoacetica,58.0,60.33284489789201,4.0
thermodesulfatator_autotrophicus,65.0,69.47517909381139,1.0
brevibacillus_thermoruber,45.0,52.76268401983256,2.0
thermococcus_paralvinellae,80.0,83.86672984405959,4.0
