,true,pred,kfold
palaeococcus_pacificus,80.0,82.38709677419355,2.0
caenibacillus_caldisaponilyticus,55.0,52.68518518518518,4.0
nitratifractor_salsuginis,59.0,50.465270833333335,3.0
tepidiphilus_thermophilus,50.0,49.13793103448276,4.0
halanaerobium_congolense,42.0,51.8,0.0
actinomadura_rubrobrunea,55.0,59.625,0.0
desulfotomaculum_thermosubterraneum,60.0,59.625,0.0
amycolatopsis_thermoflava,45.0,45.81951219512195,4.0
desulfurococcus_kamchatkensis,82.0,82.38709677419355,2.0
nautilia_profundicola,43.0,57.44814814814814,2.0
persephonella_marina,70.0,72.77575757575757,3.0
methanothermobacter_marburgensis,60.0,59.625,0.0
thermus_islandicus,65.0,65.05714285714285,1.0
thermogemmatispora_carboxidivorans,55.0,57.416666666666664,1.0
vulcanisaeta_souniana,85.0,91.12,2.0
chloroflexus_aurantiacus,49.0,45.81951219512195,4.0
anoxybacillus_thermarum,55.0,54.7688064516129,2.0
geobacillus_jurassicus,55.0,54.935367346938776,0.0
acidothermus_cellulolyticus,55.0,57.416666666666664,1.0
tepidibacter_formicigenes,45.0,57.44814814814814,2.0
chaetomium_thermophilum,44.0,50.465270833333335,3.0
mycobacterium_heckeshornense,42.0,51.705882352941174,3.0
aeropyrum_pernix,90.0,89.2741935483871,4.0
fervidicoccus_fontis,80.0,90.75,1.0
tepidanaerobacter_syntrophicus,45.0,72.77575757575757,3.0
thermosediminibacter_oceani,67.0,73.2,4.0
sulfobacillus_acidophilus,45.0,56.5,4.0
caldimonas_manganoxidans,48.0,55.0,1.0
methylococcus_capsulatus,41.0,51.1,2.0
methanothermobacter_wolfeii,60.0,45.93255813953488,0.0
thermobifida_cellulosilytica,45.0,45.81951219512195,4.0
thermoactinomyces_daqus,55.0,54.935367346938776,0.0
pyrococcus_horikoshii,95.0,91.12,2.0
thermomonas_hydrothermalis,51.0,45.19,3.0
actinopolyspora_mortivallis,41.0,51.1,2.0
hydrogenibacillus_schlegelii,60.0,56.8,3.0
thermosipho_atlanticus,65.0,76.62,3.0
methanocaldococcus_vulcanius,80.0,70.66129032258064,4.0
deferrisoma_camini,50.0,55.75,2.0
thermonema_rossianum,50.0,59.58325,1.0
caldivirga_maquilingensis,83.0,60.0,1.0
thermanaerovibrio_velox,60.0,42.125,1.0
thermincola_ferriacetica,60.0,54.7688064516129,2.0
desulfurococcus_fermentans,80.0,89.2741935483871,4.0
thermicanus_aegyptius,55.0,47.92857142857143,2.0
pyrodictium_occultum,97.0,91.28,3.0
anoxybacillus_flavithermus,57.0,55.0,1.0
sulfobacillus_thermosulfidooxidans,50.0,50.31428571428572,0.0
thermoanaerobacter_brockii,63.0,64.67777777777778,2.0
ignavibacterium_album,45.0,73.2,4.0
meiothermus_silvanus,50.0,52.68518518518518,4.0
thermocrispum_agreste,45.0,46.2375,2.0
gracilibacillus_halophilus,44.0,50.465270833333335,3.0
ignicoccus_hospitalis,90.0,91.12,2.0
desulfurobacterium_thermolithotrophum,70.0,72.77575757575757,3.0
isosphaera_pallida,45.0,51.1,2.0
caldicellulosiruptor_owensensis,70.0,72.77575757575757,3.0
acidilobus_saccharovorans,80.0,66.15,3.0
thermosulfurimonas_dismutans,70.0,69.10204081632654,0.0
thermus_igniterrae,70.0,65.05714285714285,1.0
chlorobium_tepidum,45.0,51.705882352941174,3.0
marinitoga_hydrogenitolerans,60.0,60.0,1.0
archaeoglobus_profundus,85.0,80.24,0.0
thermobispora_bispora,52.0,56.8,3.0
ruegeria_lacuscaerulensis,45.0,51.22222222222222,4.0
pyrolobus_fumarii,103.0,89.53448275862068,0.0
ureibacillus_thermosphaericus,47.0,54.935367346938776,0.0
thermoproteus_uzoniensis,85.0,89.53448275862068,0.0
moorella_thermoacetica,58.0,56.5,4.0
thermodesulfatator_autotrophicus,65.0,68.25,1.0
brevibacillus_thermoruber,45.0,55.75,2.0
thermococcus_paralvinellae,80.0,79.62962962962963,4.0
alicyclobacillus_shizuokensis,50.0,51.22222222222222,4.0
methanothermococcus_thermolithotrophicus,63.0,71.28571428571429,1.0
caldicellulosiruptor_obsidiansis,74.0,72.77575757575757,3.0
desulfotomaculum_alkaliphilum,50.0,51.705882352941174,3.0
moorella_glycerini,60.0,56.5,4.0
caloramator_australicus,60.0,62.45961538461539,3.0
geoglobus_ahangari,85.0,80.24,0.0
thermus_filiformis,70.0,64.67777777777778,2.0
methanocaldococcus_villosus,80.0,66.5,1.0
thermophagus_xiamenensis,55.0,56.75,1.0
lactobacillus_amylolyticus,43.0,46.166666666666664,1.0
pseudomonas_thermotolerans,47.0,45.81951219512195,4.0
thermococcus_celericrescens,80.0,82.38709677419355,2.0
methanolinea_tarda,50.0,42.0,1.0
pyrococcus_furiosus,96.0,89.2741935483871,4.0
vulcanibacillus_modesticaldus,45.0,49.13793103448276,4.0
hippea_alviniae,65.0,73.07142857142857,1.0
thermococcus_cleftensis,80.0,71.28571428571429,1.0
thermococcus_thioreducens,85.0,80.24,0.0
thermus_tengchongensis,65.0,65.05714285714285,1.0
alicyclobacillus_contaminans,55.0,45.93255813953488,0.0
rubritepida_flocculans,50.0,55.0,1.0
desulfurococcus_mucosus,87.0,91.28,3.0
