,true,pred,kfold
planococcus_halocryophilus,18.0,17.261887248510035,2.0
paraglaciecola_chathamensis,18.0,18.01852219218203,4.0
glaciecola_pallidula,13.0,16.560508813569225,3.0
dothistroma_septosporum,20.0,23.212459040695894,4.0
pseudoalteromonas_issachenkonii,23.0,18.606353788334808,0.0
sulfurimonas_denitrificans,24.0,18.787202512472327,0.0
capronia_coronata,20.0,24.05666659570749,0.0
pichia_kudriavzevii,24.0,22.8536262838695,4.0
penicillium_steckii,24.0,22.783897605788052,2.0
colletotrichum_nymphaeae,20.0,23.089522884098834,2.0
cycloclasticus_pugetii,20.0,17.731940139174156,3.0
rhynchosporium_secalis,15.0,21.996856809297885,0.0
methylobacter_tundripaludum,22.0,19.024360961443953,1.0
aliivibrio_logei,18.0,16.464947473275924,1.0
ceraceosorus_bombacis,24.0,18.873359527205327,2.0
flavobacterium_columnare,23.0,19.392788926436236,4.0
chryseobacterium_jeonii,16.0,18.824484152510973,2.0
lactobacillus_algidus,18.0,15.744552779401504,0.0
penicillium_oxalicum,24.0,23.572916096898886,1.0
daedalea_quercina,24.0,23.84864818313371,2.0
sclerotinia_borealis,8.0,22.01560347015281,3.0
paenibacillus_antarcticus,19.0,18.253298517284477,3.0
coccidioides_posadasii,24.0,23.494650291528526,4.0
alteromonas_mediterranea,23.0,18.591130419191394,1.0
tenacibaculum_ovolyticum,15.0,17.14490204360315,3.0
pseudovibrio_axinellae,24.0,19.246774654767236,4.0
gelidibacter_algens,18.0,17.459578204655738,4.0
hydrococcus_rivularis,20.0,23.034825228786705,1.0
arthrobotrys_oligospora,24.0,23.728670986486172,2.0
debaryomyces_fabryi,24.0,23.12359237706279,0.0
formosa_agariphila,21.0,17.383970635267566,4.0
lacinutrix_algicola,18.0,18.40365735517422,0.0
bacillus_psychrosaccharolyticus,18.0,16.400082132993504,2.0
planktotalea_frisia,20.0,17.222249958532174,3.0
lachancea_dasiensis,23.0,22.76775116661535,0.0
exidia_glandulosa,24.0,23.51505328718281,3.0
gramella_forsetii,24.0,19.628626387351005,3.0
aspergillus_versicolor,24.0,23.054521370679062,4.0
flavobacterium_antarcticum,16.0,17.63813709478572,2.0
penicillium_rubens,24.0,23.16828632697385,1.0
moritella_viscosa,16.0,15.583106630674028,1.0
gonapodya_prolifera,20.0,21.32745501629233,1.0
planococcus_antarcticus,18.0,17.1780601131987,2.0
penicillium_roqueforti,24.0,23.284684832709225,4.0
novosphingobium_lentum,20.0,18.53913363984386,2.0
leuconostoc_gelidum,24.0,13.509327686500724,3.0
kazachstania_africana,24.0,23.135967871521157,1.0
moritella_dasanensis,10.0,16.381892635317268,0.0
xanthophyllomyces_dendrorhous,21.0,19.10625639100058,2.0
shewanella_frigidimarina,16.0,15.866300703009422,4.0
nonlabens_ulvanivorans,22.0,18.33527720679997,4.0
cryobacterium_roopkundense,8.0,16.95992629949719,2.0
stachybotrys_chartarum,24.0,23.87505849293883,3.0
aliivibrio_salmonicida,10.0,18.18283251602339,2.0
fusarium_culmorum,24.0,23.519416226743658,3.0
phaeobacter_inhibens,24.0,20.31740666841274,2.0
tomitella_biformata,17.0,15.959545593221899,3.0
amphritea_japonica,20.0,19.21080455670715,3.0
methylocella_silvestris,23.0,20.224698520044836,0.0
shewanella_woodyi,16.0,17.093975667666086,1.0
phlebiopsis_gigantea,24.0,23.426996935812262,3.0
clostridium_algidicarnis,22.0,16.294317430200834,1.0
acidiphilium_angustum,20.0,19.36514007146806,0.0
hemiselmis_andersenii,20.0,22.41142703606394,3.0
lentisphaera_araneosa,23.0,21.04583151032135,4.0
rheinheimera_perlucida,22.0,19.280658749633602,0.0
spirosoma_spitsbergense,20.0,21.472079724543377,0.0
bipolaris_maydis,24.0,23.77651767144869,0.0
pseudoalteromonas_arctica,16.0,18.246313152038905,4.0
hanseniaspora_guilliermondii,24.0,22.74860329820949,1.0
carnobacterium_pleistocenium,16.0,16.49473046104266,2.0
planktothrix_rubescens,20.0,23.078360685196785,4.0
yarrowia_lipolytica,24.0,23.305946244689892,4.0
leishmania_panamensis,24.0,22.48007542948929,1.0
pseudoalteromonas_haloplanktis,24.0,17.366902039536843,3.0
colwellia_psychrerythraea,8.0,14.947254413003183,3.0
nostoc_punctiforme,20.0,21.247471983143264,4.0
fomitopsis_pinicola,24.0,24.068427889745823,3.0
flavobacterium_frigidimaris,22.0,18.837496169693143,1.0
eremothecium_sinecaudum,24.0,22.949588601768657,2.0
oceanimonas_smirnovii,24.0,21.468782514396125,1.0
paxillus_involutus,22.0,22.285281059466527,1.0
granulicella_tundricola,20.0,20.277906243298872,1.0
aspergillus_parasiticus,24.0,23.209594778452058,4.0
fistulina_hepatica,22.0,23.672764377505214,2.0
methyloferula_stellata,23.0,20.832589366582344,1.0
planktothrix_tepida,22.0,23.103978163932773,4.0
komagataella_phaffii,22.0,22.949095066343457,4.0
grifola_frondosa,24.0,22.67336523340168,2.0
phialocephala_scopiformis,24.0,21.83315660555217,1.0
coprinopsis_cinerea,24.0,24.10509080676405,0.0
cryobacterium_arcticum,16.0,17.643744933394206,1.0
microdochium_bolleyi,24.0,22.846852799982774,0.0
arthrospira_platensis,22.0,21.29764209520301,1.0
penicillium_vulpinum,24.0,22.929083107467022,3.0
photobacterium_profundum,10.0,17.817183411750108,1.0
leptothrix_cholodnii,23.0,20.29088109212548,3.0
psychrilyobacter_atlanticus,18.0,16.14517652265551,3.0
deinococcus_marmoris,15.0,21.379827128080258,1.0
drechmeria_coniospora,24.0,21.90610828949584,2.0
thiomicrospira_crunogena,24.0,17.53689742905676,2.0
sporosarcina_psychrophila,19.0,14.991060381155739,1.0
shewanella_violacea,7.0,16.742700586232765,0.0
leifsonia_rubra,15.0,15.348125222476373,3.0
paenibacillus_glacialis,18.0,19.951401219580326,4.0
dasania_marina,18.0,19.236545749142685,2.0
verminephrobacter_aporrectodeae,22.0,19.907111621478276,1.0
lacinutrix_himadriensis,13.0,18.33215039647611,0.0
conidiobolus_coronatus,24.0,22.680134215214018,2.0
idiomarina_abyssalis,18.0,21.326388904090347,4.0
kuraishia_capsulata,24.0,22.716059413258364,0.0
moniliophthora_roreri,24.0,23.737354789267386,2.0
nadsonia_fulvescens,22.0,21.251500479193304,2.0
luteibacter_rhizovicinus,24.0,20.14082554184184,2.0
sporothrix_brasiliensis,24.0,22.413717010076002,3.0
leisingera_caerulea,20.0,20.83951883477379,4.0
anabaena_cylindrica,22.0,20.94619878633143,3.0
wickerhamomyces_ciferrii,24.0,24.425677930438326,0.0
sulfuricella_denitrificans,22.0,20.67245763100195,3.0
desulfovibrio_frigidus,18.0,15.138197949864818,1.0
arthrobacter_alpinus,18.0,17.17499610287559,1.0
geopsychrobacter_electrodiphilus,22.0,18.565492616037325,4.0
sporidiobolus_salmonicolor,24.0,23.64585599406581,1.0
penicillium_camemberti,24.0,22.875534607984385,2.0
paulinella_chromatophora,20.0,15.61310610176568,2.0
psychromonas_hadalis,6.0,15.83319863066638,1.0
beauveria_bassiana,24.0,22.41272953843207,4.0
thalassospira_lucentensis,13.0,18.93122414774133,1.0
methanococcoides_burtonii,19.0,15.993824117701479,1.0
pochonia_chlamydosporia,20.0,22.271311251012634,4.0
pyrenophora_teres,23.0,24.05865485429156,3.0
fischerella_major,20.0,22.515496600837555,2.0
neptunomonas_japonica,17.0,18.29375096991312,0.0
olleya_marilimosa,23.0,16.08928761665917,4.0
photobacterium_iliopiscarium,17.0,17.920740339072253,3.0
chryseobacterium_antarcticum,16.0,18.479197013409767,0.0
fonsecaea_monophora,23.0,24.026493340662164,4.0
pseudoalteromonas_prydzensis,20.0,17.86518109360113,3.0
microbotryum_violaceum,23.0,21.753556716609864,2.0
trichoderma_atroviride,23.0,22.721698212994,0.0
flavobacterium_frigidarium,14.0,17.066826136459476,3.0
oleispira_antarctica,15.0,17.283853585858893,4.0
geminocystis_herdmanii,22.0,19.836652961242475,0.0
maribacter_forsetii,24.0,16.17614318855928,4.0
exophiala_xenobiotica,24.0,23.706648819710924,4.0
cytophaga_aurantiaca,23.0,18.145090266286964,2.0
hypholoma_sublateritium,23.0,22.657734428436186,0.0
aliivibrio_wodanis,15.0,17.400654422268186,0.0
penicillium_nordicum,24.0,22.969165073464428,3.0
pleurocapsa_minor,22.0,22.242671933074334,3.0
microcystis_aeruginosa,19.0,21.5591805290855,2.0
flavobacterium_xanthum,17.0,17.126498572410615,3.0
polaromonas_naphthalenivorans,18.0,19.765012798740027,3.0
brevundimonas_abyssalis,20.0,22.182697947612507,4.0
paeniglutamicibacter_gangotriensis,22.0,16.783328448869252,2.0
pseudophaeobacter_arcticus,20.0,19.935809998361684,4.0
simplicispira_psychrophila,17.0,21.147116154437725,4.0
fusarium_solani,24.0,24.05941224726107,1.0
spathaspora_passalidarum,24.0,24.371081797492955,2.0
robiginitomaculum_antarcticum,17.0,18.582796177736746,0.0
glaciibacter_superstes,15.0,17.341944344193948,2.0
flavobacterium_xinjiangense,11.0,17.005292058986896,1.0
calocera_viscosa,24.0,24.608899498869228,1.0
naumovozyma_castellii,24.0,22.841784444122805,2.0
mortierella_verticillata,24.0,23.128687303646487,0.0
psychrobacter_glacincola,10.0,18.61161762554219,1.0
lachancea_fermentati,24.0,23.168142733332765,4.0
leisingera_methylohalidivorans,20.0,19.341288541689273,2.0
carnobacterium_alterfunditum,16.0,17.63167831487995,0.0
lipomyces_starkeyi,24.0,24.215899205263003,2.0
hanseniaspora_valbyensis,24.0,22.576129638981513,3.0
sandarakinorhabdus_limnophila,15.0,18.636785340807798,0.0
acetobacterium_bakii,18.0,15.681709230946144,1.0
paraglaciecola_arctica,16.0,17.05393664582927,0.0
bacillus_cecembensis,18.0,17.980210672558048,2.0
pedobacter_borealis,22.0,20.854118841002776,2.0
synechococcus_elongatus,24.0,22.988013738179056,3.0
flavobacterium_gelidilacus,16.0,18.276314532830064,3.0
laetiporus_sulphureus,24.0,23.774074405284093,4.0
brochothrix_campestris,18.0,17.884485565596624,1.0
tilletia_controversa,15.0,20.89323306325913,0.0
leishmania_major,24.0,23.168435988700715,3.0
hypsizygus_marmoreus,15.0,23.049878204052916,3.0
planomicrobium_glaciei,18.0,17.922379372591077,3.0
stachybotrys_chlorohalonata,24.0,23.831391606639954,3.0
acytostelium_subglobosum,24.0,19.950430526858632,1.0
