,true,pred,kfold
planococcus_halocryophilus,18.0,18.005377074603132,2.0
paraglaciecola_chathamensis,18.0,19.605195515674755,4.0
glaciecola_pallidula,13.0,15.01158142761778,3.0
dothistroma_septosporum,20.0,23.16214886666789,4.0
pseudoalteromonas_issachenkonii,23.0,20.021329201687777,0.0
sulfurimonas_denitrificans,24.0,20.168642224247844,0.0
capronia_coronata,20.0,23.328671749351003,0.0
pichia_kudriavzevii,24.0,23.100552037618755,4.0
penicillium_steckii,24.0,22.930856701458435,2.0
colletotrichum_nymphaeae,20.0,23.127846784803477,2.0
cycloclasticus_pugetii,20.0,16.763589350021697,3.0
rhynchosporium_secalis,15.0,22.37794242802301,0.0
methylobacter_tundripaludum,22.0,19.55780473516409,1.0
aliivibrio_logei,18.0,16.271988800921243,1.0
ceraceosorus_bombacis,24.0,21.331919946100154,2.0
flavobacterium_columnare,23.0,19.163063903254482,4.0
chryseobacterium_jeonii,16.0,17.559518473733366,2.0
lactobacillus_algidus,18.0,18.24146451832001,0.0
penicillium_oxalicum,24.0,23.906203711912415,1.0
daedalea_quercina,24.0,23.2401324575888,2.0
sclerotinia_borealis,8.0,22.18588109342516,3.0
paenibacillus_antarcticus,19.0,17.159998341085885,3.0
coccidioides_posadasii,24.0,23.09803098552263,4.0
alteromonas_mediterranea,23.0,19.156129278967217,1.0
tenacibaculum_ovolyticum,15.0,21.003853017617182,3.0
pseudovibrio_axinellae,24.0,19.809310035673143,4.0
gelidibacter_algens,18.0,17.754441418915388,4.0
hydrococcus_rivularis,20.0,21.914126030266914,1.0
arthrobotrys_oligospora,24.0,23.24020405876147,2.0
debaryomyces_fabryi,24.0,22.959233448294935,0.0
formosa_agariphila,21.0,18.91196283702792,4.0
lacinutrix_algicola,18.0,18.705495444862134,0.0
bacillus_psychrosaccharolyticus,18.0,16.60921049060612,2.0
planktotalea_frisia,20.0,18.76182684298509,3.0
lachancea_dasiensis,23.0,22.726466914833654,0.0
exidia_glandulosa,24.0,23.43045114431736,3.0
gramella_forsetii,24.0,19.08028922996305,3.0
aspergillus_versicolor,24.0,23.328731141747667,4.0
flavobacterium_antarcticum,16.0,16.637191225219404,2.0
penicillium_rubens,24.0,23.599949671443863,1.0
moritella_viscosa,16.0,15.563693818000461,1.0
gonapodya_prolifera,20.0,23.326372244098923,1.0
planococcus_antarcticus,18.0,18.026738562123278,2.0
penicillium_roqueforti,24.0,23.176569031450377,4.0
novosphingobium_lentum,20.0,19.179310783409612,2.0
leuconostoc_gelidum,24.0,11.761153096012158,3.0
kazachstania_africana,24.0,23.512022496507132,1.0
moritella_dasanensis,10.0,16.440838951097795,0.0
xanthophyllomyces_dendrorhous,21.0,21.899363641085912,2.0
shewanella_frigidimarina,16.0,17.371684421724222,4.0
nonlabens_ulvanivorans,22.0,18.289084717433326,4.0
cryobacterium_roopkundense,8.0,17.07612981204326,2.0
stachybotrys_chartarum,24.0,23.85803904577486,3.0
aliivibrio_salmonicida,10.0,19.133025445155848,2.0
fusarium_culmorum,24.0,22.992691063021216,3.0
phaeobacter_inhibens,24.0,20.89960694235939,2.0
tomitella_biformata,17.0,18.116058525313925,3.0
amphritea_japonica,20.0,16.75624823390256,3.0
methylocella_silvestris,23.0,21.582430978177616,0.0
shewanella_woodyi,16.0,16.99020041010023,1.0
phlebiopsis_gigantea,24.0,23.81234729153463,3.0
clostridium_algidicarnis,22.0,19.616089032796193,1.0
acidiphilium_angustum,20.0,20.433617136469316,0.0
hemiselmis_andersenii,20.0,19.877703378678852,3.0
lentisphaera_araneosa,23.0,20.925666024708075,4.0
rheinheimera_perlucida,22.0,22.249883283344538,0.0
spirosoma_spitsbergense,20.0,21.190324812594273,0.0
bipolaris_maydis,24.0,23.124910918195297,0.0
pseudoalteromonas_arctica,16.0,18.988391935037278,4.0
hanseniaspora_guilliermondii,24.0,23.507338057206923,1.0
carnobacterium_pleistocenium,16.0,17.244747002547157,2.0
planktothrix_rubescens,20.0,21.983031532935545,4.0
yarrowia_lipolytica,24.0,22.933367072420886,4.0
leishmania_panamensis,24.0,23.223856824781866,1.0
pseudoalteromonas_haloplanktis,24.0,18.938890197251887,3.0
colwellia_psychrerythraea,8.0,13.553868996986939,3.0
nostoc_punctiforme,20.0,21.618637488086875,4.0
fomitopsis_pinicola,24.0,23.742898667993362,3.0
flavobacterium_frigidimaris,22.0,18.469083748289986,1.0
