,true,pred,kfold
planococcus_halocryophilus,18.0,18.179889423076922,2.0
paraglaciecola_chathamensis,18.0,16.09722222222222,4.0
glaciecola_pallidula,13.0,15.535087719298245,3.0
dothistroma_septosporum,20.0,23.270104347826088,4.0
pseudoalteromonas_issachenkonii,23.0,21.94260215053763,0.0
sulfurimonas_denitrificans,24.0,16.93882978723404,0.0
capronia_coronata,20.0,23.333333333333332,0.0
pichia_kudriavzevii,24.0,23.270104347826088,4.0
penicillium_steckii,24.0,22.437153846153844,2.0
colletotrichum_nymphaeae,20.0,22.437153846153844,2.0
cycloclasticus_pugetii,20.0,20.706796296296293,3.0
rhynchosporium_secalis,15.0,23.333333333333332,0.0
methylobacter_tundripaludum,22.0,21.503553191489363,1.0
aliivibrio_logei,18.0,15.399038461538462,1.0
ceraceosorus_bombacis,24.0,22.437153846153844,2.0
flavobacterium_columnare,23.0,16.09722222222222,4.0
chryseobacterium_jeonii,16.0,18.179889423076922,2.0
lactobacillus_algidus,18.0,16.93882978723404,0.0
penicillium_oxalicum,24.0,23.84444444444444,1.0
daedalea_quercina,24.0,22.437153846153844,2.0
sclerotinia_borealis,8.0,20.24137931034483,3.0
paenibacillus_antarcticus,19.0,17.333333333333332,3.0
coccidioides_posadasii,24.0,23.270104347826088,4.0
alteromonas_mediterranea,23.0,20.887755102040817,1.0
tenacibaculum_ovolyticum,15.0,17.333333333333332,3.0
pseudovibrio_axinellae,24.0,19.550598214285714,4.0
gelidibacter_algens,18.0,16.09722222222222,4.0
hydrococcus_rivularis,20.0,21.503553191489363,1.0
arthrobotrys_oligospora,24.0,22.437153846153844,2.0
debaryomyces_fabryi,24.0,23.333333333333332,0.0
formosa_agariphila,21.0,16.09722222222222,4.0
lacinutrix_algicola,18.0,16.93882978723404,0.0
bacillus_psychrosaccharolyticus,18.0,18.179889423076922,2.0
planktotalea_frisia,20.0,15.535087719298245,3.0
lachancea_dasiensis,23.0,23.333333333333332,0.0
exidia_glandulosa,24.0,23.77358490566038,3.0
gramella_forsetii,24.0,17.333333333333332,3.0
aspergillus_versicolor,24.0,23.270104347826088,4.0
flavobacterium_antarcticum,16.0,18.179889423076922,2.0
penicillium_rubens,24.0,23.84444444444444,1.0
moritella_viscosa,16.0,15.399038461538462,1.0
gonapodya_prolifera,20.0,22.769048780487804,1.0
planococcus_antarcticus,18.0,18.179889423076922,2.0
penicillium_roqueforti,24.0,23.270104347826088,4.0
novosphingobium_lentum,20.0,18.179889423076922,2.0
leuconostoc_gelidum,24.0,15.535087719298245,3.0
kazachstania_africana,24.0,22.769048780487804,1.0
moritella_dasanensis,10.0,16.93882978723404,0.0
xanthophyllomyces_dendrorhous,21.0,22.437153846153844,2.0
shewanella_frigidimarina,16.0,16.09722222222222,4.0
nonlabens_ulvanivorans,22.0,16.09722222222222,4.0
cryobacterium_roopkundense,8.0,18.179889423076922,2.0
stachybotrys_chartarum,24.0,23.77358490566038,3.0
