,true,pred,kfold
allobaculum_stercoricanis,37.0,37.92389112292116,3.0
shewanella_algae,28.0,23.39932012388261,1.0
bifidobacterium_saguini,37.0,35.508473681311884,4.0
ochrobactrum_rhizosphaerae,28.0,29.655468641014416,1.0
sphingomonas_haloaromaticamans,30.0,30.19630582747872,0.0
kurthia_massiliensis,28.0,28.333049373010947,0.0
bacillus_ligniniphilus,30.0,30.47642397710832,1.0
planococcus_maritimus,29.0,27.029162643642742,1.0
collinsella_aerofaciens,37.0,34.231377657039815,3.0
planococcus_halocryophilus,18.0,26.34533668391399,2.0
streptococcus_ictaluri,30.0,34.100675352737234,2.0
enterococcus_asini,37.0,33.17891462264474,0.0
clostridium_baratii,37.0,37.92731244979318,0.0
paraglaciecola_chathamensis,18.0,26.690081952305157,1.0
shewanella_oneidensis,30.0,24.906682299475943,4.0
lactococcus_lactis,31.0,31.560875223975454,4.0
shewanella_baltica,25.0,23.98554998217409,3.0
methylotenera_versatilis,25.0,24.534259394983604,0.0
eubacterium_sulci,37.0,38.96633844266442,4.0
glaciecola_pallidula,13.0,23.027648524622276,0.0
paenibacillus_lactis,30.0,31.490156458716665,4.0
nocardia_caishijiensis,29.0,29.731519297937705,0.0
balneola_vulgaris,27.0,25.04529357783489,2.0
streptomyces_viridosporus,28.0,27.59785657702272,3.0
desulfovibrio_vulgaris,34.0,32.9247418004114,3.0
actinoalloteichus_spitiensis,30.0,32.0513115483362,3.0
cladophialophora_carrionii,25.0,25.15148806402238,1.0
aspergillus_brasiliensis,26.0,26.06131034670656,3.0
herbaspirillum_rhizosphaerae,27.0,27.868744448999717,0.0
rhodobacter_johrii,28.0,29.03707246671227,4.0
hoeflea_phototrophica,30.0,27.55707746325319,3.0
alicycliphilus_denitrificans,29.0,29.811616228919302,4.0
dothistroma_septosporum,20.0,21.64842331239732,1.0
denitrovibrio_acetiphilus,30.0,26.428838328699424,0.0
azovibrio_restrictus,28.0,31.011885412856863,2.0
frateuria_aurantia,27.0,28.98575883684938,3.0
vibrio_owensii,27.0,26.58945279894655,3.0
herbaspirillum_huttiense,28.0,29.57218416152413,0.0
methylophaga_frappieri,29.0,27.39421945391481,3.0
providencia_burhodogranariea,31.0,30.09231162898235,2.0
acinetobacter_indicus,31.0,30.560886977405865,1.0
streptobacillus_moniliformis,37.0,34.28573013178997,2.0
novosphingobium_aromaticivorans,30.0,27.07403592954186,4.0
pseudoalteromonas_issachenkonii,23.0,24.686254786353384,4.0
parascardovia_denticolens,37.0,37.62766893325265,0.0
tetrasphaera_jenkinsii,25.0,29.811719493250205,0.0
corynebacterium_minutissimum,35.0,34.81857328305749,4.0
haematospirillum_jordaniae,37.0,33.55467105738811,2.0
peptoniphilus_lacrimalis,37.0,39.45149808703249,3.0
dialister_invisus,36.0,38.57185750780886,3.0
nocardiopsis_halophila,28.0,33.03441406123333,2.0
histoplasma_capsulatum,29.0,24.7652688580591,3.0
weissella_confusa,31.0,29.82527284513024,4.0
mycobacterium_haemophilum,31.0,34.80668073473757,3.0
pediococcus_cellicola,34.0,33.122509537430126,1.0
microbacterium_arborescens,30.0,27.91623270341905,1.0
kluyvera_intermedia,31.0,30.165005453750418,2.0
bacillus_circulans,32.0,30.05928190169747,0.0
streptomyces_griseoflavus,27.0,27.71076353011544,0.0
pseudoalteromonas_piscicida,28.0,24.72834211169069,3.0
nocardia_farcinica,32.0,31.119088896438406,2.0
sulfurimonas_denitrificans,24.0,27.466095255713736,4.0
streptomyces_galbus,27.0,27.802571849207236,0.0
paenibacillus_odorifer,30.0,27.594563769202505,4.0
blastomyces_dermatitidis,31.0,24.695838983638932,3.0
vagococcus_penaei,30.0,33.41615819761308,1.0
legionella_hackeliae,37.0,33.70776944933718,3.0
nocardia_carnea,29.0,30.992662485225846,3.0
capronia_coronata,20.0,25.82029128901653,2.0
lactobacillus_jensenii,37.0,34.089649962287226,4.0
