,true,pred,kfold
allobaculum_stercoricanis,37.0,35.08175,3.0
shewanella_algae,28.0,28.927125,1.0
bifidobacterium_saguini,37.0,36.020667,4.0
ochrobactrum_rhizosphaerae,28.0,29.7848,1.0
sphingomonas_haloaromaticamans,30.0,29.227415999999998,0.0
kurthia_massiliensis,28.0,30.946,0.0
bacillus_ligniniphilus,30.0,31.6035,1.0
planococcus_maritimus,29.0,29.961,1.0
collinsella_aerofaciens,37.0,35.489167,3.0
planococcus_halocryophilus,18.0,26.606959000000003,2.0
streptococcus_ictaluri,30.0,35.3725,2.0
enterococcus_asini,37.0,34.492467000000005,0.0
clostridium_baratii,37.0,36.431,0.0
paraglaciecola_chathamensis,18.0,25.242055999999977,1.0
shewanella_oneidensis,30.0,27.008333,4.0
lactococcus_lactis,31.0,31.299212,4.0
shewanella_baltica,25.0,26.030333,3.0
methylotenera_versatilis,25.0,26.219375,0.0
eubacterium_sulci,37.0,36.2325,4.0
glaciecola_pallidula,13.0,18.688,0.0
paenibacillus_lactis,30.0,30.4835,4.0
nocardia_caishijiensis,29.0,29.12575,0.0
balneola_vulgaris,27.0,27.496417,2.0
streptomyces_viridosporus,28.0,27.558,3.0
desulfovibrio_vulgaris,34.0,33.1595,3.0
actinoalloteichus_spitiensis,30.0,28.7755,3.0
cladophialophora_carrionii,25.0,24.586599999999997,1.0
aspergillus_brasiliensis,26.0,25.609,3.0
herbaspirillum_rhizosphaerae,27.0,29.2615,0.0
rhodobacter_johrii,28.0,29.204183,4.0
hoeflea_phototrophica,30.0,27.899399999999996,3.0
alicycliphilus_denitrificans,29.0,29.6495,4.0
dothistroma_septosporum,20.0,24.3825,1.0
denitrovibrio_acetiphilus,30.0,34.47002499999999,0.0
azovibrio_restrictus,28.0,30.7295,2.0
frateuria_aurantia,27.0,30.374474999999997,3.0
vibrio_owensii,27.0,28.525665999999998,3.0
herbaspirillum_huttiense,28.0,29.380899999999997,0.0
methylophaga_frappieri,29.0,28.152184,3.0
providencia_burhodogranariea,31.0,30.716041,2.0
acinetobacter_indicus,31.0,30.085417,1.0
streptobacillus_moniliformis,37.0,35.944,2.0
novosphingobium_aromaticivorans,30.0,28.6062,4.0
pseudoalteromonas_issachenkonii,23.0,25.391562,4.0
parascardovia_denticolens,37.0,32.35685,0.0
tetrasphaera_jenkinsii,25.0,28.876832999999998,0.0
corynebacterium_minutissimum,35.0,35.537,4.0
haematospirillum_jordaniae,37.0,29.65845,2.0
peptoniphilus_lacrimalis,37.0,36.7115,3.0
dialister_invisus,36.0,34.9635,3.0
nocardiopsis_halophila,28.0,29.20675,2.0
histoplasma_capsulatum,29.0,29.7195,3.0
weissella_confusa,31.0,29.05,4.0
mycobacterium_haemophilum,31.0,35.67,3.0
pediococcus_cellicola,34.0,32.283,1.0
microbacterium_arborescens,30.0,29.183998999999996,1.0
kluyvera_intermedia,31.0,31.863833,2.0
bacillus_circulans,32.0,31.02375,0.0
streptomyces_griseoflavus,27.0,27.551,0.0
pseudoalteromonas_piscicida,28.0,27.130498,3.0
nocardia_farcinica,32.0,30.2685,2.0
sulfurimonas_denitrificans,24.0,27.63375,4.0
streptomyces_galbus,27.0,27.689,0.0
paenibacillus_odorifer,30.0,28.2245,4.0
blastomyces_dermatitidis,31.0,26.9135,3.0
vagococcus_penaei,30.0,33.52255,1.0
legionella_hackeliae,37.0,34.646667,3.0
nocardia_carnea,29.0,30.556,3.0
capronia_coronata,20.0,24.978,2.0
lactobacillus_jensenii,37.0,34.37425,4.0
flavobacterium_filum,27.0,25.973912,4.0
rhizobium_tibeticum,28.0,28.663099999999975,4.0
pichia_kudriavzevii,24.0,24.844667,0.0
methylophaga_thiooxydans,28.0,29.338917000000002,3.0
staphylococcus_vitulinus,37.0,35.141,2.0
penicillium_steckii,24.0,24.3085,2.0
methanocella_paludicola,37.0,34.481375,3.0
mycoplasma_gallinarum,37.0,35.93725,4.0
nosocomiicoccus_ampullae,32.0,32.67825,2.0
acinetobacter_soli,29.0,29.8035,0.0
malassezia_globosa,30.0,25.759,3.0
lactobacillus_malefermentans,29.0,30.749834000000003,0.0
thiocystis_violascens,25.0,28.697183,0.0
slackia_piriformis,37.0,35.184,1.0
komagataeibacter_europaeus,30.0,29.305,4.0
bacillus_muralis,30.0,30.109,4.0
lachnoanaerobaculum_saburreum,37.0,36.3705,0.0
mycoplasma_glycophilum,37.0,36.233,2.0
selenomonas_bovis,37.0,36.445,3.0
leptotrichia_shahii,37.0,36.74275,1.0
prevotella_saccharolytica,37.0,36.212667,0.0
collimonas_arenae,28.0,28.033800000000003,2.0
colletotrichum_nymphaeae,20.0,24.747,1.0
chryseolinea_serpens,25.0,28.68705,1.0
corynebacterium_efficiens,37.0,33.858833,0.0
haloferax_prahovense,37.0,36.833833,4.0
bacillus_pseudofirmus,31.0,30.466667,4.0
neisseria_elongata,33.0,34.886462,4.0
flavobacterium_piscis,30.0,25.873,0.0
methanoplanus_limicola,34.0,34.0866,1.0
ornithinibacillus_californiensis,30.0,31.9815,0.0
clostridium_septicum,37.0,36.315,1.0
cycloclasticus_pugetii,20.0,25.032604000000003,0.0
listeria_seeligeri,36.0,33.901,2.0
rhynchosporium_secalis,15.0,23.168,0.0
vibrio_atlanticus,25.0,26.2865,4.0
enhygromyxa_salina,30.0,29.378,3.0
chryseobacterium_piperi,29.0,28.187849999999997,1.0
alicyclobacillus_ferrooxydans,30.0,30.53125,0.0
longispora_albida,28.0,28.803333,4.0
desulfitobacterium_hafniense,34.0,33.54405100000001,0.0
halanaerobium_saccharolyticum,37.0,35.435311999999996,1.0
streptomyces_decoyicus,29.0,27.38,3.0
vibrio_quintilis,28.0,28.647998999999995,3.0
aeromicrobium_erythreum,33.0,28.608165999999997,4.0
acinetobacter_johnsonii,29.0,29.9045,1.0
oceanobacillus_caeni,32.0,33.736,0.0
jannaschia_rubra,25.0,28.296832000000002,4.0
