,true,pred,kfold
allobaculum_stercoricanis,37.0,37.47151844570142,3.0
shewanella_algae,28.0,28.696238155921186,1.0
bifidobacterium_saguini,37.0,36.82450724756471,4.0
ochrobactrum_rhizosphaerae,28.0,30.799620421107512,1.0
sphingomonas_haloaromaticamans,30.0,29.576895029936665,0.0
kurthia_massiliensis,28.0,30.71804000520013,0.0
bacillus_ligniniphilus,30.0,32.39803095661182,1.0
planococcus_maritimus,29.0,28.759778083939572,1.0
collinsella_aerofaciens,37.0,36.734985366915325,3.0
planococcus_halocryophilus,18.0,26.87789188428298,2.0
streptococcus_ictaluri,30.0,37.66060578068476,2.0
enterococcus_asini,37.0,36.73540770945016,0.0
clostridium_baratii,37.0,36.79057291832557,0.0
paraglaciecola_chathamensis,18.0,27.264228941405996,1.0
shewanella_oneidensis,30.0,26.825099714013863,4.0
lactococcus_lactis,31.0,32.37156771993196,4.0
shewanella_baltica,25.0,24.728032415036886,3.0
methylotenera_versatilis,25.0,23.376497550556614,0.0
eubacterium_sulci,37.0,37.03830102190079,4.0
glaciecola_pallidula,13.0,18.35606036100742,0.0
paenibacillus_lactis,30.0,30.321065071248277,4.0
nocardia_caishijiensis,29.0,28.051746110874937,0.0
balneola_vulgaris,27.0,26.09958164884192,2.0
streptomyces_viridosporus,28.0,27.752804073592788,3.0
desulfovibrio_vulgaris,34.0,34.55317680222752,3.0
actinoalloteichus_spitiensis,30.0,28.98353175711555,3.0
cladophialophora_carrionii,25.0,24.995015578505484,1.0
aspergillus_brasiliensis,26.0,24.859772986664538,3.0
herbaspirillum_rhizosphaerae,27.0,28.497781724101028,0.0
rhodobacter_johrii,28.0,29.02485772835712,4.0
hoeflea_phototrophica,30.0,25.892617090980927,3.0
alicycliphilus_denitrificans,29.0,30.031220035187797,4.0
dothistroma_septosporum,20.0,23.23465604593045,1.0
denitrovibrio_acetiphilus,30.0,26.333742722358668,0.0
azovibrio_restrictus,28.0,31.82655826061405,2.0
frateuria_aurantia,27.0,29.915713009274715,3.0
vibrio_owensii,27.0,29.488872012323167,3.0
herbaspirillum_huttiense,28.0,30.166764134659594,0.0
methylophaga_frappieri,29.0,28.756556763682497,3.0
providencia_burhodogranariea,31.0,31.315084029910086,2.0
acinetobacter_indicus,31.0,30.72341978986724,1.0
streptobacillus_moniliformis,37.0,34.84547595413828,2.0
novosphingobium_aromaticivorans,30.0,28.850732758703593,4.0
pseudoalteromonas_issachenkonii,23.0,25.291239710448842,4.0
parascardovia_denticolens,37.0,37.55961534372149,0.0
tetrasphaera_jenkinsii,25.0,28.08321898408478,0.0
corynebacterium_minutissimum,35.0,35.82887338775707,4.0
haematospirillum_jordaniae,37.0,32.88708043543374,2.0
peptoniphilus_lacrimalis,37.0,37.81666980793995,3.0
dialister_invisus,36.0,37.02547374985054,3.0
nocardiopsis_halophila,28.0,28.467044620742623,2.0
histoplasma_capsulatum,29.0,26.79643875127848,3.0
weissella_confusa,31.0,31.519182805824506,4.0
mycobacterium_haemophilum,31.0,36.43806350508534,3.0
pediococcus_cellicola,34.0,33.079899595026966,1.0
microbacterium_arborescens,30.0,29.363821782509774,1.0
kluyvera_intermedia,31.0,31.921213193692964,2.0
bacillus_circulans,32.0,30.651311022103766,0.0
streptomyces_griseoflavus,27.0,27.96606586481208,0.0
pseudoalteromonas_piscicida,28.0,28.392303266426744,3.0
nocardia_farcinica,32.0,29.287066523510745,2.0
sulfurimonas_denitrificans,24.0,24.20177287334002,4.0
streptomyces_galbus,27.0,27.22154978541016,0.0
paenibacillus_odorifer,30.0,28.288864906132314,4.0
blastomyces_dermatitidis,31.0,26.701276712486468,3.0
vagococcus_penaei,30.0,34.099657030620065,1.0
legionella_hackeliae,37.0,35.67667191411843,3.0
nocardia_carnea,29.0,30.19943555449818,3.0
capronia_coronata,20.0,25.01353894527965,2.0
lactobacillus_jensenii,37.0,35.32605694809589,4.0
flavobacterium_filum,27.0,27.502492630751227,4.0
rhizobium_tibeticum,28.0,28.184859861249045,4.0
pichia_kudriavzevii,24.0,24.527414392158377,0.0
methylophaga_thiooxydans,28.0,26.731201703043713,3.0
staphylococcus_vitulinus,37.0,36.13180506315352,2.0
penicillium_steckii,24.0,24.205000432769758,2.0
methanocella_paludicola,37.0,35.81457838995202,3.0
mycoplasma_gallinarum,37.0,36.94282406152752,4.0
nosocomiicoccus_ampullae,32.0,36.45659231950043,2.0
acinetobacter_soli,29.0,30.467709375406237,0.0
malassezia_globosa,30.0,29.587969006159582,3.0
lactobacillus_malefermentans,29.0,28.866014189516793,0.0
thiocystis_violascens,25.0,25.676703115371843,0.0
slackia_piriformis,37.0,37.763405220632905,1.0
komagataeibacter_europaeus,30.0,29.102299191158057,4.0
bacillus_muralis,30.0,27.95830896806158,4.0
lachnoanaerobaculum_saburreum,37.0,34.59918912578426,0.0
mycoplasma_glycophilum,37.0,38.23240140764116,2.0
selenomonas_bovis,37.0,38.80105962027656,3.0
leptotrichia_shahii,37.0,36.44213189698034,1.0
prevotella_saccharolytica,37.0,36.52731314829245,0.0
collimonas_arenae,28.0,26.50041908692574,2.0
colletotrichum_nymphaeae,20.0,23.816670457934705,1.0
chryseolinea_serpens,25.0,24.13572356146153,1.0
corynebacterium_efficiens,37.0,31.39571664772601,0.0
haloferax_prahovense,37.0,36.85447404304515,4.0
bacillus_pseudofirmus,31.0,31.401535893049264,4.0
neisseria_elongata,33.0,36.925937214915784,4.0
flavobacterium_piscis,30.0,24.95434279914855,0.0
methanoplanus_limicola,34.0,38.02781952862138,1.0
ornithinibacillus_californiensis,30.0,31.569086930895374,0.0
clostridium_septicum,37.0,36.50319578781609,1.0
cycloclasticus_pugetii,20.0,22.350406392986255,0.0
listeria_seeligeri,36.0,33.704645969212834,2.0
rhynchosporium_secalis,15.0,22.3575564427127,0.0
vibrio_atlanticus,25.0,24.962006459347933,4.0
enhygromyxa_salina,30.0,25.98625617472969,3.0
chryseobacterium_piperi,29.0,30.283233129434375,1.0
alicyclobacillus_ferrooxydans,30.0,30.965560440738244,0.0
longispora_albida,28.0,27.788946273665942,4.0
desulfitobacterium_hafniense,34.0,33.93025229555127,0.0
halanaerobium_saccharolyticum,37.0,35.90593547380965,1.0
streptomyces_decoyicus,29.0,27.35735318347189,3.0
vibrio_quintilis,28.0,30.340789462920785,3.0
aeromicrobium_erythreum,33.0,28.18377548080445,4.0
acinetobacter_johnsonii,29.0,28.3632281301269,1.0
oceanobacillus_caeni,32.0,34.096676836830255,0.0
jannaschia_rubra,25.0,28.839029721053148,4.0
comamonas_composti,28.0,29.763383063524987,4.0
sphingobium_ummariense,28.0,29.70880012964913,0.0
bacillus_cellulosilyticus,32.0,30.31328392482553,1.0
bacillus_novalis,30.0,30.404584941675672,4.0
