,true,pred,kfold
allobaculum_stercoricanis,b,b,4
shewanella_algae,b,b,4
bifidobacterium_saguini,b,b,1
ochrobactrum_rhizosphaerae,b,b,1
sphingomonas_haloaromaticamans,b,b,0
kurthia_massiliensis,b,b,4
bacillus_ligniniphilus,b,b,3
planococcus_maritimus,b,b,0
collinsella_aerofaciens,b,b,4
planococcus_halocryophilus,b,b,0
streptococcus_ictaluri,b,b,4
enterococcus_asini,b,b,0
palaeococcus_pacificus,a,a,1
clostridium_baratii,b,b,2
paraglaciecola_chathamensis,b,b,2
shewanella_oneidensis,b,b,2
lactococcus_lactis,b,b,4
shewanella_baltica,b,b,1
methylotenera_versatilis,b,b,4
eubacterium_sulci,b,b,3
glaciecola_pallidula,b,b,1
paenibacillus_lactis,b,b,2
nocardia_caishijiensis,b,b,4
balneola_vulgaris,b,b,1
streptomyces_viridosporus,b,b,3
caenibacillus_caldisaponilyticus,b,b,0
desulfovibrio_vulgaris,b,b,3
actinoalloteichus_spitiensis,b,b,4
nitratifractor_salsuginis,b,b,2
cladophialophora_carrionii,e,e,1
aspergillus_brasiliensis,e,e,4
herbaspirillum_rhizosphaerae,b,b,0
tepidiphilus_thermophilus,b,b,1
rhodobacter_johrii,b,b,2
hoeflea_phototrophica,b,b,1
alicycliphilus_denitrificans,b,b,1
dothistroma_septosporum,e,e,0
denitrovibrio_acetiphilus,b,b,3
azovibrio_restrictus,b,b,1
frateuria_aurantia,b,b,0
vibrio_owensii,b,b,0
herbaspirillum_huttiense,b,b,4
methylophaga_frappieri,b,b,1
providencia_burhodogranariea,b,b,1
halanaerobium_congolense,b,b,4
acinetobacter_indicus,b,b,0
streptobacillus_moniliformis,b,b,0
novosphingobium_aromaticivorans,b,b,3
pseudoalteromonas_issachenkonii,b,b,2
parascardovia_denticolens,b,b,1
tetrasphaera_jenkinsii,b,b,3
corynebacterium_minutissimum,b,b,3
haematospirillum_jordaniae,b,b,1
peptoniphilus_lacrimalis,b,b,4
dialister_invisus,b,b,2
actinomadura_rubrobrunea,b,b,2
nocardiopsis_halophila,b,b,2
histoplasma_capsulatum,e,e,4
weissella_confusa,b,b,3
desulfotomaculum_thermosubterraneum,b,b,2
mycobacterium_haemophilum,b,b,3
pediococcus_cellicola,b,b,4
amycolatopsis_thermoflava,b,b,1
microbacterium_arborescens,b,b,0
kluyvera_intermedia,b,b,1
bacillus_circulans,b,b,4
streptomyces_griseoflavus,b,b,2
pseudoalteromonas_piscicida,b,b,1
nocardia_farcinica,b,b,1
sulfurimonas_denitrificans,b,b,2
streptomyces_galbus,b,b,3
paenibacillus_odorifer,b,b,3
blastomyces_dermatitidis,e,e,1
vagococcus_penaei,b,b,2
legionella_hackeliae,b,b,3
nocardia_carnea,b,b,1
capronia_coronata,e,e,0
desulfurococcus_kamchatkensis,a,a,1
lactobacillus_jensenii,b,b,2
flavobacterium_filum,b,b,1
rhizobium_tibeticum,b,b,0
pichia_kudriavzevii,e,e,4
methylophaga_thiooxydans,b,b,2
staphylococcus_vitulinus,b,b,0
penicillium_steckii,e,e,0
nautilia_profundicola,b,b,0
methanocella_paludicola,a,a,4
mycoplasma_gallinarum,b,b,1
nosocomiicoccus_ampullae,b,b,2
acinetobacter_soli,b,b,1
malassezia_globosa,e,e,4
lactobacillus_malefermentans,b,b,0
thiocystis_violascens,b,b,1
slackia_piriformis,b,b,2
komagataeibacter_europaeus,b,b,4
bacillus_muralis,b,b,1
lachnoanaerobaculum_saburreum,b,b,4
mycoplasma_glycophilum,b,b,3
selenomonas_bovis,b,b,4
persephonella_marina,b,b,3
leptotrichia_shahii,b,b,0
methanothermobacter_marburgensis,a,a,0
