,true,pred,kfold
palaeococcus_pacificus,80.0,76.26529113810116,0.0
desulfurococcus_kamchatkensis,82.0,86.93613968013274,4.0
methanocella_paludicola,37.0,43.22843372773144,3.0
methanothermobacter_marburgensis,60.0,58.42672458395495,3.0
haloferax_prahovense,37.0,36.95516777727588,0.0
methanoplanus_limicola,34.0,35.75840741804192,1.0
vulcanisaeta_souniana,85.0,82.26735034161158,3.0
methanobacterium_lacus,30.0,34.153114376360904,4.0
natrialba_taiwanensis,37.0,36.07150004609127,4.0
haloterrigena_thermotolerans,37.0,39.50158690628746,3.0
aeropyrum_pernix,90.0,84.3866068073159,3.0
fervidicoccus_fontis,80.0,66.00986463304457,0.0
natrialba_aegyptia,37.0,36.22554825532561,2.0
methanosarcina_horonobensis,37.0,36.812591301254514,2.0
natronobacterium_gregoryi,37.0,42.38136650449445,1.0
methanothermobacter_wolfeii,60.0,60.78200530112077,3.0
natronococcus_occultus,37.0,40.63978316483765,1.0
methanobrevibacter_arboriphilus,37.0,32.32207251447731,1.0
pyrococcus_horikoshii,95.0,84.61984872281539,0.0
haloferax_sulfurifontis,37.0,37.697404344469234,0.0
halorubrum_kocurii,37.0,37.39463244249048,4.0
methanocaldococcus_vulcanius,80.0,75.26892052768234,1.0
methanobrevibacter_millerae,37.0,33.94969862950287,4.0
haloarcula_vallismortis,37.0,37.58674782350855,3.0
caldivirga_maquilingensis,83.0,86.23094522077164,3.0
halorubrum_lacusprofundi,30.0,38.260122310734275,4.0
halorubrum_saccharovorum,37.0,37.63669996261246,3.0
desulfurococcus_fermentans,80.0,87.04373637714195,1.0
pyrodictium_occultum,97.0,92.11697827166921,1.0
halococcus_saccharolyticus,37.0,33.284798449036174,0.0
haloterrigena_turkmenica,37.0,39.52607935820832,4.0
natrialba_hulunbeirensis,37.0,33.47142191298812,0.0
ignicoccus_hospitalis,90.0,84.39473496201533,3.0
halorubrum_terrestre,37.0,36.770062949709285,0.0
acidilobus_saccharovorans,80.0,78.47702213037553,0.0
natrinema_pallidum,37.0,37.5378736023376,0.0
archaeoglobus_profundus,85.0,91.23366746670436,2.0
pyrolobus_fumarii,103.0,102.48027265386811,4.0
thermoproteus_uzoniensis,85.0,83.0571644131542,0.0
haloarcula_argentinensis,38.0,34.97568831678147,0.0
thermococcus_paralvinellae,80.0,83.74865240982902,1.0
natrinema_pellirubrum,37.0,38.52750610956457,3.0
methanothermococcus_thermolithotrophicus,63.0,58.310529447767514,1.0
halorubrum_distributum,34.0,36.74744967216219,3.0
methanohalophilus_halophilus,30.0,34.10653528717761,0.0
methanomassiliicoccus_luminyensis,37.0,43.274851468987066,2.0
geoglobus_ahangari,85.0,79.1694789385553,3.0
methanocaldococcus_villosus,80.0,86.08841081324425,1.0
haladaptatus_cibarius,37.0,34.11732964185452,2.0
thermococcus_celericrescens,80.0,77.10942310503742,4.0
methanolinea_tarda,50.0,38.59730828452493,4.0
pyrococcus_furiosus,96.0,90.37096469216131,0.0
thermococcus_cleftensis,80.0,84.42925165779528,3.0
thermococcus_thioreducens,85.0,80.0603597808877,1.0
desulfurococcus_mucosus,87.0,82.98861512246154,2.0
methanothermobacter_thermautotrophicus,62.0,59.69279900835444,1.0
halomicrobium_katesii,40.0,39.22813132969877,1.0
thermococcus_chitonophagus,85.0,93.35978623137677,4.0
pyrobaculum_calidifontis,90.0,93.42082029973375,0.0
haloarcula_marismortui,37.0,35.907660120822655,1.0
thermosphaera_aggregans,85.0,84.52065386327476,4.0
methanolobus_tindarius,25.0,31.45699974504301,4.0
metallosphaera_sedula,67.0,67.81407046742375,0.0
haloterrigena_salina,37.0,38.840348235633186,4.0
methanotorris_formicicus,68.0,75.97913525473618,3.0
thermococcus_kodakarensis,60.0,85.59952288432078,3.0
methanococcoides_burtonii,19.0,34.19830037254657,2.0
methanosarcina_thermophila,51.0,42.188347358571406,0.0
methanobrevibacter_oralis,35.0,38.487762773500705,4.0
thermococcus_sibiricus,81.0,77.43791966598536,0.0
methanocaldococcus_bathoardescens,80.0,79.68519557742448,2.0
aciduliprofundum_boonei,70.0,77.00947799306915,4.0
methanobrevibacter_boviskoreani,37.0,36.85518407533095,4.0
pyrobaculum_neutrophilum,85.0,92.43038663187866,1.0
halorubrum_litoreum,37.0,36.05150528207782,3.0
haladaptatus_paucihalophilus,30.0,36.68512626135281,2.0
halobaculum_gomorrense,36.0,34.31843375047483,3.0
methanopyrus_kandleri,98.0,83.11885827736464,3.0
haloarcula_hispanica,37.0,34.98425533398159,0.0
natrinema_versiforme,37.0,36.57718183448473,4.0
thermogymnomonas_acidicola,60.0,51.87197689825746,3.0
ferroglobus_placidus,85.0,85.07642722365972,2.0
methanosaeta_harundinacea,37.0,49.561366243408436,2.0
halarchaeum_acidiphilum,37.0,35.56974838276669,3.0
methanosarcina_acetivorans,37.0,35.767036517549755,1.0
methanohalobium_evestigatum,50.0,32.23635487593147,1.0
natrialba_asiatica,37.0,36.74734062004406,4.0
methanotorris_igneus,85.0,77.73953048071404,3.0
ignicoccus_islandicus,90.0,89.16226591429695,0.0
archaeoglobus_sulfaticallidus,75.0,74.29894941884422,0.0
haloferax_lucentense,37.0,36.33185368921575,1.0
thermococcus_guaymasensis,88.0,80.03216040847805,0.0
thermococcus_zilligii,75.0,84.0226701348466,3.0
halogeometricum_borinquense,37.0,37.42648239974378,1.0
methanospirillum_hungatei,37.0,32.76147415303818,2.0
aeropyrum_camini,85.0,89.08366694516621,1.0
pyrococcus_kukulkanii,100.0,92.35268512207789,4.0
thermoproteus_tenax,87.0,88.00022771014835,2.0
haloterrigena_jeotgali,37.0,38.23889388605836,2.0
methanocella_conradii,50.0,47.742199038953984,1.0
natronorubrum_tibetense,37.0,37.39525963336821,3.0
haloferax_larsenii,37.0,37.00377560250229,4.0
halalkalicoccus_paucihalophilus,37.0,43.55458451069624,2.0
halorubrum_arcis,37.0,37.08888810256861,2.0
haloferax_mediterranei,36.0,38.546643072788164,3.0
methanofollis_liminatans,37.0,35.88983531817212,2.0
methanogenium_cariaci,26.0,31.97998239932539,0.0
halovivax_ruber,37.0,37.45891443260921,1.0
thermococcus_peptonophilus,85.0,77.79273094490563,1.0
methanobrevibacter_curvatus,30.0,41.79460363533087,3.0
methanobrevibacter_wolinii,37.0,37.54000189786971,1.0
natronococcus_amylolyticus,37.0,38.11422856457202,3.0
haloferax_volcanii,36.0,37.78182612444499,0.0
ignisphaera_aggregans,92.0,88.75227272051012,3.0
natronorubrum_bangense,37.0,35.68386335546428,0.0
methanoculleus_horonobensis,37.0,41.769379843620754,4.0
methanocorpusculum_bavaricum,37.0,30.300256433349734,0.0
methanococcus_vannielii,36.0,47.94429559053813,1.0
pyrobaculum_arsenaticum,95.0,89.65880283152396,2.0
methanosalsum_zhilinae,41.0,39.44015866153485,0.0
methanosarcina_flavescens,45.0,43.47428095958108,2.0
halopiger_xanaduensis,37.0,41.18560698986687,4.0
palaeococcus_ferrophilus,80.0,76.72939253003105,0.0
halorubrum_ezzemoulense,37.0,37.661075630045865,1.0
halorhabdus_utahensis,37.0,39.13113404716631,2.0
haloferax_mucosum,40.0,38.051983454332415,3.0
methanoregula_boonei,28.0,32.98233996342752,3.0
halorubrum_coriense,37.0,37.77935690852068,1.0
halorubrum_tebenquichense,40.0,36.67894627482902,4.0
pyrobaculum_islandicum,95.0,94.8184407572995,4.0
methanobrevibacter_ruminantium,37.0,29.878148762748886,1.0
methanococcoides_methylutens,28.0,35.007879255652625,4.0
methanoculleus_marisnigri,34.0,38.40560267285478,2.0
picrophilus_torridus,55.0,49.60230042607881,4.0
staphylothermus_marinus,88.0,87.04177406865985,4.0
pyrobaculum_ferrireducens,90.0,87.2008990636854,3.0
methanolacinia_paynteri,37.0,38.023104916538315,3.0
methanoregula_formicica,30.0,34.98920450294777,4.0
natronococcus_jeotgali,37.0,39.89671234991685,0.0
methanocella_arvoryzae,45.0,40.892565540716205,4.0
methanosarcina_vacuolata,37.0,35.82904903963905,4.0
natrialba_chahannaoensis,37.0,36.12825430284121,4.0
methanoculleus_bourgensis,37.0,42.27310321297329,4.0
acidiplasma_aeolicum,40.0,51.979785254245705,3.0
methanobrevibacter_filiformis,30.0,32.1325880503381,4.0
haloquadratum_walsbyi,37.0,42.86946684462583,2.0
methanoculleus_chikugoensis,28.0,41.62222816019097,4.0
archaeoglobus_fulgidus,81.0,77.16381326266715,2.0
haloferax_elongans,40.0,37.541967631112,0.0
halosimplex_carlsbadense,39.0,35.45384519879632,4.0
methanosphaerula_palustris,28.0,23.713607607532975,0.0
methanosarcina_barkeri,35.0,34.58855273802199,2.0
halorhabdus_tiamatea,45.0,41.922967549580484,2.0
haloferax_alexandrinus,37.0,36.47581049236881,3.0
methanocorpusculum_labreanum,37.0,29.46904585625969,0.0
sulfolobus_tokodaii,75.0,81.64258459612249,3.0
thermococcus_barophilus,85.0,82.4769411825053,4.0
methanomethylovorans_hollandica,37.0,33.01173305797548,4.0
methanosarcina_lacustris,23.0,34.36656967569721,2.0
methanohalophilus_portucalensis,37.0,31.909559088842407,1.0
thermofilum_pendens,88.0,83.09213779372212,0.0
methanothermococcus_okinawensis,65.0,56.469832685339924,2.0
pyrobaculum_oguniense,90.0,92.35853463838018,0.0
methanocaldococcus_fervens,85.0,80.22917541451534,1.0
halorubrum_hochstenium,37.0,37.039351361909866,1.0
acidiplasma_cupricumulans,55.0,51.671829259254594,3.0
