,true,pred,kfold
palaeococcus_pacificus,80.0,71.33668944728855,0.0
desulfurococcus_kamchatkensis,82.0,84.82003692624008,4.0
methanocella_paludicola,37.0,35.230906319573215,3.0
methanothermobacter_marburgensis,60.0,62.11112815610491,3.0
haloferax_prahovense,37.0,34.91318970000142,0.0
methanoplanus_limicola,34.0,27.440046986695535,1.0
vulcanisaeta_souniana,85.0,90.48936564596985,3.0
methanobacterium_lacus,30.0,40.65766049508399,4.0
natrialba_taiwanensis,37.0,38.20073965156611,4.0
haloterrigena_thermotolerans,37.0,41.0864793307903,3.0
aeropyrum_pernix,90.0,76.49095954404049,3.0
fervidicoccus_fontis,80.0,72.16317777245138,0.0
natrialba_aegyptia,37.0,39.79496606190369,2.0
methanosarcina_horonobensis,37.0,34.17701520924782,2.0
natronobacterium_gregoryi,37.0,46.51814684569035,1.0
methanothermobacter_wolfeii,60.0,61.285538290912,3.0
natronococcus_occultus,37.0,33.73180301865733,1.0
methanobrevibacter_arboriphilus,37.0,33.8882025949095,1.0
pyrococcus_horikoshii,95.0,80.3691955506169,0.0
haloferax_sulfurifontis,37.0,38.02408837056242,0.0
halorubrum_kocurii,37.0,39.58178863538875,4.0
methanocaldococcus_vulcanius,80.0,74.28911635432223,1.0
methanobrevibacter_millerae,37.0,31.961016070053432,4.0
haloarcula_vallismortis,37.0,37.66531569236426,3.0
caldivirga_maquilingensis,83.0,87.76573843225616,3.0
halorubrum_lacusprofundi,30.0,35.556943167287066,4.0
halorubrum_saccharovorum,37.0,37.23008994517579,3.0
desulfurococcus_fermentans,80.0,84.60118229596274,1.0
pyrodictium_occultum,97.0,88.75869306556271,1.0
halococcus_saccharolyticus,37.0,27.581314553799274,0.0
haloterrigena_turkmenica,37.0,41.49026235548166,4.0
natrialba_hulunbeirensis,37.0,29.232638536091272,0.0
ignicoccus_hospitalis,90.0,86.32622919793633,3.0
halorubrum_terrestre,37.0,33.04483047060724,0.0
acidilobus_saccharovorans,80.0,68.23031834064473,0.0
natrinema_pallidum,37.0,36.453503955806276,0.0
archaeoglobus_profundus,85.0,84.30197160410972,2.0
pyrolobus_fumarii,103.0,98.01577858897055,4.0
thermoproteus_uzoniensis,85.0,86.00534766639524,0.0
haloarcula_argentinensis,38.0,35.47541667642437,0.0
thermococcus_paralvinellae,80.0,85.49606415199491,1.0
natrinema_pellirubrum,37.0,38.86478565070236,3.0
methanothermococcus_thermolithotrophicus,63.0,52.472260811207875,1.0
halorubrum_distributum,34.0,38.24706259071195,3.0
methanohalophilus_halophilus,30.0,35.40447993988168,0.0
methanomassiliicoccus_luminyensis,37.0,50.5629055527491,2.0
geoglobus_ahangari,85.0,83.61026613034133,3.0
methanocaldococcus_villosus,80.0,83.90141512862483,1.0
haladaptatus_cibarius,37.0,27.812639085724506,2.0
thermococcus_celericrescens,80.0,69.08880312740155,4.0
methanolinea_tarda,50.0,8.0041541867838,4.0
pyrococcus_furiosus,96.0,90.58310906274127,0.0
thermococcus_cleftensis,80.0,84.36450959979986,3.0
thermococcus_thioreducens,85.0,76.41114303570102,1.0
desulfurococcus_mucosus,87.0,92.13247962402411,2.0
methanothermobacter_thermautotrophicus,62.0,62.556428275772625,1.0
halomicrobium_katesii,40.0,39.65136793805395,1.0
thermococcus_chitonophagus,85.0,96.06254817444434,4.0
pyrobaculum_calidifontis,90.0,90.20892618651564,0.0
haloarcula_marismortui,37.0,38.190783181983626,1.0
thermosphaera_aggregans,85.0,90.93748843116282,4.0
methanolobus_tindarius,25.0,31.824691657283886,4.0
metallosphaera_sedula,67.0,55.848669708153835,0.0
haloterrigena_salina,37.0,39.263709992560536,4.0
methanotorris_formicicus,68.0,82.90627670107526,3.0
thermococcus_kodakarensis,60.0,84.70010855775678,3.0
methanococcoides_burtonii,19.0,27.49581939289139,2.0
methanosarcina_thermophila,51.0,48.4887944886636,0.0
methanobrevibacter_oralis,35.0,27.943236549283405,4.0
thermococcus_sibiricus,81.0,74.68300865462737,0.0
methanocaldococcus_bathoardescens,80.0,89.5438205075446,2.0
aciduliprofundum_boonei,70.0,98.97774001475148,4.0
methanobrevibacter_boviskoreani,37.0,38.47341423674321,4.0
pyrobaculum_neutrophilum,85.0,81.24710211164373,1.0
halorubrum_litoreum,37.0,34.370808062189234,3.0
haladaptatus_paucihalophilus,30.0,37.66849859525139,2.0
halobaculum_gomorrense,36.0,32.51065868707733,3.0
methanopyrus_kandleri,98.0,92.73718604574486,3.0
haloarcula_hispanica,37.0,36.88174016552148,0.0
natrinema_versiforme,37.0,37.511450079099475,4.0
thermogymnomonas_acidicola,60.0,56.07898767517483,3.0
ferroglobus_placidus,85.0,75.23224904753648,2.0
methanosaeta_harundinacea,37.0,45.38727692315675,2.0
halarchaeum_acidiphilum,37.0,27.104028745959475,3.0
methanosarcina_acetivorans,37.0,33.18886413626866,1.0
methanohalobium_evestigatum,50.0,45.676439812423396,1.0
natrialba_asiatica,37.0,35.253907801704514,4.0
methanotorris_igneus,85.0,80.65635829814178,3.0
ignicoccus_islandicus,90.0,59.747897109957734,0.0
archaeoglobus_sulfaticallidus,75.0,92.24719652261292,0.0
haloferax_lucentense,37.0,36.03122795053264,1.0
thermococcus_guaymasensis,88.0,84.62009741571345,0.0
thermococcus_zilligii,75.0,83.13574720932053,3.0
halogeometricum_borinquense,37.0,33.54935643770238,1.0
methanospirillum_hungatei,37.0,23.83054437768485,2.0
aeropyrum_camini,85.0,91.95376927750573,1.0
pyrococcus_kukulkanii,100.0,87.35921957777217,4.0
thermoproteus_tenax,87.0,96.00282103659907,2.0
haloterrigena_jeotgali,37.0,38.46680105300811,2.0
methanocella_conradii,50.0,34.75515813036036,1.0
natronorubrum_tibetense,37.0,42.35671580357173,3.0
haloferax_larsenii,37.0,38.797496288550896,4.0
halalkalicoccus_paucihalophilus,37.0,52.05944475225019,2.0
halorubrum_arcis,37.0,39.74342963242619,2.0
haloferax_mediterranei,36.0,39.39197650959381,3.0
methanofollis_liminatans,37.0,31.99295117643378,2.0
methanogenium_cariaci,26.0,41.49090625599162,0.0
halovivax_ruber,37.0,34.21634665796205,1.0
thermococcus_peptonophilus,85.0,66.45937436648288,1.0
methanobrevibacter_curvatus,30.0,38.566243376756915,3.0
methanobrevibacter_wolinii,37.0,56.102024841658775,1.0
natronococcus_amylolyticus,37.0,39.73446100435456,3.0
haloferax_volcanii,36.0,33.60813003208027,0.0
ignisphaera_aggregans,92.0,70.88443405261708,3.0
natronorubrum_bangense,37.0,39.40803921351758,0.0
methanoculleus_horonobensis,37.0,43.055310656761954,4.0
methanocorpusculum_bavaricum,37.0,41.413381296938184,0.0
methanococcus_vannielii,36.0,56.20290631847511,1.0
pyrobaculum_arsenaticum,95.0,92.11238561586157,2.0
methanosalsum_zhilinae,41.0,35.19100297469109,0.0
methanosarcina_flavescens,45.0,40.621379834517725,2.0
halopiger_xanaduensis,37.0,48.41187964970533,4.0
palaeococcus_ferrophilus,80.0,73.6602185542053,0.0
halorubrum_ezzemoulense,37.0,34.658995872253854,1.0
halorhabdus_utahensis,37.0,39.089555420036476,2.0
haloferax_mucosum,40.0,40.07349102933452,3.0
methanoregula_boonei,28.0,27.684665782715623,3.0
halorubrum_coriense,37.0,37.461128378115816,1.0
halorubrum_tebenquichense,40.0,40.631396237746756,4.0
pyrobaculum_islandicum,95.0,90.93755229096325,4.0
methanobrevibacter_ruminantium,37.0,18.13683191041524,1.0
methanococcoides_methylutens,28.0,35.70210037500391,4.0
methanoculleus_marisnigri,34.0,36.768570127375675,2.0
picrophilus_torridus,55.0,31.344883376414714,4.0
staphylothermus_marinus,88.0,85.58385344762061,4.0
pyrobaculum_ferrireducens,90.0,79.27468928513083,3.0
methanolacinia_paynteri,37.0,40.90759231690832,3.0
methanoregula_formicica,30.0,34.04743541563958,4.0
natronococcus_jeotgali,37.0,42.38700210340161,0.0
methanocella_arvoryzae,45.0,50.593289019057835,4.0
methanosarcina_vacuolata,37.0,34.16363513535653,4.0
natrialba_chahannaoensis,37.0,37.260232665787754,4.0
methanoculleus_bourgensis,37.0,25.878544648557764,4.0
acidiplasma_aeolicum,40.0,59.05886317763181,3.0
methanobrevibacter_filiformis,30.0,37.60376448433653,4.0
haloquadratum_walsbyi,37.0,52.82450282899147,2.0
methanoculleus_chikugoensis,28.0,36.304789562365436,4.0
archaeoglobus_fulgidus,81.0,60.96597019296584,2.0
haloferax_elongans,40.0,38.55605801586249,0.0
halosimplex_carlsbadense,39.0,37.61034083756016,4.0
methanosphaerula_palustris,28.0,39.61102733904343,0.0
methanosarcina_barkeri,35.0,32.288057731120034,2.0
halorhabdus_tiamatea,45.0,39.037774920848925,2.0
haloferax_alexandrinus,37.0,37.136374540628,3.0
methanocorpusculum_labreanum,37.0,35.90944922683728,0.0
sulfolobus_tokodaii,75.0,84.31939121253548,3.0
thermococcus_barophilus,85.0,90.18476289357095,4.0
methanomethylovorans_hollandica,37.0,24.899075776690488,4.0
methanosarcina_lacustris,23.0,26.309357805927647,2.0
methanohalophilus_portucalensis,37.0,31.943598287224127,1.0
thermofilum_pendens,88.0,71.25051035917127,0.0
methanothermococcus_okinawensis,65.0,59.887518989597794,2.0
pyrobaculum_oguniense,90.0,98.96318682863014,0.0
methanocaldococcus_fervens,85.0,76.44271158635864,1.0
halorubrum_hochstenium,37.0,38.5848219939771,1.0
acidiplasma_cupricumulans,55.0,58.282274857406364,3.0
methanococcus_aeolicus,38.0,33.7640745446227,2.0
haloferax_gibbonsii,37.0,37.78569697030808,1.0
halorubrum_californiense,37.0,35.73242038361131,1.0
sulfolobus_metallicus,65.0,45.71691597120401,0.0
halomicrobium_mukohataei,37.0,44.181409233818236,1.0
halogranum_salarium,37.0,25.845668789282733,0.0
halalkalicoccus_jeotgali,37.0,48.60856821816415,2.0
halobacterium_salinarum,37.0,34.08980646343498,1.0
methanosarcina_mazei,36.0,39.163529769669346,3.0
methanococcus_voltae,33.0,51.080388396955,4.0
natronomonas_moolapensis,37.0,35.81467227165166,1.0
thermococcus_gammatolerans,88.0,78.89440419630137,0.0
methanococcus_maripaludis,37.0,22.735813477974926,4.0
methanomicrobium_mobile,37.0,43.74451560057593,2.0
thermoplasma_acidophilum,57.0,58.39974256688562,1.0
methanocaldococcus_jannaschii,80.0,79.6097801203796,3.0
methanosphaera_stadtmanae,37.0,28.833623947093265,3.0
methermicoccus_shengliensis,65.0,47.12097882899126,3.0
nitrososphaera_viennensis,42.0,59.90773278463126,2.0
geoglobus_acetivorans,80.0,63.551895079365266,2.0
methanosarcina_siciliae,37.0,33.52741089963959,3.0
halococcus_morrhuae,37.0,38.3600001668683,3.0
methanoculleus_thermophilus,55.0,40.59507871584998,1.0
candidatus_nitrososphaera,45.0,61.9181934491951,2.0
halopiger_salifodinae,37.0,41.32765165167716,2.0
halorubrum_aidingense,37.0,39.67802046671157,2.0
methanobacterium_paludis,28.0,34.08879655631719,4.0
methanobrevibacter_smithii,37.0,35.88874689405658,2.0
natrialba_magadii,37.0,43.54254930505394,1.0
methanocaldococcus_infernus,85.0,86.8124684045149,3.0
pyrococcus_abyssi,90.0,97.79307305902128,2.0
methanolacinia_petrolearia,37.0,26.18148106471822,0.0
archaeoglobus_veneficus,75.0,73.2532695240264,2.0
hyperthermus_butylicus,99.0,96.04701288780478,3.0
thermococcus_litoralis,85.0,73.00726841201939,0.0
pyrobaculum_aerophilum,98.0,97.30484958740828,3.0
caldisphaera_lagunensis,75.0,67.93176187148306,3.0
haloferax_denitrificans,37.0,37.78693554349259,4.0
pyrodictium_delaneyi,90.0,90.94002165556859,4.0
methanohalophilus_mahii,37.0,37.79079239386405,2.0
methanosarcina_soligelidi,28.0,23.18287017314591,1.0
halorubrum_lipolyticum,37.0,30.084186177549174,4.0
methanobrevibacter_cuticularis,37.0,27.313795450311652,2.0
