,true,pred,kfold
palaeococcus_pacificus,80.0,80.656,0.0
desulfurococcus_kamchatkensis,82.0,84.781,4.0
methanocella_paludicola,37.0,43.134,3.0
methanothermobacter_marburgensis,60.0,52.2435,3.0
haloferax_prahovense,37.0,36.9855,0.0
methanoplanus_limicola,34.0,38.1715,1.0
vulcanisaeta_souniana,85.0,79.402,3.0
methanobacterium_lacus,30.0,37.376,4.0
natrialba_taiwanensis,37.0,37.6155,4.0
haloterrigena_thermotolerans,37.0,38.5825,3.0
aeropyrum_pernix,90.0,87.448,3.0
fervidicoccus_fontis,80.0,75.407,0.0
natrialba_aegyptia,37.0,37.137,2.0
methanosarcina_horonobensis,37.0,37.512,2.0
natronobacterium_gregoryi,37.0,38.5265,1.0
methanothermobacter_wolfeii,60.0,53.1085,3.0
natronococcus_occultus,37.0,37.8795,1.0
methanobrevibacter_arboriphilus,37.0,37.642,1.0
pyrococcus_horikoshii,95.0,84.367,0.0
haloferax_sulfurifontis,37.0,37.089,0.0
halorubrum_kocurii,37.0,36.865,4.0
methanocaldococcus_vulcanius,80.0,77.906,1.0
methanobrevibacter_millerae,37.0,38.704,4.0
haloarcula_vallismortis,37.0,37.2225,3.0
caldivirga_maquilingensis,83.0,80.148,3.0
halorubrum_lacusprofundi,30.0,37.1915,4.0
halorubrum_saccharovorum,37.0,37.088,3.0
desulfurococcus_fermentans,80.0,85.617,1.0
pyrodictium_occultum,97.0,92.428,1.0
halococcus_saccharolyticus,37.0,36.7965,0.0
haloterrigena_turkmenica,37.0,37.318,4.0
natrialba_hulunbeirensis,37.0,36.97,0.0
ignicoccus_hospitalis,90.0,90.241,3.0
halorubrum_terrestre,37.0,36.5135,0.0
acidilobus_saccharovorans,80.0,82.0425,0.0
natrinema_pallidum,37.0,37.569,0.0
archaeoglobus_profundus,85.0,80.896,2.0
pyrolobus_fumarii,103.0,90.88,4.0
thermoproteus_uzoniensis,85.0,87.865,0.0
haloarcula_argentinensis,38.0,37.0945,0.0
thermococcus_paralvinellae,80.0,83.268,1.0
natrinema_pellirubrum,37.0,37.9,3.0
methanothermococcus_thermolithotrophicus,63.0,58.688,1.0
halorubrum_distributum,34.0,37.4295,3.0
methanohalophilus_halophilus,30.0,35.223,0.0
methanomassiliicoccus_luminyensis,37.0,43.355,2.0
geoglobus_ahangari,85.0,78.971,3.0
methanocaldococcus_villosus,80.0,81.745,1.0
haladaptatus_cibarius,37.0,36.16,2.0
thermococcus_celericrescens,80.0,78.8,4.0
methanolinea_tarda,50.0,43.606,4.0
pyrococcus_furiosus,96.0,84.355,0.0
thermococcus_cleftensis,80.0,85.5,3.0
thermococcus_thioreducens,85.0,80.675,1.0
desulfurococcus_mucosus,87.0,84.494,2.0
methanothermobacter_thermautotrophicus,62.0,51.8105,1.0
halomicrobium_katesii,40.0,39.691,1.0
thermococcus_chitonophagus,85.0,85.959,4.0
pyrobaculum_calidifontis,90.0,93.454,0.0
