,true,pred,kfold
palaeococcus_pacificus,80.0,80.69607337255967,0.0
desulfurococcus_kamchatkensis,82.0,88.29764873378056,4.0
methanocella_paludicola,37.0,45.15269997386045,3.0
methanothermobacter_marburgensis,60.0,61.34818378933701,3.0
haloferax_prahovense,37.0,37.95603582931174,0.0
methanoplanus_limicola,34.0,37.97793284891851,1.0
vulcanisaeta_souniana,85.0,81.55001544404602,3.0
methanobacterium_lacus,30.0,34.92245593728008,4.0
natrialba_taiwanensis,37.0,36.89280842904912,4.0
haloterrigena_thermotolerans,37.0,40.92728751067695,3.0
aeropyrum_pernix,90.0,87.67342404332722,3.0
fervidicoccus_fontis,80.0,70.21675394420114,0.0
natrialba_aegyptia,37.0,36.97170307001995,2.0
methanosarcina_horonobensis,37.0,37.197398279421705,2.0
natronobacterium_gregoryi,37.0,38.8929230189786,1.0
methanothermobacter_wolfeii,60.0,62.02974109217412,3.0
natronococcus_occultus,37.0,37.68475502886126,1.0
methanobrevibacter_arboriphilus,37.0,34.31203896347304,1.0
pyrococcus_horikoshii,95.0,83.84951771289913,0.0
haloferax_sulfurifontis,37.0,38.28316793172515,0.0
halorubrum_kocurii,37.0,36.25700990413114,4.0
methanocaldococcus_vulcanius,80.0,77.97210450956254,1.0
methanobrevibacter_millerae,37.0,36.32683086568257,4.0
haloarcula_vallismortis,37.0,39.08825650627273,3.0
caldivirga_maquilingensis,83.0,82.45935167799249,3.0
halorubrum_lacusprofundi,30.0,36.44011786903398,4.0
halorubrum_saccharovorum,37.0,35.62659573402156,3.0
desulfurococcus_fermentans,80.0,87.30118163656289,1.0
pyrodictium_occultum,97.0,84.00595630884632,1.0
halococcus_saccharolyticus,37.0,35.120528714916574,0.0
haloterrigena_turkmenica,37.0,36.57682018562445,4.0
natrialba_hulunbeirensis,37.0,36.24692144188907,0.0
ignicoccus_hospitalis,90.0,81.46104639909983,3.0
halorubrum_terrestre,37.0,37.08376963334737,0.0
acidilobus_saccharovorans,80.0,74.83123165281683,0.0
natrinema_pallidum,37.0,36.64815578594127,0.0
archaeoglobus_profundus,85.0,89.48769798332401,2.0
pyrolobus_fumarii,103.0,93.3465948257408,4.0
thermoproteus_uzoniensis,85.0,86.80224683446659,0.0
haloarcula_argentinensis,38.0,36.71321068056173,0.0
thermococcus_paralvinellae,80.0,84.49477889138538,1.0
natrinema_pellirubrum,37.0,38.71828422748838,3.0
methanothermococcus_thermolithotrophicus,63.0,57.00902522050487,1.0
halorubrum_distributum,34.0,38.113284133907555,3.0
methanohalophilus_halophilus,30.0,35.38668857968606,0.0
methanomassiliicoccus_luminyensis,37.0,41.5162676342346,2.0
geoglobus_ahangari,85.0,77.18305343320228,3.0
methanocaldococcus_villosus,80.0,84.6357396718749,1.0
haladaptatus_cibarius,37.0,35.15362201710423,2.0
thermococcus_celericrescens,80.0,82.57413563263049,4.0
methanolinea_tarda,50.0,39.163752768081636,4.0
pyrococcus_furiosus,96.0,87.2709761913748,0.0
thermococcus_cleftensis,80.0,82.84431870664517,3.0
thermococcus_thioreducens,85.0,81.70081403106283,1.0
desulfurococcus_mucosus,87.0,81.49706267406538,2.0
methanothermobacter_thermautotrophicus,62.0,58.85086269584065,1.0
halomicrobium_katesii,40.0,40.33115834409592,1.0
thermococcus_chitonophagus,85.0,89.48397970939088,4.0
pyrobaculum_calidifontis,90.0,89.85172156419809,0.0
haloarcula_marismortui,37.0,36.65388100658183,1.0
thermosphaera_aggregans,85.0,85.46235110851607,4.0
methanolobus_tindarius,25.0,34.66342488277816,4.0
metallosphaera_sedula,67.0,67.85563139734703,0.0
haloterrigena_salina,37.0,36.73963341465821,4.0
methanotorris_formicicus,68.0,78.54686133741681,3.0
thermococcus_kodakarensis,60.0,83.94424456197603,3.0
methanococcoides_burtonii,19.0,27.3441978583243,2.0
methanosarcina_thermophila,51.0,40.02503084792765,0.0
methanobrevibacter_oralis,35.0,37.33497766609113,4.0
thermococcus_sibiricus,81.0,80.7810272580922,0.0
methanocaldococcus_bathoardescens,80.0,80.81751750883151,2.0
aciduliprofundum_boonei,70.0,73.09036864484086,4.0
methanobrevibacter_boviskoreani,37.0,36.62644418247798,4.0
pyrobaculum_neutrophilum,85.0,85.15994164611193,1.0
halorubrum_litoreum,37.0,39.23699267170228,3.0
haladaptatus_paucihalophilus,30.0,33.924537382278494,2.0
halobaculum_gomorrense,36.0,37.30957233143893,3.0
methanopyrus_kandleri,98.0,64.30046009332597,3.0
haloarcula_hispanica,37.0,36.30937245425486,0.0
natrinema_versiforme,37.0,36.62641932051749,4.0
thermogymnomonas_acidicola,60.0,53.04432080185518,3.0
ferroglobus_placidus,85.0,85.75809645166717,2.0
methanosaeta_harundinacea,37.0,52.07737177680804,2.0
halarchaeum_acidiphilum,37.0,39.14435101543869,3.0
methanosarcina_acetivorans,37.0,36.858524715187286,1.0
methanohalobium_evestigatum,50.0,35.180671413893535,1.0
natrialba_asiatica,37.0,36.885518255799134,4.0
methanotorris_igneus,85.0,79.71489339130454,3.0
ignicoccus_islandicus,90.0,86.46216217384195,0.0
archaeoglobus_sulfaticallidus,75.0,76.0120096944618,0.0
haloferax_lucentense,37.0,37.041823804825576,1.0
thermococcus_guaymasensis,88.0,83.21048637375586,0.0
thermococcus_zilligii,75.0,80.31961120857225,3.0
halogeometricum_borinquense,37.0,34.64328642669176,1.0
methanospirillum_hungatei,37.0,41.16453536160407,2.0
aeropyrum_camini,85.0,87.8181748639984,1.0
pyrococcus_kukulkanii,100.0,89.0519834127546,4.0
thermoproteus_tenax,87.0,90.34687499428945,2.0
haloterrigena_jeotgali,37.0,40.790322690890356,2.0
methanocella_conradii,50.0,45.89961904779792,1.0
natronorubrum_tibetense,37.0,36.415668741471336,3.0
haloferax_larsenii,37.0,37.85677302841335,4.0
halalkalicoccus_paucihalophilus,37.0,39.251241852342226,2.0
halorubrum_arcis,37.0,36.165259048053976,2.0
haloferax_mediterranei,36.0,35.99281797568648,3.0
methanofollis_liminatans,37.0,37.71523381172547,2.0
methanogenium_cariaci,26.0,41.46258027051772,0.0
halovivax_ruber,37.0,39.67260615803886,1.0
thermococcus_peptonophilus,85.0,79.8632854710952,1.0
methanobrevibacter_curvatus,30.0,38.28213960918079,3.0
methanobrevibacter_wolinii,37.0,36.84349038871392,1.0
natronococcus_amylolyticus,37.0,38.38348280400663,3.0
haloferax_volcanii,36.0,37.02655214845468,0.0
ignisphaera_aggregans,92.0,78.26552583328775,3.0
natronorubrum_bangense,37.0,36.59101042871711,0.0
methanoculleus_horonobensis,37.0,39.699980776756846,4.0
methanocorpusculum_bavaricum,37.0,34.38375980236431,0.0
methanococcus_vannielii,36.0,42.13026330877472,1.0
pyrobaculum_arsenaticum,95.0,90.43179734143128,2.0
methanosalsum_zhilinae,41.0,37.79730119117109,0.0
methanosarcina_flavescens,45.0,46.81412910622511,2.0
halopiger_xanaduensis,37.0,37.833897043073534,4.0
palaeococcus_ferrophilus,80.0,81.22742662704428,0.0
halorubrum_ezzemoulense,37.0,37.736242639777565,1.0
halorhabdus_utahensis,37.0,40.27719864313381,2.0
haloferax_mucosum,40.0,37.55312279974436,3.0
methanoregula_boonei,28.0,33.72417718135958,3.0
halorubrum_coriense,37.0,37.71517661304603,1.0
halorubrum_tebenquichense,40.0,36.95051702042571,4.0
pyrobaculum_islandicum,95.0,93.52520403548073,4.0
methanobrevibacter_ruminantium,37.0,37.479846709927415,1.0
methanococcoides_methylutens,28.0,37.27591166569668,4.0
methanoculleus_marisnigri,34.0,36.183016427240865,2.0
picrophilus_torridus,55.0,58.05115236901061,4.0
staphylothermus_marinus,88.0,84.20967744627214,4.0
pyrobaculum_ferrireducens,90.0,89.00434493700911,3.0
methanolacinia_paynteri,37.0,35.88405034833573,3.0
methanoregula_formicica,30.0,28.405414967601857,4.0
natronococcus_jeotgali,37.0,38.14186606843659,0.0
methanocella_arvoryzae,45.0,35.91795627712665,4.0
methanosarcina_vacuolata,37.0,35.60623476330939,4.0
natrialba_chahannaoensis,37.0,37.17844182015313,4.0
methanoculleus_bourgensis,37.0,37.34504779249018,4.0
acidiplasma_aeolicum,40.0,55.41484224134235,3.0
methanobrevibacter_filiformis,30.0,40.80498887594935,4.0
haloquadratum_walsbyi,37.0,50.36415998983714,2.0
methanoculleus_chikugoensis,28.0,39.81172878342605,4.0
archaeoglobus_fulgidus,81.0,81.39931411421941,2.0
haloferax_elongans,40.0,37.41622554257397,0.0
halosimplex_carlsbadense,39.0,36.3382265278377,4.0
methanosphaerula_palustris,28.0,36.053962768804396,0.0
methanosarcina_barkeri,35.0,36.88194836323299,2.0
halorhabdus_tiamatea,45.0,38.70051686371969,2.0
haloferax_alexandrinus,37.0,37.307987649538276,3.0
methanocorpusculum_labreanum,37.0,33.76418102093876,0.0
sulfolobus_tokodaii,75.0,75.51194727299162,3.0
thermococcus_barophilus,85.0,82.74921543530938,4.0
methanomethylovorans_hollandica,37.0,35.301691315692935,4.0
methanosarcina_lacustris,23.0,37.52793070533477,2.0
methanohalophilus_portucalensis,37.0,32.20606024609516,1.0
thermofilum_pendens,88.0,87.10141666045185,0.0
methanothermococcus_okinawensis,65.0,57.05210273405109,2.0
pyrobaculum_oguniense,90.0,93.65265139943033,0.0
methanocaldococcus_fervens,85.0,80.96910889464509,1.0
halorubrum_hochstenium,37.0,39.01868651573269,1.0
acidiplasma_cupricumulans,55.0,55.38496479548725,3.0
methanococcus_aeolicus,38.0,49.347944238850566,2.0
haloferax_gibbonsii,37.0,37.09999741629618,1.0
halorubrum_californiense,37.0,36.9347811381477,1.0
sulfolobus_metallicus,65.0,61.10336077989484,0.0
halomicrobium_mukohataei,37.0,40.02516780562984,1.0
halogranum_salarium,37.0,38.01913712080837,0.0
