,true,pred,kfold
palaeococcus_pacificus,80.0,81.453125,0.0
desulfurococcus_kamchatkensis,82.0,86.68888888888888,4.0
methanocella_paludicola,37.0,44.869565217391305,3.0
methanothermobacter_marburgensis,60.0,44.869565217391305,3.0
haloferax_prahovense,37.0,37.386792452830186,0.0
methanoplanus_limicola,34.0,37.14049586776859,1.0
vulcanisaeta_souniana,85.0,88.93548387096774,3.0
methanobacterium_lacus,30.0,44.869565217391305,4.0
natrialba_taiwanensis,37.0,37.40384615384615,4.0
haloterrigena_thermotolerans,37.0,40.0,3.0
aeropyrum_pernix,90.0,88.93548387096774,3.0
fervidicoccus_fontis,80.0,81.453125,0.0
natrialba_aegyptia,37.0,37.46052631578947,2.0
methanosarcina_horonobensis,37.0,37.46052631578947,2.0
natronobacterium_gregoryi,37.0,37.14049586776859,1.0
methanothermobacter_wolfeii,60.0,44.869565217391305,3.0
natronococcus_occultus,37.0,37.14049586776859,1.0
methanobrevibacter_arboriphilus,37.0,37.14049586776859,1.0
pyrococcus_horikoshii,95.0,81.453125,0.0
haloferax_sulfurifontis,37.0,37.386792452830186,0.0
halorubrum_kocurii,37.0,36.34782608695652,4.0
methanocaldococcus_vulcanius,80.0,82.83582089552239,1.0
methanobrevibacter_millerae,37.0,39.17391304347826,4.0
haloarcula_vallismortis,37.0,35.791666666666664,3.0
caldivirga_maquilingensis,83.0,88.93548387096774,3.0
halorubrum_lacusprofundi,30.0,39.17391304347826,4.0
halorubrum_saccharovorum,37.0,37.61290322580645,3.0
desulfurococcus_fermentans,80.0,82.83582089552239,1.0
pyrodictium_occultum,97.0,82.83582089552239,1.0
halococcus_saccharolyticus,37.0,37.386792452830186,0.0
haloterrigena_turkmenica,37.0,39.17391304347826,4.0
natrialba_hulunbeirensis,37.0,37.386792452830186,0.0
ignicoccus_hospitalis,90.0,88.93548387096774,3.0
halorubrum_terrestre,37.0,37.386792452830186,0.0
acidilobus_saccharovorans,80.0,81.453125,0.0
natrinema_pallidum,37.0,40.69736842105263,0.0
archaeoglobus_profundus,85.0,78.39189189189189,2.0
pyrolobus_fumarii,103.0,86.68888888888888,4.0
thermoproteus_uzoniensis,85.0,81.453125,0.0
haloarcula_argentinensis,38.0,37.386792452830186,0.0
thermococcus_paralvinellae,80.0,82.83582089552239,1.0
natrinema_pellirubrum,37.0,40.0,3.0
methanothermococcus_thermolithotrophicus,63.0,82.83582089552239,1.0
halorubrum_distributum,34.0,37.61290322580645,3.0
methanohalophilus_halophilus,30.0,34.03030303030303,0.0
methanomassiliicoccus_luminyensis,37.0,37.46052631578947,2.0
geoglobus_ahangari,85.0,78.625,3.0
methanocaldococcus_villosus,80.0,82.83582089552239,1.0
haladaptatus_cibarius,37.0,37.46052631578947,2.0
thermococcus_celericrescens,80.0,86.68888888888888,4.0
methanolinea_tarda,50.0,33.21739130434783,4.0
pyrococcus_furiosus,96.0,81.453125,0.0
thermococcus_cleftensis,80.0,88.93548387096774,3.0
thermococcus_thioreducens,85.0,82.83582089552239,1.0
desulfurococcus_mucosus,87.0,78.39189189189189,2.0
methanothermobacter_thermautotrophicus,62.0,37.14049586776859,1.0
halomicrobium_katesii,40.0,37.14049586776859,1.0
thermococcus_chitonophagus,85.0,86.68888888888888,4.0
pyrobaculum_calidifontis,90.0,81.453125,0.0
haloarcula_marismortui,37.0,37.14049586776859,1.0
thermosphaera_aggregans,85.0,86.68888888888888,4.0
methanolobus_tindarius,25.0,39.17391304347826,4.0
metallosphaera_sedula,67.0,81.453125,0.0
haloterrigena_salina,37.0,36.34782608695652,4.0
methanotorris_formicicus,68.0,78.625,3.0
thermococcus_kodakarensis,60.0,88.93548387096774,3.0
methanococcoides_burtonii,19.0,37.46052631578947,2.0
methanosarcina_thermophila,51.0,34.03030303030303,0.0
methanobrevibacter_oralis,35.0,44.869565217391305,4.0
thermococcus_sibiricus,81.0,81.453125,0.0
methanocaldococcus_bathoardescens,80.0,78.39189189189189,2.0
aciduliprofundum_boonei,70.0,71.88,4.0
methanobrevibacter_boviskoreani,37.0,39.17391304347826,4.0
pyrobaculum_neutrophilum,85.0,82.83582089552239,1.0
halorubrum_litoreum,37.0,37.61290322580645,3.0
haladaptatus_paucihalophilus,30.0,37.46052631578947,2.0
halobaculum_gomorrense,36.0,37.61290322580645,3.0
methanopyrus_kandleri,98.0,44.869565217391305,3.0
haloarcula_hispanica,37.0,37.386792452830186,0.0
natrinema_versiforme,37.0,36.34782608695652,4.0
thermogymnomonas_acidicola,60.0,44.869565217391305,3.0
ferroglobus_placidus,85.0,78.39189189189189,2.0
methanosaeta_harundinacea,37.0,37.46052631578947,2.0
halarchaeum_acidiphilum,37.0,37.61290322580645,3.0
methanosarcina_acetivorans,37.0,37.14049586776859,1.0
methanohalobium_evestigatum,50.0,37.14049586776859,1.0
natrialba_asiatica,37.0,37.40384615384615,4.0
methanotorris_igneus,85.0,78.625,3.0
ignicoccus_islandicus,90.0,81.453125,0.0
archaeoglobus_sulfaticallidus,75.0,81.453125,0.0
haloferax_lucentense,37.0,37.14049586776859,1.0
thermococcus_guaymasensis,88.0,81.453125,0.0
thermococcus_zilligii,75.0,88.93548387096774,3.0
halogeometricum_borinquense,37.0,37.14049586776859,1.0
methanospirillum_hungatei,37.0,37.46052631578947,2.0
aeropyrum_camini,85.0,82.83582089552239,1.0
pyrococcus_kukulkanii,100.0,86.68888888888888,4.0
thermoproteus_tenax,87.0,78.39189189189189,2.0
haloterrigena_jeotgali,37.0,37.46052631578947,2.0
methanocella_conradii,50.0,82.83582089552239,1.0
natronorubrum_tibetense,37.0,40.0,3.0
haloferax_larsenii,37.0,37.40384615384615,4.0
halalkalicoccus_paucihalophilus,37.0,37.46052631578947,2.0
halorubrum_arcis,37.0,37.46052631578947,2.0
haloferax_mediterranei,36.0,35.791666666666664,3.0
methanofollis_liminatans,37.0,37.46052631578947,2.0
methanogenium_cariaci,26.0,40.69736842105263,0.0
halovivax_ruber,37.0,37.14049586776859,1.0
thermococcus_peptonophilus,85.0,82.83582089552239,1.0
methanobrevibacter_curvatus,30.0,44.869565217391305,3.0
methanobrevibacter_wolinii,37.0,37.14049586776859,1.0
natronococcus_amylolyticus,37.0,37.61290322580645,3.0
haloferax_volcanii,36.0,37.386792452830186,0.0
ignisphaera_aggregans,92.0,78.625,3.0
natronorubrum_bangense,37.0,37.386792452830186,0.0
methanoculleus_horonobensis,37.0,44.869565217391305,4.0
methanocorpusculum_bavaricum,37.0,34.03030303030303,0.0
methanococcus_vannielii,36.0,82.83582089552239,1.0
pyrobaculum_arsenaticum,95.0,78.39189189189189,2.0
methanosalsum_zhilinae,41.0,40.69736842105263,0.0
methanosarcina_flavescens,45.0,37.46052631578947,2.0
halopiger_xanaduensis,37.0,39.17391304347826,4.0
palaeococcus_ferrophilus,80.0,81.453125,0.0
halorubrum_ezzemoulense,37.0,37.14049586776859,1.0
halorhabdus_utahensis,37.0,37.46052631578947,2.0
haloferax_mucosum,40.0,40.0,3.0
methanoregula_boonei,28.0,33.5,3.0
halorubrum_coriense,37.0,37.14049586776859,1.0
halorubrum_tebenquichense,40.0,36.34782608695652,4.0
pyrobaculum_islandicum,95.0,86.68888888888888,4.0
