,true,pred,kfold
allobaculum_stercoricanis,37.0,36.908729296679276,3.0
shewanella_algae,28.0,22.132473100291158,1.0
bifidobacterium_saguini,37.0,35.057427412353334,4.0
ochrobactrum_rhizosphaerae,28.0,30.39871735858804,1.0
sphingomonas_haloaromaticamans,30.0,27.975387362841463,0.0
kurthia_massiliensis,28.0,28.971654614756677,0.0
bacillus_ligniniphilus,30.0,35.156707292942,1.0
planococcus_maritimus,29.0,29.099392489608253,1.0
collinsella_aerofaciens,37.0,32.9168758220961,3.0
planococcus_halocryophilus,18.0,27.085373162406533,1.0
streptococcus_ictaluri,30.0,35.03010575415269,2.0
enterococcus_asini,37.0,31.013748726339415,0.0
clostridium_baratii,37.0,40.1122693784115,0.0
paraglaciecola_chathamensis,18.0,26.06299567655865,0.0
shewanella_oneidensis,30.0,25.56897931136092,4.0
lactococcus_lactis,31.0,32.74246693521137,4.0
shewanella_baltica,25.0,21.887984345182364,3.0
methylotenera_versatilis,25.0,23.08997460234551,0.0
eubacterium_sulci,37.0,38.873562333439516,4.0
glaciecola_pallidula,13.0,21.63448199285032,0.0
paenibacillus_lactis,30.0,32.63209120388134,4.0
nocardia_caishijiensis,29.0,28.95444229861987,0.0
balneola_vulgaris,27.0,25.780722606386526,3.0
streptomyces_viridosporus,28.0,28.839351775386486,3.0
caenibacillus_caldisaponilyticus,55.0,47.06267137230312,3.0
desulfovibrio_vulgaris,34.0,31.0975197884512,3.0
actinoalloteichus_spitiensis,30.0,31.76532023432521,1.0
nitratifractor_salsuginis,59.0,55.01773792014993,2.0
herbaspirillum_rhizosphaerae,27.0,26.476993481267655,0.0
tepidiphilus_thermophilus,50.0,51.58659911941435,4.0
rhodobacter_johrii,28.0,30.005402349792845,3.0
hoeflea_phototrophica,30.0,26.198479570137753,4.0
alicycliphilus_denitrificans,29.0,33.60037167331721,1.0
denitrovibrio_acetiphilus,30.0,27.248799664317133,0.0
azovibrio_restrictus,28.0,31.3017859617081,2.0
frateuria_aurantia,27.0,28.24686204940204,2.0
vibrio_owensii,27.0,27.627065989400254,3.0
herbaspirillum_huttiense,28.0,29.087323311158936,0.0
methylophaga_frappieri,29.0,25.309629042301168,3.0
providencia_burhodogranariea,31.0,28.833749872110246,2.0
halanaerobium_congolense,42.0,39.22510309616803,0.0
acinetobacter_indicus,31.0,32.38397626181684,2.0
streptobacillus_moniliformis,37.0,31.743539091701,4.0
novosphingobium_aromaticivorans,30.0,29.48670156999683,4.0
pseudoalteromonas_issachenkonii,23.0,24.30029781352185,0.0
parascardovia_denticolens,37.0,39.00765560277864,0.0
tetrasphaera_jenkinsii,25.0,26.02116631111266,4.0
corynebacterium_minutissimum,35.0,33.56490889802168,2.0
haematospirillum_jordaniae,37.0,31.644088361940327,3.0
peptoniphilus_lacrimalis,37.0,40.120829746524024,3.0
dialister_invisus,36.0,38.11746912066605,1.0
actinomadura_rubrobrunea,55.0,40.00677529575564,3.0
nocardiopsis_halophila,28.0,31.48626101907428,4.0
weissella_confusa,31.0,29.711985135004305,3.0
desulfotomaculum_thermosubterraneum,60.0,58.89190640437987,1.0
mycobacterium_haemophilum,31.0,35.59557258093628,1.0
pediococcus_cellicola,34.0,32.2346858888183,2.0
amycolatopsis_thermoflava,45.0,31.944924140886584,0.0
microbacterium_arborescens,30.0,28.19326259970635,0.0
kluyvera_intermedia,31.0,30.817712720347313,3.0
bacillus_circulans,32.0,31.198526283860982,2.0
streptomyces_griseoflavus,27.0,26.851048773348392,4.0
pseudoalteromonas_piscicida,28.0,25.602699858029585,0.0
nocardia_farcinica,32.0,33.454641271517374,4.0
sulfurimonas_denitrificans,24.0,26.268006576305844,2.0
streptomyces_galbus,27.0,28.15850804054258,1.0
paenibacillus_odorifer,30.0,26.64324083523945,2.0
vagococcus_penaei,30.0,33.548569947872515,3.0
legionella_hackeliae,37.0,33.00357016850729,2.0
nocardia_carnea,29.0,28.90904387648063,4.0
lactobacillus_jensenii,37.0,34.20249915045827,4.0
flavobacterium_filum,27.0,27.78360257309532,4.0
rhizobium_tibeticum,28.0,27.76728142473173,1.0
methylophaga_thiooxydans,28.0,27.178313743833282,3.0
staphylococcus_vitulinus,37.0,32.88171495119578,2.0
nautilia_profundicola,43.0,54.52897298521585,1.0
mycoplasma_gallinarum,37.0,35.46380740183423,3.0
nosocomiicoccus_ampullae,32.0,35.335617296024324,4.0
acinetobacter_soli,29.0,31.159617934706027,2.0
lactobacillus_malefermentans,29.0,30.04628275825408,0.0
thiocystis_violascens,25.0,24.250141604784943,3.0
slackia_piriformis,37.0,45.0875828495885,1.0
komagataeibacter_europaeus,30.0,28.75698434614788,0.0
bacillus_muralis,30.0,26.656049039409687,1.0
lachnoanaerobaculum_saburreum,37.0,37.3567457477764,4.0
mycoplasma_glycophilum,37.0,40.84008670307518,4.0
selenomonas_bovis,37.0,36.41626880875217,0.0
persephonella_marina,70.0,69.40779598785366,2.0
leptotrichia_shahii,37.0,38.74509720091785,3.0
prevotella_saccharolytica,37.0,36.58317390140335,1.0
collimonas_arenae,28.0,27.267067779621705,0.0
thermus_islandicus,65.0,70.75505162546875,2.0
chryseolinea_serpens,25.0,27.354865581351078,3.0
corynebacterium_efficiens,37.0,31.770501932045146,1.0
bacillus_pseudofirmus,31.0,32.105000007374045,0.0
neisseria_elongata,33.0,36.024871519807924,4.0
flavobacterium_piscis,30.0,22.806285487051262,4.0
ornithinibacillus_californiensis,30.0,36.30516034605702,4.0
clostridium_septicum,37.0,36.70589438802646,0.0
cycloclasticus_pugetii,20.0,26.924354852833968,0.0
listeria_seeligeri,36.0,30.707873487138848,0.0
vibrio_atlanticus,25.0,24.177688698792647,1.0
enhygromyxa_salina,30.0,31.95191903912952,0.0
chryseobacterium_piperi,29.0,27.60350311443838,2.0
alicyclobacillus_ferrooxydans,30.0,37.11824183745828,0.0
longispora_albida,28.0,25.572372306425112,4.0
desulfitobacterium_hafniense,34.0,35.87273539062343,3.0
halanaerobium_saccharolyticum,37.0,36.62581031331697,1.0
streptomyces_decoyicus,29.0,27.00297053245061,0.0
vibrio_quintilis,28.0,30.018054869804264,4.0
aeromicrobium_erythreum,33.0,28.98831609880149,1.0
acinetobacter_johnsonii,29.0,29.0389400559067,1.0
oceanobacillus_caeni,32.0,35.90640287210222,3.0
jannaschia_rubra,25.0,25.129409393493273,2.0
comamonas_composti,28.0,28.02370351267761,4.0
sphingobium_ummariense,28.0,30.559782188043297,1.0
bacillus_cellulosilyticus,32.0,32.69874053446821,0.0
bacillus_novalis,30.0,32.588252724038306,4.0
photobacterium_sanctipauli,28.0,26.839855226623065,4.0
dokdonia_donghaensis,30.0,23.722379447522023,0.0
kordiimonas_gwangyangensis,36.0,26.126762917738603,1.0
corynebacterium_ulceribovis,37.0,33.50185341186109,4.0
campylobacter_showae,37.0,36.040248396944065,2.0
fretibacterium_fastidiosum,37.0,40.21752335314692,0.0
hydrocarboniphaga_effusa,29.0,25.837454236456097,2.0
carnimonas_nigrificans,30.0,33.0530343206794,1.0
celeribacter_indicus,25.0,30.245071122456906,0.0
lactobacillus_salivarius,37.0,41.13247804404617,4.0
actinomyces_radicidentis,37.0,28.865314903956076,1.0
capnocytophaga_sputigena,37.0,36.127890260745204,2.0
mycobacterium_colombiense,37.0,35.4084566866079,1.0
streptomyces_ipomoeae,27.0,29.466386816731177,4.0
actinomyces_suimastitidis,37.0,35.878757097875436,2.0
lactobacillus_shenzhenensis,37.0,32.61284017837517,0.0
xanthomonas_pisi,27.0,28.30691911763322,1.0
methylobacter_tundripaludum,22.0,23.199429951770924,3.0
rhizobium_sullae,28.0,29.7115831962264,0.0
bacillus_marmarensis,30.0,31.34504401657203,2.0
paenibacillus_borealis,30.0,25.544970555848778,1.0
mycobacterium_wolinskyi,32.0,34.26293324842612,3.0
aliivibrio_logei,18.0,22.29746504000157,3.0
nevskia_soli,28.0,27.66970850250557,0.0
bacillus_boroniphilus,30.0,32.390194404982886,3.0
clostridium_cellulolyticum,35.0,34.12278540572975,4.0
castellaniella_caeni,28.0,31.005838855324956,4.0
mycobacterium_kyorinense,37.0,35.385461300628165,4.0
paraburkholderia_mimosarum,30.0,29.92607568393564,2.0
timonella_senegalensis,30.0,25.985892181525344,0.0
haemophilus_haemolyticus,37.0,35.273945429196544,3.0
bdellovibrio_bacteriovorus,28.0,26.88089626455388,3.0
psychrobacter_phenylpyruvicus,31.0,27.864673607194725,4.0
herbaspirillum_frisingense,35.0,28.39162931732254,2.0
lactobacillus_nasuensis,30.0,31.695342775513602,4.0
achromobacter_insolitus,33.0,27.734641277558545,4.0
spiroplasma_diminutum,28.0,26.843781036031462,1.0
bordetella_bronchiseptica,36.0,33.15309764821399,4.0
janibacter_limosus,29.0,26.70438914459894,4.0
yersinia_frederiksenii,30.0,28.23948861988114,0.0
enhydrobacter_aerosaccus,37.0,30.01647141934018,3.0
flavobacterium_columnare,23.0,26.1285605894685,3.0
thermogemmatispora_carboxidivorans,55.0,49.66586795889401,3.0
bartonella_florencae,37.0,34.586291162402404,0.0
helicobacter_acinonychis,37.0,31.03612903594058,4.0
jeotgalibacillus_soli,30.0,28.652990693045727,3.0
lactobacillus_ruminis,35.0,39.52671404382653,4.0
xenorhabdus_hominickii,30.0,27.591344814989,0.0
roseburia_inulinivorans,37.0,36.83064870086971,2.0
thioalkalimicrobium_cyclicum,28.0,21.35304767140014,3.0
bacillus_subtilis,30.0,29.9332829339685,3.0
pseudomonas_fluorescens,28.0,27.231386160002234,0.0
centipeda_periodontii,37.0,34.64146010610226,2.0
pseudomonas_bauzanensis,28.0,29.75662567185576,1.0
kaistia_adipata,31.0,31.686153432745062,2.0
riemerella_anatipestifer,37.0,31.724480873254972,3.0
bacillus_simplex,29.0,26.641322924877453,4.0
chryseobacterium_jeonii,16.0,24.599532894383962,1.0
streptomyces_cyanoalbus,27.0,28.370476163096686,3.0
streptococcus_phocae,35.0,30.772940480477367,1.0
gemmobacter_megaterium,28.0,30.674877457155148,4.0
hyphomonas_jannaschiana,30.0,28.39665103776391,3.0
lactobacillus_sharpeae,30.0,32.99418924713724,2.0
nocardia_brasiliensis,33.0,28.44523655265491,0.0
lactobacillus_algidus,18.0,26.785849241516352,3.0
jannaschia_aquimarina,30.0,26.456135985711796,4.0
alloscardovia_omnicolens,37.0,37.86703905395967,3.0
coprococcus_catus,37.0,34.90953511588866,4.0
chloroflexus_aurantiacus,49.0,50.93773344275183,1.0
lactobacillus_hordei,30.0,31.206783702504666,1.0
acinetobacter_bouvetii,30.0,28.736233346990435,0.0
enterobacter_hormaechei,32.0,32.647745597002725,3.0
pirellula_staleyi,26.0,26.051877900035784,0.0
azospira_oryzae,33.0,30.972438003238484,0.0
helicobacter_heilmannii,37.0,34.98845007579989,0.0
paenibacillus_pectinilyticus,30.0,28.287283681190644,2.0
anoxybacillus_thermarum,55.0,49.62740056527038,1.0
nocardia_vermiculata,29.0,28.96105197637131,2.0
mycobacterium_chlorophenolicum,31.0,32.796405956601426,0.0
lactobacillus_kalixensis,37.0,37.117338566696546,0.0
mycobacterium_rhodesiae,36.0,34.80100664741963,3.0
corynebacterium_appendicis,37.0,35.041797912961556,2.0
porphyromonas_asaccharolytica,37.0,36.4545989130518,0.0
paenibacillus_antarcticus,19.0,26.197061757545278,1.0
vibrio_ruber,27.0,28.162840024078108,2.0
deinococcus_grandis,26.0,23.176149738318067,0.0
streptomyces_noursei,27.0,27.856162183139553,2.0
campylobacter_hyointestinalis,37.0,35.98310740142073,0.0
lactobacillus_amylovorus,37.0,38.54802396468485,0.0
staphylococcus_auricularis,37.0,36.09506473191682,3.0
demequina_sediminicola,28.0,30.206827840150254,2.0
bacillus_fastidiosus,30.0,31.84252825241265,3.0
mycobacterium_abscessus,35.0,34.31850514766135,1.0
maribacter_dokdonensis,28.0,24.0926777606699,3.0
phaeospirillum_fulvum,26.0,24.826996510716455,3.0
alteromonas_mediterranea,23.0,28.588526701315402,4.0
amycolatopsis_decaplanina,29.0,29.28045987899939,3.0
tenacibaculum_ovolyticum,15.0,21.571305243357283,4.0
simkania_negevensis,25.0,36.78660544550932,1.0
millisia_brevis,29.0,31.704749567472224,2.0
pseudovibrio_axinellae,24.0,29.444886048160335,0.0
parabacteroides_distasonis,37.0,36.26305238035358,0.0
gelidibacter_algens,18.0,21.80302750313793,2.0
insolitispirillum_peregrinum,28.0,30.26338674771206,1.0
streptomyces_bungoensis,28.0,28.77527475404034,0.0
brevibacillus_brevis,33.0,30.4450083633451,2.0
levilinea_saccharolytica,37.0,43.592788760792644,1.0
taylorella_equigenitalis,37.0,31.976439518153704,1.0
streptococcus_plurextorum,37.0,34.0988160722206,2.0
lactobacillus_animalis,37.0,38.587855868144665,2.0
spiroplasma_chrysopicola,30.0,30.94377625706031,1.0
hydrococcus_rivularis,20.0,31.007412455978624,3.0
chelatococcus_daeguensis,37.0,37.29331438724595,0.0
lactobacillus_saerimneri,37.0,38.26666374165623,1.0
comamonas_testosteroni,29.0,26.600478205442887,1.0
acidisphaera_rubrifaciens,30.0,28.928343186228666,1.0
gordonia_jacobaea,28.0,31.074454038679885,1.0
salimicrobium_salexigens,37.0,34.921130655957164,4.0
geobacillus_jurassicus,55.0,57.28261814308755,1.0
bacillus_lentus,30.0,27.826224940424506,2.0
formosa_agariphila,21.0,23.842355661157427,3.0
bacillus_shackletonii,30.0,35.07819648167095,3.0
geoalkalibacter_subterraneus,37.0,34.504643190598955,3.0
bacteroides_clarus,37.0,36.30597758520696,2.0
halomonas_titanicae,37.0,28.341159545118863,3.0
cohnella_thermotolerans,32.0,38.231173480960145,4.0
streptomyces_tsukubensis,28.0,26.60476238947367,0.0
lacinutrix_algicola,18.0,18.503035769523503,4.0
streptomyces_griseoluteus,27.0,28.672170807942152,0.0
acidothermus_cellulolyticus,55.0,41.90990539377965,4.0
oceanospirillum_maris,29.0,24.086984287411042,0.0
spirosoma_panaciterrae,28.0,26.74189771553405,4.0
tepidibacter_formicigenes,45.0,44.94077662966753,0.0
dehalobacter_restrictus,30.0,36.46922310601018,1.0
paenibacillus_kribbensis,29.0,31.721239092371142,4.0
cellulosimicrobium_funkei,31.0,28.22805123402249,4.0
bacillus_psychrosaccharolyticus,18.0,29.43014817616094,1.0
bacillus_tequilensis,30.0,28.537655261569828,1.0
arhodomonas_aquaeolei,33.0,31.619261823118578,0.0
streptococcus_cristatus,37.0,36.39178159271409,2.0
desulfonatronum_thiodismutans,36.0,32.058869017131585,2.0
stenotrophomonas_koreensis,31.0,33.20641814999362,3.0
mariniradius_saccharolyticus,28.0,27.63175501140259,1.0
planktotalea_frisia,20.0,24.95728697788878,3.0
bacillus_luciferensis,30.0,28.821902528322084,1.0
listeria_ivanovii,36.0,31.986255653999926,4.0
aeromonas_sobria,31.0,28.223727075933148,3.0
pseudomonas_mendocina,34.0,30.158202428343294,4.0
nocardiopsis_alkaliphila,28.0,33.01764802073925,3.0
mycoplasma_molare,37.0,35.161600701484126,1.0
streptococcus_ratti,37.0,35.50466497114197,1.0
streptomyces_diastatochromogenes,27.0,26.96466585760996,4.0
campylobacter_gracilis,37.0,33.93973044671232,2.0
sphingomonas_phyllosphaerae,27.0,26.606969423395203,4.0
sphingobium_chungbukense,29.0,29.03759076767786,2.0
oligella_ureolytica,33.0,35.731956801718226,0.0
mesonia_mobilis,28.0,27.755728153496097,3.0
streptococcus_devriesei,34.0,36.05713381869842,0.0
nitrincola_lacisaponensis,37.0,23.967811007073713,0.0
mycobacterium_heckeshornense,42.0,39.011868928470896,3.0
staphylococcus_pettenkoferi,37.0,35.485372450517076,2.0
methylocystis_rosea,26.0,30.201862130173176,1.0
mycoplasma_iowae,37.0,33.58432945251822,0.0
entomoplasma_luminosum,30.0,26.659360894245836,3.0
pararhodospirillum_photometricum,25.0,28.349909304998043,2.0
haemophilus_parasuis,37.0,36.82013620349265,2.0
gramella_forsetii,24.0,25.745513006317125,4.0
lewinella_cohaerens,27.0,20.645867916155733,0.0
pseudomonas_brassicacearum,28.0,28.296252198150768,3.0
bacillus_gaemokensis,30.0,31.614014389933217,2.0
eubacterium_limosum,37.0,38.12527038838578,2.0
planobispora_rosea,28.0,32.97390436314733,2.0
porphyromonas_cangingivalis,37.0,39.99032497376099,1.0
pediococcus_damnosus,26.0,28.823861416830297,2.0
mycoplasma_pirum,37.0,32.22106899188288,1.0
chromohalobacter_israelensis,29.0,29.999384817934043,3.0
mycobacterium_africanum,37.0,33.96302208939383,3.0
