,true,pred,kfold
allobaculum_stercoricanis,37.0,39.119128305764086,3.0
shewanella_algae,28.0,22.666739141814013,1.0
bifidobacterium_saguini,37.0,35.618751299480856,4.0
ochrobactrum_rhizosphaerae,28.0,29.68445364224126,1.0
sphingomonas_haloaromaticamans,30.0,28.210748279451735,0.0
kurthia_massiliensis,28.0,26.734299862741835,0.0
bacillus_ligniniphilus,30.0,34.81562868343999,1.0
planococcus_maritimus,29.0,29.00848356472661,1.0
collinsella_aerofaciens,37.0,32.50972088083733,3.0
planococcus_halocryophilus,18.0,26.353834783903856,1.0
streptococcus_ictaluri,30.0,34.1180816586469,2.0
enterococcus_asini,37.0,30.450271690248854,0.0
clostridium_baratii,37.0,39.56451472079695,0.0
paraglaciecola_chathamensis,18.0,26.45403846538008,0.0
shewanella_oneidensis,30.0,24.950594675640524,4.0
lactococcus_lactis,31.0,32.35090996036953,4.0
shewanella_baltica,25.0,21.9520788978051,3.0
methylotenera_versatilis,25.0,22.273789728044875,0.0
eubacterium_sulci,37.0,38.0636537195248,4.0
glaciecola_pallidula,13.0,22.182579601168044,0.0
paenibacillus_lactis,30.0,32.996954691509664,4.0
nocardia_caishijiensis,29.0,29.510109508394606,0.0
balneola_vulgaris,27.0,25.234314997048266,3.0
streptomyces_viridosporus,28.0,28.986611444802172,3.0
caenibacillus_caldisaponilyticus,55.0,46.42519481882561,3.0
desulfovibrio_vulgaris,34.0,31.445286829323656,3.0
actinoalloteichus_spitiensis,30.0,31.78511873470952,1.0
nitratifractor_salsuginis,59.0,54.90451964692815,2.0
herbaspirillum_rhizosphaerae,27.0,25.804015004991896,0.0
tepidiphilus_thermophilus,50.0,52.17709709415859,4.0
rhodobacter_johrii,28.0,28.8162203620385,3.0
hoeflea_phototrophica,30.0,26.75613476047939,4.0
alicycliphilus_denitrificans,29.0,33.80871645199468,1.0
denitrovibrio_acetiphilus,30.0,27.44799598491133,0.0
azovibrio_restrictus,28.0,31.440606683060963,2.0
frateuria_aurantia,27.0,29.75727614717229,2.0
vibrio_owensii,27.0,27.367695886940844,3.0
herbaspirillum_huttiense,28.0,29.63497289454878,0.0
methylophaga_frappieri,29.0,25.402588445992357,3.0
providencia_burhodogranariea,31.0,29.527616112992604,2.0
halanaerobium_congolense,42.0,37.77477272784651,0.0
acinetobacter_indicus,31.0,32.81310042695745,2.0
streptobacillus_moniliformis,37.0,30.362857592205465,4.0
novosphingobium_aromaticivorans,30.0,28.873647463421285,4.0
pseudoalteromonas_issachenkonii,23.0,24.027029598116286,0.0
parascardovia_denticolens,37.0,38.774490082620986,0.0
tetrasphaera_jenkinsii,25.0,26.4934690118832,4.0
corynebacterium_minutissimum,35.0,33.05296859101995,2.0
haematospirillum_jordaniae,37.0,33.45530040964592,3.0
peptoniphilus_lacrimalis,37.0,41.95748241648186,3.0
dialister_invisus,36.0,38.49872771488835,1.0
actinomadura_rubrobrunea,55.0,40.35041530832756,3.0
nocardiopsis_halophila,28.0,32.031131517986715,4.0
weissella_confusa,31.0,30.557947237343676,3.0
desulfotomaculum_thermosubterraneum,60.0,60.3926207183521,1.0
mycobacterium_haemophilum,31.0,36.23664156185796,1.0
pediococcus_cellicola,34.0,31.420861810014088,2.0
amycolatopsis_thermoflava,45.0,31.3424020651573,0.0
microbacterium_arborescens,30.0,27.21824892795027,0.0
kluyvera_intermedia,31.0,32.04286821588982,3.0
bacillus_circulans,32.0,30.851972192094166,2.0
streptomyces_griseoflavus,27.0,26.760597002605856,4.0
pseudoalteromonas_piscicida,28.0,26.162812316774733,0.0
nocardia_farcinica,32.0,33.37859321842617,4.0
sulfurimonas_denitrificans,24.0,25.88367995576604,2.0
streptomyces_galbus,27.0,27.87010065304448,1.0
paenibacillus_odorifer,30.0,27.18945082978948,2.0
vagococcus_penaei,30.0,34.65585430368889,3.0
legionella_hackeliae,37.0,33.913400262162526,2.0
nocardia_carnea,29.0,29.100839388470114,4.0
lactobacillus_jensenii,37.0,33.98042560825771,4.0
flavobacterium_filum,27.0,27.462661516766012,4.0
rhizobium_tibeticum,28.0,27.633036291472216,1.0
methylophaga_thiooxydans,28.0,29.447688658089525,3.0
staphylococcus_vitulinus,37.0,32.44622573213323,2.0
nautilia_profundicola,43.0,54.11698309170415,1.0
mycoplasma_gallinarum,37.0,36.67775066599358,3.0
nosocomiicoccus_ampullae,32.0,33.89808632145351,4.0
acinetobacter_soli,29.0,31.09008559541448,2.0
lactobacillus_malefermentans,29.0,30.177489126085646,0.0
thiocystis_violascens,25.0,23.75916012033928,3.0
slackia_piriformis,37.0,46.26019874798467,1.0
komagataeibacter_europaeus,30.0,28.722881877779372,0.0
bacillus_muralis,30.0,26.630161917082567,1.0
lachnoanaerobaculum_saburreum,37.0,37.60452629337734,4.0
mycoplasma_glycophilum,37.0,43.06935669193691,4.0
selenomonas_bovis,37.0,35.257424676775344,0.0
persephonella_marina,70.0,70.98431166963323,2.0
leptotrichia_shahii,37.0,37.78967006906975,3.0
prevotella_saccharolytica,37.0,37.096791899077196,1.0
collimonas_arenae,28.0,26.83506997859419,0.0
thermus_islandicus,65.0,70.94137772874578,2.0
chryseolinea_serpens,25.0,26.812543470711596,3.0
corynebacterium_efficiens,37.0,31.07744280087163,1.0
bacillus_pseudofirmus,31.0,31.585406864046462,0.0
neisseria_elongata,33.0,35.50606943378872,4.0
flavobacterium_piscis,30.0,22.53195549259609,4.0
ornithinibacillus_californiensis,30.0,37.000919115642965,4.0
clostridium_septicum,37.0,36.05839880740584,0.0
cycloclasticus_pugetii,20.0,27.447617137789138,0.0
listeria_seeligeri,36.0,30.67920216357649,0.0
vibrio_atlanticus,25.0,24.202519094816942,1.0
enhygromyxa_salina,30.0,35.25462349688948,0.0
chryseobacterium_piperi,29.0,27.694425195023854,2.0
alicyclobacillus_ferrooxydans,30.0,37.31971534526289,0.0
longispora_albida,28.0,23.87881828556484,4.0
desulfitobacterium_hafniense,34.0,36.37985332712639,3.0
halanaerobium_saccharolyticum,37.0,36.19097963558843,1.0
streptomyces_decoyicus,29.0,27.98539694583357,0.0
vibrio_quintilis,28.0,30.203353655437887,4.0
aeromicrobium_erythreum,33.0,29.161390936247606,1.0
acinetobacter_johnsonii,29.0,28.030985510222216,1.0
oceanobacillus_caeni,32.0,35.866578180642016,3.0
jannaschia_rubra,25.0,23.37830886201604,2.0
comamonas_composti,28.0,29.070793879131735,4.0
sphingobium_ummariense,28.0,30.212374365202685,1.0
bacillus_cellulosilyticus,32.0,33.37854250705183,0.0
bacillus_novalis,30.0,33.418500673870504,4.0
photobacterium_sanctipauli,28.0,26.842792284588278,4.0
dokdonia_donghaensis,30.0,24.723022306322463,0.0
kordiimonas_gwangyangensis,36.0,27.076225912443896,1.0
corynebacterium_ulceribovis,37.0,34.76183296451992,4.0
campylobacter_showae,37.0,35.71100386934026,2.0
fretibacterium_fastidiosum,37.0,37.740024054407485,0.0
hydrocarboniphaga_effusa,29.0,23.942651360795338,2.0
carnimonas_nigrificans,30.0,33.051979219786425,1.0
celeribacter_indicus,25.0,30.182247722505934,0.0
lactobacillus_salivarius,37.0,41.705705416302145,4.0
actinomyces_radicidentis,37.0,29.905504858366747,1.0
capnocytophaga_sputigena,37.0,34.90901717500432,2.0
mycobacterium_colombiense,37.0,34.89291826473882,1.0
streptomyces_ipomoeae,27.0,29.172815096477926,4.0
actinomyces_suimastitidis,37.0,35.84473189668401,2.0
lactobacillus_shenzhenensis,37.0,33.708962762712844,0.0
xanthomonas_pisi,27.0,29.124778425566454,1.0
methylobacter_tundripaludum,22.0,23.1020508597802,3.0
rhizobium_sullae,28.0,29.623900020479567,0.0
bacillus_marmarensis,30.0,30.919210046098073,2.0
paenibacillus_borealis,30.0,25.505796110502978,1.0
mycobacterium_wolinskyi,32.0,34.54871090158928,3.0
aliivibrio_logei,18.0,22.640748102517016,3.0
nevskia_soli,28.0,26.624197328447707,0.0
bacillus_boroniphilus,30.0,31.988154489846117,3.0
clostridium_cellulolyticum,35.0,34.6461846948666,4.0
castellaniella_caeni,28.0,30.933934939007223,4.0
mycobacterium_kyorinense,37.0,34.36279464970058,4.0
paraburkholderia_mimosarum,30.0,30.27923354463323,2.0
timonella_senegalensis,30.0,25.508369529604323,0.0
haemophilus_haemolyticus,37.0,35.195698816628344,3.0
bdellovibrio_bacteriovorus,28.0,25.961236555428393,3.0
psychrobacter_phenylpyruvicus,31.0,27.335208666424215,4.0
herbaspirillum_frisingense,35.0,28.27737578706487,2.0
