,true,pred,kfold
allobaculum_stercoricanis,37.0,35.113099999999996,3.0
shewanella_algae,28.0,29.001583,1.0
bifidobacterium_saguini,37.0,35.703667,4.0
ochrobactrum_rhizosphaerae,28.0,29.409800000000004,1.0
sphingomonas_haloaromaticamans,30.0,29.43225,0.0
kurthia_massiliensis,28.0,31.690418,0.0
bacillus_ligniniphilus,30.0,34.31,1.0
planococcus_maritimus,29.0,29.2655,1.0
collinsella_aerofaciens,37.0,35.9305,3.0
planococcus_halocryophilus,18.0,26.774834000000002,1.0
streptococcus_ictaluri,30.0,35.61175,2.0
enterococcus_asini,37.0,34.978417,0.0
clostridium_baratii,37.0,37.0575,0.0
paraglaciecola_chathamensis,18.0,24.62729499999996,0.0
shewanella_oneidensis,30.0,27.020332,4.0
lactococcus_lactis,31.0,31.20425,4.0
shewanella_baltica,25.0,26.891329999999993,3.0
methylotenera_versatilis,25.0,26.5895,0.0
eubacterium_sulci,37.0,36.5695,4.0
glaciecola_pallidula,13.0,20.671332999999997,0.0
paenibacillus_lactis,30.0,31.52,4.0
nocardia_caishijiensis,29.0,29.3155,0.0
balneola_vulgaris,27.0,27.55105,3.0
streptomyces_viridosporus,28.0,27.623,3.0
caenibacillus_caldisaponilyticus,55.0,47.760564999999986,3.0
desulfovibrio_vulgaris,34.0,33.91025,3.0
actinoalloteichus_spitiensis,30.0,30.483333,1.0
nitratifractor_salsuginis,59.0,44.403763999999995,2.0
herbaspirillum_rhizosphaerae,27.0,29.300517,0.0
tepidiphilus_thermophilus,50.0,46.966516000000006,4.0
rhodobacter_johrii,28.0,29.18025,3.0
hoeflea_phototrophica,30.0,27.711099999999995,4.0
alicycliphilus_denitrificans,29.0,30.6325,1.0
denitrovibrio_acetiphilus,30.0,34.950849999999996,0.0
azovibrio_restrictus,28.0,32.7056,2.0
frateuria_aurantia,27.0,30.2545,2.0
vibrio_owensii,27.0,28.605632999999997,3.0
herbaspirillum_huttiense,28.0,29.6805,0.0
methylophaga_frappieri,29.0,28.136333,3.0
providencia_burhodogranariea,31.0,29.7755,2.0
halanaerobium_congolense,42.0,37.82855,0.0
acinetobacter_indicus,31.0,30.0675,2.0
streptobacillus_moniliformis,37.0,35.7315,4.0
novosphingobium_aromaticivorans,30.0,28.6235,4.0
pseudoalteromonas_issachenkonii,23.0,25.03925,0.0
parascardovia_denticolens,37.0,33.59475,0.0
tetrasphaera_jenkinsii,25.0,28.877582999999998,4.0
corynebacterium_minutissimum,35.0,35.559,2.0
haematospirillum_jordaniae,37.0,30.74525,3.0
peptoniphilus_lacrimalis,37.0,36.264,3.0
dialister_invisus,36.0,36.030466999999994,1.0
actinomadura_rubrobrunea,55.0,32.81925,3.0
nocardiopsis_halophila,28.0,29.596148999999997,4.0
weissella_confusa,31.0,30.404691000000042,3.0
desulfotomaculum_thermosubterraneum,60.0,58.48,1.0
mycobacterium_haemophilum,31.0,35.514,1.0
pediococcus_cellicola,34.0,31.67025,2.0
amycolatopsis_thermoflava,45.0,28.7255,0.0
microbacterium_arborescens,30.0,29.754165999999998,0.0
kluyvera_intermedia,31.0,32.25,3.0
bacillus_circulans,32.0,31.031599999999997,2.0
streptomyces_griseoflavus,27.0,27.697,4.0
pseudoalteromonas_piscicida,28.0,26.036580999999998,0.0
nocardia_farcinica,32.0,30.753833,4.0
sulfurimonas_denitrificans,24.0,27.44675,2.0
streptomyces_galbus,27.0,27.50675,1.0
paenibacillus_odorifer,30.0,29.59,2.0
vagococcus_penaei,30.0,33.651,3.0
legionella_hackeliae,37.0,34.6055,2.0
nocardia_carnea,29.0,30.414333,4.0
lactobacillus_jensenii,37.0,33.80275,4.0
flavobacterium_filum,27.0,25.87,4.0
rhizobium_tibeticum,28.0,28.7385,1.0
methylophaga_thiooxydans,28.0,29.7475,3.0
staphylococcus_vitulinus,37.0,35.137,2.0
nautilia_profundicola,43.0,46.8688,1.0
mycoplasma_gallinarum,37.0,35.77405,3.0
nosocomiicoccus_ampullae,32.0,33.61895,4.0
acinetobacter_soli,29.0,30.12575,2.0
lactobacillus_malefermentans,29.0,30.483,0.0
thiocystis_violascens,25.0,29.61425,3.0
slackia_piriformis,37.0,37.771,1.0
komagataeibacter_europaeus,30.0,29.727,0.0
bacillus_muralis,30.0,29.8175,1.0
lachnoanaerobaculum_saburreum,37.0,37.23775,4.0
mycoplasma_glycophilum,37.0,36.0775,4.0
selenomonas_bovis,37.0,37.527833,0.0
persephonella_marina,70.0,60.203733,2.0
leptotrichia_shahii,37.0,39.353,3.0
prevotella_saccharolytica,37.0,36.648,1.0
collimonas_arenae,28.0,28.41885,0.0
thermus_islandicus,65.0,69.33260000000007,2.0
chryseolinea_serpens,25.0,28.61325,3.0
corynebacterium_efficiens,37.0,34.522932999999995,1.0
bacillus_pseudofirmus,31.0,30.3355,0.0
neisseria_elongata,33.0,35.328,4.0
flavobacterium_piscis,30.0,24.511,4.0
ornithinibacillus_californiensis,30.0,32.097,4.0
clostridium_septicum,37.0,36.5325,0.0
cycloclasticus_pugetii,20.0,25.483249000000004,0.0
listeria_seeligeri,36.0,33.47305,0.0
vibrio_atlanticus,25.0,26.422333,1.0
enhygromyxa_salina,30.0,31.638,0.0
chryseobacterium_piperi,29.0,28.79025,2.0
alicyclobacillus_ferrooxydans,30.0,36.549166,0.0
longispora_albida,28.0,29.3705,4.0
desulfitobacterium_hafniense,34.0,34.4575,3.0
halanaerobium_saccharolyticum,37.0,37.0085,1.0
streptomyces_decoyicus,29.0,27.51,0.0
vibrio_quintilis,28.0,28.19325,4.0
aeromicrobium_erythreum,33.0,28.940749000000004,1.0
acinetobacter_johnsonii,29.0,29.73125,1.0
oceanobacillus_caeni,32.0,32.4813,3.0
jannaschia_rubra,25.0,28.363,2.0
comamonas_composti,28.0,29.7755,4.0
sphingobium_ummariense,28.0,29.019,1.0
bacillus_cellulosilyticus,32.0,31.753417000000002,0.0
bacillus_novalis,30.0,30.23675,4.0
photobacterium_sanctipauli,28.0,27.892,4.0
dokdonia_donghaensis,30.0,27.4768,0.0
kordiimonas_gwangyangensis,36.0,30.2775,1.0
corynebacterium_ulceribovis,37.0,34.425,4.0
campylobacter_showae,37.0,37.47745,2.0
fretibacterium_fastidiosum,37.0,36.404,0.0
hydrocarboniphaga_effusa,29.0,28.486699999999995,2.0
carnimonas_nigrificans,30.0,29.2961,1.0
celeribacter_indicus,25.0,29.624,0.0
lactobacillus_salivarius,37.0,35.33725,4.0
actinomyces_radicidentis,37.0,31.805580999999997,1.0
capnocytophaga_sputigena,37.0,34.36585,2.0
mycobacterium_colombiense,37.0,36.598,1.0
streptomyces_ipomoeae,27.0,27.555,4.0
actinomyces_suimastitidis,37.0,34.3965,2.0
lactobacillus_shenzhenensis,37.0,30.955167000000003,0.0
xanthomonas_pisi,27.0,27.715,1.0
methylobacter_tundripaludum,22.0,27.88025,3.0
rhizobium_sullae,28.0,28.5046,0.0
bacillus_marmarensis,30.0,30.65525,2.0
paenibacillus_borealis,30.0,29.9425,1.0
mycobacterium_wolinskyi,32.0,35.359,3.0
aliivibrio_logei,18.0,22.308583,3.0
nevskia_soli,28.0,29.1755,0.0
bacillus_boroniphilus,30.0,31.6148,3.0
clostridium_cellulolyticum,35.0,34.046,4.0
castellaniella_caeni,28.0,30.54,4.0
mycobacterium_kyorinense,37.0,35.809,4.0
paraburkholderia_mimosarum,30.0,29.463099999999997,2.0
timonella_senegalensis,30.0,30.8705,0.0
haemophilus_haemolyticus,37.0,35.76975,3.0
bdellovibrio_bacteriovorus,28.0,29.424667000000003,3.0
psychrobacter_phenylpyruvicus,31.0,26.142581999999997,4.0
herbaspirillum_frisingense,35.0,28.9031,2.0
lactobacillus_nasuensis,30.0,32.366333,4.0
achromobacter_insolitus,33.0,30.77225,4.0
spiroplasma_diminutum,28.0,32.549467,1.0
bordetella_bronchiseptica,36.0,33.9995,4.0
janibacter_limosus,29.0,29.277832,4.0
yersinia_frederiksenii,30.0,29.665,0.0
enhydrobacter_aerosaccus,37.0,31.55775,3.0
flavobacterium_columnare,23.0,28.859099999999998,3.0
thermogemmatispora_carboxidivorans,55.0,52.797333,3.0
bartonella_florencae,37.0,35.6445,0.0
helicobacter_acinonychis,37.0,36.399,4.0
jeotgalibacillus_soli,30.0,29.8925,3.0
lactobacillus_ruminis,35.0,39.09510000000001,4.0
xenorhabdus_hominickii,30.0,28.930632999999997,0.0
roseburia_inulinivorans,37.0,37.0145,2.0
thioalkalimicrobium_cyclicum,28.0,27.972416,3.0
bacillus_subtilis,30.0,30.69325,3.0
pseudomonas_fluorescens,28.0,28.216,0.0
centipeda_periodontii,37.0,36.795449999999995,2.0
pseudomonas_bauzanensis,28.0,29.3529,1.0
kaistia_adipata,31.0,29.0125,2.0
riemerella_anatipestifer,37.0,32.86615,3.0
bacillus_simplex,29.0,29.14325,4.0
chryseobacterium_jeonii,16.0,24.546,1.0
streptomyces_cyanoalbus,27.0,27.394,3.0
streptococcus_phocae,35.0,35.1515,1.0
gemmobacter_megaterium,28.0,28.74825,4.0
hyphomonas_jannaschiana,30.0,28.3435,3.0
lactobacillus_sharpeae,30.0,32.011,2.0
nocardia_brasiliensis,33.0,28.95175,0.0
lactobacillus_algidus,18.0,29.387084,3.0
jannaschia_aquimarina,30.0,28.1325,4.0
alloscardovia_omnicolens,37.0,35.42975,3.0
coprococcus_catus,37.0,36.501,4.0
chloroflexus_aurantiacus,49.0,42.5015,1.0
lactobacillus_hordei,30.0,31.447599999999998,1.0
acinetobacter_bouvetii,30.0,30.538165999999997,0.0
enterobacter_hormaechei,32.0,31.7125,3.0
pirellula_staleyi,26.0,29.0195,0.0
azospira_oryzae,33.0,32.10125,0.0
helicobacter_heilmannii,37.0,37.867948999999996,0.0
