,true,pred,kfold
allobaculum_stercoricanis,37.0,41.82037454778035,3.0
shewanella_algae,28.0,28.224716896162885,1.0
bifidobacterium_saguini,37.0,35.82159254895655,4.0
ochrobactrum_rhizosphaerae,28.0,30.95504686136848,1.0
sphingomonas_haloaromaticamans,30.0,30.00339695444073,0.0
kurthia_massiliensis,28.0,30.54342918813928,0.0
bacillus_ligniniphilus,30.0,35.95694560634212,1.0
planococcus_maritimus,29.0,28.547245690737277,1.0
collinsella_aerofaciens,37.0,36.07569700121931,3.0
planococcus_halocryophilus,18.0,27.209063616067855,1.0
streptococcus_ictaluri,30.0,36.54594979637427,2.0
enterococcus_asini,37.0,35.96574276881186,0.0
clostridium_baratii,37.0,36.35363136090341,0.0
paraglaciecola_chathamensis,18.0,25.02132903588993,0.0
shewanella_oneidensis,30.0,27.88860902628871,4.0
lactococcus_lactis,31.0,33.707792558919124,4.0
shewanella_baltica,25.0,25.90431527380723,3.0
methylotenera_versatilis,25.0,23.44398237517651,0.0
eubacterium_sulci,37.0,39.65406513414356,4.0
glaciecola_pallidula,13.0,17.75924347988218,0.0
paenibacillus_lactis,30.0,31.707977597384307,4.0
nocardia_caishijiensis,29.0,27.942358483725393,0.0
balneola_vulgaris,27.0,27.096853826373156,3.0
streptomyces_viridosporus,28.0,28.66892824647165,3.0
caenibacillus_caldisaponilyticus,55.0,52.125172368504,3.0
desulfovibrio_vulgaris,34.0,33.408639718493795,3.0
actinoalloteichus_spitiensis,30.0,29.15338266959717,1.0
nitratifractor_salsuginis,59.0,52.2703912606047,2.0
herbaspirillum_rhizosphaerae,27.0,28.558183451764513,0.0
tepidiphilus_thermophilus,50.0,56.060848204505454,4.0
rhodobacter_johrii,28.0,28.617936839699976,3.0
hoeflea_phototrophica,30.0,24.35423797439657,4.0
alicycliphilus_denitrificans,29.0,30.870959533568517,1.0
denitrovibrio_acetiphilus,30.0,27.34531842764474,0.0
azovibrio_restrictus,28.0,30.67515909724072,2.0
frateuria_aurantia,27.0,28.791168782785917,2.0
vibrio_owensii,27.0,30.251124549006704,3.0
herbaspirillum_huttiense,28.0,30.14731969487574,0.0
methylophaga_frappieri,29.0,27.28455638744435,3.0
providencia_burhodogranariea,31.0,30.26222554433047,2.0
halanaerobium_congolense,42.0,39.78921313724206,0.0
acinetobacter_indicus,31.0,31.621015275098124,2.0
streptobacillus_moniliformis,37.0,34.4927533939294,4.0
novosphingobium_aromaticivorans,30.0,28.181062005272665,4.0
pseudoalteromonas_issachenkonii,23.0,25.829770718692746,0.0
parascardovia_denticolens,37.0,36.14270388234209,0.0
tetrasphaera_jenkinsii,25.0,26.317323794948706,4.0
corynebacterium_minutissimum,35.0,35.04462230205867,2.0
haematospirillum_jordaniae,37.0,33.47610618429209,3.0
peptoniphilus_lacrimalis,37.0,40.798137977340836,3.0
dialister_invisus,36.0,35.54586593413154,1.0
actinomadura_rubrobrunea,55.0,37.47180181352701,3.0
nocardiopsis_halophila,28.0,27.463547861261933,4.0
weissella_confusa,31.0,32.2792110593228,3.0
desulfotomaculum_thermosubterraneum,60.0,60.89105137683062,1.0
mycobacterium_haemophilum,31.0,36.71252275217613,1.0
pediococcus_cellicola,34.0,31.370657506821367,2.0
amycolatopsis_thermoflava,45.0,28.95006281548025,0.0
microbacterium_arborescens,30.0,30.11112534527234,0.0
kluyvera_intermedia,31.0,32.08628194316706,3.0
bacillus_circulans,32.0,30.618683078975984,2.0
streptomyces_griseoflavus,27.0,27.976547796796755,4.0
pseudoalteromonas_piscicida,28.0,27.111060067927482,0.0
nocardia_farcinica,32.0,30.92373687277395,4.0
sulfurimonas_denitrificans,24.0,23.406845214915652,2.0
streptomyces_galbus,27.0,27.08873635010214,1.0
paenibacillus_odorifer,30.0,28.566746038609715,2.0
vagococcus_penaei,30.0,33.809772761399174,3.0
legionella_hackeliae,37.0,34.66279475254173,2.0
nocardia_carnea,29.0,29.64747686610459,4.0
lactobacillus_jensenii,37.0,35.66214115709005,4.0
flavobacterium_filum,27.0,28.95547526782616,4.0
rhizobium_tibeticum,28.0,28.49686069764521,1.0
methylophaga_thiooxydans,28.0,26.289510510496218,3.0
staphylococcus_vitulinus,37.0,35.592158435763814,2.0
nautilia_profundicola,43.0,52.92125648479391,1.0
mycoplasma_gallinarum,37.0,36.13947479781587,3.0
nosocomiicoccus_ampullae,32.0,36.318592418527935,4.0
acinetobacter_soli,29.0,30.124439011990273,2.0
lactobacillus_malefermentans,29.0,29.326030185575405,0.0
thiocystis_violascens,25.0,25.904922186845482,3.0
slackia_piriformis,37.0,38.604186480807584,1.0
komagataeibacter_europaeus,30.0,29.27042932940632,0.0
bacillus_muralis,30.0,27.616495946060933,1.0
lachnoanaerobaculum_saburreum,37.0,36.55364034313099,4.0
mycoplasma_glycophilum,37.0,37.13363912411115,4.0
selenomonas_bovis,37.0,38.34823415907237,0.0
persephonella_marina,70.0,66.38228006726199,2.0
leptotrichia_shahii,37.0,38.150423847680216,3.0
prevotella_saccharolytica,37.0,35.87196687786484,1.0
collimonas_arenae,28.0,27.563243169803457,0.0
thermus_islandicus,65.0,68.43814795420084,2.0
chryseolinea_serpens,25.0,23.70546886844562,3.0
corynebacterium_efficiens,37.0,31.688732288913048,1.0
bacillus_pseudofirmus,31.0,29.926100397489265,0.0
neisseria_elongata,33.0,37.65313006162895,4.0
flavobacterium_piscis,30.0,23.949392355632956,4.0
ornithinibacillus_californiensis,30.0,31.971235868290258,4.0
clostridium_septicum,37.0,36.15114473262466,0.0
cycloclasticus_pugetii,20.0,21.046956719507815,0.0
listeria_seeligeri,36.0,34.0767868968817,0.0
vibrio_atlanticus,25.0,24.96970215047988,1.0
enhygromyxa_salina,30.0,29.955772375016195,0.0
chryseobacterium_piperi,29.0,30.296915713611853,2.0
alicyclobacillus_ferrooxydans,30.0,39.40267347294288,0.0
longispora_albida,28.0,28.294183918730887,4.0
desulfitobacterium_hafniense,34.0,34.151337922023956,3.0
halanaerobium_saccharolyticum,37.0,37.12002841287851,1.0
streptomyces_decoyicus,29.0,26.572821702768607,0.0
vibrio_quintilis,28.0,28.15404204930211,4.0
aeromicrobium_erythreum,33.0,28.322423414341227,1.0
acinetobacter_johnsonii,29.0,27.977858681875478,1.0
oceanobacillus_caeni,32.0,33.163859614348766,3.0
jannaschia_rubra,25.0,27.92154556692842,2.0
comamonas_composti,28.0,29.86558328752099,4.0
sphingobium_ummariense,28.0,30.475225480420022,1.0
bacillus_cellulosilyticus,32.0,31.587863424654216,0.0
bacillus_novalis,30.0,30.544733392758943,4.0
photobacterium_sanctipauli,28.0,29.113238136240568,4.0
dokdonia_donghaensis,30.0,24.152718839513607,0.0
kordiimonas_gwangyangensis,36.0,30.79464740228137,1.0
corynebacterium_ulceribovis,37.0,34.05948155797975,4.0
campylobacter_showae,37.0,36.95590959514989,2.0
fretibacterium_fastidiosum,37.0,39.53868328986727,0.0
hydrocarboniphaga_effusa,29.0,25.32588882549286,2.0
carnimonas_nigrificans,30.0,29.04968753519823,1.0
celeribacter_indicus,25.0,28.88278464363274,0.0
lactobacillus_salivarius,37.0,38.977315499950166,4.0
actinomyces_radicidentis,37.0,33.945896206277425,1.0
capnocytophaga_sputigena,37.0,36.62645105959113,2.0
mycobacterium_colombiense,37.0,36.26802654952314,1.0
streptomyces_ipomoeae,27.0,27.842325597942953,4.0
actinomyces_suimastitidis,37.0,35.61981874929486,2.0
lactobacillus_shenzhenensis,37.0,27.927833192109816,0.0
xanthomonas_pisi,27.0,28.534775538562442,1.0
methylobacter_tundripaludum,22.0,24.254514019279526,3.0
rhizobium_sullae,28.0,28.772409710720453,0.0
bacillus_marmarensis,30.0,29.349818093074397,2.0
paenibacillus_borealis,30.0,28.852811158159245,1.0
mycobacterium_wolinskyi,32.0,35.28343643908967,3.0
aliivibrio_logei,18.0,19.799041472080425,3.0
nevskia_soli,28.0,27.0525432925156,0.0
bacillus_boroniphilus,30.0,31.746907143484258,3.0
clostridium_cellulolyticum,35.0,34.80596792780298,4.0
castellaniella_caeni,28.0,32.377505979592506,4.0
mycobacterium_kyorinense,37.0,36.26374218480511,4.0
paraburkholderia_mimosarum,30.0,29.651939907401083,2.0
timonella_senegalensis,30.0,27.529958526067905,0.0
haemophilus_haemolyticus,37.0,36.54405738225486,3.0
bdellovibrio_bacteriovorus,28.0,27.44168538665547,3.0
psychrobacter_phenylpyruvicus,31.0,27.69856135919869,4.0
herbaspirillum_frisingense,35.0,29.343644983471762,2.0
lactobacillus_nasuensis,30.0,36.65138194648859,4.0
achromobacter_insolitus,33.0,30.409256684932906,4.0
spiroplasma_diminutum,28.0,31.047355693256407,1.0
bordetella_bronchiseptica,36.0,34.955195194311806,4.0
janibacter_limosus,29.0,28.861825899957786,4.0
yersinia_frederiksenii,30.0,29.41411062328578,0.0
enhydrobacter_aerosaccus,37.0,31.446834510386864,3.0
flavobacterium_columnare,23.0,27.187145033446583,3.0
thermogemmatispora_carboxidivorans,55.0,61.24181378857145,3.0
bartonella_florencae,37.0,35.98828177166366,0.0
helicobacter_acinonychis,37.0,36.569105139951525,4.0
jeotgalibacillus_soli,30.0,27.19074677717139,3.0
lactobacillus_ruminis,35.0,41.91082563068699,4.0
xenorhabdus_hominickii,30.0,26.938423859077485,0.0
roseburia_inulinivorans,37.0,36.91308469509604,2.0
thioalkalimicrobium_cyclicum,28.0,23.832839325551817,3.0
bacillus_subtilis,30.0,30.585105643239743,3.0
pseudomonas_fluorescens,28.0,27.87825336727385,0.0
centipeda_periodontii,37.0,36.67128220988562,2.0
pseudomonas_bauzanensis,28.0,30.83020688297306,1.0
kaistia_adipata,31.0,29.638759509936524,2.0
riemerella_anatipestifer,37.0,34.12441605348822,3.0
bacillus_simplex,29.0,26.9627562965822,4.0
chryseobacterium_jeonii,16.0,24.742164553370138,1.0
streptomyces_cyanoalbus,27.0,27.119518357888552,3.0
streptococcus_phocae,35.0,34.41337611670999,1.0
gemmobacter_megaterium,28.0,29.984760920214732,4.0
hyphomonas_jannaschiana,30.0,29.772793293225266,3.0
lactobacillus_sharpeae,30.0,33.102447010063415,2.0
nocardia_brasiliensis,33.0,28.64815455832789,0.0
lactobacillus_algidus,18.0,27.441388252517473,3.0
jannaschia_aquimarina,30.0,27.11552083062668,4.0
alloscardovia_omnicolens,37.0,34.038668557124566,3.0
coprococcus_catus,37.0,36.333218155944586,4.0
chloroflexus_aurantiacus,49.0,51.70398954133725,1.0
lactobacillus_hordei,30.0,30.877211874488786,1.0
acinetobacter_bouvetii,30.0,28.498103186177037,0.0
enterobacter_hormaechei,32.0,32.81623817932874,3.0
pirellula_staleyi,26.0,26.355681188196172,0.0
azospira_oryzae,33.0,32.056047898688696,0.0
helicobacter_heilmannii,37.0,40.38336010887981,0.0
paenibacillus_pectinilyticus,30.0,28.390844829635025,2.0
anoxybacillus_thermarum,55.0,51.7638326211605,1.0
nocardia_vermiculata,29.0,29.290324825010547,2.0
mycobacterium_chlorophenolicum,31.0,33.31178324209688,0.0
lactobacillus_kalixensis,37.0,37.674974971755375,0.0
mycobacterium_rhodesiae,36.0,35.5872050168907,3.0
corynebacterium_appendicis,37.0,37.11153245376731,2.0
porphyromonas_asaccharolytica,37.0,35.8479401258094,0.0
paenibacillus_antarcticus,19.0,26.39465259370661,1.0
vibrio_ruber,27.0,29.10618809079,2.0
deinococcus_grandis,26.0,30.72805325766452,0.0
streptomyces_noursei,27.0,27.06606377003796,2.0
campylobacter_hyointestinalis,37.0,36.65065817302018,0.0
lactobacillus_amylovorus,37.0,38.162321247087085,0.0
staphylococcus_auricularis,37.0,36.385759056885945,3.0
demequina_sediminicola,28.0,31.023444123041614,2.0
bacillus_fastidiosus,30.0,33.37869676921684,3.0
mycobacterium_abscessus,35.0,34.34125911056939,1.0
maribacter_dokdonensis,28.0,25.479082843320036,3.0
phaeospirillum_fulvum,26.0,25.615659405446202,3.0
alteromonas_mediterranea,23.0,28.382917380175446,4.0
amycolatopsis_decaplanina,29.0,27.939493163656817,3.0
tenacibaculum_ovolyticum,15.0,20.343879641492666,4.0
simkania_negevensis,25.0,28.98662359360099,1.0
millisia_brevis,29.0,29.6593115895376,2.0
pseudovibrio_axinellae,24.0,27.198457778116413,0.0
parabacteroides_distasonis,37.0,36.796206407363236,0.0
gelidibacter_algens,18.0,22.30294717865019,2.0
insolitispirillum_peregrinum,28.0,27.24807383158295,1.0
streptomyces_bungoensis,28.0,27.519869054018777,0.0
brevibacillus_brevis,33.0,30.13554437342695,2.0
levilinea_saccharolytica,37.0,44.27118798207701,1.0
taylorella_equigenitalis,37.0,34.762981398058926,1.0
streptococcus_plurextorum,37.0,35.51970816565191,2.0
lactobacillus_animalis,37.0,38.5671224545929,2.0
spiroplasma_chrysopicola,30.0,28.355283791613534,1.0
hydrococcus_rivularis,20.0,23.266280236495827,3.0
chelatococcus_daeguensis,37.0,35.89849574808566,0.0
lactobacillus_saerimneri,37.0,34.092976128688505,1.0
comamonas_testosteroni,29.0,27.54709537359564,1.0
acidisphaera_rubrifaciens,30.0,30.403467320863903,1.0
gordonia_jacobaea,28.0,30.751903210868768,1.0
salimicrobium_salexigens,37.0,31.756242844806636,4.0
geobacillus_jurassicus,55.0,55.54504703914009,1.0
bacillus_lentus,30.0,27.929147908811796,2.0
formosa_agariphila,21.0,25.503780509292092,3.0
bacillus_shackletonii,30.0,34.12042867960425,3.0
geoalkalibacter_subterraneus,37.0,30.990189286410917,3.0
bacteroides_clarus,37.0,37.686316254064536,2.0
halomonas_titanicae,37.0,29.423997615023538,3.0
cohnella_thermotolerans,32.0,33.67751420459879,4.0
streptomyces_tsukubensis,28.0,28.452785006830652,0.0
lacinutrix_algicola,18.0,18.997906452978768,4.0
streptomyces_griseoluteus,27.0,27.15504617382509,0.0
acidothermus_cellulolyticus,55.0,39.670382774723876,4.0
oceanospirillum_maris,29.0,23.90544413695477,0.0
spirosoma_panaciterrae,28.0,23.843338710051718,4.0
tepidibacter_formicigenes,45.0,45.75553160538005,0.0
dehalobacter_restrictus,30.0,33.58779202892863,1.0
paenibacillus_kribbensis,29.0,31.472816142180626,4.0
cellulosimicrobium_funkei,31.0,30.04040587596962,4.0
bacillus_psychrosaccharolyticus,18.0,29.015257764989425,1.0
bacillus_tequilensis,30.0,28.66167773409004,1.0
arhodomonas_aquaeolei,33.0,28.063172444426616,0.0
streptococcus_cristatus,37.0,36.6341135884366,2.0
desulfonatronum_thiodismutans,36.0,32.167458791163696,2.0
stenotrophomonas_koreensis,31.0,30.540573651316308,3.0
mariniradius_saccharolyticus,28.0,31.63130095060976,1.0
planktotalea_frisia,20.0,23.78749876227333,3.0
bacillus_luciferensis,30.0,28.12808978735079,1.0
listeria_ivanovii,36.0,34.23220113864281,4.0
aeromonas_sobria,31.0,28.908622475855935,3.0
pseudomonas_mendocina,34.0,30.181627721645285,4.0
nocardiopsis_alkaliphila,28.0,29.311127547656625,3.0
mycoplasma_molare,37.0,35.992882017391715,1.0
streptococcus_ratti,37.0,35.08043898613117,1.0
streptomyces_diastatochromogenes,27.0,26.547764358269376,4.0
campylobacter_gracilis,37.0,38.24712775771883,2.0
sphingomonas_phyllosphaerae,27.0,29.46016093690877,4.0
sphingobium_chungbukense,29.0,28.606808195734292,2.0
oligella_ureolytica,33.0,32.90589499167969,0.0
mesonia_mobilis,28.0,30.117541596875277,3.0
streptococcus_devriesei,34.0,36.82999897454758,0.0
nitrincola_lacisaponensis,37.0,26.31677862119588,0.0
mycobacterium_heckeshornense,42.0,39.42670513747269,3.0
staphylococcus_pettenkoferi,37.0,36.403350335212956,2.0
methylocystis_rosea,26.0,25.327968668760462,1.0
mycoplasma_iowae,37.0,36.38413427262892,0.0
entomoplasma_luminosum,30.0,31.364235090273507,3.0
pararhodospirillum_photometricum,25.0,32.788875953872164,2.0
haemophilus_parasuis,37.0,36.98669962376931,2.0
gramella_forsetii,24.0,25.474426574947984,4.0
lewinella_cohaerens,27.0,24.882114537053866,0.0
pseudomonas_brassicacearum,28.0,28.50186965796057,3.0
bacillus_gaemokensis,30.0,31.841877350908177,2.0
eubacterium_limosum,37.0,38.54656714487723,2.0
planobispora_rosea,28.0,31.800668079646496,2.0
porphyromonas_cangingivalis,37.0,36.04551709456544,1.0
pediococcus_damnosus,26.0,27.229378750606124,2.0
mycoplasma_pirum,37.0,39.42352052082184,1.0
chromohalobacter_israelensis,29.0,30.612455820179534,3.0
mycobacterium_africanum,37.0,35.968954418325936,3.0
nitrosomonas_cryotolerans,26.0,23.896039509691843,3.0
turicella_otitidis,37.0,33.58794903359927,4.0
clostridium_sticklandii,36.0,29.985818297141897,2.0
chryseobacterium_haifense,29.0,28.363834639643926,3.0
nocardia_asteroides,31.0,28.20278343165574,0.0
methyloceanibacter_caenitepidi,35.0,32.779955414726246,4.0
clavibacter_michiganensis,28.0,27.822226587927382,0.0
leptospira_alstonii,30.0,28.995135551941917,1.0
bacillus_indicus,30.0,29.338195947948126,2.0
lactobacillus_delbrueckii,37.0,35.78375752872144,1.0
vibrio_harveyi,29.0,28.477815481094126,2.0
tetrasphaera_australiensis,28.0,27.362374815259212,0.0
flavobacterium_antarcticum,16.0,21.226371342748866,2.0
tepidanaerobacter_syntrophicus,45.0,46.866775818639454,0.0
corynebacterium_pseudodiphtheriticum,35.0,35.38061474073747,2.0
thermosediminibacter_oceani,67.0,63.74105950778063,4.0
streptacidiphilus_oryzae,28.0,29.06367642665235,1.0
snodgrassella_alvi,37.0,31.730171240837265,4.0
marinobacter_daepoensis,30.0,29.562342975848274,0.0
sulfobacillus_acidophilus,45.0,49.92260974417629,0.0
caldimonas_manganoxidans,48.0,37.29075460213905,3.0
pediococcus_acidilactici,35.0,33.055190112238634,1.0
nitrobacter_hamburgensis,28.0,28.583699850900175,4.0
desulfovibrio_alkalitolerans,40.0,33.52644550469389,1.0
streptomyces_auratus,28.0,27.042642574824374,4.0
chryseobacterium_luteum,28.0,30.000157720613334,2.0
mitsuokella_multacida,37.0,38.073428141227325,1.0
listeria_welshimeri,36.0,34.19443537198004,0.0
ruminococcus_gnavus,37.0,36.533724185045244,3.0
pseudonocardia_acaciae,37.0,32.258091702010205,0.0
methylococcus_capsulatus,41.0,29.319692707269745,0.0
mycobacterium_immunogenum,35.0,33.707934736896675,4.0
aliifodinibius_roseus,28.0,32.58366984467335,4.0
mycoplasma_hyorhinis,37.0,37.602428757853694,4.0
bacillus_flexus,29.0,30.05151469604664,0.0
prevotella_bergensis,37.0,35.664779166114954,1.0
thiomicrospira_kuenenii,25.0,25.037071367792024,0.0
corynebacterium_phocae,37.0,35.19222105216946,1.0
moritella_viscosa,16.0,14.908399459722403,4.0
cellvibrio_japonicus,37.0,28.24170788151168,4.0
