,true,pred,kfold
allobaculum_stercoricanis,37.0,35.90164438522869,3.0
shewanella_algae,28.0,22.923176424109112,1.0
bifidobacterium_saguini,37.0,34.944680545065346,4.0
ochrobactrum_rhizosphaerae,28.0,30.63589323170514,1.0
sphingomonas_haloaromaticamans,30.0,29.105618940204153,0.0
kurthia_massiliensis,28.0,31.52074693680418,0.0
bacillus_ligniniphilus,30.0,34.438164595031715,1.0
planococcus_maritimus,29.0,28.113858684593534,2.0
collinsella_aerofaciens,37.0,32.725703003563225,3.0
planococcus_halocryophilus,18.0,26.954788449021187,2.0
streptococcus_ictaluri,30.0,32.84148033020587,2.0
enterococcus_asini,37.0,29.652685933640214,1.0
palaeococcus_pacificus,80.0,75.66261227877048,1.0
clostridium_baratii,37.0,38.11349539073306,1.0
paraglaciecola_chathamensis,18.0,25.899084008767673,4.0
shewanella_oneidensis,30.0,25.535101733807416,4.0
lactococcus_lactis,31.0,32.77896703453853,3.0
shewanella_baltica,25.0,22.607055445482715,1.0
methylotenera_versatilis,25.0,22.16003802976067,4.0
eubacterium_sulci,37.0,39.69212556307119,1.0
glaciecola_pallidula,13.0,21.37920169308549,4.0
paenibacillus_lactis,30.0,32.96436255583944,0.0
nocardia_caishijiensis,29.0,29.19097992355419,2.0
balneola_vulgaris,27.0,25.1412907646313,3.0
streptomyces_viridosporus,28.0,28.29122792556963,3.0
caenibacillus_caldisaponilyticus,55.0,47.69483486784537,3.0
desulfovibrio_vulgaris,34.0,32.37564444803981,2.0
actinoalloteichus_spitiensis,30.0,32.223637676386694,3.0
nitratifractor_salsuginis,59.0,54.744536270423154,0.0
cladophialophora_carrionii,25.0,24.361473528087586,4.0
aspergillus_brasiliensis,26.0,27.18936497686893,3.0
herbaspirillum_rhizosphaerae,27.0,26.92097252968305,4.0
tepidiphilus_thermophilus,50.0,51.01171017902479,1.0
rhodobacter_johrii,28.0,29.601524259009693,0.0
hoeflea_phototrophica,30.0,27.00346394271204,2.0
alicycliphilus_denitrificans,29.0,33.15310789409407,3.0
dothistroma_septosporum,20.0,18.681857173194906,3.0
denitrovibrio_acetiphilus,30.0,27.358172309561873,1.0
azovibrio_restrictus,28.0,31.587956900629933,3.0
frateuria_aurantia,27.0,27.570655493174264,2.0
vibrio_owensii,27.0,27.97889990430506,1.0
herbaspirillum_huttiense,28.0,28.498658312363943,2.0
methylophaga_frappieri,29.0,25.9856070636944,4.0
providencia_burhodogranariea,31.0,28.713370008207256,4.0
halanaerobium_congolense,42.0,36.686774163925755,0.0
acinetobacter_indicus,31.0,31.96059676731498,0.0
streptobacillus_moniliformis,37.0,33.349705981941284,4.0
novosphingobium_aromaticivorans,30.0,30.579318463319403,2.0
pseudoalteromonas_issachenkonii,23.0,24.682910155327544,3.0
parascardovia_denticolens,37.0,40.40136866971481,3.0
tetrasphaera_jenkinsii,25.0,26.116247557848872,2.0
corynebacterium_minutissimum,35.0,34.491589419545576,3.0
haematospirillum_jordaniae,37.0,32.9629891557782,4.0
peptoniphilus_lacrimalis,37.0,40.57991635090111,3.0
dialister_invisus,36.0,37.68767751139942,0.0
actinomadura_rubrobrunea,55.0,40.18956662119418,1.0
nocardiopsis_halophila,28.0,30.333876267610712,3.0
histoplasma_capsulatum,29.0,24.163555552391117,0.0
weissella_confusa,31.0,31.50140858488656,0.0
desulfotomaculum_thermosubterraneum,60.0,58.395807753837985,3.0
mycobacterium_haemophilum,31.0,35.79546784928675,2.0
pediococcus_cellicola,34.0,31.693660005417637,4.0
amycolatopsis_thermoflava,45.0,31.48326866017384,0.0
microbacterium_arborescens,30.0,29.017866274627682,4.0
kluyvera_intermedia,31.0,30.943884720695156,3.0
bacillus_circulans,32.0,30.783711944720324,2.0
streptomyces_griseoflavus,27.0,27.19239244020956,3.0
pseudoalteromonas_piscicida,28.0,25.047968491775148,0.0
nocardia_farcinica,32.0,33.81610151674339,2.0
sulfurimonas_denitrificans,24.0,30.015100926394254,4.0
streptomyces_galbus,27.0,27.92046139663486,4.0
paenibacillus_odorifer,30.0,26.032668445519214,4.0
blastomyces_dermatitidis,31.0,22.888969852269845,0.0
vagococcus_penaei,30.0,32.65616129230846,3.0
legionella_hackeliae,37.0,32.844560290712835,2.0
nocardia_carnea,29.0,28.435857601136757,2.0
capronia_coronata,20.0,25.092100264352066,3.0
desulfurococcus_kamchatkensis,82.0,86.03390781892315,4.0
lactobacillus_jensenii,37.0,31.1689560399268,2.0
flavobacterium_filum,27.0,28.76437785848761,0.0
rhizobium_tibeticum,28.0,27.7433155083155,3.0
pichia_kudriavzevii,24.0,25.896715157196248,0.0
methylophaga_thiooxydans,28.0,27.631181032311645,0.0
staphylococcus_vitulinus,37.0,34.0273267315925,1.0
penicillium_steckii,24.0,21.273297586025997,4.0
nautilia_profundicola,43.0,54.72098398478782,4.0
methanocella_paludicola,37.0,44.325168482496224,1.0
mycoplasma_gallinarum,37.0,33.58924297632833,2.0
nosocomiicoccus_ampullae,32.0,36.861076280169506,3.0
acinetobacter_soli,29.0,29.933454228723207,1.0
malassezia_globosa,30.0,26.83068180652166,1.0
lactobacillus_malefermentans,29.0,30.207591761223362,2.0
thiocystis_violascens,25.0,25.663722815656303,1.0
slackia_piriformis,37.0,41.71536891519635,1.0
komagataeibacter_europaeus,30.0,27.1359859091624,0.0
bacillus_muralis,30.0,26.310004596602166,4.0
lachnoanaerobaculum_saburreum,37.0,36.811827508059,4.0
mycoplasma_glycophilum,37.0,39.73680517781387,4.0
selenomonas_bovis,37.0,38.09417870470267,0.0
persephonella_marina,70.0,70.12085743926819,1.0
leptotrichia_shahii,37.0,39.717503601347296,0.0
methanothermobacter_marburgensis,60.0,57.737525755496996,0.0
prevotella_saccharolytica,37.0,35.96991295389545,0.0
collimonas_arenae,28.0,28.594088948677822,2.0
thermus_islandicus,65.0,70.93091817737147,1.0
colletotrichum_nymphaeae,20.0,24.40769660719723,4.0
chryseolinea_serpens,25.0,28.20702495395494,3.0
corynebacterium_efficiens,37.0,32.52179329010735,1.0
haloferax_prahovense,37.0,38.028986069063905,0.0
bacillus_pseudofirmus,31.0,32.656549267154176,4.0
neisseria_elongata,33.0,34.96314701003419,0.0
flavobacterium_piscis,30.0,23.39066504558202,1.0
methanoplanus_limicola,34.0,35.406407437867536,3.0
ornithinibacillus_californiensis,30.0,36.610131197381264,3.0
clostridium_septicum,37.0,36.78311970168187,4.0
cycloclasticus_pugetii,20.0,25.38344804780835,1.0
listeria_seeligeri,36.0,30.4789665541513,0.0
rhynchosporium_secalis,15.0,20.76589849143218,4.0
vibrio_atlanticus,25.0,23.728432833516777,4.0
enhygromyxa_salina,30.0,33.36117660482134,0.0
chryseobacterium_piperi,29.0,27.7635942399967,1.0
alicyclobacillus_ferrooxydans,30.0,36.32033191466294,4.0
longispora_albida,28.0,25.82296269290854,2.0
desulfitobacterium_hafniense,34.0,36.695185866272496,0.0
halanaerobium_saccharolyticum,37.0,35.557201478447034,3.0
streptomyces_decoyicus,29.0,26.571332084072537,0.0
vibrio_quintilis,28.0,30.16918916436861,0.0
aeromicrobium_erythreum,33.0,28.653638801329972,4.0
acinetobacter_johnsonii,29.0,29.915543227995304,1.0
oceanobacillus_caeni,32.0,36.62221237645367,3.0
jannaschia_rubra,25.0,25.34324568866925,1.0
comamonas_composti,28.0,27.87761630844453,4.0
sphingobium_ummariense,28.0,30.895121719951035,3.0
bacillus_cellulosilyticus,32.0,33.19339837040974,1.0
