,true,pred,kfold
allobaculum_stercoricanis,37.0,37.9833984375,3.0
shewanella_algae,28.0,24.039509619877208,1.0
bifidobacterium_saguini,37.0,35.65127887649578,4.0
ochrobactrum_rhizosphaerae,28.0,29.74888130585896,1.0
sphingomonas_haloaromaticamans,30.0,29.965921490716937,0.0
kurthia_massiliensis,28.0,30.782148390340808,0.0
bacillus_ligniniphilus,30.0,34.14916476170765,1.0
planococcus_maritimus,29.0,26.67014911030128,2.0
collinsella_aerofaciens,37.0,32.4736328125,3.0
planococcus_halocryophilus,18.0,25.475713484032894,2.0
streptococcus_ictaluri,30.0,32.05655507747724,2.0
enterococcus_asini,37.0,29.372433151409496,1.0
palaeococcus_pacificus,80.0,76.77448746125447,1.0
clostridium_baratii,37.0,38.18783852021443,1.0
paraglaciecola_chathamensis,18.0,26.070688055624487,4.0
shewanella_oneidensis,30.0,24.96144369969261,4.0
lactococcus_lactis,31.0,30.5634765625,3.0
shewanella_baltica,25.0,22.86657306115376,1.0
methylotenera_versatilis,25.0,21.648960504477145,4.0
eubacterium_sulci,37.0,38.595691646740306,1.0
glaciecola_pallidula,13.0,22.347023054753663,4.0
paenibacillus_lactis,30.0,33.87644740127325,0.0
nocardia_caishijiensis,29.0,29.644878014965798,2.0
balneola_vulgaris,27.0,25.2509765625,3.0
streptomyces_viridosporus,28.0,28.2177734375,3.0
caenibacillus_caldisaponilyticus,55.0,47.1708984375,3.0
desulfovibrio_vulgaris,34.0,33.28210638467863,2.0
actinoalloteichus_spitiensis,30.0,32.8232421875,3.0
nitratifractor_salsuginis,59.0,54.76491318948865,0.0
cladophialophora_carrionii,25.0,24.832667972688796,4.0
aspergillus_brasiliensis,26.0,26.287109375,3.0
herbaspirillum_rhizosphaerae,27.0,26.18964840823901,4.0
tepidiphilus_thermophilus,50.0,51.77384766499745,1.0
rhodobacter_johrii,28.0,28.69827437334061,0.0
hoeflea_phototrophica,30.0,27.397462055130745,2.0
alicycliphilus_denitrificans,29.0,33.3564453125,3.0
dothistroma_septosporum,20.0,17.7587890625,3.0
denitrovibrio_acetiphilus,30.0,27.348922218487132,1.0
azovibrio_restrictus,28.0,31.2451171875,3.0
frateuria_aurantia,27.0,28.323718115731026,2.0
vibrio_owensii,27.0,28.199428434774745,1.0
herbaspirillum_huttiense,28.0,28.718432560606743,2.0
methylophaga_frappieri,29.0,25.796808641200187,4.0
providencia_burhodogranariea,31.0,29.419018845801475,4.0
halanaerobium_congolense,42.0,34.66892849773467,0.0
acinetobacter_indicus,31.0,32.668025188411775,0.0
streptobacillus_moniliformis,37.0,32.593717213516356,4.0
novosphingobium_aromaticivorans,30.0,30.209538444920327,2.0
pseudoalteromonas_issachenkonii,23.0,24.396484375,3.0
parascardovia_denticolens,37.0,40.5205078125,3.0
tetrasphaera_jenkinsii,25.0,26.570829853459145,2.0
corynebacterium_minutissimum,35.0,35.0263671875,3.0
haematospirillum_jordaniae,37.0,34.151175107603194,4.0
peptoniphilus_lacrimalis,37.0,41.0205078125,3.0
dialister_invisus,36.0,37.66621854089499,0.0
actinomadura_rubrobrunea,55.0,41.066196407482494,1.0
nocardiopsis_halophila,28.0,30.2041015625,3.0
histoplasma_capsulatum,29.0,24.866767577159408,0.0
weissella_confusa,31.0,32.48830254309178,0.0
desulfotomaculum_thermosubterraneum,60.0,60.3203125,3.0
mycobacterium_haemophilum,31.0,36.84667484466627,2.0
pediococcus_cellicola,34.0,30.463945966010215,4.0
amycolatopsis_thermoflava,45.0,30.72343710743189,0.0
microbacterium_arborescens,30.0,28.184310104494216,4.0
kluyvera_intermedia,31.0,32.1865234375,3.0
bacillus_circulans,32.0,31.040075466080452,2.0
streptomyces_griseoflavus,27.0,27.19921875,3.0
pseudoalteromonas_piscicida,28.0,25.01717917926908,0.0
nocardia_farcinica,32.0,33.748573824806954,2.0
sulfurimonas_denitrificans,24.0,29.855820283089997,4.0
streptomyces_galbus,27.0,27.556178685073974,4.0
paenibacillus_odorifer,30.0,26.66614026928437,4.0
blastomyces_dermatitidis,31.0,23.558631233203414,0.0
vagococcus_penaei,30.0,32.6435546875,3.0
legionella_hackeliae,37.0,34.16477553550794,2.0
nocardia_carnea,29.0,28.769020602150704,2.0
capronia_coronata,20.0,25.908203125,3.0
desulfurococcus_kamchatkensis,82.0,85.62152629697812,4.0
lactobacillus_jensenii,37.0,31.692724272652413,2.0
flavobacterium_filum,27.0,28.3980649255991,0.0
rhizobium_tibeticum,28.0,27.697265625,3.0
pichia_kudriavzevii,24.0,25.134182899522784,0.0
methylophaga_thiooxydans,28.0,28.713568422275785,0.0
