,true,pred,kfold
allobaculum_stercoricanis,37.0,35.4355,3.0
shewanella_algae,28.0,28.553165999999997,1.0
bifidobacterium_saguini,37.0,35.758,4.0
ochrobactrum_rhizosphaerae,28.0,29.566,1.0
sphingomonas_haloaromaticamans,30.0,29.715349999999997,0.0
kurthia_massiliensis,28.0,32.2345,0.0
bacillus_ligniniphilus,30.0,33.67349900000001,1.0
planococcus_maritimus,29.0,29.741167,2.0
collinsella_aerofaciens,37.0,35.9175,3.0
planococcus_halocryophilus,18.0,25.734417,2.0
streptococcus_ictaluri,30.0,35.7475,2.0
enterococcus_asini,37.0,34.8785,1.0
palaeococcus_pacificus,80.0,80.31723299999999,1.0
clostridium_baratii,37.0,36.487,1.0
paraglaciecola_chathamensis,18.0,25.479793999999952,4.0
shewanella_oneidensis,30.0,26.972333,4.0
lactococcus_lactis,31.0,30.640683999999997,3.0
shewanella_baltica,25.0,26.804498999999996,1.0
methylotenera_versatilis,25.0,26.518333,4.0
eubacterium_sulci,37.0,36.706300000000006,1.0
glaciecola_pallidula,13.0,20.406082,4.0
paenibacillus_lactis,30.0,31.60925,0.0
nocardia_caishijiensis,29.0,29.21275,2.0
balneola_vulgaris,27.0,27.20805,3.0
streptomyces_viridosporus,28.0,27.406,3.0
caenibacillus_caldisaponilyticus,55.0,47.335097,3.0
desulfovibrio_vulgaris,34.0,34.0901,2.0
actinoalloteichus_spitiensis,30.0,30.672832999999997,3.0
nitratifractor_salsuginis,59.0,40.3625,0.0
cladophialophora_carrionii,25.0,24.296,4.0
aspergillus_brasiliensis,26.0,25.774,3.0
herbaspirillum_rhizosphaerae,27.0,29.033199999999997,4.0
tepidiphilus_thermophilus,50.0,45.123498999999995,1.0
rhodobacter_johrii,28.0,29.926,0.0
hoeflea_phototrophica,30.0,27.275199999999998,2.0
alicycliphilus_denitrificans,29.0,30.303,3.0
dothistroma_septosporum,20.0,24.324,3.0
denitrovibrio_acetiphilus,30.0,34.9851,1.0
azovibrio_restrictus,28.0,32.5855,3.0
frateuria_aurantia,27.0,29.85275,2.0
vibrio_owensii,27.0,28.57375,1.0
herbaspirillum_huttiense,28.0,29.4995,2.0
methylophaga_frappieri,29.0,28.4271,4.0
providencia_burhodogranariea,31.0,29.846833,4.0
halanaerobium_congolense,42.0,38.531,0.0
acinetobacter_indicus,31.0,29.839333,0.0
streptobacillus_moniliformis,37.0,36.417,4.0
novosphingobium_aromaticivorans,30.0,28.6986,2.0
pseudoalteromonas_issachenkonii,23.0,25.239997999999996,3.0
parascardovia_denticolens,37.0,33.076083,3.0
