,true,pred,kfold
allobaculum_stercoricanis,37.0,40.20246130243619,3.0
shewanella_algae,28.0,27.586627407214266,1.0
bifidobacterium_saguini,37.0,36.257834363824166,4.0
ochrobactrum_rhizosphaerae,28.0,30.81899816333824,1.0
sphingomonas_haloaromaticamans,30.0,30.184627064490634,0.0
kurthia_massiliensis,28.0,31.649682512230783,0.0
bacillus_ligniniphilus,30.0,35.07174388371281,1.0
planococcus_maritimus,29.0,28.320052010263208,2.0
collinsella_aerofaciens,37.0,35.838082768690526,3.0
planococcus_halocryophilus,18.0,26.138532349413794,2.0
streptococcus_ictaluri,30.0,35.902879968773654,2.0
enterococcus_asini,37.0,36.079951952786324,1.0
palaeococcus_pacificus,80.0,77.06031653676261,1.0
clostridium_baratii,37.0,36.54621386168689,1.0
paraglaciecola_chathamensis,18.0,25.60570002346868,4.0
shewanella_oneidensis,30.0,26.380343514037,4.0
lactococcus_lactis,31.0,34.275249470798286,3.0
shewanella_baltica,25.0,26.576164943970323,1.0
methylotenera_versatilis,25.0,23.2956609360756,4.0
eubacterium_sulci,37.0,37.209259188355944,1.0
glaciecola_pallidula,13.0,16.566593537753064,4.0
paenibacillus_lactis,30.0,32.1148084100708,0.0
nocardia_caishijiensis,29.0,27.912219258043578,2.0
balneola_vulgaris,27.0,26.401311959814848,3.0
streptomyces_viridosporus,28.0,27.41461610432528,3.0
caenibacillus_caldisaponilyticus,55.0,53.34231844343181,3.0
desulfovibrio_vulgaris,34.0,34.71093108102395,2.0
actinoalloteichus_spitiensis,30.0,30.1185835966358,3.0
nitratifractor_salsuginis,59.0,53.45819818142341,0.0
cladophialophora_carrionii,25.0,24.443008327278722,4.0
aspergillus_brasiliensis,26.0,25.074823010511082,3.0
herbaspirillum_rhizosphaerae,27.0,28.704035330408765,4.0
tepidiphilus_thermophilus,50.0,55.47951133468101,1.0
rhodobacter_johrii,28.0,28.259610327765934,0.0
hoeflea_phototrophica,30.0,24.243366332201433,2.0
alicycliphilus_denitrificans,29.0,30.710569723608643,3.0
dothistroma_septosporum,20.0,23.535086412434136,3.0
denitrovibrio_acetiphilus,30.0,28.08848354136186,1.0
azovibrio_restrictus,28.0,30.38226457154142,3.0
frateuria_aurantia,27.0,29.309035698994343,2.0
vibrio_owensii,27.0,29.988577015418088,1.0
herbaspirillum_huttiense,28.0,29.738331357799126,2.0
methylophaga_frappieri,29.0,28.263403568669162,4.0
providencia_burhodogranariea,31.0,30.765298113831548,4.0
halanaerobium_congolense,42.0,39.37196394998589,0.0
acinetobacter_indicus,31.0,30.839666793274947,0.0
streptobacillus_moniliformis,37.0,34.520556127043264,4.0
novosphingobium_aromaticivorans,30.0,28.68391717910653,2.0
pseudoalteromonas_issachenkonii,23.0,24.52279195725499,3.0
parascardovia_denticolens,37.0,35.89222746013914,3.0
tetrasphaera_jenkinsii,25.0,27.124708960165258,2.0
corynebacterium_minutissimum,35.0,35.42650086703822,3.0
haematospirillum_jordaniae,37.0,33.515010553555484,4.0
peptoniphilus_lacrimalis,37.0,38.034110798931295,3.0
dialister_invisus,36.0,35.74843890517592,0.0
actinomadura_rubrobrunea,55.0,36.941709627400705,1.0
nocardiopsis_halophila,28.0,27.457123319797844,3.0
histoplasma_capsulatum,29.0,26.11219827417417,0.0
weissella_confusa,31.0,33.27327943116171,0.0
desulfotomaculum_thermosubterraneum,60.0,65.65549889142096,3.0
mycobacterium_haemophilum,31.0,36.08211303765124,2.0
pediococcus_cellicola,34.0,33.02106131546127,4.0
amycolatopsis_thermoflava,45.0,28.699132306004152,0.0
microbacterium_arborescens,30.0,30.13017668435237,4.0
kluyvera_intermedia,31.0,31.895372573706318,3.0
bacillus_circulans,32.0,29.560364895209595,2.0
streptomyces_griseoflavus,27.0,28.044401718213518,3.0
pseudoalteromonas_piscicida,28.0,28.504624404772283,0.0
nocardia_farcinica,32.0,30.207904809195533,2.0
sulfurimonas_denitrificans,24.0,23.310357205531844,4.0
streptomyces_galbus,27.0,27.21268352391041,4.0
paenibacillus_odorifer,30.0,28.089063822467256,4.0
blastomyces_dermatitidis,31.0,26.322956837713978,0.0
vagococcus_penaei,30.0,32.2315938297146,3.0
legionella_hackeliae,37.0,35.66506715265082,2.0
nocardia_carnea,29.0,30.0200360971668,2.0
capronia_coronata,20.0,25.290559098886614,3.0
desulfurococcus_kamchatkensis,82.0,85.6097045595608,4.0
lactobacillus_jensenii,37.0,35.10896328710692,2.0
flavobacterium_filum,27.0,29.247892684729504,0.0
rhizobium_tibeticum,28.0,28.834262807249196,3.0
pichia_kudriavzevii,24.0,23.870214236906733,0.0
methylophaga_thiooxydans,28.0,25.48400758642787,0.0
staphylococcus_vitulinus,37.0,36.194485460392606,1.0
penicillium_steckii,24.0,24.085281842055224,4.0
nautilia_profundicola,43.0,52.36381068529971,4.0
methanocella_paludicola,37.0,43.6451525829788,1.0
mycoplasma_gallinarum,37.0,36.79868647452454,2.0
nosocomiicoccus_ampullae,32.0,36.830099626072965,3.0
acinetobacter_soli,29.0,30.721070029983245,1.0
malassezia_globosa,30.0,28.355359936578004,1.0
lactobacillus_malefermentans,29.0,29.4412572725425,2.0
thiocystis_violascens,25.0,25.20673090876648,1.0
slackia_piriformis,37.0,39.39839624039364,1.0
komagataeibacter_europaeus,30.0,28.928651276809866,0.0
bacillus_muralis,30.0,27.117200157323524,4.0
lachnoanaerobaculum_saburreum,37.0,36.4210852260368,4.0
mycoplasma_glycophilum,37.0,37.64892527733197,4.0
selenomonas_bovis,37.0,39.25107097298645,0.0
persephonella_marina,70.0,65.99455376313333,1.0
leptotrichia_shahii,37.0,38.186079947645695,0.0
methanothermobacter_marburgensis,60.0,61.872292517198915,0.0
prevotella_saccharolytica,37.0,36.37121470117178,0.0
collimonas_arenae,28.0,28.374466727182167,2.0
thermus_islandicus,65.0,69.0355409372801,1.0
colletotrichum_nymphaeae,20.0,23.86746371677697,4.0
chryseolinea_serpens,25.0,25.835028006008447,3.0
corynebacterium_efficiens,37.0,29.892401832232007,1.0
haloferax_prahovense,37.0,36.1349814997503,0.0
bacillus_pseudofirmus,31.0,29.84198343119651,4.0
