,true,pred,kfold
cladophialophora_carrionii,25.0,25.301981413982755,1.0
aspergillus_brasiliensis,26.0,25.021080195976047,4.0
dothistroma_septosporum,20.0,22.7879025832092,3.0
histoplasma_capsulatum,29.0,26.238661645074398,4.0
blastomyces_dermatitidis,31.0,27.06581844315395,0.0
capronia_coronata,20.0,25.025717292108865,1.0
pichia_kudriavzevii,24.0,25.755126735181783,0.0
penicillium_steckii,24.0,24.106251196898814,4.0
malassezia_globosa,30.0,28.08219206579348,2.0
colletotrichum_nymphaeae,20.0,23.06933607574535,1.0
rhynchosporium_secalis,15.0,21.921785225163458,3.0
ceraceosorus_bombacis,24.0,20.168542406744727,0.0
penicillium_oxalicum,24.0,24.237481509465333,0.0
daedalea_quercina,24.0,25.413625897469814,3.0
sclerotinia_borealis,8.0,21.919761091902007,1.0
trichophyton_equinum,27.0,26.6974038098302,4.0
coccidioides_posadasii,24.0,27.346313948355977,1.0
arthrobotrys_oligospora,24.0,25.157165392557562,1.0
debaryomyces_fabryi,24.0,24.818806686662686,0.0
leishmania_infantum,25.0,25.686657731242185,1.0
chaetomium_thermophilum,44.0,30.280381299122823,3.0
coniosporium_apollinis,25.0,25.21888686624508,2.0
salpingoeca_rosetta,25.0,23.740274629899723,4.0
lachancea_dasiensis,23.0,22.20494540871429,3.0
cladophialophora_bantiana,27.0,24.999985393506332,2.0
exidia_glandulosa,24.0,23.577441516797858,4.0
aspergillus_versicolor,24.0,24.712281682644605,4.0
bipolaris_victoriae,25.0,24.047038989108653,0.0
fusarium_verticillioides,25.0,23.742661902143244,2.0
penicillium_rubens,24.0,24.392348228614452,0.0
gonapodya_prolifera,20.0,22.64268099940282,4.0
trichoderma_harzianum,25.0,24.36541419519945,2.0
penicillium_roqueforti,24.0,24.403664503850838,2.0
leptomonas_pyrrhocoris,25.0,25.862990480358196,2.0
trichophyton_interdigitale,26.0,26.788237492528197,1.0
leishmania_braziliensis,25.0,24.65925490032707,2.0
kazachstania_africana,24.0,23.58050202356796,3.0
xanthophyllomyces_dendrorhous,21.0,23.277428130339864,4.0
entamoeba_histolytica,35.0,33.23950857755269,1.0
anncaliia_algerae,30.0,30.886407701108585,1.0
aspergillus_terreus,26.0,26.071293430617143,2.0
stachybotrys_chartarum,24.0,24.639112701678698,1.0
ophiostoma_piceae,25.0,23.82852889045298,1.0
candida_albicans,26.0,24.937423247054497,4.0
fusarium_culmorum,24.0,24.190410050080256,2.0
colletotrichum_fioriniae,25.0,23.014618846861143,3.0
stereum_hirsutum,25.0,21.064173944668113,2.0
nannizzia_gypsea,25.0,26.025237762245627,2.0
phlebiopsis_gigantea,24.0,24.014129885248032,2.0
fusarium_fujikuroi,25.0,24.138721833430612,4.0
candida_parapsilosis,25.0,23.882441680354614,4.0
hemiselmis_andersenii,20.0,23.12249985816916,1.0
neurospora_tetrasperma,26.0,25.230246745303724,3.0
kwoniella_mangroviensis,25.0,21.579388072975505,2.0
ustilaginoidea_virens,26.0,27.393881275262146,3.0
gloeophyllum_trabeum,25.0,25.690478435741795,2.0
