,true,pred,kfold
cladophialophora_carrionii,25.0,21.06546370526129,1.0
aspergillus_brasiliensis,26.0,26.09098553501687,4.0
dothistroma_septosporum,20.0,22.19591679409513,3.0
histoplasma_capsulatum,29.0,27.845372383241017,4.0
blastomyces_dermatitidis,31.0,33.91242880954463,0.0
capronia_coronata,20.0,25.161664265840784,1.0
pichia_kudriavzevii,24.0,21.52529500223763,0.0
penicillium_steckii,24.0,30.247837071269387,4.0
malassezia_globosa,30.0,60.53623704046827,2.0
colletotrichum_nymphaeae,20.0,27.70172916836715,1.0
rhynchosporium_secalis,15.0,16.9512021515082,3.0
ceraceosorus_bombacis,24.0,16.722816857172663,0.0
penicillium_oxalicum,24.0,24.50643043110318,0.0
daedalea_quercina,24.0,24.3344944821796,3.0
sclerotinia_borealis,8.0,24.799794609099965,1.0
trichophyton_equinum,27.0,28.719320361824277,4.0
coccidioides_posadasii,24.0,22.476712199600808,1.0
arthrobotrys_oligospora,24.0,17.24232319721826,1.0
debaryomyces_fabryi,24.0,26.871614040562704,0.0
leishmania_infantum,25.0,22.23946884722082,1.0
chaetomium_thermophilum,44.0,44.79433998766464,3.0
coniosporium_apollinis,25.0,13.064668969150935,2.0
salpingoeca_rosetta,25.0,34.28457586110368,4.0
lachancea_dasiensis,23.0,19.99259266532704,3.0
cladophialophora_bantiana,27.0,31.570288577856267,2.0
exidia_glandulosa,24.0,31.46117151411234,4.0
aspergillus_versicolor,24.0,15.697378028199825,4.0
bipolaris_victoriae,25.0,23.614299331764578,0.0
fusarium_verticillioides,25.0,23.611687299818737,2.0
penicillium_rubens,24.0,25.22963926319227,0.0
gonapodya_prolifera,20.0,-0.05662698647411446,4.0
trichoderma_harzianum,25.0,19.130031561903714,2.0
penicillium_roqueforti,24.0,29.17589584049987,2.0
leptomonas_pyrrhocoris,25.0,-13.588000962845499,2.0
trichophyton_interdigitale,26.0,27.19389672813197,1.0
leishmania_braziliensis,25.0,15.732865971811396,2.0
kazachstania_africana,24.0,22.125373832048343,3.0
xanthophyllomyces_dendrorhous,21.0,34.34837466086191,4.0
entamoeba_histolytica,35.0,21.041342110358734,1.0
anncaliia_algerae,30.0,23.99870740354403,1.0
aspergillus_terreus,26.0,32.58457991971422,2.0
stachybotrys_chartarum,24.0,24.48491060180531,1.0
ophiostoma_piceae,25.0,24.36433744525985,1.0
candida_albicans,26.0,18.925103712654305,4.0
fusarium_culmorum,24.0,23.19891595952812,2.0
colletotrichum_fioriniae,25.0,19.46968515510058,3.0
stereum_hirsutum,25.0,-0.47883014785087497,2.0
nannizzia_gypsea,25.0,34.22362973999423,2.0
phlebiopsis_gigantea,24.0,19.52052508562705,2.0
fusarium_fujikuroi,25.0,26.14048984437491,4.0
candida_parapsilosis,25.0,12.997378252688677,4.0
hemiselmis_andersenii,20.0,58.33986586580674,1.0
neurospora_tetrasperma,26.0,25.934437225050587,3.0
kwoniella_mangroviensis,25.0,29.5368599899579,2.0
ustilaginoidea_virens,26.0,33.12586450873735,3.0
gloeophyllum_trabeum,25.0,25.999792140975707,2.0
pisolithus_tinctorius,25.0,43.78934299917847,2.0
bipolaris_maydis,24.0,23.89883627212132,3.0
hanseniaspora_guilliermondii,24.0,14.224009894399192,0.0
candida_tropicalis,26.0,28.680313749415546,0.0
aspergillus_cristatus,25.0,32.429651656385175,3.0
yarrowia_lipolytica,24.0,39.578272465315706,2.0
leishmania_panamensis,24.0,29.243778173330597,1.0
kluyveromyces_lactis,25.0,19.592970078628273,2.0
fomitopsis_pinicola,24.0,16.314003570840946,4.0
eremothecium_sinecaudum,24.0,32.488172336989976,0.0
