,true,pred,kfold
cladophialophora_carrionii,25.0,25.083,1.0
aspergillus_brasiliensis,26.0,25.635,4.0
dothistroma_septosporum,20.0,24.314,3.0
histoplasma_capsulatum,29.0,28.968,4.0
blastomyces_dermatitidis,31.0,27.144,0.0
capronia_coronata,20.0,24.882,1.0
pichia_kudriavzevii,24.0,24.875,0.0
penicillium_steckii,24.0,24.224,4.0
malassezia_globosa,30.0,25.92,2.0
colletotrichum_nymphaeae,20.0,24.591,1.0
rhynchosporium_secalis,15.0,22.997,3.0
ceraceosorus_bombacis,24.0,21.408,0.0
penicillium_oxalicum,24.0,24.417,0.0
daedalea_quercina,24.0,24.561,3.0
sclerotinia_borealis,8.0,23.463,1.0
trichophyton_equinum,27.0,26.284,4.0
coccidioides_posadasii,24.0,26.305,1.0
arthrobotrys_oligospora,24.0,25.14,1.0
debaryomyces_fabryi,24.0,25.175,0.0
leishmania_infantum,25.0,25.429,1.0
chaetomium_thermophilum,44.0,27.585,3.0
coniosporium_apollinis,25.0,25.344,2.0
salpingoeca_rosetta,25.0,24.92,4.0
lachancea_dasiensis,23.0,23.886,3.0
cladophialophora_bantiana,27.0,25.53,2.0
exidia_glandulosa,24.0,23.843,4.0
aspergillus_versicolor,24.0,25.1,4.0
bipolaris_victoriae,25.0,24.172,0.0
fusarium_verticillioides,25.0,24.044,2.0
penicillium_rubens,24.0,24.423,0.0
gonapodya_prolifera,20.0,23.737,4.0
trichoderma_harzianum,25.0,24.151,2.0
penicillium_roqueforti,24.0,24.325,2.0
leptomonas_pyrrhocoris,25.0,24.858,2.0
trichophyton_interdigitale,26.0,26.479,1.0
leishmania_braziliensis,25.0,24.632,2.0
kazachstania_africana,24.0,24.735,3.0
xanthophyllomyces_dendrorhous,21.0,23.076,4.0
entamoeba_histolytica,35.0,31.731,1.0
anncaliia_algerae,30.0,28.582,1.0
aspergillus_terreus,26.0,25.193,2.0
stachybotrys_chartarum,24.0,24.234,1.0
ophiostoma_piceae,25.0,24.734,1.0
