,true,pred,kfold
cladophialophora_carrionii,25.0,25.304038269660808,1.0
aspergillus_brasiliensis,26.0,25.52976103790778,4.0
dothistroma_septosporum,20.0,23.740246463761512,3.0
histoplasma_capsulatum,29.0,27.178882244833595,4.0
blastomyces_dermatitidis,31.0,27.36372130093553,0.0
capronia_coronata,20.0,24.981411627236774,1.0
pichia_kudriavzevii,24.0,24.300183760135916,0.0
penicillium_steckii,24.0,24.426441864290798,4.0
malassezia_globosa,30.0,29.524736145529616,2.0
colletotrichum_nymphaeae,20.0,24.23780545568242,1.0
rhynchosporium_secalis,15.0,22.653924355489558,3.0
ceraceosorus_bombacis,24.0,20.23706100216007,0.0
penicillium_oxalicum,24.0,23.78840571952221,0.0
daedalea_quercina,24.0,24.963478836045123,3.0
sclerotinia_borealis,8.0,22.526913174654283,1.0
trichophyton_equinum,27.0,26.572374984073143,4.0
coccidioides_posadasii,24.0,26.780639231722304,1.0
arthrobotrys_oligospora,24.0,25.238932015767674,1.0
debaryomyces_fabryi,24.0,24.837005824038123,0.0
leishmania_infantum,25.0,24.64394467596185,1.0
chaetomium_thermophilum,44.0,26.93877595084633,3.0
coniosporium_apollinis,25.0,25.451993225397885,2.0
salpingoeca_rosetta,25.0,25.780700163966106,4.0
lachancea_dasiensis,23.0,23.481603622951752,3.0
cladophialophora_bantiana,27.0,24.744468412990283,2.0
exidia_glandulosa,24.0,23.454416278419533,4.0
aspergillus_versicolor,24.0,25.380053381109597,4.0
bipolaris_victoriae,25.0,23.97597368235692,0.0
fusarium_verticillioides,25.0,23.90853536828571,2.0
penicillium_rubens,24.0,24.215439632174633,0.0
gonapodya_prolifera,20.0,23.612974039392462,4.0
trichoderma_harzianum,25.0,24.06729156706347,2.0
penicillium_roqueforti,24.0,24.42042052596235,2.0
leptomonas_pyrrhocoris,25.0,24.64713936697723,2.0
trichophyton_interdigitale,26.0,26.049022972252907,1.0
leishmania_braziliensis,25.0,24.276363752954975,2.0
kazachstania_africana,24.0,24.884322705615215,3.0
xanthophyllomyces_dendrorhous,21.0,24.777103098298408,4.0
entamoeba_histolytica,35.0,34.26818460728906,1.0
anncaliia_algerae,30.0,26.75539486489907,1.0
aspergillus_terreus,26.0,24.678724873547587,2.0
stachybotrys_chartarum,24.0,24.464392585994837,1.0
ophiostoma_piceae,25.0,24.274617100016375,1.0
candida_albicans,26.0,26.030135907480858,4.0
fusarium_culmorum,24.0,24.169288525120415,2.0
colletotrichum_fioriniae,25.0,23.537593915493296,3.0
stereum_hirsutum,25.0,23.524485173662566,2.0
nannizzia_gypsea,25.0,26.08579349457172,2.0
phlebiopsis_gigantea,24.0,24.053664010860405,2.0
fusarium_fujikuroi,25.0,24.518989093120123,4.0
candida_parapsilosis,25.0,25.40165556524865,4.0
hemiselmis_andersenii,20.0,26.271404859247138,1.0
neurospora_tetrasperma,26.0,24.716731278942408,3.0
kwoniella_mangroviensis,25.0,23.733766362872444,2.0
ustilaginoidea_virens,26.0,25.639550254594965,3.0
gloeophyllum_trabeum,25.0,24.982352840625474,2.0
pisolithus_tinctorius,25.0,20.174448629536077,2.0
bipolaris_maydis,24.0,24.420749886931148,3.0
hanseniaspora_guilliermondii,24.0,25.567632467905035,0.0
candida_tropicalis,26.0,25.03160768792287,0.0
aspergillus_cristatus,25.0,25.65449648698094,3.0
yarrowia_lipolytica,24.0,22.343518952425313,2.0
leishmania_panamensis,24.0,24.444512986086878,1.0
kluyveromyces_lactis,25.0,24.397362600618493,2.0
fomitopsis_pinicola,24.0,24.182046086998575,4.0
eremothecium_sinecaudum,24.0,25.364877801289676,0.0
paxillus_involutus,22.0,20.428765075454542,2.0
paracoccidioides_lutzii,37.0,27.2338951024717,1.0
ascosphaera_apis,26.0,26.647946379724278,4.0
aspergillus_parasiticus,24.0,24.94172483629965,2.0
fistulina_hepatica,22.0,24.21409893539219,1.0
penicillium_griseofulvum,25.0,23.96660700919467,4.0
cyanidioschyzon_merolae,38.0,26.68637700583283,4.0
entamoeba_invadens,25.0,27.100684848810065,1.0
blastocystis_hominis,34.0,27.824024805924676,4.0
phialophora_americana,26.0,24.86548247191098,3.0
trichophyton_soudanense,26.0,26.314752727710445,4.0
