,true,pred,kfold
cladophialophora_carrionii,25.0,23.2,1.0
aspergillus_brasiliensis,26.0,26.0,4.0
dothistroma_septosporum,20.0,24.1875,3.0
histoplasma_capsulatum,29.0,27.61111111111111,4.0
blastomyces_dermatitidis,31.0,27.303571428571427,0.0
capronia_coronata,20.0,23.2,1.0
pichia_kudriavzevii,24.0,25.95744680851064,0.0
penicillium_steckii,24.0,23.96,4.0
malassezia_globosa,30.0,23.822222222222223,2.0
colletotrichum_nymphaeae,20.0,23.2,1.0
rhynchosporium_secalis,15.0,24.1875,3.0
ceraceosorus_bombacis,24.0,27.303571428571427,0.0
penicillium_oxalicum,24.0,24.816901408450704,0.0
daedalea_quercina,24.0,26.44871794871795,3.0
sclerotinia_borealis,8.0,26.342105263157894,1.0
trichophyton_equinum,27.0,27.61111111111111,4.0
coccidioides_posadasii,24.0,26.342105263157894,1.0
arthrobotrys_oligospora,24.0,24.787610619469028,1.0
debaryomyces_fabryi,24.0,25.95744680851064,0.0
leishmania_infantum,25.0,26.342105263157894,1.0
chaetomium_thermophilum,44.0,26.44871794871795,3.0
coniosporium_apollinis,25.0,25.414814814814815,2.0
salpingoeca_rosetta,25.0,25.2,4.0
lachancea_dasiensis,23.0,24.1875,3.0
cladophialophora_bantiana,27.0,25.414814814814815,2.0
exidia_glandulosa,24.0,24.5,4.0
aspergillus_versicolor,24.0,26.0,4.0
bipolaris_victoriae,25.0,22.27659574468085,0.0
fusarium_verticillioides,25.0,23.822222222222223,2.0
penicillium_rubens,24.0,22.27659574468085,0.0
gonapodya_prolifera,20.0,25.2,4.0
trichoderma_harzianum,25.0,25.414814814814815,2.0
penicillium_roqueforti,24.0,23.822222222222223,2.0
leptomonas_pyrrhocoris,25.0,25.414814814814815,2.0
trichophyton_interdigitale,26.0,26.342105263157894,1.0
leishmania_braziliensis,25.0,25.414814814814815,2.0
kazachstania_africana,24.0,25.5,3.0
xanthophyllomyces_dendrorhous,21.0,21.391304347826086,4.0
entamoeba_histolytica,35.0,24.787610619469028,1.0
anncaliia_algerae,30.0,24.787610619469028,1.0
aspergillus_terreus,26.0,25.414814814814815,2.0
stachybotrys_chartarum,24.0,23.2,1.0
ophiostoma_piceae,25.0,23.2,1.0
candida_albicans,26.0,25.0,4.0
fusarium_culmorum,24.0,23.822222222222223,2.0
colletotrichum_fioriniae,25.0,23.09090909090909,3.0
stereum_hirsutum,25.0,23.822222222222223,2.0
nannizzia_gypsea,25.0,25.414814814814815,2.0
phlebiopsis_gigantea,24.0,25.414814814814815,2.0
fusarium_fujikuroi,25.0,24.285714285714285,4.0
candida_parapsilosis,25.0,25.0,4.0
hemiselmis_andersenii,20.0,24.787610619469028,1.0
neurospora_tetrasperma,26.0,26.44871794871795,3.0
kwoniella_mangroviensis,25.0,23.822222222222223,2.0
ustilaginoidea_virens,26.0,26.44871794871795,3.0
gloeophyllum_trabeum,25.0,23.822222222222223,2.0
pisolithus_tinctorius,25.0,23.822222222222223,2.0
bipolaris_maydis,24.0,24.1875,3.0
hanseniaspora_guilliermondii,24.0,25.95744680851064,0.0
candida_tropicalis,26.0,25.95744680851064,0.0
aspergillus_cristatus,25.0,26.44871794871795,3.0
yarrowia_lipolytica,24.0,23.822222222222223,2.0
leishmania_panamensis,24.0,26.342105263157894,1.0
kluyveromyces_lactis,25.0,23.822222222222223,2.0
fomitopsis_pinicola,24.0,24.5,4.0
eremothecium_sinecaudum,24.0,25.95744680851064,0.0
paxillus_involutus,22.0,23.822222222222223,2.0
paracoccidioides_lutzii,37.0,26.342105263157894,1.0
ascosphaera_apis,26.0,27.61111111111111,4.0
aspergillus_parasiticus,24.0,25.414814814814815,2.0
fistulina_hepatica,22.0,24.787610619469028,1.0
penicillium_griseofulvum,25.0,23.96,4.0
cyanidioschyzon_merolae,38.0,27.61111111111111,4.0
entamoeba_invadens,25.0,24.787610619469028,1.0
blastocystis_hominis,34.0,31.88888888888889,4.0
phialophora_americana,26.0,24.1875,3.0
trichophyton_soudanense,26.0,27.61111111111111,4.0
komagataella_phaffii,22.0,24.1875,3.0
grifola_frondosa,24.0,23.2,1.0
phialocephala_scopiformis,24.0,25.414814814814815,2.0
coprinopsis_cinerea,24.0,27.303571428571427,0.0
capronia_epimyces,25.0,24.1875,3.0
aspergillus_ruber,25.0,26.44871794871795,3.0
microdochium_bolleyi,24.0,22.88888888888889,4.0
agaricus_bisporus,25.0,23.822222222222223,2.0
millerozyma_farinosa,26.0,24.787610619469028,1.0
penicillium_vulpinum,24.0,23.96,4.0
byssochlamys_spectabilis,27.0,24.285714285714285,4.0
coccidioides_immitis,27.0,26.342105263157894,1.0
drechmeria_coniospora,24.0,24.816901408450704,0.0
aspergillus_lentulus,25.0,24.816901408450704,0.0
tetrapisispora_phaffii,25.0,25.95744680851064,0.0
neurospora_crassa,25.0,27.303571428571427,0.0
conidiobolus_coronatus,24.0,25.95744680851064,0.0
kuraishia_capsulata,24.0,24.1875,3.0
moniliophthora_roreri,24.0,23.208333333333332,0.0
nadsonia_fulvescens,22.0,24.1875,3.0
moniliophthora_perniciosa,25.0,23.09090909090909,3.0
monosiga_brevicollis,25.0,23.09090909090909,3.0
sporothrix_brasiliensis,24.0,25.414814814814815,2.0
wickerhamomyces_ciferrii,24.0,24.787610619469028,1.0
heterobasidion_irregulare,25.0,25.414814814814815,2.0
sporidiobolus_salmonicolor,24.0,27.303571428571427,0.0
penicillium_camemberti,24.0,24.1875,3.0
paulinella_chromatophora,20.0,21.391304347826086,4.0
beauveria_bassiana,24.0,23.2,1.0
pochonia_chlamydosporia,20.0,23.2,1.0
pyrenophora_teres,23.0,22.27659574468085,0.0
talaromyces_stipitatus,25.0,25.414814814814815,2.0
talaromyces_marneffei,26.0,24.666666666666668,4.0
tetrahymena_thermophila,25.0,24.787610619469028,1.0
aspergillus_fischeri,25.0,26.342105263157894,1.0
nectria_haematococca,25.0,22.27659574468085,0.0
fonsecaea_monophora,23.0,25.414814814814815,2.0
capsaspora_owczarzaki,25.0,23.09090909090909,3.0
microbotryum_violaceum,23.0,21.391304347826086,4.0
naumovozyma_dairenensis,25.0,25.414814814814815,2.0
trichoderma_atroviride,23.0,24.816901408450704,0.0
saccharomyces_cerevisiae,28.0,25.5,3.0
aureobasidium_pullulans,25.0,22.27659574468085,0.0
exophiala_xenobiotica,24.0,22.27659574468085,0.0
hypholoma_sublateritium,23.0,24.666666666666668,4.0
penicillium_nordicum,24.0,24.816901408450704,0.0
aspergillus_aculeatus,25.0,24.816901408450704,0.0
fusarium_solani,24.0,24.1875,3.0
spathaspora_passalidarum,24.0,25.95744680851064,0.0
calocera_viscosa,24.0,23.96,4.0
naumovozyma_castellii,24.0,24.787610619469028,1.0
mortierella_verticillata,24.0,25.414814814814815,2.0
lachancea_fermentati,24.0,22.896551724137932,4.0
aspergillus_oryzae,25.0,24.1875,3.0
lipomyces_starkeyi,24.0,23.208333333333332,0.0
hanseniaspora_valbyensis,24.0,25.95744680851064,0.0
trichoderma_virens,25.0,24.285714285714285,4.0
laetiporus_sulphureus,24.0,23.822222222222223,2.0
aspergillus_sydowii,25.0,24.1875,3.0
tilletia_controversa,15.0,21.391304347826086,4.0
leishmania_major,24.0,25.414814814814815,2.0
aspergillus_nomius,25.0,24.787610619469028,1.0
hypsizygus_marmoreus,15.0,23.2,1.0
stachybotrys_chlorohalonata,24.0,23.09090909090909,3.0
acytostelium_subglobosum,24.0,22.896551724137932,4.0
coniochaeta_ligniaria,24.0,25.414814814814815,2.0
fusarium_oxysporum,24.0,24.285714285714285,4.0
malassezia_sympodialis,31.0,27.61111111111111,4.0
tilletia_caries,15.0,23.09090909090909,3.0
uncinocarpus_reesii,24.0,26.342105263157894,1.0
cryptococcus_neoformans,26.0,27.303571428571427,0.0
schizopora_paradoxa,25.0,23.09090909090909,3.0
diaporthe_helianthi,24.0,23.09090909090909,3.0
sistotremastrum_niveocremeum,24.0,23.2,1.0
metarhizium_anisopliae,24.0,22.88888888888889,4.0
tilletiaria_anomala,20.0,23.09090909090909,3.0
phlebia_centrifuga,25.0,23.96,4.0
trichophyton_verrucosum,30.0,25.414814814814815,2.0
ogataea_polymorpha,28.0,25.0,4.0
tetrapisispora_blattae,26.0,25.0,4.0
fusarium_poae,25.0,23.822222222222223,2.0
sphaerobolus_stellatus,21.0,23.208333333333332,0.0
malassezia_pachydermatis,32.0,22.27659574468085,0.0
aspergillus_clavatus,24.0,26.44871794871795,3.0
schizosaccharomyces_cryophilus,23.0,25.95744680851064,0.0
rhizopus_delemar,25.0,24.787610619469028,1.0
babesia_microti,25.0,24.787610619469028,1.0
isaria_fumosorosea,20.0,25.414814814814815,2.0
zygosaccharomyces_bailii,22.0,24.787610619469028,1.0
komagataella_pastoris,21.0,22.896551724137932,4.0
rhodotorula_graminis,24.0,26.342105263157894,1.0
trichophyton_violaceum,28.0,25.414814814814815,2.0
neolentinus_lepideus,25.0,23.2,1.0
spizellomyces_punctatus,23.0,26.44871794871795,3.0
kluyveromyces_marxianus,25.0,24.787610619469028,1.0
botryobasidium_botryosum,25.0,25.414814814814815,2.0
brettanomyces_bruxellensis,25.0,25.95744680851064,0.0
aspergillus_nidulans,31.0,24.787610619469028,1.0
penicillium_expansum,24.0,23.822222222222223,2.0
fibroporia_radiculosa,25.0,26.44871794871795,3.0
penicillium_digitatum,24.0,24.816901408450704,0.0
schizophyllum_commune,26.0,24.5,4.0
pseudocercospora_musae,24.0,23.2,1.0
cryptococcus_amylolentus,24.0,26.342105263157894,1.0
encephalitozoon_hellem,36.0,25.414814814814815,2.0
sordaria_macrospora,24.0,26.44871794871795,3.0
eremothecium_gossypii,28.0,22.896551724137932,4.0
coniophora_puteana,25.0,23.822222222222223,2.0
trametes_pubescens,25.0,26.342105263157894,1.0
schizosaccharomyces_japonicus,25.0,25.414814814814815,2.0
aspergillus_ochraceoroseus,25.0,26.342105263157894,1.0
zygosaccharomyces_rouxii,24.0,25.95744680851064,0.0
aspergillus_niger,26.0,25.414814814814815,2.0
clavispora_lusitaniae,25.0,23.96,4.0
acanthamoeba_castellanii,25.0,26.342105263157894,1.0
rhizopogon_vinicolor,25.0,23.2,1.0
sclerotinia_sclerotiorum,23.0,26.44871794871795,3.0
fusarium_proliferatum,24.0,24.1875,3.0
ascochyta_rabiei,24.0,25.2,4.0
exophiala_spinifera,25.0,22.88888888888889,4.0
madurella_mycetomatis,26.0,27.303571428571427,0.0
geotrichum_candidum,25.0,24.1875,3.0
trichophyton_rubrum,26.0,26.342105263157894,1.0
bigelowiella_natans,20.0,25.5,3.0
choanephora_cucurbitarum,24.0,23.208333333333332,0.0
torulaspora_delbrueckii,25.0,24.1875,3.0
scheffersomyces_stipitis,26.0,25.0,4.0
plasmodium_falciparum,37.0,25.414814814814815,2.0
aspergillus_glaucus,26.0,26.342105263157894,1.0
penicillium_solitum,24.0,24.787610619469028,1.0
macrophomina_phaseolina,25.0,24.816901408450704,0.0
saccharomyces_kudriavzevii,25.0,23.822222222222223,2.0
sporisorium_scitamineum,24.0,21.391304347826086,4.0
pachysolen_tannophilus,24.0,25.5,3.0
exophiala_dermatitidis,26.0,24.816901408450704,0.0
trypanosoma_brucei,30.0,26.342105263157894,1.0
oidiodendron_maius,24.0,25.414814814814815,2.0
tremella_mesenterica,24.0,26.44871794871795,3.0
kazachstania_naganishii,24.0,22.896551724137932,4.0
cordyceps_militaris,24.0,22.88888888888889,4.0
botrytis_cinerea,23.0,23.822222222222223,2.0
saprolegnia_parasitica,20.0,23.09090909090909,3.0
cladophialophora_psammophila,30.0,22.27659574468085,0.0
cyberlindnera_fabianii,24.0,25.5,3.0
schizosaccharomyces_octosporus,26.0,24.787610619469028,1.0
cordyceps_brongniartii,24.0,25.414814814814815,2.0
hanseniaspora_osmophila,24.0,24.787610619469028,1.0
paramecium_tetraurelia,28.0,24.787610619469028,1.0
aspergillus_fumigatus,26.0,25.414814814814815,2.0
claviceps_purpurea,25.0,27.61111111111111,4.0
ascoidea_rubescens,23.0,23.822222222222223,2.0
phycomyces_blakesleeanus,24.0,23.208333333333332,0.0
colletotrichum_graminicola,23.0,23.09090909090909,3.0
suillus_luteus,23.0,23.208333333333332,0.0
phytophthora_parasitica,24.0,26.342105263157894,1.0
alternaria_alternata,24.0,23.2,1.0
fonticula_alba,24.0,24.816901408450704,0.0
postia_placenta,24.0,27.303571428571427,0.0
ustilago_maydis,26.0,27.61111111111111,4.0
calocera_cornea,24.0,27.303571428571427,0.0
wickerhamomyces_anomalus,25.0,25.0,4.0
allomyces_macrogynus,27.0,22.27659574468085,0.0
sphaeroforma_arctica,5.0,22.88888888888889,4.0
gaeumannomyces_graminis,26.0,26.44871794871795,3.0
wallemia_mellicola,24.0,23.96,4.0
candida_dubliniensis,29.0,24.787610619469028,1.0
serpula_lacrymans,21.0,23.96,4.0
bipolaris_zeicola,24.0,23.2,1.0
leptosphaeria_maculans,24.0,23.09090909090909,3.0
fonsecaea_pedrosoi,25.0,23.208333333333332,0.0
aspergillus_ustus,25.0,23.09090909090909,3.0
thecamonas_trahens,25.0,22.27659574468085,0.0
dictyostelium_discoideum,23.0,24.787610619469028,1.0
mortierella_elongata,22.0,24.816901408450704,0.0
hanseniaspora_uvarum,25.0,25.95744680851064,0.0
emiliania_huxleyi,18.0,21.391304347826086,4.0
rhizoctonia_solani,24.0,23.09090909090909,3.0
candida_maltosa,25.0,25.0,4.0
hirsutella_minnesotensis,24.0,25.2,4.0
encephalitozoon_cuniculi,36.0,26.342105263157894,1.0
entamoeba_dispar,35.0,25.5,3.0
rhizopus_microsporus,27.0,25.414814814814815,2.0
phytophthora_infestans,22.0,26.44871794871795,3.0
trichophyton_tonsurans,26.0,25.414814814814815,2.0
meyerozyma_guilliermondii,25.0,23.822222222222223,2.0
trametes_versicolor,24.0,26.44871794871795,3.0
trichomonas_vaginalis,35.0,23.822222222222223,2.0
exophiala_mesophila,25.0,22.88888888888889,4.0
trichosporon_asahii,28.0,25.2,4.0
acremonium_chrysogenum,24.0,25.2,4.0
emmonsia_parva,26.0,24.816901408450704,0.0
leishmania_donovani,25.0,27.303571428571427,0.0
schizosaccharomyces_pombe,25.0,23.822222222222223,2.0
penicillium_coprophilum,24.0,23.822222222222223,2.0
verticillium_dahliae,24.0,23.2,1.0
naegleria_gruberi,25.0,24.787610619469028,1.0
glarea_lozoyensis,23.0,23.2,1.0
debaryomyces_hansenii,25.0,23.822222222222223,2.0
pisolithus_microcarpus,20.0,23.208333333333332,0.0
leishmania_mexicana,25.0,24.5,4.0
lentinula_edodes,25.0,23.09090909090909,3.0
metarhizium_album,24.0,23.822222222222223,2.0
stemphylium_lycopersici,24.0,21.391304347826086,4.0
penicillium_polonicum,24.0,23.96,4.0
thielavia_terrestris,37.0,25.2,4.0
piloderma_croceum,20.0,23.96,4.0
parasitella_parasitica,24.0,24.787610619469028,1.0
polysphondylium_pallidum,22.0,23.208333333333332,0.0
trypanosoma_cruzi,26.0,27.303571428571427,0.0
dictyostelium_fasciculatum,21.0,24.787610619469028,1.0
podospora_anserina,24.0,27.303571428571427,0.0
metschnikowia_bicuspidata,22.0,24.1875,3.0
penicillium_nalgiovense,24.0,22.27659574468085,0.0
colletotrichum_orbiculare,24.0,24.816901408450704,0.0
amanita_muscaria,24.0,23.822222222222223,2.0
emmonsia_crescens,27.0,25.414814814814815,2.0
bipolaris_oryzae,25.0,25.414814814814815,2.0
trichoderma_reesei,24.0,26.44871794871795,3.0
laccaria_bicolor,23.0,23.822222222222223,2.0
marssonina_brunnea,22.0,26.44871794871795,3.0
encephalitozoon_intestinalis,36.0,25.414814814814815,2.0
dichomitus_squalens,25.0,24.816901408450704,0.0
