,true,pred,kfold
shewanella_algae,28.0,23.531164915278755,3.0
ochrobactrum_rhizosphaerae,28.0,30.089553852866736,0.0
sphingomonas_haloaromaticamans,30.0,29.213989541819057,3.0
kurthia_massiliensis,28.0,30.975157148927845,1.0
bacillus_ligniniphilus,30.0,35.11688646400592,1.0
planococcus_maritimus,29.0,26.826518062638378,4.0
planococcus_halocryophilus,18.0,26.345958131468198,1.0
streptococcus_ictaluri,30.0,29.460559321314754,1.0
palaeococcus_pacificus,80.0,75.2043002375326,3.0
paraglaciecola_chathamensis,18.0,24.360368345566062,3.0
shewanella_oneidensis,30.0,24.42737558178929,2.0
lactococcus_lactis,31.0,31.84047085887766,1.0
shewanella_baltica,25.0,22.633441765191613,0.0
methylotenera_versatilis,25.0,22.151504311521713,0.0
glaciecola_pallidula,13.0,19.847712709200806,4.0
paenibacillus_lactis,30.0,31.634869384970777,4.0
nocardia_caishijiensis,29.0,28.606027412183895,2.0
balneola_vulgaris,27.0,25.06392675833876,0.0
streptomyces_viridosporus,28.0,29.028297477982093,4.0
caenibacillus_caldisaponilyticus,55.0,47.03152780407351,0.0
desulfovibrio_vulgaris,34.0,32.508530287431945,4.0
actinoalloteichus_spitiensis,30.0,30.31137299422487,0.0
nitratifractor_salsuginis,59.0,55.15369933827692,3.0
cladophialophora_carrionii,25.0,24.572015174586475,2.0
aspergillus_brasiliensis,26.0,26.629132829131585,3.0
herbaspirillum_rhizosphaerae,27.0,25.525856237820708,4.0
tepidiphilus_thermophilus,50.0,50.37308692254497,3.0
rhodobacter_johrii,28.0,30.25074017601738,3.0
hoeflea_phototrophica,30.0,25.710037328900953,0.0
alicycliphilus_denitrificans,29.0,31.10607906328423,3.0
dothistroma_septosporum,20.0,19.154153503822588,2.0
denitrovibrio_acetiphilus,30.0,25.532487543057997,4.0
azovibrio_restrictus,28.0,31.745753797427785,0.0
frateuria_aurantia,27.0,27.549077533413705,3.0
vibrio_owensii,27.0,27.682828657022334,1.0
herbaspirillum_huttiense,28.0,29.17543757587788,2.0
methylophaga_frappieri,29.0,24.53243486986963,2.0
providencia_burhodogranariea,31.0,28.698786836508965,1.0
halanaerobium_congolense,42.0,37.79989987305959,3.0
acinetobacter_indicus,31.0,32.720307845900244,2.0
novosphingobium_aromaticivorans,30.0,30.023640322122635,0.0
