,true,pred,kfold
shewanella_algae,28.0,23.340500415347215,3.0
ochrobactrum_rhizosphaerae,28.0,30.163792362682674,0.0
sphingomonas_haloaromaticamans,30.0,28.586599586475383,3.0
kurthia_massiliensis,28.0,30.663384645542358,1.0
bacillus_ligniniphilus,30.0,35.191529587414266,1.0
planococcus_maritimus,29.0,27.376898618118307,4.0
planococcus_halocryophilus,18.0,26.485988104774027,1.0
streptococcus_ictaluri,30.0,28.72843659144309,1.0
palaeococcus_pacificus,80.0,75.3533971466043,3.0
paraglaciecola_chathamensis,18.0,24.62647340808221,3.0
shewanella_oneidensis,30.0,25.126270384208816,2.0
lactococcus_lactis,31.0,30.627791405106475,1.0
shewanella_baltica,25.0,23.01840073256524,0.0
methylotenera_versatilis,25.0,21.836477688841775,0.0
glaciecola_pallidula,13.0,20.643705559282,4.0
paenibacillus_lactis,30.0,32.04001244373835,4.0
nocardia_caishijiensis,29.0,28.3526126098459,2.0
balneola_vulgaris,27.0,24.941815894640996,0.0
streptomyces_viridosporus,28.0,28.715258267242138,4.0
caenibacillus_caldisaponilyticus,55.0,46.844322902988324,0.0
desulfovibrio_vulgaris,34.0,32.12487172463471,4.0
actinoalloteichus_spitiensis,30.0,31.109616885829436,0.0
nitratifractor_salsuginis,59.0,54.11084071247157,3.0
cladophialophora_carrionii,25.0,24.182074916955994,2.0
aspergillus_brasiliensis,26.0,26.83419577374432,3.0
herbaspirillum_rhizosphaerae,27.0,25.954170938030625,4.0
tepidiphilus_thermophilus,50.0,49.15882545991735,3.0
rhodobacter_johrii,28.0,30.43143573801298,3.0
hoeflea_phototrophica,30.0,25.44282338200712,0.0
alicycliphilus_denitrificans,29.0,31.034609542399696,3.0
dothistroma_septosporum,20.0,19.603980957037948,2.0
denitrovibrio_acetiphilus,30.0,26.225111306778587,4.0
azovibrio_restrictus,28.0,30.856850909002063,0.0
frateuria_aurantia,27.0,28.39527587414355,3.0
vibrio_owensii,27.0,27.570755415996594,1.0
herbaspirillum_huttiense,28.0,28.9552340867712,2.0
methylophaga_frappieri,29.0,24.810873982911076,2.0
providencia_burhodogranariea,31.0,28.323935974662728,1.0
halanaerobium_congolense,42.0,37.94118564724802,3.0
acinetobacter_indicus,31.0,31.9478425139191,2.0
novosphingobium_aromaticivorans,30.0,29.759745583511616,0.0
pseudoalteromonas_issachenkonii,23.0,24.846829268254684,1.0
tetrasphaera_jenkinsii,25.0,24.167217640812908,4.0
corynebacterium_minutissimum,35.0,30.747790497544294,4.0
haematospirillum_jordaniae,37.0,31.265412990284783,0.0
dialister_invisus,36.0,38.11688952216803,0.0
actinomadura_rubrobrunea,55.0,39.78086552226411,3.0
nocardiopsis_halophila,28.0,30.656753910984104,1.0
histoplasma_capsulatum,29.0,24.756496579597226,2.0
