,true,pred,kfold
shewanella_algae,28.0,24.490130167986408,3.0
ochrobactrum_rhizosphaerae,28.0,29.30206943772721,0.0
sphingomonas_haloaromaticamans,30.0,30.63278458693172,3.0
kurthia_massiliensis,28.0,30.597208232495205,1.0
bacillus_ligniniphilus,30.0,35.06957051238717,1.0
planococcus_maritimus,29.0,25.69942048712705,4.0
planococcus_halocryophilus,18.0,26.20134636840524,1.0
streptococcus_ictaluri,30.0,28.766020984265225,1.0
palaeococcus_pacificus,80.0,75.41924927809383,3.0
paraglaciecola_chathamensis,18.0,23.93545792677547,3.0
shewanella_oneidensis,30.0,23.06915395082367,2.0
lactococcus_lactis,31.0,29.684316844555752,1.0
shewanella_baltica,25.0,22.52893949769425,0.0
methylotenera_versatilis,25.0,22.163424265608068,0.0
glaciecola_pallidula,13.0,19.519219910344823,4.0
paenibacillus_lactis,30.0,32.124356781682714,4.0
nocardia_caishijiensis,29.0,28.981149838580016,2.0
balneola_vulgaris,27.0,24.574785483106847,0.0
streptomyces_viridosporus,28.0,29.62320092841123,4.0
caenibacillus_caldisaponilyticus,55.0,46.693777513727426,0.0
desulfovibrio_vulgaris,34.0,34.5352912299249,4.0
actinoalloteichus_spitiensis,30.0,29.828992140516515,0.0
nitratifractor_salsuginis,59.0,55.36329768278743,3.0
cladophialophora_carrionii,25.0,25.079009936465148,2.0
aspergillus_brasiliensis,26.0,25.857979517961994,3.0
herbaspirillum_rhizosphaerae,27.0,25.042266880712255,4.0
tepidiphilus_thermophilus,50.0,51.480192881609455,3.0
rhodobacter_johrii,28.0,29.800280314470783,3.0
hoeflea_phototrophica,30.0,25.92041660569596,0.0
alicycliphilus_denitrificans,29.0,31.963881236101642,3.0
dothistroma_septosporum,20.0,18.057794020785217,2.0
denitrovibrio_acetiphilus,30.0,25.429826294622167,4.0
azovibrio_restrictus,28.0,32.31722594521928,0.0
frateuria_aurantia,27.0,27.878399592424884,3.0
vibrio_owensii,27.0,28.004674524876492,1.0
herbaspirillum_huttiense,28.0,30.37200729669464,2.0
methylophaga_frappieri,29.0,25.099661634577636,2.0
providencia_burhodogranariea,31.0,29.623721570584195,1.0
halanaerobium_congolense,42.0,36.3992106733575,3.0
acinetobacter_indicus,31.0,33.30597846330536,2.0
novosphingobium_aromaticivorans,30.0,30.30824114106583,0.0
pseudoalteromonas_issachenkonii,23.0,24.03547665557565,1.0
tetrasphaera_jenkinsii,25.0,25.391412293157323,4.0
corynebacterium_minutissimum,35.0,31.11576226874326,4.0
haematospirillum_jordaniae,37.0,34.190655958875894,0.0
dialister_invisus,36.0,37.322712195142984,0.0
actinomadura_rubrobrunea,55.0,40.538428050066486,3.0
nocardiopsis_halophila,28.0,30.054414720150845,1.0
histoplasma_capsulatum,29.0,25.42837707818878,2.0
weissella_confusa,31.0,31.801830035234943,3.0
desulfotomaculum_thermosubterraneum,60.0,60.10125455341043,1.0
mycobacterium_haemophilum,31.0,34.446501475359455,3.0
pediococcus_cellicola,34.0,28.284411942205175,4.0
amycolatopsis_thermoflava,45.0,29.040468913103595,3.0
microbacterium_arborescens,30.0,28.25875374755563,1.0
