,true,pred,kfold
shewanella_algae,28.0,28.62045,3.0
ochrobactrum_rhizosphaerae,28.0,28.807499999999994,0.0
sphingomonas_haloaromaticamans,30.0,29.228516000000003,3.0
kurthia_massiliensis,28.0,31.195383999999997,1.0
bacillus_ligniniphilus,30.0,32.108,1.0
planococcus_maritimus,29.0,28.475834000000003,4.0
planococcus_halocryophilus,18.0,27.4245,1.0
streptococcus_ictaluri,30.0,31.680754,1.0
palaeococcus_pacificus,80.0,81.36895,3.0
paraglaciecola_chathamensis,18.0,24.730338999999987,3.0
shewanella_oneidensis,30.0,27.361327999999997,2.0
lactococcus_lactis,31.0,29.479767,1.0
shewanella_baltica,25.0,25.819019,0.0
methylotenera_versatilis,25.0,26.202519000000006,0.0
glaciecola_pallidula,13.0,18.580390999999995,4.0
paenibacillus_lactis,30.0,30.502292,4.0
nocardia_caishijiensis,29.0,29.28425,2.0
balneola_vulgaris,27.0,26.944584000000003,0.0
streptomyces_viridosporus,28.0,27.596,4.0
caenibacillus_caldisaponilyticus,55.0,48.602573,0.0
desulfovibrio_vulgaris,34.0,33.243333,4.0
actinoalloteichus_spitiensis,30.0,31.348933000000002,0.0
nitratifractor_salsuginis,59.0,40.933932999999996,3.0
cladophialophora_carrionii,25.0,25.0255,2.0
aspergillus_brasiliensis,26.0,25.596,3.0
herbaspirillum_rhizosphaerae,27.0,28.966949999999997,4.0
tepidiphilus_thermophilus,50.0,47.593666,3.0
rhodobacter_johrii,28.0,29.063748999999998,3.0
hoeflea_phototrophica,30.0,27.355799999999995,0.0
alicycliphilus_denitrificans,29.0,30.079082999999997,3.0
dothistroma_septosporum,20.0,24.075,2.0
denitrovibrio_acetiphilus,30.0,31.295267,4.0
azovibrio_restrictus,28.0,32.8946,0.0
frateuria_aurantia,27.0,29.745912,3.0
vibrio_owensii,27.0,28.6986,1.0
herbaspirillum_huttiense,28.0,29.3763,2.0
methylophaga_frappieri,29.0,27.91985,2.0
providencia_burhodogranariea,31.0,29.964699999999997,1.0
halanaerobium_congolense,42.0,37.5574,3.0
acinetobacter_indicus,31.0,29.514646,2.0
novosphingobium_aromaticivorans,30.0,28.329332999999995,0.0
pseudoalteromonas_issachenkonii,23.0,24.005479,1.0
tetrasphaera_jenkinsii,25.0,28.505333,4.0
corynebacterium_minutissimum,35.0,33.416,4.0
haematospirillum_jordaniae,37.0,29.741182999999996,0.0
dialister_invisus,36.0,36.695291,0.0
actinomadura_rubrobrunea,55.0,34.368249,3.0
nocardiopsis_halophila,28.0,29.230165999999997,1.0
histoplasma_capsulatum,29.0,27.6265,2.0
weissella_confusa,31.0,27.002799999999997,3.0
desulfotomaculum_thermosubterraneum,60.0,59.56834999999999,1.0
mycobacterium_haemophilum,31.0,32.813,3.0
pediococcus_cellicola,34.0,30.9745,4.0
amycolatopsis_thermoflava,45.0,28.4975,3.0
microbacterium_arborescens,30.0,29.299833,1.0
kluyvera_intermedia,31.0,32.0995,4.0
bacillus_circulans,32.0,30.739462,2.0
streptomyces_griseoflavus,27.0,27.759833,0.0
pseudoalteromonas_piscicida,28.0,27.312497999999998,0.0
nocardia_farcinica,32.0,30.096833,3.0
sulfurimonas_denitrificans,24.0,25.96575,1.0
streptomyces_galbus,27.0,27.67475,4.0
paenibacillus_odorifer,30.0,28.125312,0.0
blastomyces_dermatitidis,31.0,26.055,4.0
vagococcus_penaei,30.0,31.256,2.0
nocardia_carnea,29.0,29.371,1.0
capronia_coronata,20.0,24.912,2.0
desulfurococcus_kamchatkensis,82.0,85.2515,3.0
flavobacterium_filum,27.0,25.38185,2.0
rhizobium_tibeticum,28.0,28.592999999999993,4.0
pichia_kudriavzevii,24.0,24.7575,4.0
methylophaga_thiooxydans,28.0,28.734824999999997,4.0
penicillium_steckii,24.0,24.1445,1.0
nautilia_profundicola,43.0,51.68124999999999,3.0
nosocomiicoccus_ampullae,32.0,34.500333,3.0
acinetobacter_soli,29.0,29.688866,1.0
malassezia_globosa,30.0,25.819699,2.0
lactobacillus_malefermentans,29.0,29.5006,4.0
thiocystis_violascens,25.0,29.290933000000003,3.0
komagataeibacter_europaeus,30.0,30.0871,0.0
bacillus_muralis,30.0,29.235,3.0
selenomonas_bovis,37.0,37.15085,1.0
persephonella_marina,70.0,60.269248999999995,0.0
methanothermobacter_marburgensis,60.0,57.3187,1.0
collimonas_arenae,28.0,27.744,4.0
thermus_islandicus,65.0,68.71,4.0
colletotrichum_nymphaeae,20.0,24.4795,0.0
chryseolinea_serpens,25.0,28.42905,2.0
haloferax_prahovense,37.0,36.541,3.0
bacillus_pseudofirmus,31.0,30.625,1.0
neisseria_elongata,33.0,33.8185,0.0
flavobacterium_piscis,30.0,25.041,2.0
methanoplanus_limicola,34.0,41.7211,3.0
ornithinibacillus_californiensis,30.0,31.5625,1.0
cycloclasticus_pugetii,20.0,24.728853000000004,0.0
listeria_seeligeri,36.0,32.894383000000005,4.0
rhynchosporium_secalis,15.0,22.9405,4.0
vibrio_atlanticus,25.0,26.461032999999997,4.0
enhygromyxa_salina,30.0,29.604599999999998,0.0
chryseobacterium_piperi,29.0,28.582,0.0
alicyclobacillus_ferrooxydans,30.0,35.64775,0.0
longispora_albida,28.0,28.631199999999996,1.0
desulfitobacterium_hafniense,34.0,31.807458,0.0
streptomyces_decoyicus,29.0,27.396,2.0
vibrio_quintilis,28.0,27.627517,1.0
aeromicrobium_erythreum,33.0,28.800414999999997,4.0
acinetobacter_johnsonii,29.0,30.183132999999994,4.0
oceanobacillus_caeni,32.0,32.27075,0.0
jannaschia_rubra,25.0,28.599079999999994,0.0
comamonas_composti,28.0,29.5686,4.0
sphingobium_ummariense,28.0,28.923099999999998,1.0
bacillus_cellulosilyticus,32.0,30.89525,0.0
bacillus_novalis,30.0,29.9153,3.0
photobacterium_sanctipauli,28.0,28.137449999999998,2.0
dokdonia_donghaensis,30.0,26.666,4.0
kordiimonas_gwangyangensis,36.0,29.235174999999998,0.0
fretibacterium_fastidiosum,37.0,36.024642,3.0
hydrocarboniphaga_effusa,29.0,28.62125,4.0
carnimonas_nigrificans,30.0,28.210150000000002,4.0
celeribacter_indicus,25.0,29.170182999999998,0.0
actinomyces_radicidentis,37.0,29.582165999999997,0.0
capnocytophaga_sputigena,37.0,33.51155,4.0
streptomyces_ipomoeae,27.0,27.373165999999998,2.0
xanthomonas_pisi,27.0,27.97375,0.0
methylobacter_tundripaludum,22.0,27.716584,2.0
rhizobium_sullae,28.0,28.71859999999996,1.0
bacillus_marmarensis,30.0,30.641667,0.0
paenibacillus_borealis,30.0,29.65725,4.0
mycobacterium_wolinskyi,32.0,33.46975,0.0
aliivibrio_logei,18.0,21.205111,2.0
nevskia_soli,28.0,28.91385,1.0
