,true,pred,kfold
shewanella_algae,28.0,26.82895417049515,3.0
ochrobactrum_rhizosphaerae,28.0,30.5753224600757,0.0
sphingomonas_haloaromaticamans,30.0,29.255547173377213,3.0
kurthia_massiliensis,28.0,30.647788174896732,1.0
bacillus_ligniniphilus,30.0,35.38846411712876,1.0
planococcus_maritimus,29.0,28.276836798962762,4.0
planococcus_halocryophilus,18.0,27.643523416158637,1.0
streptococcus_ictaluri,30.0,35.830043382251944,1.0
palaeococcus_pacificus,80.0,77.8198118546278,3.0
paraglaciecola_chathamensis,18.0,25.414054841506985,3.0
shewanella_oneidensis,30.0,27.68827346911543,2.0
lactococcus_lactis,31.0,31.52977324587853,1.0
shewanella_baltica,25.0,24.75477740837116,0.0
methylotenera_versatilis,25.0,23.519632863984242,0.0
glaciecola_pallidula,13.0,15.507788153130658,4.0
paenibacillus_lactis,30.0,31.659010585729778,4.0
nocardia_caishijiensis,29.0,28.45128188265526,2.0
balneola_vulgaris,27.0,25.94164366769003,0.0
streptomyces_viridosporus,28.0,27.619063175230707,4.0
caenibacillus_caldisaponilyticus,55.0,52.08751826769496,0.0
desulfovibrio_vulgaris,34.0,33.831758164477364,4.0
actinoalloteichus_spitiensis,30.0,30.459326241033075,0.0
nitratifractor_salsuginis,59.0,53.76958844563452,3.0
cladophialophora_carrionii,25.0,24.984222486779583,2.0
aspergillus_brasiliensis,26.0,25.129714037999243,3.0
herbaspirillum_rhizosphaerae,27.0,27.3843286578051,4.0
tepidiphilus_thermophilus,50.0,51.21185257581279,3.0
rhodobacter_johrii,28.0,29.202284202840747,3.0
hoeflea_phototrophica,30.0,25.601684305464133,0.0
alicycliphilus_denitrificans,29.0,30.555322545133944,3.0
dothistroma_septosporum,20.0,24.09926769623594,2.0
denitrovibrio_acetiphilus,30.0,24.431434312458883,4.0
azovibrio_restrictus,28.0,30.38302450246317,0.0
frateuria_aurantia,27.0,29.911016446727082,3.0
vibrio_owensii,27.0,29.648940894184044,1.0
herbaspirillum_huttiense,28.0,30.805703314467987,2.0
methylophaga_frappieri,29.0,28.633603817095032,2.0
providencia_burhodogranariea,31.0,30.199170432254277,1.0
halanaerobium_congolense,42.0,36.5754462102357,3.0
acinetobacter_indicus,31.0,30.23592171739912,2.0
novosphingobium_aromaticivorans,30.0,27.804669958598243,0.0
pseudoalteromonas_issachenkonii,23.0,24.129765790836647,1.0
tetrasphaera_jenkinsii,25.0,26.93579592220066,4.0
corynebacterium_minutissimum,35.0,34.73062385165557,4.0
haematospirillum_jordaniae,37.0,32.35425432033026,0.0
dialister_invisus,36.0,33.891822293093846,0.0
actinomadura_rubrobrunea,55.0,37.46084824564899,3.0
nocardiopsis_halophila,28.0,27.503766187271538,1.0
histoplasma_capsulatum,29.0,27.570220649736502,2.0
weissella_confusa,31.0,30.362882951246256,3.0
desulfotomaculum_thermosubterraneum,60.0,61.69792109320896,1.0
mycobacterium_haemophilum,31.0,34.255721494935344,3.0
pediococcus_cellicola,34.0,31.879587220262344,4.0
amycolatopsis_thermoflava,45.0,29.0277777906952,3.0
microbacterium_arborescens,30.0,28.89924300081455,1.0
kluyvera_intermedia,31.0,31.905368600327854,4.0
bacillus_circulans,32.0,30.361298068768708,2.0
streptomyces_griseoflavus,27.0,27.757209945442902,0.0
pseudoalteromonas_piscicida,28.0,28.416219777016668,0.0
nocardia_farcinica,32.0,31.076837364105295,3.0
sulfurimonas_denitrificans,24.0,23.004079680190046,1.0
streptomyces_galbus,27.0,27.341941995387963,4.0
paenibacillus_odorifer,30.0,26.66392242062423,0.0
blastomyces_dermatitidis,31.0,27.396264313228382,4.0
vagococcus_penaei,30.0,28.023698448723355,2.0
nocardia_carnea,29.0,29.470338209475585,1.0
capronia_coronata,20.0,25.18474963195363,2.0
desulfurococcus_kamchatkensis,82.0,89.16015890813992,3.0
flavobacterium_filum,27.0,29.655004736208575,2.0
rhizobium_tibeticum,28.0,28.973943445965666,4.0
pichia_kudriavzevii,24.0,24.769030503756838,4.0
methylophaga_thiooxydans,28.0,25.72004627212847,4.0
penicillium_steckii,24.0,24.122135050071606,1.0
nautilia_profundicola,43.0,56.38498891694026,3.0
nosocomiicoccus_ampullae,32.0,36.509170162682764,3.0
acinetobacter_soli,29.0,30.740413384340027,1.0
malassezia_globosa,30.0,30.032232363765207,2.0
lactobacillus_malefermentans,29.0,28.56200614880862,4.0
thiocystis_violascens,25.0,24.64455022726968,3.0
komagataeibacter_europaeus,30.0,30.667334683157556,0.0
bacillus_muralis,30.0,27.28935909552521,3.0
selenomonas_bovis,37.0,40.000230802207966,1.0
persephonella_marina,70.0,67.02939347753818,0.0
methanothermobacter_marburgensis,60.0,62.16694627729011,1.0
collimonas_arenae,28.0,27.11735039802759,4.0
thermus_islandicus,65.0,68.62088611733819,4.0
colletotrichum_nymphaeae,20.0,22.856975150994487,0.0
chryseolinea_serpens,25.0,25.512051586546555,2.0
haloferax_prahovense,37.0,35.673458678748595,3.0
bacillus_pseudofirmus,31.0,31.08942022275732,1.0
neisseria_elongata,33.0,34.43325576531584,0.0
flavobacterium_piscis,30.0,23.940720408448286,2.0
methanoplanus_limicola,34.0,35.29698623379454,3.0
ornithinibacillus_californiensis,30.0,31.36587283322045,1.0
cycloclasticus_pugetii,20.0,22.40836629085132,0.0
listeria_seeligeri,36.0,33.64618579096619,4.0
rhynchosporium_secalis,15.0,21.840717268050902,4.0
vibrio_atlanticus,25.0,24.572680010638503,4.0
enhygromyxa_salina,30.0,28.919554145270737,0.0
chryseobacterium_piperi,29.0,29.543808621187107,0.0
alicyclobacillus_ferrooxydans,30.0,36.38888374796641,0.0
longispora_albida,28.0,29.356435383106543,1.0
desulfitobacterium_hafniense,34.0,33.136196741122625,0.0
streptomyces_decoyicus,29.0,26.798323484365834,2.0
vibrio_quintilis,28.0,27.909921893250452,1.0
aeromicrobium_erythreum,33.0,29.019072522245065,4.0
acinetobacter_johnsonii,29.0,29.68656289006615,4.0
oceanobacillus_caeni,32.0,32.68019182222441,0.0
jannaschia_rubra,25.0,28.920231236343724,0.0
comamonas_composti,28.0,29.000541030508224,4.0
sphingobium_ummariense,28.0,29.857220866657798,1.0
bacillus_cellulosilyticus,32.0,31.792691671669445,0.0
bacillus_novalis,30.0,30.998422839439304,3.0
photobacterium_sanctipauli,28.0,28.892478009703762,2.0
dokdonia_donghaensis,30.0,24.94052017899767,4.0
kordiimonas_gwangyangensis,36.0,28.56707348892819,0.0
fretibacterium_fastidiosum,37.0,40.04312040148237,3.0
hydrocarboniphaga_effusa,29.0,26.70779545707228,4.0
carnimonas_nigrificans,30.0,27.453987035586472,4.0
celeribacter_indicus,25.0,28.938189093389138,0.0
actinomyces_radicidentis,37.0,31.338193785949944,0.0
capnocytophaga_sputigena,37.0,34.57966087020537,4.0
streptomyces_ipomoeae,27.0,27.696330176479655,2.0
xanthomonas_pisi,27.0,28.274085190371416,0.0
methylobacter_tundripaludum,22.0,25.299991381735317,2.0
rhizobium_sullae,28.0,29.248762248734376,1.0
bacillus_marmarensis,30.0,28.889962288668087,0.0
paenibacillus_borealis,30.0,28.402388562991746,4.0
mycobacterium_wolinskyi,32.0,33.544770584770525,0.0
aliivibrio_logei,18.0,20.54977486106721,2.0
nevskia_soli,28.0,25.970175220327924,1.0
bacillus_boroniphilus,30.0,31.380028668851537,3.0
