,true,pred,kfold
shewanella_algae,28.0,29.13953488372093,3.0
ochrobactrum_rhizosphaerae,28.0,27.971698113207548,0.0
sphingomonas_haloaromaticamans,30.0,35.45744680851064,3.0
kurthia_massiliensis,28.0,29.28191489361702,1.0
bacillus_ligniniphilus,30.0,29.28191489361702,1.0
planococcus_maritimus,29.0,27.333333333333332,4.0
planococcus_halocryophilus,18.0,27.490909090909092,1.0
streptococcus_ictaluri,30.0,35.778688524590166,1.0
palaeococcus_pacificus,80.0,78.44736842105263,3.0
paraglaciecola_chathamensis,18.0,26.23170731707317,3.0
shewanella_oneidensis,30.0,29.2,2.0
lactococcus_lactis,31.0,32.51086956521739,1.0
shewanella_baltica,25.0,27.971698113207548,0.0
methylotenera_versatilis,25.0,22.725,0.0
glaciecola_pallidula,13.0,21.407894736842106,4.0
paenibacillus_lactis,30.0,35.15489130434783,4.0
nocardia_caishijiensis,29.0,29.607142857142858,2.0
balneola_vulgaris,27.0,29.08582089552239,0.0
streptomyces_viridosporus,28.0,27.49230769230769,4.0
caenibacillus_caldisaponilyticus,55.0,29.14,0.0
desulfovibrio_vulgaris,34.0,34.87234042553192,4.0
actinoalloteichus_spitiensis,30.0,32.23529411764706,0.0
nitratifractor_salsuginis,59.0,40.67948717948718,3.0
cladophialophora_carrionii,25.0,25.245098039215687,2.0
aspergillus_brasiliensis,26.0,24.225806451612904,3.0
herbaspirillum_rhizosphaerae,27.0,27.684615384615384,4.0
tepidiphilus_thermophilus,50.0,35.45744680851064,3.0
rhodobacter_johrii,28.0,30.27659574468085,3.0
hoeflea_phototrophica,30.0,28.8125,0.0
alicycliphilus_denitrificans,29.0,27.0,3.0
dothistroma_septosporum,20.0,24.136363636363637,2.0
denitrovibrio_acetiphilus,30.0,33.4390243902439,4.0
azovibrio_restrictus,28.0,37.35454545454545,0.0
frateuria_aurantia,27.0,27.596153846153847,3.0
vibrio_owensii,27.0,23.127450980392158,1.0
herbaspirillum_huttiense,28.0,26.23076923076923,2.0
methylophaga_frappieri,29.0,29.2,2.0
providencia_burhodogranariea,31.0,27.36,1.0
halanaerobium_congolense,42.0,53.51315789473684,3.0
acinetobacter_indicus,31.0,28.822916666666668,2.0
novosphingobium_aromaticivorans,30.0,25.94871794871795,0.0
pseudoalteromonas_issachenkonii,23.0,25.18421052631579,1.0
tetrasphaera_jenkinsii,25.0,28.427941176470586,4.0
corynebacterium_minutissimum,35.0,31.360655737704917,4.0
haematospirillum_jordaniae,37.0,27.428571428571427,0.0
dialister_invisus,36.0,29.14,0.0
actinomadura_rubrobrunea,55.0,32.703947368421055,3.0
nocardiopsis_halophila,28.0,29.91891891891892,1.0
histoplasma_capsulatum,29.0,25.98913043478261,2.0
weissella_confusa,31.0,24.511111111111113,3.0
desulfotomaculum_thermosubterraneum,60.0,61.82586206896552,1.0
mycobacterium_haemophilum,31.0,33.37735849056604,3.0
pediococcus_cellicola,34.0,31.18421052631579,4.0
amycolatopsis_thermoflava,45.0,32.703947368421055,3.0
microbacterium_arborescens,30.0,29.76086956521739,1.0
kluyvera_intermedia,31.0,31.407894736842106,4.0
bacillus_circulans,32.0,29.89189189189189,2.0
streptomyces_griseoflavus,27.0,27.87878787878788,0.0
pseudoalteromonas_piscicida,28.0,26.870377777777776,0.0
nocardia_farcinica,32.0,28.763157894736842,3.0
sulfurimonas_denitrificans,24.0,28.583333333333332,1.0
streptomyces_galbus,27.0,27.55223880597015,4.0
paenibacillus_odorifer,30.0,29.23913043478261,0.0
blastomyces_dermatitidis,31.0,24.842105263157894,4.0
vagococcus_penaei,30.0,34.54651162790697,2.0
nocardia_carnea,29.0,30.869318181818183,1.0
capronia_coronata,20.0,25.245098039215687,2.0
desulfurococcus_kamchatkensis,82.0,89.14634146341463,3.0
flavobacterium_filum,27.0,20.897970588235292,2.0
rhizobium_tibeticum,28.0,28.427941176470586,4.0
pichia_kudriavzevii,24.0,19.05128205128205,4.0
methylophaga_thiooxydans,28.0,34.41304347826087,4.0
penicillium_steckii,24.0,23.127450980392158,1.0
nautilia_profundicola,43.0,48.561586956521744,3.0
nosocomiicoccus_ampullae,32.0,32.971014492753625,3.0
acinetobacter_soli,29.0,26.76923076923077,1.0
malassezia_globosa,30.0,24.136363636363637,2.0
lactobacillus_malefermentans,29.0,19.05128205128205,4.0
thiocystis_violascens,25.0,32.703947368421055,3.0
komagataeibacter_europaeus,30.0,28.253424657534246,0.0
bacillus_muralis,30.0,30.47222222222222,3.0
selenomonas_bovis,37.0,35.778688524590166,1.0
persephonella_marina,70.0,46.0546875,0.0
methanothermobacter_marburgensis,60.0,50.34090909090909,1.0
collimonas_arenae,28.0,31.360655737704917,4.0
thermus_islandicus,65.0,62.04032258064516,4.0
colletotrichum_nymphaeae,20.0,22.026315789473685,0.0
chryseolinea_serpens,25.0,25.0125,2.0
haloferax_prahovense,37.0,34.43421052631579,3.0
bacillus_pseudofirmus,31.0,27.490909090909092,1.0
neisseria_elongata,33.0,46.0546875,0.0
flavobacterium_piscis,30.0,25.929815789473682,2.0
methanoplanus_limicola,34.0,32.992537313432834,3.0
ornithinibacillus_californiensis,30.0,32.411764705882355,1.0
cycloclasticus_pugetii,20.0,27.971698113207548,0.0
listeria_seeligeri,36.0,34.604166666666664,4.0
rhynchosporium_secalis,15.0,23.07894736842105,4.0
vibrio_atlanticus,25.0,27.80222222222222,4.0
enhygromyxa_salina,30.0,27.7,0.0
chryseobacterium_piperi,29.0,29.08582089552239,0.0
alicyclobacillus_ferrooxydans,30.0,38.10897435897436,0.0
longispora_albida,28.0,27.555555555555557,1.0
desulfitobacterium_hafniense,34.0,28.280241935483872,0.0
streptomyces_decoyicus,29.0,25.789473684210527,2.0
vibrio_quintilis,28.0,28.889655172413793,1.0
aeromicrobium_erythreum,33.0,29.710526315789473,4.0
acinetobacter_johnsonii,29.0,28.17105263157895,4.0
oceanobacillus_caeni,32.0,34.85326086956522,0.0
jannaschia_rubra,25.0,27.789473684210527,0.0
comamonas_composti,28.0,34.77272727272727,4.0
sphingobium_ummariense,28.0,27.2,1.0
bacillus_cellulosilyticus,32.0,30.960526315789473,0.0
bacillus_novalis,30.0,30.47222222222222,3.0
photobacterium_sanctipauli,28.0,29.2,2.0
dokdonia_donghaensis,30.0,24.955357142857142,4.0
