,true,pred,kfold
allobaculum_stercoricanis,37.0,48.22294921432433,3.0
shewanella_algae,28.0,20.88092200156813,1.0
bifidobacterium_saguini,37.0,32.05602690597616,4.0
ochrobactrum_rhizosphaerae,28.0,32.81915738337442,1.0
sphingomonas_haloaromaticamans,30.0,28.347424611433613,0.0
kurthia_massiliensis,28.0,28.049036513107076,0.0
bacillus_ligniniphilus,30.0,34.365234913788235,1.0
planococcus_maritimus,29.0,29.431912338047447,2.0
collinsella_aerofaciens,37.0,31.361837091120346,3.0
planococcus_halocryophilus,18.0,21.821587062771926,2.0
streptococcus_ictaluri,30.0,23.538078862085836,2.0
enterococcus_asini,37.0,25.348253119625966,1.0
palaeococcus_pacificus,80.0,71.63480585741779,1.0
clostridium_baratii,37.0,35.47008461913762,1.0
paraglaciecola_chathamensis,18.0,18.83001762772729,4.0
shewanella_oneidensis,30.0,18.89243700101595,4.0
lactococcus_lactis,31.0,28.6859096560217,1.0
shewanella_baltica,25.0,15.891208992037342,1.0
methylotenera_versatilis,25.0,14.70667695823363,4.0
eubacterium_sulci,37.0,44.87201434452802,1.0
glaciecola_pallidula,13.0,10.221971556229324,4.0
paenibacillus_lactis,30.0,33.88739507984561,0.0
nocardia_caishijiensis,29.0,29.867729776537445,2.0
balneola_vulgaris,27.0,18.75047812891839,3.0
streptomyces_viridosporus,28.0,32.16971607003572,3.0
caenibacillus_caldisaponilyticus,55.0,54.923204986713145,1.0
desulfovibrio_vulgaris,34.0,30.292038025532044,2.0
actinoalloteichus_spitiensis,30.0,32.36845324819375,3.0
nitratifractor_salsuginis,59.0,66.79007904212065,0.0
cladophialophora_carrionii,25.0,22.901421855252693,4.0
aspergillus_brasiliensis,26.0,26.606434085774488,3.0
herbaspirillum_rhizosphaerae,27.0,21.232837812318763,4.0
tepidiphilus_thermophilus,50.0,58.00777741273037,1.0
rhodobacter_johrii,28.0,35.27261110071708,0.0
hoeflea_phototrophica,30.0,26.4155392759396,2.0
alicycliphilus_denitrificans,29.0,36.09886333135144,3.0
dothistroma_septosporum,20.0,14.530635009497008,2.0
denitrovibrio_acetiphilus,30.0,29.303717577767426,1.0
azovibrio_restrictus,28.0,32.19383087760865,3.0
frateuria_aurantia,27.0,21.189961910537512,3.0
vibrio_owensii,27.0,29.141398930665446,1.0
